2022 USA Ultimate National Championships,Club - Women ,20,10,2022
San Diego,CA,2022-10-20,2022-10-23
https://play.usaultimate.org/events/2022-USA-Ultimate-National-Championships/schedule/Women/Club-Women/
Fury,1
01,Magon Liu
02,Marisa Mead
03,Sharon Lin
05,Julianna Werffeli
06,Sarah Griffith
07,Octavia Payne
08,Nancy Sun
09,Marika Austin
10,Donnya Ajdari
11,Carolyn Finney
14,Calise Cardenas
16,Anna Thompson
18,Michelle McGhee
19,Amel Awadelkarim
21,Lorraine Guerin
22,Allyson Tsuji
25,Han Chen
28,Lisa Couper
29,Kirstin Johnson
33,Anna Nazarov
34,Shayla Harris
44,Maggie Ruden
51,Claire Desmond
91,Jessica O'Connor
b,r,e,a,k
Traffic,8
0,Terri Whitehead
02,Laurel Jay
03,Jessie Tai
06,Nancy Yang
07,Sarah Eklund
08,Andrea Moir
09,Jessica Rockliff
11,Helena Tremblay
12,Daisy Lin
13,Denise Su
14,Sarah Norton
15,Monica Hsu
16,Kelly Luk
21,Emma Best
22,Katherine Ortega
23,Brianne Wager
24,Julia Zhang
27,Madison Ong
29,Sophia  Chan
32,Danie Proby
45,Amelia Keenan
69,Karie Holst
78,Stephanie Siu
87,Nicola Parker
90,Catherine Menzies
91,Marie-Ève Beauchemin
b,r,e,a,k
Nemesis,12
00,Eileen Duffner
02,Alexandra Hu
05,Anna Thorn
07,Madison Moore
08,Christina Sur
09,Cassandra Brown
12,Jennifer Corcoran
13,Anika Thomas-Toth
14,Sarah Helding
17,Ellen Goldberg
18,Caitlin Duffner
19,Rachel Foster
22,Sammi Wong
23,Caitlyn Tien
24,Anna Stubbs
25,Sara Gnolek
26,Maddie Galvin
27,Connie Chan
31,Abby Shure
41,Lina  Montenegro 
47,Penelope Wu
72,Jacqueline Jarik
82,Claire Schmitt
84,Sarah Lipscomb
88,Cassandra Skapek
b,r,e,a,k
Parcha,13
02,Makenzie Priest
03,Domenica Sutherland
06,Celeste Picone
08,Rachel Hidek
09,Annelise Peters
10,Erin McCann
11,Sara Liang
12,Natalie Barnhart
14,Hannah Blizzard
16,Rosanna Vitiello
17,Kristin Dudley
18,Susan Devaraj
19,Kayla Emrick
20,Charlotte Koerner
22,Ariana Bhatia
24,Morgan Johnson
26,Kelsey Cowles
31,Sharon Yee
32,Shani Rosenthal
36,Carolyn Normile
37,Sarah Lemanski
71,Linn Bjanes
99,Emily Kiver
b,r,e,a,k
6ixers,7
01,Krystal Dos Santos
04,Cindy Truong
05,Molly Wedge
06,Sara Mar
07,Meagan Gillis
08,Hannah Dawson
11,Laura Kinoshita
12,Alyssa Mason
14,Sarah Jacobsohn
15,Tyama Lyall
17,Nicolette Bertsch
18,Reve Chan
20,Lauren Kimura
28,Rachel Cooc
30,Essi Inkinen
31,Neelima Basra
35,Molly Lewis
51,Sarah Innes
53,Christine  Jurychuk
55,Wynne Gee
70,Brittney Dos Santos
71,Jade Huangfu
78,Inka Wessman
79,Michelle Ng
92,Tiffany Zhang
96,Julia Peden
b,r,e,a,k
Flipside,2
00,Stephanie Pritchard
01,Maggie O'Connor
02,Alexandra Diaz
04,Kristen Pojunis
05,Kaela Helton
08,Alisha Stoun
09,Rebeca Ellis
10,Dena Slattery
11,Avery Jones
12,Jasmine Childress
16,Jorie Moore
17,Georgia Cardosa
18,Kaitlyn Weaver
19,Sophie Havranek
20,Kelli Iwamoto
22,Camille Wilson
24,Avalon Igawa
25,Samantha Wool
26,Ava Hanna
44,Elsa Winslow
46,Dena Elimelech
47,Gina Schumacher
60,Leanne Go
66,Pin-Hsuan Chen
77,Charlotte Sue
b,r,e,a,k
Grit,11
01,Paige Nelson
02,Anna Lieberman
03,Molly Barlow
04,Brogan Jones
05,Madison Cannon
06,Eliana Harnage
07,CeCe Collinson
08,Anastasia Mark
09,Maria Pascale
10,Kinsey Miller
12,Khin  Kyaw 
13,Hana Choi
18,Meghan  Bartlett
20,Sarah Lord
24,Grace Stephan
31,Rebecca Solnit
37,Carolyn Clendenin
66,Carly Eckstrom
70,Grace Alston
77,Erin Crider
93,Kate Trenerry
b,r,e,a,k
Nightlock,14
02,Diana Zhang
03,Eliza Chang
04,Claire Leichter
05,Anne Gordon
07,Rio Chuck
08,Angela Aie
10,Malina Wiebe
11,Elizabeth Pugh
13,Mei Bruist
14,Megan Pera
15,Audrey  Sheehy
16,Camila Flowerman
18,Jessalyn Siu
19,Adrienne Lemberger
22,Kaitlin Swinnerton
23,Julianne Bozzini
24,Jackelyne Nguyen
25,Julia Ting
29,Rachel  Chang
30,Nami Sumida
35,"Lily ""Thud"" Lin"
44,Kara Hammer
45,Sally Mimms
88,Jillian Du
89,Kimberly Long
b,r,e,a,k
Molly Brown,3
00,Kristen Reed
03,Liza Minor
05,Nhi Nguyen
06,Samantha Peletier
07,Robin Fassett-Carman
08,Manuela Cardenas 
11,Megan Henderson
12,Kendra  Mitchell
13,Alika Johnston
14,Cassandra Swafford
15,Sara Taggart
16,Megan Cousins
17,Emma Capra
18,Clil Phillips
19,Julia Schmaltz
20,Arielle Nelson
21,Rena Kawabata
22,Alyssa Perez
26,Lisa Pitcaithley
27,Saioa Lostra
30,Melissa Devlin
33,Valeria Cardenas
52,Claire Chastain
55,Rachel Wilmoth
65,Megan Ives
88,Veronica Eder
b,r,e,a,k
Brute Squad,6
04,Lien Hoffmann
09,Kelly Hyland
11,Samiya Ismail
12,Leija Helling
13,Becky Malinowski
14,Tulsa Douglas
15,Caitlin Fitzgerald
16,Erin Rea
17,Angela Zhu
18,Caroline Tornquist
19,Emily Decker
20,Sophia Knowles
25,Lane Siedor
27,Jessie Grignon Tomas
28,Amy Zhou
29,Caitlyn Lee
31,Sarah Hansen
32,Megan Wilson
33,Yuge Xiao
36,Jaelee Cruz
42,Levke Walczak
73,Anouchka Beaudry
83,Zoe Hecht
88,Nastasia Tangherlini
96,Maria Angelica Forero Becerra
b,r,e,a,k
Seattle Riot,10
00,Ikran Elmi
01,Jessica Spaulding
02,Alexa Yadama
03,Margo Urheim
04,Sharon Tsao
07,Abby Hecko
08,Rachel Bradshaw
10,Shira Stern
13,Jessica Crowley
16,Samantha Rodenberg
18,Jamie Eriksson
20,Kristin (Charlie) Eide
22,Valerie Pinillos
24,Catherine Chung
25,Alyssa Weatherford
27,Julia Snyder
33,Sophia Palmer
36,Alyssa Kelly
44,Abbie Abramovich
55,Tiffany Phan
66,Crystal (Lok) Koo
71,Cassandra Wong
81,Lani Nguyen
88,Jean Russell
b,r,e,a,k
Ozone,15
01,Erica Birdsong
03,Paige Carver
04,Juane Schoeman
05,Fiona Cashin
06,Lylah Bannister
07,Anh Spinks
08,India Stubbs
09,Samantha Daugherty
11,Macy Hudson
14,Elizabeth Leon
16,Almaze Lema
18,Naomi Anderson
20,Meredith Leahy
21,Samantha Li
26,Cate Woodhurst
27,Meg Harris
28,Rachel Attix
29,Soju Hokari
34,Kristi Huang
47,Stacie Coleman
58,Lanie O'Neill
b,r,e,a,k
Phoenix,4
00,Julia Zwierzynski
02,Claire Bidigare-Curtis
03,Grace Conerly
04,Ashley Powell
05,Jessica Jones
07,Kameryn Groom
08,Mary Rippe
09,Jinny Riedel
10,Ella Juengst
11,Dawn Culton
12,Katie Backus
13,Tyler Smith
14,Lyla Stanland
15,Carmen Tormey
16,Sarah Meckstroth
17,Karen Ehrhardt
20,Bridget Mizener
22,Anne Worth
28,Claire Revere
33,Amanda Murphy
34,Alexandra Barnett
44,Keila Strick
45,Caitlin Gross
48,Maya Powell
59,Audrey Lyman
87,Austin Prucha
b,r,e,a,k
Scandal,5
01,Malisa Dang
02,Laurel Oldershaw
03,Nikki Ross
04,Allison Wallace
05,Margaret Walker
07,Theresa Hackett
08,Kathryn Ritzmann
11,Nada Tramonte
17,Shirlee Wohl
19,Verena Woloson
20,Casey Gorman
22,Lauren Allen
23,Olivia Arellano
24,Jessica Sourbeer
25,Michelle Carey
30,Olivia Monroe
36,Madeleine Boyle
37,Claire Trop
38,Sandra Jorgensen
42,Lisi Lohre
50,Hannah Boone
64,Becca Arbacher
66,Jackie Wang
82,Sophia Hulbert
b,r,e,a,k
Schwa,9
0,Danielle Runzo
01,Morgan Zajonc
04,Amanda Ullrick
05,Kimber Coles
06,Claudia Tajima
07,Shea Brennan
08,Eva Popp
09,Brenna Bailey
11,Rachel Egan
13,Yazelis Benitez-Villegas
16,Talia Barth
17,Morgan Caldwell
18,Julia Sherwood
19,Crystal Davis
20,Jaycee Jones
21,Nicola Bruce
22,Natalie Hancock
23,Greta Eisenbrey
24,Aubri Bishop
26,Shaelynn Davis
34,Angelica Chambers
47,Madeleine Franz
55,Emery Otopalik
83,Alyson Steinfeld
b,r,e,a,k
Pop,16
00,Alicia Carr
02,Stephanie Wood
03,Makella Daley
04,Mei Hecht
05,Kalli Poletto
06,Lisa Hansen
08,Sumaya Mohamed
09,Sara  Helm
11,Rachel Gage
12,Rebecca Enders
17,Simone Pierotti
18,Adrienne Baker
21,Hannah Scott
24,Allegra Johnson McKee
28,Marin Ryan
29,Meg Lake
33,Kayla Blanek
34,Elise Gallup
36,Hannah Babcock
44,Lauren Roach
47,Elly Fireside-Ostergaard
77,Anik Regan
93,Biz Cook
97,Piper Bain
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Fury,Nemesis,15,5,"10/20/2022, 09:00",Pool A,Final
Traffic,Parcha,15,7,"10/20/2022, 09:00",Pool A,Final
Fury,Parcha,15,2,"10/20/2022, 11:15",Pool A,Final
Traffic,Nemesis,15,7,"10/20/2022, 11:15",Pool A,Final
Fury,Traffic,15,9,"10/20/2022, 13:30",Pool A,Final
Nemesis,Parcha,14,7,"10/20/2022, 13:30",Pool A,Final
pool,Pool B
Flipside,Grit,15,7,"10/20/2022, 11:15",Pool B,Final
6ixers,Nightlock,15,5,"10/20/2022, 11:15",Pool B,Final
Flipside,Nightlock,15,4,"10/20/2022, 13:30",Pool B,Final
6ixers,Grit,14,9,"10/20/2022, 13:30",Pool B,Final
Flipside,6ixers,14,15,"10/20/2022, 15:45",Pool B,Final
Grit,Nightlock,13,9,"10/20/2022, 15:45",Pool B,Final
pool,Pool C
Molly Brown,Seattle Riot,15,8,"10/20/2022, 09:00",Pool C,Final
Brute Squad,Ozone,15,7,"10/20/2022, 09:00",Pool C,Final
Molly Brown,Ozone,15,5,"10/20/2022, 13:30",Pool C,Final
Brute Squad,Seattle Riot,15,4,"10/20/2022, 13:30",Pool C,Final
Molly Brown,Brute Squad,15,14,"10/20/2022, 15:45",Pool C,Final
Seattle Riot,Ozone,15,14,"10/20/2022, 15:45",Pool C,Final
pool,Pool D
Phoenix,Schwa,15,9,"10/20/2022, 09:00",Pool D,Final
Scandal,Pop,15,8,"10/20/2022, 09:00",Pool D,Final
Phoenix,Pop,15,7,"10/20/2022, 11:15",Pool D,Final
Scandal,Schwa,14,12,"10/20/2022, 11:15",Pool D,Final
Phoenix,Scandal,15,13,"10/20/2022, 15:45",Pool D,Final
Schwa,Pop,13,12,"10/20/2022, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,First Place Bracket
Fury,Molly Brown,13,15,"10/23/2022, 10:00",Finals,Final
Fury,Brute Squad,14,13,"10/22/2022, 12:00",Semifinals,Final
Molly Brown,6ixers,15,13,"10/22/2022, 10:00",Semifinals,Final
Fury,Flipside,15,9,"10/21/2022, 11:45",Quarterfinals,Final
Brute Squad,Phoenix,13,11,"10/21/2022, 11:45",Quarterfinals,Final
Molly Brown,Scandal,15,11,"10/21/2022, 14:00",Quarterfinals,Final
Schwa,6ixers,9,15,"10/21/2022, 14:00",Quarterfinals,Final
Flipside,Seattle Riot,15,9,"10/21/2022, 09:00",Pre-Quarterfinals,Final
Brute Squad,Grit,15,3,"10/21/2022, 09:00",Pre-Quarterfinals,Final
Scandal,Nemesis,15,10,"10/21/2022, 09:00",Pre-Quarterfinals,Final
Traffic,Schwa,9,15,"10/21/2022, 09:00",Pre-Quarterfinals,Final
b,r,e,a,k
brackets,Consolation Brackets (2023 Pro Flight)
bracket,5th Place Bracket
Flipside,Phoenix,12,13,"10/22/2022, 09:00",5th Place,Final
Flipside,Schwa,15,9,"10/21/2022, 16:15",5th Place Semifinals,Final
Phoenix,Scandal,15,9,"10/21/2022, 16:15",5th Place Semifinals,Final
bracket,7th Place Bracket - Pro Flight Play-In (A)
Schwa,Traffic,7,15,"10/22/2022, 10:00",Pro Flight Play-In / 7th Place (tie),Final
Traffic,Nightlock,15,10,"10/21/2022, 16:15",Pro Flight Play-In Semifinals,Final
Traffic,Pop,15,9,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals,Final
Nemesis,Nightlock,8,9,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals,Final
bracket,7th Place Bracket - Pro Flight Play-In (B)
Seattle Riot,Scandal,6,15,"10/22/2022, 10:00",Pro Flight Play-In / 7th Place (tie),Final
Parcha,Seattle Riot,12,14,"10/21/2022, 16:15",Pro Flight Play-In Semifinals,Final
Grit,Parcha,11,14,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals,Final
Seattle Riot,Ozone,15,5,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals,Final
b,r,e,a,k
brackets,Elite Flight Brackets
bracket,11th Place
Nightlock,Parcha,11,14,"10/22/2022, 09:00",11th Place,Final
bracket,13th Place
Nemesis,Grit,11,12,"10/22/2022, 09:00",13th Place,Final
Pop,Nemesis,10,15,"10/21/2022, 14:00",13th Place Semifinal,Final
Grit,Ozone,14,11,"10/21/2022, 14:00",13th Place Semifinal,Final
bracket,15th Place
Pop,Ozone,10,11,"10/22/2022, 11:15",15th Place,Final
b,r,e,a,k
clusters,Crossover Reseeding Round (4th Place Pool Teams)
cluster,Crossover Round
Nightlock,Pop,15,11,"10/21/2022, 09:00",,Final
Parcha,Ozone,14,9,"10/21/2022, 09:00",,Final
b,r,e,a,k
