2022 Northwest Mixed Regional Championship,Club - Mixed ,24,9,2022
Lacey,WA,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-Northwest-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
BFG,1
teamInfo,,"Seattle, Washington",,,https://twitter.com/SeattleBFG
 ,David Zhou
 ,Jennifer Ricaurte
 ,Kimberly Schlesinger
 ,Mario O'Brien
 ,Reid Koss
0,Martin Le
0,Emily  Cai
0,Jack Verzuh
0,Jason Yun
0,Corbin Atack
11,Austin Barden
12,Kaitlynne Roling
14,Mohammud Tilmo
15,Eliana Moskovitz
17,Thomas Li
18,Conor Belfield
20,Alexa Kirkland
23,Linnea Soo
24,Cheryl Hsu
25,Tommy Lin
28,Leah Bar-On Simmons
30,Sarah Benditt
32,Alissa Soo
62,Karen Hill
66,Sam Pickel
88,Linh Hoang
b,r,e,a,k
Bullet Train,8
teamInfo,,"Seattle, Washington",http://bullettrainultimate.com,,https://twitter.com/BulletTrainUlti
 ,Allen Rishel
 ,Andrew Page
 ,Devon Chapman
 ,Krysia Davis
 ,Nicholas Mahan
 ,Zac Nix
0,Louie Bertoncin
11,Zachery Laycock
12,Janelle Heinig
13,Jessica Haga
14,Brian Wandrei
15,Jake Dunoyer
17,Melinda Ding
21,Ryan Shin
23,Lauren Meyer
27,Rachel Beaton
28,Jennifer Ng
32,John Mattes
33,Manish Tulzapur
36,Daniel Boynton
42,Chauncey Holland
44,Ximenna Hofsetz
45,Maryjo Sampang
47,Minah Choi
72,Hannah DeVault
97,Vincent Chase
b,r,e,a,k
Nebula,14
teamInfo,,"Portland, Oregon",,,
0,Ryan Schluter
01,Jennifer Knister
03,Natalie Georgitsa
04,Michael Hayes
06,Kevin Mahr
07,Daniel Pham
10,Simon Bilsky-Rollins
11,Becca Reighard
12,Emmilea Short
14,ANNIE PADEN
15,Morgan Wilbur
16,Nicholas Domenichini
17,Nicholas Redmond
19,Michiko Magnant
21,Elise Hollowell
22,Caitlin Hegg
28,Lilly Zeitlin
32,Ysabella Zaloudek-Luba
37,Zack Kagan
42,Thomas Oliver
69,Leah Kenney
71,Christopher Penuelas
73,Grayson  Anderson
83,Emmett Williamson
89,Raina Kamrat
98,Martis Artis
b,r,e,a,k
Pegasus,11
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
 ,Knox Borges
0,Kyra Wortley
0,Landon Hill
