Southeast College Mixed 4s Regionals,College - Mixed ,6,11,2022
https://play.usaultimate.org/events/Southeast-College-Mixed-4s-Regionals/schedule/mixed/College-Mixed/
Florida,5
 ,Emily Mueller
 ,Faith Gonzalez
 ,Munir Ben Jemaa
0,Emily Bateh
0,Anjolie Berninger
18,Cooper Whisnant
25,William Reed
44,Robert Privette
88,Luke Alexander
b,r,e,a,k
Florida State University,2
0,Andres Duque Valencia
0,Ashlyn O'Connor
0,Catherine  Fidd
0,Chris Que
0,Hannah Grimes
0,Lauren Kirschner
0,Liam McConnell
0,Lily Gullett
0,Oscar Patterson
0,Scott Sakow
b,r,e,a,k
University of Florida,1
0,Anna Hanson
0,Ava DuBose
0,Jia Johnson
0,Justin Ma
0,Omie Coyne
0,Devon Keyt
0,Sydney Kerr
0,Vishnu Pragash
11,Ari Siegel
12,Ricardo DeLeon
13,Davis Orr
54,Jack Clydesdale
b,r,e,a,k
University of Central Florida,4
 ,Cameron Genest
 ,Chloe Dubreuil
 ,Quest Brashear
 ,Ryan Rodriguez
 ,Leanette Negron
0,Ethan Phillips
0,Joseph Filipek
10,Lindsey Evans
28,Trevyr Massey
31,Yasmine Pabst
33,Courtney Anders
55,Bradley  Paul
b,r,e,a,k
University of Florida (Freshman),3
 ,Andrew Wright
 ,Jeffrey Burdette
 ,Natalie Laywell
0,Roxane Van Horn
0,Thomas Chase
0,Jose Bolanos
0,Benjamin Crosbie
0,Adriana Kanarek
0,Anatolia Legaspi
00,Alex Richardson
b,r,e,a,k
s,t,a,g,e,s
pools,Mixed 4s
pool,Round Robin
University of Florida,Florida,1,2,"11/06/2022, 09:45",Round Robin
University of Florida (Freshman),University of Central Florida,1,2,"11/06/2022, 09:45",Round Robin
University of Florida,University of Florida (Freshman),3,0,"11/06/2022, 10:55",Round Robin
Florida State University,University of Central Florida,3,0,"11/06/2022, 10:55",Round Robin
University of Central Florida,Florida,0,3,"11/06/2022, 12:05",Round Robin
Florida State University,University of Florida (Freshman),3,0,"11/06/2022, 12:05",Round Robin
University of Florida,University of Central Florida,2,1,"11/06/2022, 13:15",Round Robin
Florida State University,Florida,1,2,"11/06/2022, 13:15",Round Robin
University of Florida,Florida State University,0,3,"11/06/2022, 14:25",Round Robin
University of Florida (Freshman),Florida,0,3,"11/06/2022, 14:25",Round Robin
b,r,e,a,k
