1st Annual M'kay Chili Con Carnival,Club - Mixed ,27,8,2022
Powder Springs,GA,2022-08-27,2022-08-27
https://play.usaultimate.org/events/1st-Annual-Mkay-Chili-Con-Carnival/schedule/Mixed/Club-Mixed
Crown Peach,3
0,Alexis Poole
0,Austin Poole
0,Brooke  Hartman 
0,Carly Matthews
0,Collin Cassidy
0,Corinne Empleo
0,Emma Scazzero
0,Gabrielle Hartman
0,Jasmine Tumlin
0,Jeffrey Oravic
0,Jerome Jackson
0,John Langstaff
0,Jon Ross Ingley
0,Kyle Johnson
0,Micah Roberts
0,Nicholas Huffman
0,Stephen Cook
0,Summer Sanders
0,Thomas Watts
0,Travis Crawford
0,Tyler Butterfield
b,r,e,a,k
m'kay Ultimate,2
 ,April Ratliff
 ,David Anderson
 ,Gracie White
 ,Kevin Harrow
 ,Sarah  Kingsley
0,Nathan Piechal
0,Barbie Wright
02,Christo Ferguson
03,Dana Bidot
11,Bowen Xu
12,Sarah Burzynski
13,Lindsay Turner
14,Jacob Zirbel
15,Rachel Thurston
16,Leah Gilbert-Odem
17,Lindsay Eckhaus
18,Zachary Hollis
21,Hunter Sanders
22,Meghan Murphy
26,Ushma Patel
28,Kallie Monroe
37,Jonathan Clark
47,John (Jack) Curran
55,Lillian Ponitz
96,Logan Bonds
99,Gabriel Bidot
b,r,e,a,k
Magic City Mayhem,1
0,Abigail Sunday
0,April Joy
0,Benaiah Gorman
0,Christopher McBride
0,Cross Jenkins
0,Hannah Mills
0,Hayley Djuric
0,Immanuel drew
0,Joshua Bowers
0,Kelvin Williams
0,Landon Sagle
0,Lia Puzzo
0,Logan Matthews
0,Maggie Herd
0,Mary Hulcher
0,Max Goldsmith
0,Nace Allen
0,Paula Matthews
0,Thomas Hennen
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin Round 1
pool,Pool A
m'kay Ultimate,Crown Peach,6,11,"08/27/2022, 08:30",Pool A,Final
Magic City Mayhem,Crown Peach,8,10,"08/27/2022, 09:45",Pool A,Final
Magic City Mayhem,m'kay Ultimate,8,9,"08/27/2022, 11:00",Pool A,Final
b,r,e,a,k
pools,Round Robin Round 2
pool,Pool B
m'kay Ultimate,Crown Peach,4,11,"08/27/2022, 12:15",Pool B,Final
Magic City Mayhem,Crown Peach,7,9,"08/27/2022, 13:30",Pool B,Final
Magic City Mayhem,m'kay Ultimate,10,9,"08/27/2022, 14:45",Pool B,Final
b,r,e,a,k
