Cooler Classic 33,Club - Men ,20,8,2022
Hartland,WI,2022-08-20,2022-08-21
https://play.usaultimate.org/events/Cooler-Classic-33/schedule/Men/Club-Men/
Kansas City Smokestack,1
76,Logan Heck
77,Will Oltjen 
81,Graham Galts
88,Julian Saunt
99,Alex Warrington
b,r,e,a,k
Haymaker,7
0,Andrew Fischer
0,Benjamin Putano
0,Brian Murphy
0,Christopher Asta
0,Damen Erf
0,Elliot Shin
0,Filip Wilk
0,Frank Ontaneda
0,Grant Harris
0,Hunter Latson
0,Ian Falck
0,Isaac Degenhart
0,James Karl
0,Joseph Sifakis
0,Justin Bossenbroek
0,Kyle Bayes
0,Matt Gubernick
0,Nickolas Pappas
0,Patrick Kelly
0,Patrick Driscoll
0,Robert Dreier
0,Ryan Morris
0,Simon Perez
0,Stewart Zondlak
0,Thomas Alford
0,Torsten Johnson
b,r,e,a,k
Nomads,10
 ,Daniel Stork
0,Grant Dunbar
0,Ira (Field) Mitchell VI
0,Jacob Whempner
0,Kyle Orians
0,Kyle Murphy
0,Matthew Georgesen
0,Michael Schwaderer
0,Owen Schweitzer
0,Reese Johnson
0,Samuel Whempner
0,Seth Harris
0,Thomas Simon
0,Tye Klinnert
0,Aaron Bauer
0,Anthony Lesnar
0,Austin Heckel
0,Blake Hagberg
0,Brayden Johnson
0,Carter Hodkinson
0,Connor Hodkinson
b,r,e,a,k
Loaded Panda,15
 ,Lincoln LaSourd
0,Lucas Block
0,Carson Boyer
0,Thomas Manternach
06,Mason Burken
10,Jeremy Marchesani
11,Daniel Tarasi
14,Sam Arkenberg
15,Matthew Baird
16,Colin Stroehle-Durrah
20,John Cannon
21,Casey Shanaberger
22,Duncan Wierzchowski
23,Bobby Reding
25,Matthew Langel
26,Eric Flyr
30,Aaron Burger
34,Tyler Owen
35,Caleb Lundeen
66,Ethan Schultzen
72,Clayton Phillips
b,r,e,a,k
THE BODY,18
0,Brendon Sackey
0,Caleb Kugel
0,Charlie Kiolbasa
0,Ethan Ode
0,Jack Daenzer
0,Jacob Ode
0,Joe Larson
0,John Lei
0,Jonathan Ruggiero
0,Jonathan Edwards
0,Joseph Sheehan
0,Joshua Kuhn
0,Joshua Pratt
0,Kabor Namarra
0,Kian Dilweg
0,Max Kisting
0,Mercer Dilweg
0,Mitchell Allen
0,Neil DeVries Smith
0,Noah Tews
0,Patrick Eikens
0,Paul Brauchle
0,Rahul Polavarapu
0,Varun Sarathy
0,Willis Ehrler
24,Kyle Smith
b,r,e,a,k
Mallard II,8
 ,Austin Gin
