2022 USA Ultimate Masters Championships,Great Grand Masters - Men ,15,7,2022
Aurora,CO,2022-07-15,2022-07-17
https://play.usaultimate.org/events/2022-USA-Ultimate-Masters-Championships/schedule/Men/great-grand-masters-men/
Surly GGM,1
31,Thomas Brewster
43,Nick DiNardo
47,Michael Kaylor
48,Patrick Barrow
50,Tom Dichiaro
52,David Arters
55,Dave Mancino
66,Michael Sieber
88,Tom Phillips
99,David Delorenzo
b,r,e,a,k
CHRONIC,4
01,Marc Landau
05,Kib Dacklin
10,Michael Labellarte
15,Sean Brown
20,Eric Koch
21,Mark Goffi
22,Sean Graff
23,Jeffrey Walters
25,John Cheney Egan
28,Mike Miller
31,Mike Balas
32,Kent Elliott
34,Peter Fattal
36,Jim Mshar
37,Tom Plamondon
42,Howard (Jim) de St. Germain
44,John Conour
49,Jay Howk
50,Will Corum
51,Scott Runkel
53,Herb Kaup
68,Tim Gallagher
72,Aaron Coleman
84,Patrick Prendergast
85,Graham Brisben
b,r,e,a,k
Johnny Cashed,5
00,Alexander (AC) Cross
00,Brendon Pardington
00,Brian Oliver
00,Carl Edwards
00,Charles Greaves
00,David Remucal
00,David (Buzz) Ellsworth
00,Frank Phillips
00,Heath Mackay
00,Jason Brask
00,Jason Wedekind
00,Jeremy Friedman
00,Karl Mimmack
00,Kevin Hamm
00,Kevin Broughton
00,Kip Weatherwax
00,Paul De Morgan
00,Paul Schiess
00,Phil Lohre
00,Thomas (Tom) Viskocil
00,Wesley Williams
00,William (Tad) Miller
11,Matthew Krei
15,Jim Nolte
b,r,e,a,k
Endless Sunset GGM,9
03,David Carta
05,Steven Oldenburg
06,James Trippe Cheek
08,Maxwell Conn
09,Joe Konst
11,Gus Estrano
12,David Wagner
13,Mark Lukens
15,Cory Livingston
20,James Brose
22,Trey Paulissen
28,Dennis Wenger
29,Paul Bonfanti
31,Adam Ruderman
32,Allan Peterson
38,James Froeschner
42,David Mallery
44,Brent Young
62,Nils Lassiter
66,Kao Wang
69,Tim Goldsmith
70,Dan McCauley 
72,William Ford
85,Ronald Hohauser
88,Tim Mills
90,Joseph Wu
99,Christopher Woods
b,r,e,a,k
New York State,16
00,Dave Wilkins
00,David Sieling
00,Edward Avery
00,Eliot Desilva
00,George Knight
00,Jeremy Singer
00,Kyung Cho
00,Laurence Anouna
00,Linwood Lewis
00,Mark Zuliani
00,Mark (Jeff) Bozeman
00,Sam Lee
00,Adam Zagoria
00,Brian Barney
00,Steve Rigatti
00,Tim Sultan
00,Woo Jin Ho
11,Daniel Klotz
33,Sanjeev Khanna
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Surly GGM,Shelf Life,15,6,"07/15/2022, 08:30",Pool A,Final
Silverhorn,TriAged,15,6,"07/15/2022, 08:30",Pool A,Final
Surly GGM,TriAged,15,6,"07/15/2022, 10:30",Pool A,Final
Silverhorn,Shelf Life,14,9,"07/15/2022, 10:30",Pool A,Final
Surly GGM,Silverhorn,14,10,"07/15/2022, 14:30",Pool A,Final
Shelf Life,TriAged,14,12,"07/15/2022, 14:30",Pool A,Final
pool,Pool B
Relics,Zombiemaker,15,2,"07/15/2022, 10:30",Pool B,Final
Kingdome,Burnt Ends GGM,12,6,"07/15/2022, 10:30",Pool B,Final
Relics,Burnt Ends GGM,15,2,"07/15/2022, 12:30",Pool B,Final
Kingdome,Zombiemaker,15,5,"07/15/2022, 12:30",Pool B,Final
Relics,Kingdome,14,7,"07/15/2022, 14:30",Pool B,Final
Zombiemaker,Burnt Ends GGM,9,8,"07/15/2022, 14:30",Pool B,Final
pool,Pool C
No Country 50,Thirst'N'Howl,12,4,"07/15/2022, 08:30",Pool C,Final
HURT,AGE Against the Machine GGM,14,9,"07/15/2022, 08:30",Pool C,Final
No Country 50,AGE Against the Machine GGM,15,4,"07/15/2022, 12:30",Pool C,Final
HURT,Thirst'N'Howl,15,4,"07/15/2022, 12:30",Pool C,Final
No Country 50,HURT,11,12,"07/15/2022, 14:30",Pool C,Final
Thirst'N'Howl,AGE Against the Machine GGM,13,9,"07/15/2022, 14:30",Pool C,Final
pool,Pool D
CHRONIC,Endless Sunset GGM,15,9,"07/15/2022, 08:30",Pool D,Final
Johnny Cashed,New York State,14,6,"07/15/2022, 08:30",Pool D,Final
CHRONIC,New York State,13,7,"07/15/2022, 10:30",Pool D,Final
Johnny Cashed,Endless Sunset GGM,9,5,"07/15/2022, 10:30",Pool D,Final
CHRONIC,Johnny Cashed,12,6,"07/15/2022, 14:30",Pool D,Final
Endless Sunset GGM,New York State,11,10,"07/15/2022, 14:30",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Surly GGM,Relics,11,9,"07/17/2022, 11:00",Finals,Final
Surly GGM,CHRONIC,11,7,"07/16/2022, 14:30",Semis,Final
HURT,Relics,2,15,"07/16/2022, 14:30",Semis,Final
Surly GGM,Kingdome,14,8,"07/16/2022, 10:30",Quarters,Final
CHRONIC,No Country 50,8,6,"07/16/2022, 10:30",Quarters,Final
HURT,Johnny Cashed,9,8,"07/16/2022, 10:30",Quarters,Final
Relics,Silverhorn,13,2,"07/16/2022, 10:30",Quarters,Final
Kingdome,Thirst'N'Howl,11,6,"07/16/2022, 08:30",Pre-Quarters,Final
No Country 50,Zombiemaker,13,4,"07/16/2022, 08:30",Pre-Quarters,Final
Shelf Life,Johnny Cashed,7,14,"07/16/2022, 08:30",Pre-Quarters,Final
Endless Sunset GGM,Silverhorn,9,13,"07/16/2022, 08:30",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement
bracket,5th Place
No Country 50,Silverhorn,15,7,"07/17/2022, 09:00",5th Place,Final
Kingdome,No Country 50,9,12,"07/16/2022, 12:30",Semis,Final
Johnny Cashed,Silverhorn,6,14,"07/16/2022, 12:30",Semis,Final
b,r,e,a,k
brackets,Placement
bracket,9th Place
New York State,Shelf Life,11,9,"07/17/2022, 09:00",9th Place,Final
TriAged,New York State,7,15,"07/16/2022, 14:30",Semis,Final
Shelf Life,Endless Sunset GGM,12,11,"07/16/2022, 14:30",Semis,Final
Thirst'N'Howl,TriAged,10,13,"07/16/2022, 12:30",Quarters,Final
Zombiemaker,New York State,10,11,"07/16/2022, 12:30",Quarters,Final
Shelf Life,AGE Against the Machine GGM,13,11,"07/16/2022, 12:30",Quarters,Final
Endless Sunset GGM,Burnt Ends GGM,15,6,"07/16/2022, 12:30",Quarters,Final
b,r,e,a,k
brackets,Placement
bracket,13th Place
Thirst'N'Howl,AGE Against the Machine GGM,10,13,"07/17/2022, 09:00",13th Place,Final
Thirst'N'Howl,Zombiemaker,11,9,"07/16/2022, 14:30",Semis,Final
AGE Against the Machine GGM,Burnt Ends GGM,14,9,"07/16/2022, 14:30",Semis,Final
b,r,e,a,k
brackets,Placement
bracket,3rd Place
CHRONIC,HURT,9,12,"07/17/2022, 09:00",3rd Place,Final
b,r,e,a,k
brackets,Placement
bracket,7th Place
Kingdome,Johnny Cashed,8,11,"07/17/2022, 09:00",7th Place,Final
b,r,e,a,k
brackets,Placement
bracket,11th Place
TriAged,Endless Sunset GGM,12,14,"07/17/2022, 09:00",11th Place,Final
b,r,e,a,k
brackets,Placement
bracket,15th Place
Zombiemaker,Burnt Ends GGM,12,8,"07/17/2022, 09:00",15th Place,Final
b,r,e,a,k
