2022 U.S. Open Club Championships,Youth Club U-20 - Boys ,6,8,2022
Blaine,MN,2022-08-05,2022-08-08
https://play.usaultimate.org/events/2022-US-Open-Club-Championships/schedule/Boys/youth-club-u-20-boys/
smOAK,12
06,James Bell
07,Max Hemeon
08,Boden Retherford
09,Brody Ackor
11,Stewart Kelley
12,Nathan Kallin
13,Gaelan Lucey
14,Jackson Leding
17,John Whited
21,Boden Iris
22,Brody Glidden 
24,Tucker Livingston
25,Benjamin Wall
27,Teddy Hanley
28,Max Massey
32,Heiki Kuhrt
42,Wyatt Stoughton
44,Bodhi Beber
52,Charlie Garvin
88,Eben DeSilva
b,r,e,a,k
BUDA U20B,3
0,Andreas Padilla
02,Ethan Wang
03,Nico Gabby
06,Adrian Lin
08,Eitan Rosenheim
09,Geir Hartl
10,Tyler Feeney
11,Taylor Hanson
12,David Pinto
13,Ian Goentzel
16,Eric Impink
18,Galen Harwood
20,Grey Tiemann
23,Kristof Rohaly-Medved
26,Calvin Wicks
27,Calan Kirkpatrick
28,Gavin Rice
36,Charlie Huang
88,Griffin Gee
91,Joseph Michaud
b,r,e,a,k
Seven Hills U20 Open,6
0,Benjamin Lewis
03,Fin Fuhrmann
06,Nolan Muongchan
09,Robin Anand
10,Alan Huang
12,Markus Olson
13,Camilo Tamayo-Rousseau
15,Graham Peck
16,Ethan  Lapin 
18,Ciaran Pratley
20,Orlando Impas
21,Mason Stone
26,James Flaggert
33,Zachary Sanders
39,Eli D'Amico
42,Phoenix  Laliberte
90,Johan Leuschke
b,r,e,a,k
DEVYL U-20 Boys,10
00,Thomas DeMarkey
01,Jack Griffith
02,Ethan Stack
03,Griffin van Rhyn
06,Kye Haniph
07,Ren Kondo
08,Ethan Lieman
09,Leo Schwartz
10,Tej Murthy
11,Benjamin Keigwin
12,Nicholas  Alexander 
13,Elliot Albright
15,Charlie Giannone
17,Nicholas Deis
18,Eric Harnisher
19,Christopher  Cho
22,Andy Shi
23,Brendan Percival
27,Leo Cogan-Drew
29,Tommy Tardibuono
36,Jakob Ayala
37,Patrick Zong
43,Benjamin Spergel
91,Ethan Sarles
99,Julius Clyburn
b,r,e,a,k
Minnesota Superior U20B,9
0,Collin Jones
06,Bjorn Snyder
07,Jasper Priest
08,Charlie Hoch
09,Riley Vang
10,Wallace Jirele
11,Max Meyer
14,Ellis Newhouse
18,Carter Halstrom
22,Erik Arnold
24,Jack Nagler
25,Jalen Bolton-Steiner
27,Jonah Engelmann
29,Charlie Teply
42,Emmanuel Pratt
65,Chris Yan
69,Zach Olsen
81,Matteo Meyer
84,Akos Konkoly
b,r,e,a,k
Triforce,4
0,Henry Kennedy
03,Watkins Parker
04,Alex Fiordalisi
05,Samuel Redinbo
06,Seth Fried
08,Christopher LoFrese
09,Henry Everett
10,Matthew Lu
11,Reed Burkert
13,Kahleel Forte
16,Min Lim
23,Peter Xu
24,Kalen Morrison
29,Wade Buchheit
34,Ethan Burgess
37,Vincent Zhang
41,Neal Zeng
42,Max Kuhlman
43,Fletcher Hayden
81,William Basden
88,Daniel Zhang
95,Noah Bush
b,r,e,a,k
Red Dawn,5
0,Noa Grossi
01,Elliott Schwarz
03,Finnegan Barr
04,Dylan Terris
05,Ridge Huang
07,Otto Koops-Elson
08,Alex Yan
09,Ben Brochard
12,Martin  Doherty
13,Karek Walker
20,Alex Rossmeissl
24,Lucas Steele
26,Eric Denio
33,Emerson Schwarz
41,Dakarai  Palen
42,Emile Starkweather
81,Drew Vetteth
92,Seamus Shogren
b,r,e,a,k
Colorado Cutthroat: Youth Club U-20 Boys,13
00,Mateo Holguin
01,Zeke Thoreson
02,Blake Musfeldt
03,Ethan Quach
05,Eliot Lundt
06,Lincoln Boyd
07,Ahanu Reiva
08,Davis Cutforth
10,Randy Lahm
11,Noah Alleman
12,Logan Sadler
16,Logan Krehbiel
21,Zackary Bacon
22,Nicholas Kleinhelter
24,Jonah Hammes
25,Hayden King
29,Felix Feiger
32,Toby Krehbiel
34,Addison Muller
37,Logan Hammersmith
41,Spencer Rebman
57,Owen Pearson
b,r,e,a,k
Connecticut Harpoon,21
 ,Killian Gray
0,Brayden Begian
02,Philip Warren
07,Adam Bader
09,James Beckman
10,Patrick Dolan
12,Alexander Manos
13,Harrison Silverman
19,Simon Cordes
20,Will Barnouw
29,Aiden  Hutchinson
31,Ian Marshall
45,Jake Telford
88,Evan Rees
b,r,e,a,k
Madison MUFAbots U20B,20
00,Juan Gatica 
02,Thomas Strickland
04,Owen Chester
05,Andrew Brochtrup
06,Nicholas Tangwall
07,Nicholas Gueldner
09,Jaden White
11,Calvin Ismail
11,Daniel Quintanilla 
12,Aidan Helmberger
18,Neil Roy
22,Lewis Garthwaite
23,Ashton Briquelet 
25,Kyle West
27,Simon  Kellum 
41,Thomas Binder
42,Tyler Grim
45,Adam  Jasensky 
52,Chase Mecham
55,Jack Larson
57,Avery Wells
77,Clay Kaufman
99,Riley Johnson
b,r,e,a,k
Philadelphia SEPDA (Boys),22
00,Michael Sun
02,Sam Grossberg
03,Jose Dasilva
04,Gavin Abrahamsson
06,Doug Hoyer
09,Colin Clapper
11,Ethan Pigeon
12,Declan Murphy
13,Diego Asencio
14,Morey Averill
19,Ryan Lynch
20,Nicholas Railey
22,Nicholas Ford
23,Phillip Dias
24,Marley Kervick
28,Benjamin Robinson
33,Nathaniel Hodges
41,Aidan Magee
42,Brenden Gasper
52,Max Chen
b,r,e,a,k
Texas United,19
01,Isaac Fuzat
03,Mark Henke
08,Dean Wysocki
09,Eliot Lajaunie
10,Owen Smith
11,Augustus Serff-Roberts
14,Soh Nishiyama
15,Robert Masterson
15,Austin Leigh
18,John Savage
19,Steven Nguyen
20,Andy Wang
21,Santiago De La Garza
22,Tony Cao
23,Luke Knight
24,Harrison Tucker
27,Victor Mikhailov
43,Vance Mader
44,Solomon Moon
64,Luke Jackson
69,Nick Robertson
87,William Basham
b,r,e,a,k
Red Hots - u20,14
01,Dylan Schearf
02,Riley Dobush
03,Nestor Espinosa
05,Benjamin Miralaeff
07,Gabriel Schoepke
08,Ian Falck
09,Lucas DeMatteis
10,Owen Jewell
11,Nicholas Messerges
12,Nathaniel Astrom
13,Daniel Williams
16,Tylor Takahashi
19,Griffin Kelley
20,David Ciccarone
25,Kristofer Kammerdiener
26,Chris Young
27,Mario Ortiz
29,David Cordon
33,Malik Pintado-Vertner
34,Grant Loehrke
57,Sean Hickey
59,Fischer Dastrup
63,Spencer Weldon
b,r,e,a,k
Carolina Sky,27
02,Bo Chi
03,Cole Zemon
07,Tate Wilson
08,Benjamin Kinnaird
13,Sam Dummer
15,Aidan Piontak
16,Aarov Malhotra
17,Nate Scofield
18,Sebastian Boccieri
20,Husam Salem
23,Tanner Plentl
24,Evan McGinn
28,Graham Allen-Schindler
33,Gabriel Gehtland
43,Nathan Wang
47,Tate Staples
52,Aanand Yu
67,Lance Lawida
b,r,e,a,k
Charlotte Flight,15
00,Spencer Brotherton
01,Max Greenberg
03,Diego Collazo
05,Marcos Collazo
06,Utkarsh Varma
08,Ryan Manuel
09,Daniel Rabinovich
10,Gautam Das
14,Srikara Prithvi
16,Nicholas Lopez
17,Malcolm Duellman
19,Quinn Scott
21,Connor OReilly
23,Tejas Sivarajakumar
26,A.J. Schilling
31,Natalie Stricklin
32,Christian Belus
47,Ethan Rhodes
59,Sathvik Avulapati
88,Alex Reese
b,r,e,a,k
COSmic U-20 Boys,23
00,Justin Elliott
00,Timothy Elliott
01,Miguel Sotomayor
02,Aidan Mullet
03,KingDavid Rogers
04,Gabe Fletcher
05,Ethan Mullet
08,Theo Kim
10,Eliah Mullet
11,Joel Mortimer
13,Benen Shea
15,Seth Staton
17,Fisher Tenpas
23,Kian Jiang
24,Franz Reiser
32,Blaise Horsfall
42,Nathan Gallup
65,Isaac Kim
b,r,e,a,k
Moon Pigs,18
00,Matthew Kweon
01,Drew Steinhubl
02,Mason Karpel
03,Jesse Zawitkowski
04,Mitchell Oldham
07,Samuel Liu
08,Jonathan Zawitkowski
10,Jacob Geisen
11,Caleb Dorsch
