2022 Texas Men's Sectional Championship,Club - Men ,10,9,2022
Round Rock,TX,2022-09-10,2022-09-11
https://play.usaultimate.org/events/2022-Texas-Mens-Sectional-Championship/schedule/Men/Club-Men/
Doublewide,1
0,Kolbe Bauer
02,Kaplan Maurer
04,Evan Swiatek
06,Michael Matthis
07,Trevor Elam
09,Jason Hustad
10,Alec Wilson Holliday
11,Reese Bowman
12,Noah Chambers
14,Mark Evans
18,Elliott Moore
19,Kevin Richardson
20,Chase Cunningham
21,Vinay Valsaraj
24,Rory Orloff
27,Kyle Henke
28,Jackson Potts
33,Jacob Radack
34,Zachary Slayton
41,Oliver Fay
42,Patrick  Beckett 
43,Joseph Wylie
50,Matthew Armour
63,Henry Furuta
66,Eric Brodbeck
73,Gavin Babbitt
b,r,e,a,k
Alamode,8
 ,Enrique Trejo
 ,Eric Sun
 ,Gailan Hart
 ,Gavin Hart
 ,Erick Salcedo
 ,Jheremi Villarreal
 ,Skye Knight
0,Connor Ross
10,Andres Rivera
11,Nicholas Ortiz
13,George Tharakan
14,Zane  Fassett
21,Stuart Hanson
23,Franklin Davis
24,Jordan Salazar
27,Tat Whitley
28,Axel Anderson
33,Benjamin Hanson
44,David Haeussler
47,John Shelley
63,Ryan Hughey
66,Erick  Neilson
81,Jacob Rosen
82,Jeff Taylor
92,Benjamin Andrade
99,Darrell Davis
b,r,e,a,k
Harvey Cats,9
 ,Philip Nelson
0,Robert Benson
0,Shawn Silverman
0,Taylor Neigut
0,William Steindorf
0,Zachary Cotter
0,Christian Hagan
0,Dylan Zeringue
0,Mark Baldauf
0,Adam  Sellers
0,Alex Jang
0,Andrew Robbins
0,James Strasburg
0,Jared Schueler
0,Jason Miller
0,Jia Xie
0,Joshua Narabal
0,Louis Wersan
10,Bryce Lippitz
17,Grant Hardy
39,Marco Manalang
b,r,e,a,k
Cowtown Cannons,10
 ,Colton McDorman
 ,Daniel Smith
 ,Gaven Grief
 ,Isaac Fuller
 ,Long Nguyen
 ,Michael Samek
 ,Nathaniel Austin
 ,Nicolas Rodriguez
 ,Sou Sou Phomsavanh
0,Sam Johnson
0,William Brinkmeyer
0,Nicholas Williams 
0,Dennis Miller II
09,Steve Harring
10,Caleb Cannon
11,Aaron Dyreson
15,Frederick Christen
17,Darren Phillips
25,Ryan Welch
27,Daniel Richards
28,Caleb Mills
32,Justin Holt
42,Micah Rehfuss
83,Ryan Buckingham
b,r,e,a,k
H.I.P,2
 ,John Cecil
0,Jordan Taylor
0,Kevin Land
0,Kolby Janzen
0,Matthew Bierschenk
0,Mick Walter
0,Mitchell Bennett
0,Patrick Marco
0,Peter Clarke
0,Reid Bacon
0,Richard Bovio
0,Casey Lemay
0,Chris Brooks
0,Christopher Vandervoort
0,Cody Holloway
0,Daniel Winter
0,Ereckson Hillis
0,Jake Floyd
0,Jason Holleran
0,Alexander Heath
0,Austin Walker
0,Brandon Dial
0,Brendan Adams
0,Cameron Albin
0,Carlos Vargas
25,Carson Wilder
b,r,e,a,k
Foxtrot,7
 ,Alexander Liu
 ,Anthony Bauer
 ,Brandon Wilson
 ,BRIAN WALTER
 ,Bryan Heersema
 ,Christopher Griego
 ,Cole Staats
 ,Corey Galli
 ,Daniel McKenna
 ,Ethan Niedzwiedz
 ,Ethan Ege
 ,George Neely
 ,Gerry Martinez
 ,Graham Hazlewood
 ,Jack Combs
 ,Jason Friday
 ,Matt Goldberg
 ,Sean Markey
 ,Terrance Batson
 ,Thomas Hannie
 ,Tom Ferguson
 ,Tony Cao
 ,Joshua Sierman
0,Judah Ege
0,Johnny Chang
0,Jordan Richter
b,r,e,a,k
Clutch,3
 ,Francisco Gomez
 ,Jake Sperry
 ,James Kloss
 ,Ames Fegert
