2022 Northwest Plains Mixed Sectional Championship,Club - Mixed ,11,9,2022
Blaine,MN,2022-09-10,2022-09-11
https://play.usaultimate.org/events/2022-Northwest-Plains-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
0,Bret Bergmeier
02,Emma Peaslee
03,Bryan Vohnoutka
04,Tanner Barcus
05,Jordan Taylor
06,Rocco Essex-Linehan
07,Danielle Byers
10,Jane Koch
11,Rachel Johnson
12,Marty Adams
13,Nariah-Belle Sims
14,Jessica Hendrickson
18,Sam Berglund
20,Neal Hanke
21,Sarah Mondschein
25,Gerene Taylor
29,Josh Klane
31,Maggie Peck
33,Jaime Glader
44,Mimi Kniser
49,Caleb Denecour
53,Emma Piorier
55,Charlie Schuweiler
61,Brandon Matis
66,Jason Tschida
77,Julia Hill
b,r,e,a,k
NOISE,2
0,Laura Farolfi
00,Donna Johnston
02,Tyler Williams
03,Kelsen Alexander
05,Rose Glinka
07,Vanessa Cannaday
10,Tom Annen
12,Sydney French
14,Ellen Yu
16,Allison Chmaj
19,Emily Cohen
21,Avery Johnson
24,James Sykora
32,Daniel Garlock
33,Katy Stanton
34,Ben Parrell
42,Ashley Welsh
43,Kevin Cannaday
49,Robyn Fennig
51,Matthew Grinde
54,Dylan DeClerck
75,Nico Ranabhat
77,Jack Kelly
91,Sadie Reding
95,Glenn Poole
99,Caitlin Murphy
b,r,e,a,k
Northern Comfort,4
 ,Benjy Keren
 ,Drew Chapman
 ,Emily Zalinski
 ,Erika Watson
 ,Grace Zucchero
 ,Greg Maddox
 ,Gretchen Zirgaitis
 ,Jacob Scobey-Polacheck
 ,Jake Leutenegger
 ,Jeffery  Schubert
 ,Joseph Blankenheim
 ,Kaleigh Wurster
 ,Heather Posl
 ,Rozelynn Becker
 ,Sarah Johnson
 ,Todd Miller
 ,Wyatt Meyer
 ,Raleke Hughes
0,Rebecca Rings
0,Alex Ballinger
0,Jacob Wham
0,Matthew Goetsch
12,Mackenzie Carpenter
22,Max Carpenter
44,Hannah Frank
88,Peter Guerin
b,r,e,a,k
Pushovers,6
00,Donovan ODowd
00,Erick Knudson
00,Erin Marshall
00,Ethan Smith
00,Emma Gautier
01,Derek Anderson
02,Tyler Wolf Williams
03,Carly Rasmussen
04,Arthur Harris
07,Eric Volkmeier
07,Michael Scharlau
09,Abigail Skerker
09,Kendra Anderson
10,Kyra Anderson
12,Joseph Ling
15,Harper Brooks-Kahn
18,Eleanor Vandel
