2022 U.S. Open Club Championships,Youth Club U-20 - Mixed ,5,8,2022
Blaine,MN,2022-08-05,2022-08-08
https://play.usaultimate.org/events/2022-US-Open-Club-Championships/schedule/Mixed/youth-club-u-20-mixed/
Pi+,1
teamInfo,,"KALAMAZOO, Michigan",modules/common/www.kzooultimate.com,https://www.facebook.com/kalamazoo.united.youth.ultimate,
coaches,Mya Hernandez,Matthew Frayer,Trevor Polisuk-Balfour
02,Haniya Frayer
03,Connor Walsh
07,Nina Holm
09,Norah  DeYoung
12,Skyler Gorham
13,Anniken Holm
16,Lily Frayer
18,Elliot Davis
19,Mara Vander Beek
21,Lucy Heystek
22,Julia Danci
23,Owen Quayle
24,Charlie Rosenfeld
27,Jack Bembenek
42,Clara Moss
57,Soren Newman-Taylor
64,Tomokai Timmer
69,Quinn Gillespie
74,Nicholas Potts
88,Tara Dean
b,r,e,a,k
Seven Hills U20 Mixed,2
teamInfo,,"Seattle, Washington",,,
coaches,Dominic Cavalero,Arianne Lozano,Sam Terry
0,Yi (Jenna) Li
02,Kimberly Phung
03,Naldo robancho
05,Ciona Antolin
06,Masao Lorenz
07,Kelly Tam
08,Milo Friedman
09,Micah Glickman-Flora
10,Rohin Gast
12,Lucy Tanner
13,Faye Burdick
16,Cedar Hines
17,Kate Gearing
18,Amelia Kopf
21,Gideon Knox
24,Leonardo Kruse
27,Lilliana Werner
34,Alexa Jeantette-Coca
44,Delano Muongchan
47,Anna Le
48,Vince Nguyen
50,Gavin Leahy
67,Ryan Connolly
99,Julian Walston
b,r,e,a,k
Philadelphia Forge (Mixed),10
teamInfo,Mixed,"Philadelphia, Pennsylvania",,,
coaches,Chris Lehmann,Kevin Stewart-Mercurio,Casey Tsou
03,Evangeline  Gove
07,Elizabeth Esan
10,Leo Gao
11,Angelina Li
12,Sofia Solis
13,David Friedman
15,Owen Lin
16,Nandita Ganesh
18,Winnie Zeng
20,Jakob Lehmann
22,Darryl Johnson
23,Michael Lowry
24,Lisel Ndrecka
27,Miguel Romero-Stevenson
40,Ethan Wolf
51,Thomas Mazur
72,Parker Bruhns
99,Andy Zeng
b,r,e,a,k
Madison MUFAbots U20X,7
teamInfo,,"Madison, Wisconsin",,,https://twitter.com/mufabots
coaches,Molly Berkholtz,Glenn Poole,Nathan Kleinhans
0,Micah Goff
03,Graeme Alexander
05,Calvin Walters-Medaris
06,Althea Lasseter
08,Elfin Wiriyan
09,Aidan Euclide
10,Elijah Rickenbach
11,Ian Jefcoat
12,Hannah Lister
13,Preet Talwar
14,Benjamin Brauer
15,Abigail O'Callaghan
19,Julia Mockert
22,Aaron Stettner
25,Maxine Volkman
26,Genevieve  Dockry 
33,Mara Glinberg
37,Donte  Buckingham 
38,Noah Petersen
41,Jonathan Schlaefer
41,Avery Smith
44,Benjy Haber-Fawcett
47,Alli Smith
55,Joshua Wang
82,Charlotte Olson
b,r,e,a,k
Virginia Vanguard,14
teamInfo,,"Falls church, Virginia",,,
