Southwest D-I College Men's Regionals,College - Men ,8,5,2022
Davis,CA,2022-05-07,2022-05-08
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2022/schedule/Men/CollegeMen/
Cal Poly-SLO,1
Cal State-Long Beach,13
 ,Brandon Van Deusen
 ,Krysean Baluga
0,Christian Kellams
0,Kenai Jennings
0,Alan Vu
0,Angus Fuori
0,Anthony Paulo
0,Rushil Prajapati
0,William Wyman
0,Zachary Lewis
14,Angel Sanchez
24,Mateo Dominguez
96,Anthony Hoang
b,r,e,a,k
"California State University, Chico",14
0,Jonny Nguyen
02,Dylan Allen
03,Jeffrey Goulet
05,Saul Mooradian
07,Gavin Lawrence
08,Jaxon Tuggle
09,Wade Osborn
11,Gabriel James
13,Mark Blackburn
14,Andrew Macias
17,Mitchell Kowalewski
19,Brady Brandt
21,Benjamin Laplante
22,John Anthony
23,Alvaro Robles
24,Devin Mitchell
30,Jack Frantz
30,Sergio Romo
62,Christian Reinig
69,Christian Casarez
83,Gavin Tyler Tilles
85,Benjamin Santiago-Kemp
88,Owen Onatanian
99,Andy Brewer
b,r,e,a,k
California-San Diego,6
0,Caleb Robinson
0,Charlie Wilson-Jackson
0,Cireus Eghtessadi-Reed
0,Diego Barragan
0,Jordan Bacharach
0,Joshua Creasman
0,Jumpei Yoshida
0,Matthew Deckerman
0,Max Gibson
0,Nate Becker
0,Nilesh Mukundan
0,Samuel Altshuler
0,Soren Boddy
0,Trey Scheid
0,Tyler May
0,Tynan Sander
40,Adam Tran
42,Yin Lam Lai
43,Andrew Ma
53,Daniel Pryke
76,Andrew Shen
80,Jacob Rodriguez
b,r,e,a,k
California-Davis,10
0,Abrahan Cortes
0,Adam Vera
0,Aidan McKelvey
0,Alec Olslund
0,Alejandro Pagan
0,Anders Eckburg
0,Benjamin Narwold
0,Everett Quock
0,Harrison Oseguera
0,Henry Humphrey
0,Ian Morritse
0,Jake  Moeller
0,Keenan McKelvey
0,Leo Rapoport
0,Liam Ginsberg
0,Owen Welch
0,Peter Reifenstein
0,Scott Ballinger
0,Siming Wu
0,Wyatt Dew
0,Wyatt Todd
17,Luke Adel
b,r,e,a,k
Arizona State,15
 ,Braden Distel
 ,Jacob Mumme
 ,Julien Hartmann
0,Khoji Ybarra
0,Jeremy Harris
0,Joshua Saad
0,Maxwell Bregman
0,Noah Taetle
0,Brendan Keith
0,Adam Wiechman
0,Andrew MacIsaac
0,Austin Beaver
0,Austin  Cottarel
