2022 East New England Mixed Sectional Championship,Club - Mixed ,10,9,2022
Devens,MA,2022-09-10,2022-09-11
https://play.usaultimate.org/events/2022-East-New-England-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
Slow,1
0,Alexi Zalk
0,Amanda Lobel
0,Amber Sinicrope
0,Chloe Rowse
0,Davis Whitehead
0,Dory Ziperstein
0,Dylan Frank
0,Elliott Rosenberg
0,Gigi Downey
0,Hunter Lang
0,Jacob Taylor
0,Jenny Wang
0,Jon Cox
0,Jon Hirschberger
0,Kelsey Devlin
0,Langston Lee
0,Peter Prial
0,Rita Feder
0,Ryan Woodhouse
0,Zach Wolfe
10,Ryan Turner
19,Olivia Hampton
52,Alexander Trahey
55,Ryan Cardinal
56,Amy Stoddard
66,Emilia Scheemaker
b,r,e,a,k
Obscure,10
 ,Audrey Love
 ,Frank Qin
 ,Jacqueline Willwerth
 ,Jesse Schwartz
 ,Luke Diorio
 ,Michael Ising
 ,Sarah Jeung
 ,Tessa Bertozzi
 ,Thomas White
00,Zach Darbeloff
00,Shi-Min Chin
00,Steven Stanish
00,Nick DiOrio
00,Ryan Tucker
00,Ryan Levins
00,Sarah Cook
00,Luke Arnone
00,Aidan McLeod
00,Alex (Wei Yuh) Chang
00,Anna Shanedling
00,Katherine England
00,Kim Mahan
00,Kristie Kelly
00,Benjamin Duffy
00,Carl Frederik Brasz
00,Eli Inkelas
b,r,e,a,k
Sunken Circus,11
0,Tim Cardoso
00,Hudson Carr
01,Amy LeBel
02,Ian McClelland
03,Camron Currier
04,William Davis
06,John Geary
06,Katie Abrams
07,Griffin Conley
09,Jasper Beardslee
11,Lily Barter
12,Lauren Lindman
13,Ryan Thompson
14,Will Savage
17,Molly Hale
25,Lydia Guay
33,Daniel Butler
35,Gunnar Heckler
44,Stephanie Wood
48,Chuck Cantone
53,Claire Kirby
84,Francoise Delisle
88,Owen Jacobsen
89,Chad Mcdonnell
90,Hayley SooHoo
b,r,e,a,k
Once Upon Stall Nine,18
0,Afri Flynn
0,Angelica Mirandou
0,Cameron Lang
0,Courtney Cooke
0,Iman Hussain
0,Jeremy Maltz
0,Jim Biancolo
0,Joseph Ribaudo
