2022 Mid Atlantic Mixed Regional Championship,Club - Mixed ,24,9,2022
Frederica,DE,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-Mid-Atlantic-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
AMP,1
03,Rachel Alfano
04,Raha Mozaffari
05,Lindsay McKenna
06,Thomas Nye
09,Beata Artz
10,Spencer DeRoos
11,Leo Warren
12,Gabrielle  Krajniak
15,Layne Dodge
18,Sumi Onoe
21,Linda Morse
22,Liz Hart
23,Natalie Bova
24,Danielle Walsh
33,Calvin Trisolini
33,Jordan Rhyne
34,Olivia Steinberg
42,Adam Grossberg
44,Max Charles
53,Will Helenski
54,Henry Ing
55,Michael Campanella
70,Jake Butrica
81,Sean Mott
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
Ant Madness,8
02,Josh Weinstock
03,Brian Doherty
04,Nicholas Kwan
05,Mariska  Bogaard 
06,Rosy Lin
07,Aaron Langley
09,Meaghan McSorley
12,Joanna Greenberg
13,William Strang
14,Jordan Tippitt
15,Fia Hargil
17,Donovan Hambley
19,Bridgette Heine
20,Katrien Hinderdael
21,Harper James
22,Sean McCoy
24,Adam Shrager
27,Wallis Grant
29,Matthew Dennin
33,Henry Kapp
42,Madalyn  Sica
44,Samantha Clough
48,Calli Merron
53,Jackson Gode
55,Kylie Auble
91,Erin Doyle
b,r,e,a,k
Fireball,12
0,Aaron Swaney
0,Adam Hoehn
0,Aden Richards
0,Alan Kolick
0,Allison Hanson
0,Amy Wickner
0,Amy Bahr
0,Asako Yamamoto
0,Becka Alper
0,Calvin Oung
0,Carolyn Ng
0,Chris Muller
0,Christina Chang
0,Cody Johnston
0,Erik Salmi
0,Gabriel Webster
0,Jessie Durrett
0,Jonathan Ginsberg
0,Kevin Chiang
0,Linda Farley
0,Mark Kresowik
0,Melissa Iwaszko
0,Nicole Kresowik
0,Robert Luhrs
0,Sara Peczkowski
0,Wei Lu
b,r,e,a,k
PS,13
0,Aaron Mos
0,Alyson Brokaw
0,Catherine Spellman
0,Chris Hayen
0,Christopher Low
0,Christopher Horton
0,Emily Polefka
0,Emma Brinton
0,Evan Comisac
0,Jordan Chang
0,Karen Hranek
0,Kimberly Polefka
0,Luke Laubscher
0,maksim grinchenko
0,Man Nguyen
0,Matthew Mos
0,Matthew Foley
0,MATTHEW CONGDON
0,Mia Allen
0,Nick Wilgruber
0,Patrick Alto
0,Robin Maillard
0,Samuel DeVine
0,Seval Kanik
0,Steven Parker
0,Timothy East
b,r,e,a,k
Rally,2
 ,Margot Nissen
0,Brittany Taylor
02,Katina Russell
03,Franklin Ahrens
04,Ellen Mueller
05,Graham Turner
06,Thomas Piper
07,David Maniloff
11,Lucas Reichert
12,Eva Turner
13,Cody Smith
14,Lily Eisner
15,Emma Colavincenzo
18,Margaret Pendleton
19,Noah Newberger
21,Sarah Badawi
22,Scott Campbell
23,Sami Smalling
24,Anthony McLean
27,Rebecca Driver
30,Jake Kovalic
42,Ben Sadis
44,Will Yetvin
54,Genevieve Leo
55,Stephen Ng
80,Xavier Maxstadt
b,r,e,a,k
HVAC,11
 ,Travis Lynch
0,Rebecca Sokol-Snyder
0,Sean Mizoguchi
0,Shannon Sullivan
0,Torrin Stokes
0,Alexander Daley
0,Alice Emch
0,Caitlin Bonner
0,Conor Tidgewell
0,Corrie Willson
0,Grace Laudeman
0,Helen Turvene
0,Josh Levin
0,Joshua Bransford
0,Julianna Gohman
0,Kyle Williamson
0,Landrum Beard 
0,Lydia Schaar
0,Maggie Graves
0,Malcom Fox
13,Nicole Getter
16,Carolyn Fante
27,Tyler Coleman
30,Jeremy Neff
81,Ben Frattini
84,Jason Davidson
b,r,e,a,k
Alloy,7
 ,Jeremy Kanter
 ,Maria Bajzek
0,Gabrielle Doran
0,Hannah Boyd
0,Jake Davis
0,Matthew Viscido
0,Maxwell Olesen
0,Jessie Chan
0,Katherine Greener
0,Katy Holt
0,Kelsey Fink
0,Madeline Schwenker-Punnett
0,Maria Stang
0,Andrew Grogan
0,Benjamin Attal
0,Christie Lawry
0,Elliot Hare
