Dust Bowl  (Cancelled),College - Men ,2,4,2022
Tulsa,OK,2022-04-02,2022-04-03
https://play.usaultimate.org/events/Dust-Bowl/schedule/Men/CollegeMen/
Oklahoma Christian,1
teamInfo,Eagles,"Edmond, Oklahoma",https://oceagles.com/sports/ultimate,,twitter.com/@OCltimate1
coaches,Garrett Taylor
0,Charlie  Luckett
0,Christian Johnson
0,Daniel Griffin
0,Branson Seaton
0,Caleb Lance
0,Javin Smith
0,John Murrie
0,Jonathan Costello
0,Kade Schuermann
0,Michael Schrader
0,Samuel Roberts
0,Surafel Sharpe
0,TJ Lee
0,Zach Simpson
1,Trevor Cook
2,Emmanuel Bilolo
2,Thomas Preston
10,Cameron White
10,David Peterson
12,Evan Card
13,Garrett Houston
18,Elliott Moore
21,Kevin van Roosmalen
26,Elijah Johnson
51,Max Hamilton
60,Emmanuel Kameri
b,r,e,a,k
Rice,8
teamInfo,Cloud 9,"Houston, Texas",modules/common/cloud9.rice.edu,,@riceultimate
0,Akash Karanam
0,Alex Kornblum
0,Andrew Adams
0,Benjamin Burstain
0,Benjamin Otting
0,Brandon Zhang
0,Calvin Carroll
0,Conner Elder
0,Daniel Goldenberg
0,Davis Elder
0,Ethan Kelly
0,Griffin Coccari
0,Jacob Lurvey
0,James Brigman
0,Jonah Jimenez
0,Joseph Samara
0,Marco Stine
0,Nathan Moskowitz
0,Robert Schellenberger
0,Suraj Chandramouli
0,Tyler Pitts
5,Corey Tolbert
9,Marshall Doty
11,Samuel Zhou
13,Justin Guilak
22,John Altman
44,Matthew Hong
72,Jake Sperry
81,Johnston French
b,r,e,a,k
Texas Christian,9
teamInfo,High Noon,"Fort Worth, Texas",,https://www.facebook.com/tcuultimate?ref=bookmarks,https://twitter.com/HighNoonTCU
0,Joseph Torres
0,Lance Easter
0,Michael Phillips
0,Daniel Walker
0,Jacob Wickey
7,John Brannon
33,Michael  Hellmer
b,r,e,a,k
Arkansas State,16
teamInfo,Red Wolf Ultimate,"Jonesboro, Arkansas",,https://www.facebook.com/Red-Wolf-Ultimate-1431214147101320/,
0,Jake Krupicki
0,Jarod Mayo
0,Jeremy DeLon
0,Kyle  Walker
0,Noah Sanders
1,Wells Myers
3,Brandon Bates
4,Kayla DeLon
23,Ramsey Brower
34,John Dellorto
35,Ryan Reynolds
b,r,e,a,k
Colorado Mesa,17
teamInfo,Colorado Mesa Mavericks,"Grand Junction, Colorado",,https://www.facebook.com/groups/1497755066947633/,
0,Alexander Eckberg
0,Cassius Garcia
0,Emily Smalley
0,Garrett Norblom
0,Hailee Duran
0,Jesse Berland
0,Justin Willis
0,Mitchell Meissner
0,Morgan Hodges
0,Ryan Schumacher 
0,Sarah McGilvery
13,Thomas Hook
20,Johnathan Grant
33,Anthony Martinez
47,Ethan Eldridge
69,Angelina Duerto Hunter
b,r,e,a,k
Colorado College,2
teamInfo,Wasabi,"Colorado Springs, Colorado",,modules/common/www.facebook.com/WasabiUltimate,
coaches,Jimmy Donnellon,Benjamin Jelinek
0,Anders Pohlmann
0,Ben Carpenter
0,Bergen Hoff
0,Daonysos Hatzigiannis
0,Eliot Kirkham
0,Fremont Forsberg
0,Gordon  Clark
0,Graham Whiting
0,Oliver Kraft
0,Julian Wiseman
0,Leo Fowler
0,Max Sandweiss
0,Nathaniel Wolfgang
0,Nicholas Shapiro
0,Steven Rehmus
0,Tanner Flagg
0,Will Wallace
0,William Gorman
0,Samuel Davis
7,Lincoln Grench
8,Simon Broan
15,Joshy Felton
19,Joseph Keat
66,Sean McGonigle
69,Silas Howe
99,Quinn Eaheart
b,r,e,a,k
Colorado (B),7
teamInfo,CUCU,"Boulder, Colorado",,,
0,Eli Doherty
0,Evan Hanson
0,Jadon Hoffman
0,Joseph Loy
0,Mateo Rimer-Surles
0,Matthew Pollard
0,Oscar Lechner
0,Ryan Allenson
0,Samuel Lundstrum
0,Andrew Swanson
0,Ben Joslyn
0,Sean Huffman
0,Shai Rice
0,Will Storey
11,Chris Doan
42,Tyler Carr
69,Schuyler Houston
74,Alexander Bork
b,r,e,a,k
Truman State,10
teamInfo,JujiTSU,"Kirksville, Missouri",https://ultimate.truman.edu,https://facebook.com/pages/JujiTSU-Ultimate/159311880755819,https://twitter.com/JujiTSUltimate
0,Blake Anderson
0,Diego Butron
0,John Eritreo
0,Michael Lakey
1,Levon Muradyan
3,Austin Heineman
13,Andrew Hilliard
14,Riley Scott
18,Jeffrey Laubscher
19,Benjamin Willoughby
20,Samuel Willoughby
22,Hunter Madison
24,Alexander Wegman
50,John Dames
70,Ryan Freese
b,r,e,a,k
Harding,15
teamInfo,Harding Apocalypse,"Searcy, Arkansas",,,
4,John Alston
5,Trevor Schwiethale
7,Gavin Whitaker
10,Sophie Balentine
17,Steven Burdge
18,Jacob Anderson
31,Hunter Simmons
36,Justin MIlls
39,Scott  May
45,Zachary Denny
b,r,e,a,k
Texas-Arlington,18
teamInfo,Yucca,"Arlington, Texas",,,
0,Gaven Grief
0,Gerardo Vazquez
0,Graham Hall
4,Samuel Morrall
5,Tobey Stebbins
7,Preston McKee
