HoDown Showdown,Club - Mixed ,13,8,2022
Asheville,NC,2022-08-13,2022-08-14
https://play.usaultimate.org/events/HoDown-Showdown/schedule/Mixed/Club-Mixed
Space Force,1
0,Emily Harris
0,Emily Vickery
0,Eric Feigin
0,Anna Barney
0,Bailey Stein
0,Caitlyn Horgan
0,Andrew Clegg
0,Andrew Morton
0,Daniel Schopler
0,Daniel Caruso
10,Evan Holliday
16,Kelli Smith-Biwer
18,Molly Arwood
28,Tatiana Proksch
32,Craig Biwer
b,r,e,a,k
Too Much Fun,15
teamInfo,,"Asheville, North Carolina",,,
00,Allison Bashford
00,Daniel Gray
00,Dean Merritt
00,Emma Appleby
00,Henry Hill
00,Jackson Tambor
00,Jessie Walter
00,Lilli Popovich
00,Michael White
00,Noah Shearer
00,Patricia Thompson
00,Sam King
00,Taylor Dale
00,Zachary (Winston) Clark
00,Garrett Baringer
00,Hailey Wunder
03,Matt Gordon
10,Hannah Moore
12,Adam Becker
18,Franchesca Cassanese
27,Linden Blaisus
33,Austin McGrayne
42,Alexandra Harvey
b,r,e,a,k
Piedmont United,18
teamInfo,,"Winston-Salem, North Carolina",,,
 ,Natalie Watt
0,Nolan Prince
0,Peter Geniac
0,Rodrigo Tjan
0,Sam Shear
0,Samuel Henderson
0,Shaina Schwartz
0,Taryn Bonner
0,Taylor Hacker
0,William Moore
0,Aaron Schwartz
0,Andrew Sklar
0,Brianna Jenkins
0,Caroline Phan
0,Chris Harrison 
0,Deborah Park
0,Derrick Miller
0,Douglas Wolf
0,Haley Turczynski
0,Josh Kripas
0,Katherine Frei
0,Lauren Latham
0,Marissa Schwartz
0,Max Goetz
0,Michael Ridge
b,r,e,a,k
Roma Ultima,3
teamInfo,,"Rome, Georgia",,,
0,Aidan Meek
0,Anna Graham
0,Caleb Grant
0,Chris Gmeiner
0,Cori Bradham
0,Corley Compton
0,Graham Whittington
0,Hannah Tritschler
0,Ian VanOrder
0,Joi Buckley
0,Krystle Jiang
0,Malia Ellard
0,Megan Jarriel
0,Miles Lally
0,Morgan Dale
0,Nicholas Smith
0,Robert Bradham
0,Rosemari Hill
0,Stephanie Peters
0,Walter Ellard
0,Weaver Ellard
b,r,e,a,k
Crown Peach,6
teamInfo,,"Atlanta, Georgia",,,
0,Alexis Poole
0,Austin Poole
0,Brooke  Hartman 
0,Carly Matthews
0,Emma Scazzero
0,Gabrielle Hartman
0,Jasmine Tumlin
0,Jeffrey Oravic
0,Jerome Jackson
0,John Langstaff
0,Jon Ross Ingley
0,Kyle Johnson
0,Micah Roberts
0,Nicholas Huffman
0,Stephen Cook
0,Summer Sanders
0,Thomas Watts
0,Travis Crawford
0,Tyler Butterfield
b,r,e,a,k
Magnanimouse,11
teamInfo,,"Durham, North Carolina",,,https://twitter.com/MagnanimouseNC
 ,Audrey Tannous-Taylor
 ,Brian Dahlben
 ,JT Ward
 ,Matthew Johnsen
 ,Nathan Vogt
0,Kate Burns
0,Eamon Horrigan
0,Tristan Manturuk
11,Taek Lee
15,Alex Whang
17,Schuyler Kylstra
19,Renee Tamming
20,Kyle Gouchoe-Hanas
21,Stratton Elkin
23,Aston King
25,Melody Cole
26,Georgia Paulig
27,Jennifer Wang
32,Annie Bocko
42,Maya Neal
55,Klara Calderon-Guthe
85,Ted Randby
99,Kyle McConaughey
b,r,e,a,k
Legion,19
teamInfo,,"Lynchburg, Virginia",,https://www.facebook.com/VALegionUltimate/,
 ,Kevin Habermas
0,Lowe Bibby
0,Matthew Glasgow
0,McKenzie Ross
0,Benjamin Barnett
0,Bethany Weldy
0,Joshua Duke
0,Abigail Lasko
0,Andrew Lewis
0,Asha Gillette
0,Caleb Stow
0,Caleb Weldy
0,Nico Sorrell
0,Rupert Armentrout
0,Walter Lewis
12,Jonathan Mast
25,Elizabeth Ware
30,Mikayla DiSarle
37,Brandon Lison
82,Hannah VerasAlba
87,Austin Heston
b,r,e,a,k
Seoulmates,14
teamInfo,,"Charlotte, North Carolina",,,
 ,Callie Auman
 ,Danny Chao
 ,Thomas Lineberger
0,Timothy Pugarelli
0,Andres Castaneda
0,Andrew Hager
0,Bryce Wiedenbeck
0,Emily  Hovis
0,Emily Whiteside
0,Catherine Nansalo
0,Curtis Bowman
0,Ismael Salgado
0,Jon Drawdy
0,Josh Greene
0,Kathryn Olds
0,Laura Castaneda
0,Lillian Garcia
0,Marlee Henninge
0,Patricia Romaine
0,Peyton Whiteside
0,Samuel Lee
14,Kartik Sethuraman
26,Amy Gilbert
34,Daniel Lee
99,George Bumgardner
b,r,e,a,k
Dirty Bird,4
teamInfo,,"Atlanta, Georgia",https://ultiworld.com/team/121469/atlanta-dirty-bird/,,
 ,Lucia Derks
00,Ann Araps
01,Devin Cox
02,Austin Taylor
04,Samantha Hill
08,Matthew Smith
09,Jessica Brown
11,Jacques Perivier
12,Katherine Smith
20,Dana Rose
22,Taylor Hide
24,Sun Choi
25,Michael Venezia
30,Katherine Yost
33,Caroline Taylor
42,Sam Gabrielson
65,Aileen Thomas
81,Joseph Burns
99,Andrew Cohen
b,r,e,a,k
Murmur,5
teamInfo,,"Athens, Georgia",,,
coaches,Javid Aceil
 ,Andrew Thai
 ,Emma Jones
 ,Jared Bennett
 ,Sam Batson
10,Javid Aceil
11,Alysa Miles
14,Jake Powell
17,Elle Mayer
19,Henry Siebentritt
25,Robert Hunt
30,Jami Cashin
33,Jack Stephenson
35,Ryan Hill
38,Anna Gustafson
46,Hunter Cutts
46,Martha Wilber
47,Katharine Suarez
59,Brianna Radl
75,Victor Pria
83,Carter Rathur
86,Nick Riker
88,Zach Brennan
93,Molly Schneider
99,Marie Perivier
b,r,e,a,k
Brunch Club,12
teamInfo,,"Durham, North Carolina",,,
0,Alex Bienkowski
0,Alison Bender
0,Alyssa Irons
0,Alyssa Ehrhardt
0,Cole Robinette
0,Dean Culver
0,Derrick Marcey
0,George Guthrie
0,Jenna Dahl
0,Joseph Connelly
0,Judy Ledlee
0,Justine Neville
0,Kalene Morozumi
0,Kerry Green
0,Lauren Marcey
0,Logan Shapiro
0,Michael Pannone
0,Patrick Ledlee
0,Qing (Jenny) Wei
0,Sarah McKee
0,Stephen Bender
0,Tim Monahan
0,TJ McCourt
b,r,e,a,k
MoonPi,13
teamInfo,,"Chattanooga, Tennessee",,,
0,Aasta  Thurman 
0,Alexandria Frost
0,Andrew Tharp
0,Andrew Sinor
0,Anh Bao Tran-Le
0,Anthony Cain
0,Ben Moody
0,Brandon Staggs
0,Clayton Simons
0,Colie Cain
0,Ed Fox
0,Ema Hagood
0,Emily Bailey
0,Emma Jaschke
0,John Misra
0,Kendra Reams
0,Kenneth Andejeski
0,Mary Kate Sheppard
0,Matthew Smith
0,Micah Hollamon
0,Nathaniel Orquia
0,Olufunmilola (Love) Anjonrin-Ohu
0,Rebecca Tankersley
0,Ruth Middleton
0,Seth Floyd
0,Taiwo Misra
b,r,e,a,k
Pickles,20
teamInfo,,"Asheville, North Carolina",,,
 ,Xena Jaffe
0,Thomas Yoxsimer
0,Ty Stevens
0,Alexander Schwartz
0,Brianna Hudson
0,Brigitte Newsom
0,Caleb Sizemore
0,Charles Page
0,Colin Cox
0,Hannah Regen
0,Jacob Skinsacos
0,Katharine Galpin
0,Kyrsten Morrow
0,Laura Borth
0,Mark Bennink
0,Matt Hanson
0,Patrick Annesty
0,Samuel Kratt
0,Sunshine Pugh
02,Sydnee Hammond
13,Jeff Nowiski
15,Jon Reed
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Space Force,Derby City Thunder,15,3,"08/13/2022, 09:00",Pool A,Final
FlyTrap,Catalyst,10,11,"08/13/2022, 09:00",Pool A,Final
Space Force,Catalyst,10,5,"08/13/2022, 10:30",Pool A,Final
APEX,Derby City Thunder,10,7,"08/13/2022, 10:30",Pool A,Final
FlyTrap,APEX,8,11,"08/13/2022, 12:00",Pool A,Final
Catalyst,Derby City Thunder,7,9,"08/13/2022, 12:00",Pool A,Final
Space Force,APEX,15,6,"08/13/2022, 13:30",Pool A,Final
FlyTrap,Derby City Thunder,13,1,"08/13/2022, 13:30",Pool A,Final
Catalyst,APEX,11,9,"08/13/2022, 15:00",Pool A,Final
Space Force,FlyTrap,8,7,"08/13/2022, 15:00",Pool A,Final
pool,Pool B
Storm,Piedmont United,15,0,"08/13/2022, 09:00",Pool B,Final
HeyDay,Donut,11,6,"08/13/2022, 09:00",Pool B,Final
Storm,Donut,11,7,"08/13/2022, 10:30",Pool B,Final
Too Much Fun,Piedmont United,12,6,"08/13/2022, 10:30",Pool B,Final
HeyDay,Too Much Fun,12,5,"08/13/2022, 12:00",Pool B,Final
Donut,Piedmont United,11,8,"08/13/2022, 12:00",Pool B,Final
Storm,Too Much Fun,15,3,"08/13/2022, 13:30",Pool B,Final
HeyDay,Piedmont United,11,6,"08/13/2022, 13:30",Pool B,Final
Donut,Too Much Fun,12,9,"08/13/2022, 15:00",Pool B,Final
Storm,HeyDay,11,6,"08/13/2022, 15:00",Pool B,Final
pool,Pool C
Roma Ultima,Legion,13,8,"08/13/2022, 09:00",Pool C,Final
Crown Peach,Magnanimouse,13,2,"08/13/2022, 09:00",Pool C,Final
Roma Ultima,Magnanimouse,15,3,"08/13/2022, 10:30",Pool C,Final
Seoulmates,Legion,9,8,"08/13/2022, 10:30",Pool C,Final
Crown Peach,Seoulmates,13,6,"08/13/2022, 12:00",Pool C,Final
Magnanimouse,Legion,7,12,"08/13/2022, 12:00",Pool C,Final
Roma Ultima,Seoulmates,15,6,"08/13/2022, 13:30",Pool C,Final
Crown Peach,Legion,12,8,"08/13/2022, 13:30",Pool C,Final
Magnanimouse,Seoulmates,15,5,"08/13/2022, 15:00",Pool C,Final
Roma Ultima,Crown Peach,13,9,"08/13/2022, 15:00",Pool C,Final
pool,Pool D
Dirty Bird,Pickles,15,2,"08/13/2022, 09:00",Pool D,Final
Murmur,Brunch Club,9,11,"08/13/2022, 09:00",Pool D,Final
Dirty Bird,Brunch Club,11,6,"08/13/2022, 10:30",Pool D,Final
MoonPi,Pickles,11,6,"08/13/2022, 10:30",Pool D,Final
Murmur,MoonPi,15,3,"08/13/2022, 12:00",Pool D,Final
Brunch Club,Pickles,15,4,"08/13/2022, 12:00",Pool D,Final
Dirty Bird,MoonPi,13,4,"08/13/2022, 13:30",Pool D,Final
Murmur,Pickles,15,0,"08/13/2022, 13:30",Pool D,Final
Brunch Club,MoonPi,15,2,"08/13/2022, 15:00",Pool D,Final
Dirty Bird,Murmur,10,13,"08/13/2022, 15:00",Pool D,Final
b,r,e,a,k
brackets,Upper bracket
bracket,Championship Bracket
Space Force,Murmur,11,7,"08/14/2022, 13:30",Finals,Final
Space Force,Dirty Bird,9,7,"08/14/2022, 12:00",Semifinals,Final
Storm,Murmur,6,7,"08/14/2022, 12:00",Semifinals,Final
Space Force,HeyDay,9,7,"08/14/2022, 10:30",Quaterfinals,Final
Dirty Bird,Crown Peach,11,5,"08/14/2022, 10:30",Quaterfinals,Final
Storm,Brunch Club,9,8,"08/14/2022, 10:30",Quaterfinals,Final
Roma Ultima,Murmur,12,13,"08/14/2022, 10:30",Quaterfinals,Final
HeyDay,Magnanimouse,12,8,"08/14/2022, 09:00",Championship Crossover,Final
Crown Peach,Donut,11,10,"08/14/2022, 09:00",Championship Crossover,Final
Catalyst,Brunch Club,6,14,"08/14/2022, 09:00",Championship Crossover,Final
Murmur,APEX,12,8,"08/14/2022, 09:00",Championship Crossover,Final
bracket,3rd place
Dirty Bird,Storm,9,8,"08/14/2022, 13:30",3rd place,Final
bracket,5th place
Roma Ultima,Crown Peach,11,8,"08/14/2022, 13:30",5th place,Final
HeyDay,Roma Ultima,5,9,"08/14/2022, 12:00",5th place semifinals,Final
Brunch Club,Crown Peach,6,9,"08/14/2022, 12:00",5th place semifinals,Final
bracket,7th place
HeyDay,Brunch Club,0,0,"08/14/2022, 13:30",7th place,Cancelled
b,r,e,a,k
brackets,Lower bracket
bracket,9th place bracket
FlyTrap,APEX,14,7,"08/14/2022, 13:30",9th place,Final
Catalyst,FlyTrap,6,10,"08/14/2022, 12:00",9th place semifinals,Final
Magnanimouse,APEX,3,13,"08/14/2022, 12:00",9th place semifinals,Final
Catalyst,Seoulmates,9,8,"08/14/2022, 10:30",9th place quarterfinals,Final
Donut,FlyTrap,6,11,"08/14/2022, 10:30",9th place quarterfinals,Final
Magnanimouse,MoonPi,9,8,"08/14/2022, 10:30",9th place quarterfinals,Final
APEX,Legion,11,10,"08/14/2022, 10:30",9th place quarterfinals,Final
Too Much Fun,Seoulmates,6,13,"08/14/2022, 09:00",9th place crossover,Final
FlyTrap,Pickles,15,7,"08/14/2022, 09:00",9th place crossover,Final
MoonPi,Derby City Thunder,10,7,"08/14/2022, 09:00",9th place crossover,Final
Legion,Piedmont United,15,6,"08/14/2022, 09:00",9th place crossover,Final
bracket,13th place #1
Seoulmates,Donut,13,8,"08/14/2022, 13:30",13th place #1,Final
bracket,13th place #2
MoonPi,Legion,6,15,"08/07/2022, 13:30",13th place #2,Final
bracket,17th place
Too Much Fun,Derby City Thunder,13,5,"08/14/2022, 13:30",17th place,Final
Too Much Fun,Pickles,15,5,"08/14/2022, 12:00",17th place semifinals,Final
Derby City Thunder,Piedmont United,12,8,"08/14/2022, 12:00",17th place semifinals,Final
b,r,e,a,k
