TCT Pro-Elite Challenge (Colorado Cup) 2022,Club - Mixed ,9,7,2022
Aurora,CO,2022-07-09,2022-07-10
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-Colorado-Cup-2022/schedule/Mixed/Club-Mixed
BFG,1
14,Kiana Broadley
16,Ellane Bergen
19,Joel Hampton
21,Reid Christensen
22,Isaac Blick
23,Sam Ellison
25,Shannon Harms
27,Lia Wickham
37,Jake Reimer
42,Westen Gehring
46,Noelle Wickham
51,Isaac Entz
81,Patrick Loganbill
86,Emily Beeson
b,r,e,a,k
Lawless,6
01,Ashley Stahl
03,Seam Ham
04,Benjamin Lacy
05,Dakota Lippincott
07,Cynthia Thomas
08,Shelby Petty
10,Cameron Helm
12,Christopher Bernard
15,Stefanie Nguyen
16,Audrey Brown
20,Ryan Irvin
21,Caroline OConnell
22,Lindsey Doyle
27,Jericho Payne
29,Marshall Crawford
30,Merideth Byl
36,Ryan Lacy
44,Jordan Harn
49,Jake Hadziev
51,Kay Powell
52,Annie Ngo
66,Oliver Artus
67,Taylor Gilman
70,Elijah Salmon
81,Caden Sigerud
89,Nathan Page
b,r,e,a,k
Love Tractor,4
 ,Jack (John) McShane
 ,David Protter
0,Eric Hubbard
0,Akane Kleinkopf
0,Heather Kraft
0,Hilary Walker
0,Hilary Egan
0,Jenna Hunt
0,Jessica Shatkin
0,Joe Babbino
0,Joseph Carrara
0,Julia Longinotti
0,Liana Bradley
0,Lukas Nesheim
0,Maggie Chen
0,Matt Gleason
0,Megan Kenny
0,Michelle Yang
0,Shannon Reid
0,Stephen Lin
0,Wil St. Charles
0,Zachary Nager
19,Garrett Moulder
33,David Kamin
b,r,e,a,k
'Shine,5
64,Rachel Kramer
65,Eli Motycka
66,Margaret Quinn
72,Grace Castro
73,Jack (John) Spiva
74,Avi Ghitterman
77,Mikeie Reiland
78,Grace Robinson
79,Sydney Neal
80,Meaghan  Creamer
81,Jordan Hill
82,Collin Dabbieri
85,Aaron Wilder
86,Noel Holmes
87,Elena Rubino
88,Phillip Dougherty
89,Philip Throckmorton
90,Jesse Shofner
91,Doug Richardson
94,Mia Letterie
95,Trip Adams
96,Katharine Gilbert
97,Jeffrey Burris
98,Matt Ractliffe
99,Christopher Calhoun
b,r,e,a,k
Mischief,9
 ,Karl Kingma
 ,Kitty Cheung
 ,Munis Thahir
0,Patricia Anderson
0,Robin Meyers
0,Kyle Johnson
0,Julia Mankoff
0,Brett Petersen
0,Emilia (Mia) Bladin
0,Jeffrey He
05,Matthew Crawford
07,Andrea Brown
09,Vicki Chen
19,Lily Steponaitis
21,Mitchell Sayasene
23,Jordan Jeffery
24,Cory Fauver
32,Vivian Chu
33,Robin Anthony-Petersen
36,Pin-Wen Wang
42,James Carr-Pries
48,Christopher Lung
58,Jaclyn Wataoka
99,Max de Visser
b,r,e,a,k
Sweet Action,16
0,Adair Andre
0,Alison Walker
0,Anna Lockwood
0,Anthony Rice
0,Ben Whitman
