TCT Select Flight Invite - East 2022,Club - Mixed ,23,7,2022
Fredericksburg,VA,2022-07-23,2022-07-24
https://play.usaultimate.org/events/TCT-Select-Flight-Invite---East-2022/schedule/Mixed/Club-Mixed
HeyDay,12
 ,Eric Sjostrom
 ,Katie Hallbauer
0,Kirsten Strawn
0,Mary Feeney
0,"Michael Guiles, Jr"
0,James McCracken
0,Jessica Brandon
0,Abbey Sedlacek
0,Catherine Spencer
0,Clark Missildine
10,Dustin Register
15,Andrea Rocchi
21,Meredith Johnson
22,Joanna Landry
83,Ryan Landry
85,Evan Boecking
b,r,e,a,k
Loco,1
 ,Brandon Pastor
 ,Charlie Bushman
 ,Janet  Ro
 ,Shawn Dacey
0,Steven Broome
0,Abigail Thompson
0,Alison Joyce
0,Angela Campanella
0,Becklin Davis
0,Belle Sullivan
0,Joshua Norton
0,Justin Creighton
0,Kelly Wojtan
0,Kenneth Wells
0,Maria Kazantsev
0,Matt Lubitz
0,Robert Catzen
0,Robert Roos
0,Chris Schauble
0,Elena López
0,Emily Smulowitz
0,Eric Witmer
0,Hallie Schaeffer
0,Jack Steketee
0,Jackie Weiss
b,r,e,a,k
Fleet,5
0,Adilina Malave
0,Alexis Faccone
0,Anna Tarren
0,Casey Vaughn
0,Chris Neitzey
0,CJ Colicchio
0,David Jones
0,Delrico Johnson
0,Elias White
0,Emily Christ
0,Grace Champion
0,James (Jimmy) Clarke
0,Jessika Turner
0,Jon Pressimone
0,Jose Maldonado
0,Josias Beaubrun
0,Justin Solis
0,Kelly Wallace
0,Mark Flores
0,Matthew Radhe
0,Natalie Drake
0,Nate Harnish
0,Sarah Solis
0,Scott Wheeler
0,Stephanie Coward
0,Stephanie Rolek
b,r,e,a,k
Dizzy Kitty,16
 ,Alyssa Fulcher
0,Andrell Caldwell
0,Alex Labrador
0,Thomas Davidson
0,William Caspino
0,Zora Bergey
0,Caspar Tarr
0,Cassidy Stiglbauer
0,David Olsen
0,Elizabeth Williams
0,Gabriella Cruz
0,John Pellegrino
0,Lukas McClamrock
0,Luke Colwell
0,Mary McConnell
0,Rachel Whalen
0,Robert Gunshefski
11,Caleb  Gunter
33,Sara Steger
88,Katherine Tse
97,Rose Bruns
b,r,e,a,k
Rally,2
0,Brittany Taylor
0,Yiding Hou
01,Jessica  Oh
02,Katina Russell
03,Franklin Ahrens
04,Ellen Mueller
05,Graham Turner
06,Thomas Piper
07,David Maniloff
10,Jonathan McRae
11,Lucas Reichert
12,Eva Turner
13,Cody Smith
14,Lily Eisner
15,Emma Colavincenzo
18,Margaret Pendleton
19,Noah Newberger
21,Sarah Badawi
22,Scott Campbell
27,Rebecca Driver
29,O'Linda (Blaise) Sevier
30,Jake Kovalic
42,Ben Sadis
44,Will Yetvin
54,Genevieve Leo
80,Xavier Maxstadt
b,r,e,a,k
Malice in Wonderland,11
 ,Aidan Todd
0,Danny Schmitt
0,Clayton Carey
01,Ty Naquin
03,Eric Martin
04,Spencer Olmsted
05,Patrick Limer
07,Kavinayan Sivakumar
08,Manhua Zhu
10,Becky Widmayer
13,Alexander Walker
14,Danielle Swales
18,Kelly Merhar
19,Mary Clarke Worthington
20,Shelby Hall
21,Cam Bellando
25,Alexandra (Sasha) Resnick
26,Hannah Scanlon
27,Connor Holcombe
28,Kelsea Fitzpatrick
30,Hunter Gibbs
37,Rebecca Rook
38,Jeffrey Perkins
61,Mingxuan Zhu
66,Daniel Fonte
81,Michael Ball
b,r,e,a,k
Alloy,6
 ,Jeremy Kanter
 ,Maria Bajzek
0,Hannah Boyd
0,Jake Davis
0,Matthew Viscido
0,Maxwell Olesen
0,Nicholas Lagerman
0,Jessie Chan
0,Katherine Greener
0,Katy Holt
0,Kelsey Fink
0,Kyle Morgan
0,Madeline Schwenker-Punnett
0,Elliot Hare
0,Thomas Merante
0,Trent Greener
01,Christie Lawry
12,Nicole Fiorentino
18,Gabrielle Doran
22,Mark Pitts
29,Benjamin Attal
34,Will Hoffenkamp
52,Ellis Baehr
b,r,e,a,k
Eat Lightning,15
 ,Acero Liang Li
 ,Aden Fischer-Brown
 ,Brendan Awerbuch
 ,Cara Brown
