Heavyweights 2022,Club - Men ,9,7,2022
Montgomery,IL,2022-07-09,2022-07-10
https://play.usaultimate.org/events/Heavyweights-2022/schedule/Men/Club-Men/
Colonels,1
05,David Beraun
06,Dan Cunningham
08,Lucas Coniaris
11,David Woods
12,Colin Ringwood
17,Gabriel Wray
18,Amal Patel
19,Andrew Hipskind
21,Spencer Hawkins
23,Xavier Payne
31,Bradley Kennis
33,Frank Strasser
37,Seth Gudeman
39,Carter Hawkins
43,Drew Happe
47,Elliot Hawkins
51,Chris Ginet
60,Corey Hardesty
72,Benjamin Landry
85,John Jones
88,Caleb Combs
90,Robert Davenport
93,Richard Murt
b,r,e,a,k
Harvey Cats,8
 ,Nick Carranza
 ,Philip Nelson
0,Robert Benson
0,Shawn Silverman
0,William Steindorf
0,Zachary Cotter
0,Mark Baldauf
0,Adam  Sellers
0,Alex Jang
0,Christian Hagan
0,Dylan Zeringue
0,James Strasburg
0,Jared Schueler
0,Jason Miller
0,Joshua Narabal
0,Louis Wersan
10,Bryce Lippitz
17,Grant Hardy
39,Marco Manalang
b,r,e,a,k
I-69,9
01,Nathan Bussberg
02,Parker Harding
03,Noah  Wahl
07,CJ Knarr
08,Jake Wahl
09,Jack Kempe
11,Mace Chope
12,Richard Ware
13,Ryan Smith
17,Jason Kempe
19,Cole Fuss
22,Logan Williams
27,Ryan McCann
38,Jack Galle
64,Benjamin Close
69,J.J. Yarbrough
85,Sedrik Sweet
86,Dusty (Dustin) Hughes
91,Hank Havlin
92,Anthony Grigoletti
b,r,e,a,k
Red Hots - u20,16
01,Dylan Schearf
02,Riley Dobush
03,Nestor Espinosa
05,Benjamin Miralaeff
08,Ian Falck
09,Lucas DeMatteis
10,Daniel Williams
10,Owen Jewell
11,Nicholas Messerges
12,Nathaniel Astrom
13,Gabriel Schoepke
16,Tylor Takahashi
19,Griffin Kelley
20,David Ciccarone
21,Andy Schneider
25,Kristofer Kammerdiener
26,Chris Young
27,Mario Ortiz
29,David Cordon
33,Malik Pintado-Vertner
34,Grant Loehrke
57,Sean Hickey
59,Fischer Dastrup
63,Spencer Weldon
b,r,e,a,k
Mallard,2
 ,Benji Keillor
0,Cash Barber
0,Eric Crosby Lehmann
0,Garrett Geib
0,Joe Bosshardt
0,Jordan Wright
0,Joseph Pickens
0,Josh Yira
0,Josh Kautz
0,Kai Bowen
0,Lucas Bulger
0,Luis Caballero
0,Marco Dregni
0,Mark Roos
0,Matt Johnson
0,Michael Merwin
0,Adam Meckstroth
0,Aiden  Lomen
0,Asa Bowen
0,Austin King
0,Becker Mathie
0,Sam Kleven
0,Tom Duret
0,Zach Trosvig
12,Ryan Welch
b,r,e,a,k
Haymaker,7
 ,Brian Murphy
0,Benjamin Putano
0,Elliot Shin
0,Patrick Driscoll
0,Frank Ontaneda
0,Grant Harris
0,Hunter Latson
0,Isaac Degenhart
0,James Karl
0,Joseph Sifakis
0,Kyle Bayes
0,Matt Gubernick
0,Nickolas Pappas
0,Ryan Morris
0,Simon Perez
0,Solomon Podorovsky
0,Thomas Alford
0,Torsten Johnson
11,Christopher Asta
21,Patrick Kelly
24,Andrew Fischer
27,Damen Erf
44,Robert Dreier
69,Filip Wilk
82,Stewart Zondlak
b,r,e,a,k
Trident II,15
0,Arthur Maiorella
0,Bill SooHoo
0,Brian Payne
0,Daniel Ferenc
0,Daniel Grosch
0,Dexter Straczek
0,Dylan Magahis
0,Ellery Sabado
0,George Dore
0,Jacob  Shockley
0,Jacob Ngo
0,Joe Berry
0,Joel Peterson
0,Joseph Thachet
0,Juan Amador
0,Justin Arney
0,Keann Matias
0,Logan Lambright
0,Lucas Tarnowski
0,Manan Kothari
0,Siddharth Mehrotra
0,Tanner Holtz
0,Turner Pahl
0,Will Setchell
0,Zach Eiden
b,r,e,a,k
Timber,10
 ,Aaron Lichtenwalner 
 ,Anthony Moore
 ,Brian Ristau
0,Christopher Mills
0,Evan Frias
0,Isaac  Shimek
0,Kyle Reader
0,Zackory Runke
16,Tate Klauck
30,Thomas Doro
