2022 Founders Men's Sectional Championship,Club - Men ,10,9,2022
Manheim,PA,2022-09-10,2022-09-11
https://play.usaultimate.org/events/2022-Founders-Mens-Sectional-Championship/schedule/Men/Club-Men/
Pittsburgh Temper,1
 ,Anson Reppermund
 ,Casey Mann
 ,Connor Newell
 ,Mark Fedorenko
 ,Patrick Earles
 ,Patrick McMullen
 ,Thomas Edmonds
0,Scott Heyman
0,Ryan Weaver
0,Max Sheppard
0,Michael Dillard
0,Jacob Price
0,Marcel Oliart
0,Dan Nichols
0,Dillon Garrett
0,Aiden Landis
15,Dylan Best
18,Jed Farber
19,Ari Weitzman
22,Owen Watt
24,Alexander Thomas
25,Adam Burgess
35,Dan Goldstein
46,Tristan Yarter
48,Jimmy Towle
49,Sam VanDusen
b,r,e,a,k
JAWN,8
 ,Andrew Barczak
 ,Jeremy Fus
0,Jeremy Eland
0,Jorge Barillas
0,Kye Haniph
0,Matthew Kirk
0,Michael Facinelli
0,Patrick Kelly
0,Paul Anouna
0,Robert Walker
0,Sam Gilden-Weiner
0,Vanshil Thakkar
0,William Shutt
0,Zack Eskin
0,Andrew Kelly
0,Andrew Ngo
0,Benjamin Cozzolino
0,Christian Sanchez
0,Edward Brakoniecki
0,Eli Greenstein
0,Evan Kashan
0,Evan Maynard
0,Jack Maynard
0,Jack Hewitt
0,Jacob Kesselman
0,Adam Weingast
b,r,e,a,k
Hardta Spelots,16
 ,Charles Fuss
 ,Keith Levinson
00,Kyle Isler
00,Macy Desmond
00,Matthew Berdel
00,mike piel
00,Seth  Gleaner
00,Aaron Roppoli
00,Akshat Rajan
00,Camilo Rico
00,Casey Conti
00,Christopher Mahoney
00,Daniel Angelino
00,Derrick Aznar
00,Ethan Tsirulik
00,Evan Sapirman 
00,gelver hernandez 
00,Javier Munar
00,John Supple
00,John Tang
00,Justin Li
b,r,e,a,k
Hazard,9
01,Ryan  Spangenberg
03,Keven Gregg
05,Noah Celuch
07,Cory Ruff
09,Justin Fraser
10,Blaine Taylor
11,Ben Lyle
12,Ray Cunningham
13,Zachary Risinger
16,Edward Hoffman
17,Steven Bizon
19,Ryan Kindell
22,Connor Tipping
41,Jacob DeWoody
42,Isaac Degenholtz
47,Lawson Fisher
50,Zach Dahm
52,Jonathan McGee
55,Nathan Conroy
66,Connor Dembiczak
80,Jay Walker
83,Zachary Murray
88,Matt Mafrici
92,Wally Gaida
95,Calvin Szewczyk
b,r,e,a,k
Phantom,2
0,Adam Novak
0,Allan Michel
0,Andrew Seibert
0,Anthony Prato
0,Avery Campbell
0,Brice Dunn
0,Colin Masino
0,Dylan Smith
0,Greg Mohler
0,Ian Dietrich
0,James Pollard
0,Justin Keller
0,Kainoa Chun-Moy
0,Luke Greenley
0,Mark Philipson
0,Matthew Stevens
0,Matthew Ellis
0,Matthew Hanna
0,Max Trifillis
0,Mike Kobyra
0,Nate Long
0,Nicholas DiGiorgio
