2022 South Central Men's Regional Championship,Club - Men ,25,9,2022
"https://play.usaultimate.org/events/2022-South-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
"
Johnny Bravo,1
0,Alex Atkins
02,Jay Froude
03,Jackson Cochran
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
07,Matt Bristol
08,Cole Wallin
10,Calvin Stoughton
11,Seth Faris
12,Justin Abel
15,Dennison Bechis
18,Daniel Landesman
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
29,Sandy Brown
34,Cody Spicer
35,Todd Wolma
42,Ben Lohre
45,Will Lohre
75,Matt Jackson
81,Nathan Buchholz
88,Quinn Finer
99,Alex Tatum
b,r,e,a,k
Doublewide,2
0,Kolbe Bauer
02,Kaplan Maurer
04,Evan Swiatek
06,Michael Matthis
07,Trevor Elam
09,Jason Hustad
10,Alec Wilson Holliday
11,Reese Bowman
12,Noah Chambers
14,Mark Evans
18,Elliott Moore
19,Kevin Richardson
20,Chase Cunningham
21,Vinay Valsaraj
24,Rory Orloff
27,Kyle Henke
28,Jackson Potts
33,Jacob Radack
34,Zachary Slayton
41,Oliver Fay
42,Patrick  Beckett 
43,Joseph Wylie
50,Matthew Armour
63,Henry Furuta
66,Eric Brodbeck
73,Gavin Babbitt
b,r,e,a,k
H.I.P,5
00,Casey Lemay
00,Chris Brooks
00,Christopher Vandervoort
00,Cody Holloway
00,Daniel Winter
00,Ereckson Hillis
00,Jake Floyd
00,Jason Holleran
00,Jordan Taylor
00,Kevin Land
00,Kolby Janzen
00,Matthew Bierschenk
00,Matthew Bennett
00,Mick Walter
00,Mitchell Bennett
00,Patrick Marco
00,Peter Clarke
00,Reid Bacon
00,Richard Bovio
00,Alexander Heath
00,Austin Walker
00,Brandon Dial
00,Brendan Adams
00,Cameron Albin
00,Carlos Vargas
25,Carson Wilder
b,r,e,a,k
Fungi,6
 ,Abe Gambert
0,Andrew Kiminski
0,Andrew Liebing
0,Brandon Galllagher
0,Brett Prill
0,Bryan Downey
0,Colton Steiner
0,Cruz Alvarez-Machado
0,David Jensen
0,Eric Silverman
0,Fabian Galván
0,Greg Olson
0,Jonathon Morris
0,Joseph Patterson
0,Joshua Morris
0,Mark Donohue
0,Oliver Cunningham
0,Patrick Ellsworth
0,Rex Fortgang
0,Rodrigo  Gould Rodriguez
0,Ryan Wolfe
0,Sophainara Long
0,Thomas Duke
0,Aaron Wida
0,Aaron Monahan
b,r,e,a,k
Alamode,8
 ,Enrique Trejo
 ,Eric Sun
 ,Gailan Hart
 ,Gavin Hart
 ,Erick Salcedo
 ,Jheremi Villarreal
 ,Skye Knight
0,Connor Ross
10,Andres Rivera
11,Nicholas Ortiz
13,George Tharakan
14,Zane  Fassett
21,Stuart Hanson
23,Franklin Davis
24,Jordan Salazar
27,Tat Whitley
28,Axel Anderson
33,Benjamin Hanson
44,David Haeussler
47,John Shelley
63,Ryan Hughey
66,Erick  Neilson
81,Jacob Rosen
82,Jeff Taylor
92,Benjamin Andrade
99,Darrell Davis
b,r,e,a,k
Gamble,4
0,Jon DeAmicis
02,Cade White
04,Oakley Armstrong
06,Thomas Loria
07,Samuel Garza
08,Mason Kelley
09,Trenton Hebert
10,Garrett Wilson
11,Brandon Martin
13,Tyler Reinhardt
14,Caiden Burt
15,Justin Lyons
19,Benjamin Price
21,Connor DeLuna
22,Scott Zachary
25,Alvaro Guzman
26,Sebastien Lauzy
27,Joel Polley
29,Tucker Bankston
31,Thomas Trompeter
45,Samuel Heslep
69,Jake Reinhardt
77,Noah Furrh
87,David Hammer
92,Zachary Wenner
99,Tanner Roberts
b,r,e,a,k
Clutch,3
 ,Francisco Gomez
 ,Jake Sperry
 ,James Kloss
 ,Ames Fegert
 ,Steven Kelly
0,Trey Wong
0,Vikrant Pendharkar
0,Aaron Barcio
0,James Zuraw
0,Joseph Williams
0,"Gregory Plaia, Jr"
0,Ibrahim El-sayed
0,Brandon Chow
0,Brian Gfroerer
0,Caleb Dixon
0,Chris Brettell
0,Connor Cole
0,Cullen Baker
0,Darrel  Francis III
0,Destin Tate
12,Ismail Kassim
14,Mutahir Ahmad
27,Elliot Sakach
31,Brandon Lin
34,Mitchell Lutz
b,r,e,a,k
ISO Atmo,7
0,Adam Federbusch
0,Addison Hanson
0,Brian Ward
0,Caleb Bevers
0,Cameron Beaton
0,Chris Fox
0,Christopher Ward
0,Conrad Hougen
0,Daniel Lepsch
0,Daniel Miller
0,Eric Gillwald
0,Jordan  Huntoon 
0,Kyle Rogers
0,Nate Hopp
0,Owen Martin
0,Parker Damon
0,Preston Goulson
0,Sam Sincere
0,Samuel Freedman
0,Samuel Williams
0,Shane Eckert
0,Tommy Harris
0,Tyler Carr
0,Vincent Chen
0,Will Enterline
0,Zacary Parkhill
b,r,e,a,k
Rawhide,16
 ,Alex Southard
 ,Cheng Hao Tan
 ,Collin Wycoff
 ,JACOB WARD
 ,Joel Rice
 ,Martin McCullagh
 ,Matthew Crone
 ,Sawyer Locke
 ,Gabriel Sanchez
0,Gavin Walker
0,William Faust
0,Taylor Watkins
0,John Athens
0,John Bagley
0,Justin Edwards
0,Manuel Ramos
0,Marcus Smith
0,Conor Henry
0,Daniel Kleinhenz
0,Ezra McBride
0,Chris Passmore
0,Andrew Turcotte
0,Benjamin Howard
23,Terrell Hoagland
b,r,e,a,k
Cowtown Cannons,9
 ,Colton McDorman
 ,Daniel Smith
 ,Gaven Grief
 ,Isaac Fuller
 ,Long Nguyen
 ,Michael Samek
 ,Nathaniel Austin
 ,Nicolas Rodriguez
 ,Sou Sou Phomsavanh
0,Sam Johnson
0,William Brinkmeyer
0,Nicholas Williams 
0,Dennis Miller II
09,Steve Harring
10,Caleb Cannon
11,Aaron Dyreson
15,Frederick Christen
17,Darren Phillips
25,Ryan Welch
27,Daniel Richards
28,Caleb Mills
32,Justin Holt
42,Micah Rehfuss
83,Ryan Buckingham
b,r,e,a,k
Inception,12
 ,Sam Keller
0,Tim Okita
0,Marvin Vuong
0,Ryan Segal
00,Joseph Conerty
01,Jack Hinchsliff
02,Rory Lenny
03,John Miller
04,Morgan Scott
07,Sam Ruiz Harding
08,Andrew Ishikawa
10,Alexander Bork
11,Nick Banks
20,Sean Peskin
21,Lucas Beal
22,Mason Kiefer
26,Jonathan Olavarria
30,Sten Larson
31,Dexter Luecke
33,Collin Ruprecht
42,Sarang Mittal
43,Tucker Martin
51,Will McDonald
65,Trevor Isaacson
69,James Miller
82,Davis Lenz
b,r,e,a,k
Firefly TX,13
 ,Cameron Guillen
 ,Cole Lamkins
 ,Conner Montgomery
 ,Kevin Schmidt
 ,Marcelo Gonzalez
 ,Michael Conlin
 ,Sam  Hill
0,Guadalupe Garcia
14,Michael O'Shea
16,David Waters
17,Quinton Butler
19,Stephen Strack
21,James Huizinga
23,Bryan Kirchmeier
24,Piercen Hoekstra
27,Montrell Watson jr 
33,Andrew Calvert
34,Joshua Romani
51,Joe Wright
63,Justin Shelby
80,Michael Strack
92,Aaron Dunn
95,Mike Ren
97,Daryl Wells
98,Conner Bingham
99,Vance Dicken
b,r,e,a,k
Harvey Cats,14
 ,Philip Nelson
0,Robert Benson
0,Shawn Silverman
0,Taylor Neigut
0,William Steindorf
0,Zachary Cotter
0,Christian Hagan
0,Dylan Zeringue
0,Mark Baldauf
0,Adam  Sellers
0,Alex Jang
0,Andrew Robbins
0,James Strasburg
0,Jared Schueler
0,Jason Miller
0,Jia Xie
0,Joshua Narabal
0,Louis Wersan
10,Bryce Lippitz
17,Grant Hardy
39,Marco Manalang
b,r,e,a,k
Riverside,11
 ,Adam Croissant
 ,Jackson Helling
 ,Jon Olson
 ,Kade Morris
 ,Maxwell Marion
 ,Michael Clark
 ,Paul Passmore
0,Reid Pannell
0,Rick Artus
0,Sean Leeper
0,Sean Kuylen
