2022 Mid Atlantic Men's Regional Championship,Club - Men ,24,9,2022
Frederica,DE,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-Mid-Atlantic-Mens-Regional-Championship/schedule/Men/Club-Men/
Truck Stop,1
 ,Christian Boxley
0,Christian Johnson
0,Codi Wood
0,Cole Jurek
0,David Bloodgood
0,David Cranston
0,Duncan Fitzgerald
0,Frederick Farah
0,Gus Norrbom
0,Jacques Nissen
0,Jasper Tom
0,Jeremy Hess
0,Jonny Malks
0,Luke Rehfuss
0,Marcus Thaw
0,Matthew Rowan McDonnell
0,Moussa Dia
0,Rhys Bergeron
0,Aaron Bartlett
0,Adam Norrbom
0,Alexandre Fall
0,Andrew Roy
0,Zachary Norrbom
10,Tyler Monroe
45,Jeff Wodatch
91,Troy Holland
b,r,e,a,k
CITYWIDE Special,8
00,Alex Howard
00,Andrew Yurchak
00,Cameron Rabinowitz
00,Chris Zaleski
00,Cole Salomon
00,David Brandolph
00,Drew Loughnane
00,Francesco Russo
00,Giovanni Ruggirello
00,Jeremy Long
00,Joseph Wheeler
00,Mike Alexander
00,Robert  McLean
00,Samuel Barnett
00,Tim Kreutzfeldt
00,Matt Carter
10,Josh Lane
14,Chris Dixon
16,Matthew Michelson
17,Jeffrey Zhou
19,Brian Carney
20,David Baer
23,Jordan Ciccarone
27,Matthew Brenfleck
29,Chris Vanni
80,Christopher Cruz
b,r,e,a,k
Hazard,14
01,Ryan  Spangenberg
03,Keven Gregg
05,Noah Celuch
07,Cory Ruff
09,Justin Fraser
10,Blaine Taylor
11,Ben Lyle
12,Ray Cunningham
13,Zachary Risinger
16,Edward Hoffman
17,Steven Bizon
19,Ryan Kindell
22,Connor Tipping
41,Jacob DeWoody
42,Isaac Degenholtz
47,Lawson Fisher
50,Zach Dahm
52,Jonathan McGee
55,Nathan Conroy
66,Connor Dembiczak
80,Jay Walker
83,Zachary Murray
88,Matt Mafrici
92,Wally Gaida
95,Calvin Szewczyk
b,r,e,a,k
Helots,11
0,Brian Nigro
0,David Hwang
0,William Litchholt
01,David Brewster
03,Tyler Mackey
05,Kevin Tam
07,Andres felipe sanchez
08,Henry Parra
12,Thomas Wu
13,Pete Isler
14,Chris Kelly
15,Sean Maxcy
17,Neal Vasireddi
22,Jeff Perosi
27,Jason Pon
38,TJ Stanton
42,Matt Bartley
43,William Suitt
51,Patrick Callahan
66,Oscar Sucre
70,Robert Patten
75,Edgar  Prieto
80,Stephen Snelson
86,Andres Castrillon
