2022 U.S. Open Club Championships,Youth Club U-17 - Boys ,5,8,2022
Blaine,MN,2022-08-05,2022-08-08
https://play.usaultimate.org/events/2022-US-Open-Club-Championships/schedule/Boys/youth-club-u-17-boys/
BUDA U17 Boys,8
02,Liam Mitchell
03,Maverick Earle
04,Javier Emilio Henriquez
05,Ethan Austin-Cruse
06,David Baker
07,Calvin Li
08,Grover Grendzinski
10,John Baggenstoss
11,Peter Goldsmith
14,Jacob Walls-Foster
17,Zach Ohnstad
18,Edward Rentz-Baker
20,Bryce Jackson
21,Cooper Deschenes-Worboy
23,Samuel Shapiro
27,Zeke Dameron
63,Ethan Rehg
99,Jake Sanders
b,r,e,a,k
Nightmare,11
teamInfo,,"Chicago, Illinois",,,
coaches,Mikey Williams,Jack Corcoran
00,Myles Levine
02,Joey Clarke
03,Andy Sun
06,Jack Onyschak
07,Rajiv Chandramouli
08,Esteban  Mallory
09,Isaac Broadnax
11,Cody Dobush
16,Samuel Astrom
18,Josiah Hartman
20,Lucas Donat
 ,Aidan
26,Andrew Tauer
44,Roman Ramaker
80,Aidan Wonderling
82,Peter Kallianis
88,Joe Pozen
99,Gus Leman
b,r,e,a,k
Lucky PuNCs,19
teamInfo,,"Chapel Hill, North Carolina",,,
coaches,Alexander Lerner,Ben Fuguet
00,Elijah Davis
03,Henry Mullen
04,Sean McGarrah
05,Nate Bloomer
06,Justin Bradley
07,Derek Castiglione
11,Micah Tapper
12,Matthieu Dummer
16,Patrick Soher
18,Ben Goldberg
20,Levi Cole
21,Jonah Weiss
24,Thomas Frazelle
 ,Jackson
41,Asad Pathan
55,Xander Tzendzalian
b,r,e,a,k
OAK Sparks,12
teamInfo,,"Oakland, California",https://oakultimate.com/,,https://twitter.com/Oak_Ultimate
coaches,Chris Garcia
00,Dylan Tams
01,Elias Korchin
02,Henry Garcia
05,Oscar Mendelson
06,Stefan McCall
08,Reed Archer
10,Ardal Inesi
11,Ryan Weng
12,Joss Meir
17,Sarek Mallareddy
17,Reggie Masket
18,Naveed Jones
21,Kaiji Koga
23,Lucas Zeiger
24,Gabriel Lloyd
36,Dexter Miller
67,Maksim Zykov-Chisholm
97,Theo Kojan
99,LJ Dixon 
b,r,e,a,k
Capitol Heights,13
teamInfo,,"Washington, District of Columbia",modules/common/wafc.org,,
coaches,David Ohls,Sasha Frank-Stempel,Joe Dweck
03,Taye Bradford
05,Abe Palmer
07,Peter Strauss
09,Felix Ko
12,Niko Epstein
13,Jener Balk
16,Anton Tibayan
17,William Brady
18,Tyler Johnson
23,Morrison Sachs
24,Thomas Pearson
27,Elan Zucker
28,Lincoln Eberly
32,Marcus Lee
33,Andreas Jackson
34,Mitchell Blaha
43,Matthew Blaha
44,Harrison  Ertz
50,John Maher
65,Henry Meehan
99,Kailas Campen
b,r,e,a,k
Seven Hills U17 Open,4
teamInfo,,"Seattle, Washington",,,
coaches,Maxwell Sheffield,Dana Baker
00,Harrison Schaw
01,Logan Luc
02,Arya Dhuvoor
03,Jayden Satterfield
04,Elijah Toeung
05,Ben Silvers
07,Asher Glickman-Flora
08,Rowan Dean
09,Jonah Yang
10,Hunter Luc
12,Denny Beaumon
13,Makoa Costales-Gaon
14,Jared Tellez
16,Kenji Tatsuya Lorenz
17,Arjun Modayur
18,Jude Small
19,Paul Dinh
22,Jordan  Lazer
25,Jaron Casio
33,Tamirat Fox-Ostenson
77,Brock Colaner
98,Nathan Williams
99,David Andrew Isom
b,r,e,a,k
NC Hammer,5
teamInfo,,"Triangle Area, North Carolina",modules/common/triangleultimate.org,,@TYUL_NCHammer
coaches,Michael Avila,Hiatt von Alten,Aaron Stern,Jacob Bonenberger
00,Francisco Bonenberger
01,Kyler Wieties
02,Willem Boshoff
05,Clemens Liu
06,Brayden Morrison
09,Sam Garber
11,Eric Du
13,Colin Zeng
18,Linwood  Ding
19,Endymion Ashton Liu
22,Pender Shirley
26,Jackson Boulware-Johnson
27,Max Selleck
32,Turner Highsmith
42,Quinn Doyle
44,JD Woodruff
59,Harrison Berg
64,Marcus Needham
69,Andy Chin
73,Maxwell Buzzard
99,Ian O'Fallon
b,r,e,a,k
Madison MUFAbots U17B,20
teamInfo,,"Madison, Wisconsin",,,https://twitter.com/u17_Mufabots_B
coaches,Maya Banks,Anna Lane,Zachary Swanson,Kelsie Tingle
00,Hayden West
02,Ian Westerberg
03,Emmett Orkowski
04,Arthur Carne
07,Evan Natzke
08,William Helmberger
11,Jonathan Hull
13,Aidan Obregon
14,Gannon Jefcoat
16,Jamison Williams
17,Levi Hasse
18,Erin Niesen
19,Erick Larson
21,Kian Stolte
22,Miles King
24,Russell Hellmer
26,Cooper Kleibor
28,Luca Dolezalek
31,Leart Zhubi
34,Jacob Reiter
53,Harry Jin
55,Kendrick Koehler
56,Logan WileyMatusen
74,Camden Portman
81,Eli Hiebert
88,Conner Roth
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
BUDA U17 Boys,Flying Piglet,15,1,"08/06/2022, 12:45",Pool A,Final
Utah Swarm U17 Boys,Aftershock,10,15,"08/06/2022, 15:30",Pool A,Final
BUDA U17 Boys,Michigan Stubble,15,5,"08/06/2022, 15:30",Pool A,Final
Utah Swarm U17 Boys,Michigan Stubble,13,9,"08/06/2022, 17:45",Pool A,Final
Aftershock,Flying Piglet,15,6,"08/06/2022, 17:45",Pool A,Final
Utah Swarm U17 Boys,Flying Piglet,15,4,"08/07/2022, 08:30",Pool A,Final
Michigan Stubble,Flying Piglet,13,10,"08/07/2022, 10:45",Pool A,Final
BUDA U17 Boys,Aftershock,14,11,"08/07/2022, 10:45",Pool A,Final
Aftershock,Michigan Stubble,15,9,"08/07/2022, 13:30",Pool A,Final
Utah Swarm U17 Boys,BUDA U17 Boys,8,15,"08/07/2022, 13:30",Pool A,Final
pool,Pool B
DEVYL U-17,Davis Spokes,15,2,"08/06/2022, 12:45",Pool B,Final
MN Superior U17,Texas Double Trouble,15,3,"08/06/2022, 15:30",Pool B,Final
DEVYL U-17,Colorado Cutthroat Youth Club U-17 Boys,13,8,"08/06/2022, 15:30",Pool B,Final
MN Superior U17,Colorado Cutthroat Youth Club U-17 Boys,15,4,"08/06/2022, 17:45",Pool B,Final
Texas Double Trouble,Davis Spokes,9,12,"08/06/2022, 17:45",Pool B,Final
MN Superior U17,Davis Spokes,15,1,"08/07/2022, 08:30",Pool B,Final
Colorado Cutthroat Youth Club U-17 Boys,Davis Spokes,15,7,"08/07/2022, 10:45",Pool B,Final
DEVYL U-17,Texas Double Trouble,15,4,"08/07/2022, 10:45",Pool B,Final
Texas Double Trouble,Colorado Cutthroat Youth Club U-17 Boys,11,12,"08/07/2022, 13:30",Pool B,Final
MN Superior U17,DEVYL U-17,12,8,"08/07/2022, 13:30",Pool B,Final
pool,Pool C
ATLas,Lucky PuNCs,15,4,"08/06/2022, 12:45",Pool C,Final
Oregon Eclipse,Nightmare,15,5,"08/06/2022, 15:30",Pool C,Final
ATLas,Philadelphia Padawans,9,12,"08/06/2022, 15:30",Pool C,Final
Oregon Eclipse,Philadelphia Padawans,11,12,"08/06/2022, 17:45",Pool C,Final
Nightmare,Lucky PuNCs,10,9,"08/06/2022, 17:45",Pool C,Final
Oregon Eclipse,Lucky PuNCs,15,4,"08/07/2022, 08:30",Pool C,Final
Philadelphia Padawans,Lucky PuNCs,15,5,"08/07/2022, 10:45",Pool C,Final
ATLas,Nightmare,15,7,"08/07/2022, 10:45",Pool C,Final
Nightmare,Philadelphia Padawans,7,12,"08/07/2022, 13:30",Pool C,Final
Oregon Eclipse,ATLas,9,7,"08/07/2022, 13:30",Pool C,Final
pool,Pool D
NC Hammer,Madison MUFAbots U17B,15,4,"08/06/2022, 12:45",Pool D,Final
Seven Hills U17 Open,OAK Sparks,8,9,"08/06/2022, 15:30",Pool D,Final
NC Hammer,Capitol Heights,6,11,"08/06/2022, 15:30",Pool D,Final
Seven Hills U17 Open,Capitol Heights,10,12,"08/06/2022, 17:45",Pool D,Final
OAK Sparks,Madison MUFAbots U17B,15,3,"08/06/2022, 17:45",Pool D,Final
Seven Hills U17 Open,Madison MUFAbots U17B,15,5,"08/07/2022, 08:30",Pool D,Final
Capitol Heights,Madison MUFAbots U17B,15,5,"08/07/2022, 10:45",Pool D,Final
NC Hammer,OAK Sparks,6,15,"08/07/2022, 10:45",Pool D,Final
OAK Sparks,Capitol Heights,12,11,"08/07/2022, 13:30",Pool D,Final
Seven Hills U17 Open,NC Hammer,15,2,"08/07/2022, 13:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
OAK Sparks,MN Superior U17,11,15,"08/08/2022, 14:00",Finals,Final
BUDA U17 Boys,OAK Sparks,11,15,"08/08/2022, 10:45",Semifinals,Final
Capitol Heights,MN Superior U17,10,15,"08/08/2022, 10:45",Semifinals,Final
BUDA U17 Boys,DEVYL U-17,13,12,"08/07/2022, 15:45",Quarterfinals,Final
OAK Sparks,Oregon Eclipse,13,10,"08/07/2022, 15:45",Quarterfinals,Final
Philadelphia Padawans,Capitol Heights,10,15,"08/07/2022, 15:45",Quarterfinals,Final
MN Superior U17,Aftershock,15,6,"08/07/2022, 15:45",Quarterfinals,Final
bracket,Third Place
BUDA U17 Boys,Capitol Heights,14,12,"08/08/2022, 13:00",3rd Place,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Fifth Place Bracket
DEVYL U-17,Philadelphia Padawans,15,6,"08/08/2022, 10:45",5th Place,Final
DEVYL U-17,Oregon Eclipse,15,11,"08/08/2022, 08:30",5th Place Semifinals,Final
Philadelphia Padawans,Aftershock,13,12,"08/08/2022, 08:30",5th Place Semifinals,Final
bracket,Seventh Place
Oregon Eclipse,Aftershock,13,11,"08/08/2022, 10:45",7th Place,Final
bracket,Ninth Place Bracket
Seven Hills U17 Open,Colorado Cutthroat Youth Club U-17 Boys,15,8,"08/08/2022, 13:00",9th Place,Final
Utah Swarm U17 Boys,Seven Hills U17 Open,5,15,"08/08/2022, 08:30",9th Place Semifinals,Final
NC Hammer,Colorado Cutthroat Youth Club U-17 Boys,10,13,"08/08/2022, 08:30",9th Place Semifinals,Final
Utah Swarm U17 Boys,Davis Spokes,14,13,"08/07/2022, 15:45",9th Place Quarterfinals,Final
Seven Hills U17 Open,Nightmare,15,4,"08/07/2022, 15:45",9th Place Quarterfinals,Final
ATLas,NC Hammer,8,10,"08/07/2022, 15:45",9th Place Quarterfinals,Final
Colorado Cutthroat Youth Club U-17 Boys,Michigan Stubble,12,9,"08/07/2022, 15:45",9th Place Quarterfinals,Final
bracket,Eleventh Place
Utah Swarm U17 Boys,NC Hammer,10,13,"08/08/2022, 13:00",11th Place,Final
bracket,Thirteenth Place 
Davis Spokes,Michigan Stubble,11,13,"08/08/2022, 13:00",13th Place,Final
Davis Spokes,Nightmare,13,8,"08/08/2022, 10:45",13th Semifinals,Final
ATLas,Michigan Stubble,9,10,"08/08/2022, 10:45",13th Semifinals,Final
bracket,Fifteenth Place
Nightmare,ATLas,7,10,"08/08/2022, 13:00",15th Place,Final
bracket,Seventeenth Place Bracket
Madison MUFAbots U17B,Texas Double Trouble,10,8,"08/08/2022, 10:45",17th Place,Final
Flying Piglet,Madison MUFAbots U17B,7,14,"08/08/2022, 08:30",17th Semifinals,Final
Texas Double Trouble,Lucky PuNCs,11,6,"08/08/2022, 08:30",17th Semifinals,Final
bracket,Nineteenth Place
Flying Piglet,Lucky PuNCs,10,11,"08/08/2022, 13:00",19th Place,Final
b,r,e,a,k
