TCT Elite-Select Challenge 2022 - Indy Invite,Club - Mixed ,20,8,2022
Indianapolis,IN,2022-08-20,2022-08-21
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2022/schedule/Mixed/Club-Mixed
XIST,1
00,Natalia De Jesus
03,Abagael Cheng
04,Nola Kim Mayer
06,Ryan Drost
07,Luisa Maria Neves
08,Michael Drost
10,Tricia Smit
11,Nina Finley
12,Matthew Lemar
16,Elias Levey-Swain
17,Oliver Chartock
18,Caitlyn Hauswirth
19,Eliot Bemis
26,Cara Sieber
27,Griffin Kao
29,Oscar Kohut
30,Josue Alorro
36,Matt Wiener
42,Daniel Thornton
55,Kathy Eo
64,Benjamin Levy
80,Hannah Garfield
87,Emma Chin
88,Nicole Hair
99,Tobias Paperno
b,r,e,a,k
Flight Club,9
 ,Alex Flamm
 ,Ciaran Shaughnessy
 ,John Stavinga
 ,Michael Armstrong
0,Lucia Wei
0,Mackenzie Timbel
0,Madison Boyd
0,Meagan Fairchild
0,Michael Faaborg
0,Daniel Leo Hogan
0,Andrew Muller
0,Anna Zucchero
0,Scott Harper
0,Thomas Echols
12,Benjamin Godwin
13,Linda Jencyowski
15,Ellie Wood
22,Ellie Hasenohr
32,Rachel Stockdale
b,r,e,a,k
Steamboat,8
00,Jesse Jenkins
01,Scott Schriner
03,Mary Timmons
04,Nathan Hershberger
05,Ryan Gorman
06,Lula Dutille
07,Michael Partusch
10,Derek Raufeisen
12,Sarah Haynie
16,Elizabeth Burkhardt
20,Thomas Palermo
22,Brittany Winner
24,Michael Settles
25,Gabriella  Enders
26,Hannah Hainje
27,Kyle Brun
28,Jeff Haney
31,Emma Schroder
32,Victoria Smith
33,Austin Winner
42,Kelly Kerker
50,Ryan Walker
54,Jacob Fields
66,Daniel Conrad
78,Aidan Stevens
b,r,e,a,k
Trex Mix,16
 ,Eden Ogren
 ,Felicia Bratti
 ,Jonathan Rosen
01,Andrew Carr
02,Gordon (Gordy) Sjostrom
03,Trimon Lamson
04,Magalie Chapman
07,Luke Groom
10,Kelly Ross
11,Andrew Bustle
12,Chelsea Baker
13,Nathan Morgan
17,Kelsey  Dober
18,Molly Cropsey
22,Austin Eilbeck
24,Sara Barkley
25,Alora Reiff
33,Anna Longhurst
