TCT Elite-Select Challenge 2022 - Indy Invite,Club - Men ,20,8,2022
Indianapolis,IN,2022-08-20,2022-08-21
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2022/schedule/Men/Club-Men/
Doublewide,1
0,Kolbe Bauer
02,Kaplan Maurer
06,Michael Matthis
07,Trevor Elam
09,Jason Hustad
10,Alec Wilson Holliday
11,Reese Bowman
12,Ferdia  Rogers
12,Noah Chambers
13,Robert Lewis
14,Mark Evans
19,Kevin Richardson
20,Chase Cunningham
24,Rory Orloff
27,Kyle Henke
42,Patrick  Beckett 
43,Joseph Wylie
50,Matthew Armour
63,Henry Furuta
69,Jeremy Keusch 
69,Lucien Noël
69,Tadhg Deevy
99,Sam Murphy
b,r,e,a,k
Garden State Ultimate,9
0,Donovan Hugel
0,Michael Dzelzgalvis 
00,Miles Eckardt
03,Cole Stevens
05,Brian Magerr
06,Dmitry Suvorov
08,Alex Greene
13,Eli Weaver
14,James Kennelly
18,Vincent Calderon
19,Drew Rasmussen
20,Andrew O'Connor
22,John Sickles
24,Dyllon Jeng
27,Matt Krauss
47,Matthew Ballman
63,Alec Bakholdin
69,David Hwang
77,Alexander Jirele
80,John Irvine
b,r,e,a,k
Trident I,8
0,Alex Straczek
0,Brian Rathunde
0,Cal Tornabene
0,Daniel Miller
0,Daniel Vockeroth
0,Girolamo S Kelly
0,Jacob  Cuthbert
0,Joe Cercello
0,Josh Deeman
0,Joshuah Kapilivsky
0,Justin Forman
0,Milan Rivas
0,Nathan Kinsinger
0,Nicholas Golini
0,Reid Martin
0,Reno Brinn
0,Ricky Ramirez
0,Ryan Smith
0,Samuel Tagle
0,Scott Hearne
0,Seokhee Burningham
0,Tanner Graham
0,Trevor Scott
0,Tyler Barrett
0,Will Frolich
0,Zach Kieffer
b,r,e,a,k
I-69,16
01,Nathan Bussberg
02,Parker Harding
03,Noah  Wahl
05,Gavin Hensley
06,Matthew Weaver
08,Jake Wahl
09,Jack Kempe
11,Mace Chope
13,Ryan Smith
17,Jason Kempe
18,CJ Knarr
19,Cole Fuss
22,Logan Williams
27,Ryan McCann
38,Jack Galle
64,Benjamin Close
69,J.J. Yarbrough
69,Eli Mock
69,Adam Whitton
69,Joel Close
69,Joseph Cari
90,Kendrick Hougen
91,Hank Havlin
92,Anthony Grigoletti
b,r,e,a,k
Vault,2
00,Jarrod Banks
01,Max Cassell
03,Brandon Lamberty
05,John Walden
06,Dane Warner
07,Steven Wartinbee
08,Kristopher Harrison
10,Matthew Neeley
11,Peter Mancini
14,Lloyd Blake
15,Garrett Braun
18,Kevin Healey
20,David Zimmerman
21,Jack Field
23,Matthew Beaudet
24,Tim Jackson
25,Jeremy Knopf
27,Austin Bartenstein
30,Cam Barnhardt
31,Kevin O'Malley
32,Alex Turney
37,Miles Grovic
76,Matt McGoogan
84,Daniel Friedman-Brown
89,Sean Phippen
99,Adam Weiss
b,r,e,a,k
Omen,7
0,Alex Hamilton
0,Benny Rider
0,Bryan Walsh
0,Calvin Caldwell
0,Chris Ellis
0,Dylan Hall
0,Elliot Skindzier
0,Eric Brinkman
0,Jack Havey
0,Jake Kenniv
0,Jared Regruth
0,Joshua Wu
0,Joshua Venegas
0,Kyle Romard
0,Kyle Murray
0,Matthew Simpson
0,Michael Bruggeman
0,Michael Ames
0,Mike Finke
0,Nate Berman
0,Noah Krumme
0,Rick Gross
0,Ryan Hummel
0,Tim Settles
0,William Wettengel
0,Zachary Ford
b,r,e,a,k
Mallard,15
0,Adam Meckstroth
0,Aiden  Lomen
0,Asa Bowen
0,Becker Mathie
0,Cash Barber
0,Eric Crosby Lehmann
0,Erik Aadalen
0,Garrett Geib
0,Joe Bosshardt
0,Jordan Wright
