Cooler Classic 29,Club - Mixed ,19,8,2017
Hartland,WI,2017-08-19,2017-08-20
https://play.usaultimate.org/events/Cooler-Classic-29/schedule/Mixed/Club-Mixed
Thoroughbred,4
0,Allen HOOPER
0,Mason Zetsch
0,Michael Brooks
2,Bryan Esmond
2,Greg Maier
4,Hannah Volpert-Esmond
6,Kathleen Horton
7,Michael Faaborg
9,Stephenie Wang
10,Natalie Gould
12,Kyle Bowie
13,Megan Epperson
16,Max Morgan
16,Sarah Kaufman
19,Cameron Sisler
21,Daphne Branham
23,Laura Halfmann-Morris
26,Grant Eschmann
28,Chase Johnson
33,Elizabeth Honigfort
44,Julianne Crockett
45,Matthew Branham
54,Jack Carmichael
70,Matt Francis
84,Timothy Halfmann-Morris
99,Spencer Hollenbach
b,r,e,a,k
Risky Business,5
0,Eric Miles
0,Laura Reed
2,Holly Lin
4,Arthur Corbitt
5,Bryan Rowes
7,Christopher Schultz-Davis
7,Austin Reed
7,Tim Records
8,Elise Path
11,Megan Pleshek
13,Senna Nilsson
14,Kristopher Dapprich
18,Christina Jones
21,Blake Abbott
23,Angga Widodo
25,Jen Kim
37,Andrew Morton
88,Zoey Clark
99,Richard Bovio
b,r,e,a,k
Toast,1
0,Brendan Schwalm
0,Brian Jager
0,Corie Auger
0,Gabriel Anzivino
0,Lydia Korodan
0,Mark Brown
0,Jessica Cooney-Davis
1,Michael Mansfield
2,Evan Winer
6,Richard Willms
7,Logan Bollaert
13,David Danks
15,Brittany  Dooley
16,Samantha Phillips
17,Connor Lukas
19,Aaron Riess
20,Zach Jawahir
22,ANDREW WADAGA
22,Jamie Petroelje
29,Charles Blum
31,Rachel Danks
32,Justine Volz
84,Michael Weber
b,r,e,a,k
Wingdings,8
0,Jeremy Randolph-Flagg
01,Anna Bruns
05,Matt Stoker
06,Rachel Stumphauzer
07,Alyssa Bohlender
09,Chandler Good
10,Brian Lucido
11,Andrew Weeks
13,Taylor Reth
14,Katie Walther
17,Cassandra Doody
18,Anna Austin
20,Katherine Goode
21,Bryan Richter
24,Curtis Nuzback
26,Kara Mohs
27,Scott Ehlinger
28,Niko Beauchamp
34,Devon Graham
40,Daniel Schoen
42,Carter Genrick
54,Alec Sauerbrei
55,Sarah Stoker
80,Joseph Kosterman
91,Isaac Johnson
99,Jacob Badger
b,r,e,a,k
Minnesota Star Power,3
0,Ashley Green
0,Benjamin Longchamp
0,Brandon Haus
0,David Canillas
0,Eric Vandermolen
0,Julia Clare
4,Tanya Natwick
7,Danica Cutshall
8,Lloyd Vogel
9,Ben Roske
10,Alex Kensgaard
11,Rachel Thompson
16,Lisa Barnes
17,Alex Ma
18,Kianna Elahi
22,Daniel Martin
23,Christopher McCrory
27,Jessie Lambert
29,Kelsey Peterson
37,Ming Cheng Chew
