Trouble in Vegas 2017,College - Men ,25,3,2017
Las Vegas,NV,2017-03-25,2017-03-26
https://play.usaultimate.org/events/Trouble-in-Vegas-2017/schedule/Men/CollegeMen/
Florida,1
teamInfo,Florida,"Gainesville, Florida",www.ufultimate.com,https://www.facebook.com/floridaultimate,https://twitter.com/FloridaUltimate/
02,Billy O'Bryan
03,Jose Varillas
05,Kyle Fray
06,Danny Bishop
07,Ryan Hiser
08,David Pincus
09,Maxwell Oierovich
10,Ricardo Rodriguez
12,Brandon Turnage
13,William  Field
15,Tanner Repasky
16,Ryan Goetz
17,Alexander Fischer
18,Hayden Wachob
23,Jonathan  Beaubrun
24,Alec Cutajar
25,Unmil Patel
26,Matthew Molinaro
29,Hayden Chappel
35,Parks Weatherford
39,Evan Murray
55,Logan Storts
77,Javier Sahagun
96,Donovan Johnson
b,r,e,a,k
Arizona State,4
teamInfo,Prime,"Tempe, Arizona",http://www.arizonastateultimate.com/,https://www.facebook.com/ASUPRIME,https://twitter.com/ASU_Ultimate
01,Evan Iacono
02,Maxfield Stackpole
03,Jonathan Bridges
06,Shawn Courson
07,Jacob Mumme
09,Colin Parker
10,Aaron Flegenheimer
11,Carter Szukala
11,Clifford Capria
12,Bernhard Winklehner
17,Michael King
20,Raul Lizalde
21,Trevor Lattimore
23,Julian Prime
24,Andrew Doe
24,Samuel Sutton
30,CONNOR ROTH
32,Brandon Thomas
33,Brian Dryden
37,Bennett Christoffersen
39,Kevin Cranmer
69,Blaine Farber
87,Logan Martin
88,Andrew North
b,r,e,a,k
UCLA,5
teamInfo,Smaug,"Los Angeles, California",http://smaugultimate.com/,https://www.facebook.com/UclaSmaugUltimate,https://twitter.com/uclaultimate
0,Alex Gu
0,BEN KRAHENBUHL
0,Dylan Neff
0,Jarett King
0,Konrad Niemiec
0,Matthew Yee
0,Noah Anderson
0,Paul Ramstad
0,Ruochen Wang
4,Michael Peng
10,Suraj Patel
18,Geoffrey Iyer
19,Joseph Schatzlein
23,Evan Soskin
32,Eric Siegel
38,Conor McNamara
50,Ram Goli
62,Thomas Mendoza
85,Siddhesh Naik
b,r,e,a,k
North Texas,6
teamInfo,UNT illeagles,"Denton, Texas",,,
0,BRANDON LOCKLEAR
0,Brandon Martin
0,Cameron Young
0,Eian Brent
0,Johnathan Kirtland
0,Mitch Fruth
0,Slayter Marwitz
4,Kendall Williams
9,Benjamin Meaders
11,Grayson Gummelt
15,Corey Gendron
17,Matt Klespis
21,Connor DeLuna
55,Jacob Hanson
77,Ian Ambrose
b,r,e,a,k
Southern California,3
teamInfo,USC Lockdown,"Los Angeles, California",https://www.facebook.com/uscmensultimate/,https://www.facebook.com/uscmensultimate/,https://www.twitter.com/uscmensultimate/
0,Ethan Gahr
0,Ghenki Okumoto
0,Jordan Chock-Wong
0,Reece Matsumoto
0,Rowan McEvoy
1,James Toh
2,Sam Cook
3,Ricky Kirkpatrick
3,Edwin Chen
4,Wyatt Paul
10,Shawn Chang
11,Chris Holmes
13,Matt Burke
17,Alex Koh
23,Michael Wilson
26,Alexander Tovar
29,David Sealand
35,Jasper McEvoy
45,Michael Sylvester
55,Drew Okenfuss
88,Gideon Elson
94,Jacob Kulakofsky
b,r,e,a,k
Arizona,2
teamInfo,Sunburn,"Tucson, Arizona",sunburnultimate.com,https://www.facebook.com/SunburnUltimate,https://twitter.com/SunburnUltimate
0,Brandon Alessini
0,Garrett Hable
0,Jake Hageman
0,Jaron Omololu
0,Kevin Dwork
0,Lorenzo Dova
0,Matthew Estremera
0,PRESTON KRAMER
0,Spencer Anderson
0,Trevor Smith
2,Zack Erlick
3,Logan Ashen
5,Martin Niemiec
12,Casey Tompa
13,Evan Baker
14,John Patinella
16,Ethan Bolze
17,Tripp Turchik
21,Mark Piazza
22,Jordan Lisse
23,Alexander Prescott
25,Chris Baker
28,Ben Taylor
32,Austin Vandenburgh
54,Jule Streety
b,r,e,a,k
Utah State,8
teamInfo,USULT,"Logan, Utah",,,
0,Alan Huang
0,Daniel  Clyde
0,Jabari Jones
0,Jacob Stachewicz
0,JACOB MANNA
0,Joseph Stringham
0,Kyle Gregerson
0,Nathan Long
0,Rhett  Ballantyne
0,Skyler Jones
2,Derek Smith
7,Brandon Pedersen
15,Garrett Martin
19,Dusty Johnston
21,Sawyer Brooks
23,Bradley Collette
28,Daniel Durham
32,Cheston Gray
88,Christian Berger
b,r,e,a,k
Chico State,7
teamInfo,Chico State Wildcats,"Chico, California",,https://www.facebook.com/pages/Chico-State-Ultimate-Frisbee/194149750609051,
0,Daniel Farmer
0,David Roderick
0,David Contreras
0,Devin Mitchell
0,Dominic La Frantz
0,Elliot Lopez
0,Eros  Escalona-White
0,Grant Barr
0,Gregory Williams
0,jaime reynoso
0,Logan Martin
0,Luke McCallin
0,Matt Logoteta
0,Nicholas Jensen
0,Nicholas Dahms
0,Nick McConnell
0,SAMUEL BRANSKY
0,Zachary Giovannini
0,Andrew Matheson
0,John Olivas
0,Jordan Pech
7,Jesus Alfaro
11,Austin Barden
44,Joshua Katzki
b,r,e,a,k
Nevada-Reno,24
teamInfo,Elevation Ultimate,"Reno, Nevada",,,
0,Benjamin Wagner
0,Gerald Roscom
0,Trevor Sollberger
1,Daniel Ortiz
2,John Whiting
3,Ryan Takayama
4,Pete Marshall
8,Austin Lee
9,Thomas Fiock
14,Robert Eardley
15,Brent Moore
17,Eric  Nielsen
21,Josh Krieger
22,BRANDON PURDY
23,Gabriel Camacho
29,Dillon Carroll
30,Donne Lenard Lomugdang
35,Raymond Lopez
77,Daniel Eitzman 
94,Ryan Schoenfeld
96,Jakob Stoner
99,Davis Ruggles
b,r,e,a,k
Colorado State (B),20
teamInfo,Hibida,"Fort Collins, Colorado",,,
06,Andreas Johnson
08,Tanner Foreman
10,Kenny Bui
19,Travis Michels
23,Nick Banks
25,Ted Dhanens
26,Jonathan  Wegleitner
27,Kenneth Rathmann
28,Liam Ladd
29,Maxwell Kinney
32,Benjamin Rohleder
33,Ethan  Jablonow 
35,Samuel Frisz
37,Cameron Cross
42,Ryan Montagne
52,Jackson Turner
64,Zac Seitz
67,Corey Clark
77,Joel Cavaliere
84,Zach Valadez
89,Michael McCaffery
99,Joseph (Joey) Leduc
b,r,e,a,k
Fresno State,22
teamInfo,Rabid,"Fresno, California",,,Twitter.com/FS_ULTIMATE
05,Brandon James
06,Paul Tieche
07,Geffin Vera
10,Rayanne Kapigian
12,Royden Gillespie
14,Anthony Perez
24,Daniel Herren
47,Christopher Kennedy
63,Felicia Perez
b,r,e,a,k
Santa Clara,28
teamInfo,SCAB,"Santa Clara, California",,,
0,Charles Hunter
0,CHRIS WAGERS
0,CONNOR RILEY
0,Devan Hollar
0,Henry Brown
0,Ian Watts
0,Jack Carlson
0,Jacob Bennett
0,Jason Vassallo
0,Jeffrey Stein
0,Jonathan (Jonny) Netz
0,Liam Scobey-Polacheck
0,Matt Kordonsky
0,Sean Leeper
0,Stephen Aubuchon
0,Taylor Darby
3,Sean Backes
12,Michael Fodor
13,James Kipper
23,Ryan Messersmith
24,Nicholas Farren
29,Travis Vickers
55,Matthew Kamimura
b,r,e,a,k
Grand Canyon,23
teamInfo,Lopes,"Phoenix, Arizona",,,
0,Adam Barth
0,Adrian Aguilar
0,Corbin Laird
0,Cory Fisher
0,Jonas Lundgren
0,Richard Younger
1,Kayla Ramirez
2,Micah Gross
6,Jacob Bland
16,Austin Anderson
b,r,e,a,k
Southern California (B),29
teamInfo,USC Combo,"Los Angeles, California",https://www.facebook.com/uscmensultimate/,https://www.facebook.com/uscmensultimate/,https://www.twitter.com/uscmensultimate/
0,Brandon Cen
0,Cady Gooding
0,Charlie Long
0,Daniel Mansperger
0,Derek Corbin
0,Devin Rousso
0,Kenta Ito
0,Nathan Chau
0,Neil Tewksbury
16,Lian Lash-Rosenberg
19,Alex Mietchen
b,r,e,a,k
Northern Arizona,31
teamInfo,El Ponderoso,"Flagstaff, Arizona",,,https://twitter.com/ElPonderosoNAU
0,Brad Wylam
4,Ricardo Nunez
01,Jason Sokol
02,Zach Nollette
09,Brent Acomb
10,Harry Bell
11,Reid Kemp
12,Michael Gehrke
15,D Owen Paetkau
19,Nathan Stauffer
21,Hayden  Hoekstra
22,Samuel Heck
25,Ben Goulet
42,Hunter Stuits
48,Garrett Murphy
49,Tyler Liddie
59,Alex St.Hippolyte
69,Evan Taylor
78,Rick John
91,Daniel Prejs
b,r,e,a,k
Occidental,26
teamInfo,Detox,"Los Angeles, California",http://www.detox-ultimate.com/,https://www.facebook.com/detoxultimate/,
coaches,Benjamin Potash
0,Adam Grammer
0,Brian Lavongtheung
0,Henry Robinson
0,Jack Allen
0,Peter Messner
0,Phillip Wong
2,Evan Sarafian
3,Nelson Rayl
6,Robert Zhang
10,Sam Hajduk
13,Greg Kleinman
13,Sergio Rodriguez
14,Ebram Naftzger
17,David Kimball
19,Spencer Goldman
22,Kade Cheatham
28,Hunter Weinreb
32,Will Shea
43,Luis Robles
55,Samuel Maury-Holmes
66,Griffin Morita
69,Jesse Moore
99,Drew Andersen
b,r,e,a,k
California-San Diego (B),15
teamInfo,Air Squids LITE ,"La Jolla, California",,,
0,Abel Martinez
0,Alexis Torres
0,Andrew Muro
0,Arik Singh
0,Armaan Ali
0,Ben Holladay
0,Brandon Babilonia
0,Chris Luke
0,Christopher Robinson
0,Chun-Cheng WU
0,Grant Hultquist
0,Jonathan Hanna
0,Kedar Pujara
0,Kenneth Magoon
0,Lucas Martz
0,Michael Ferialdi
0,Quomel Imani
0,Ryan Lee
0,Ryan Marquez
0,Thomas Worley
0,Tyler Koo
0,Tyler Nelson
0,Zachary Huang
0,Sean  Lo
3,Michael Huang
17,Brian Greenbaum
18,Roman Kitsela
27,Nicholas Vacchio
32,Ryan Pak
52,Kush Parmar
71,Storm Dotson
75,Gautam Ramesh
86,Alan  Chen
90,Alphonse Owirka
b,r,e,a,k
Colorado School of Mines,19
teamInfo,Entropy,"Golden, Colorado",,,
0,Brandon Price
0,Cameron Beaton
0,David Henningsen
0,Edward Arnheiter
0,James Miller
0,Joseph Pearse
0,Nicholas Rollman
0,Patrick Boyker
0,Randy Lemons
0,Sean Hinkle
0,Zacary Parkhill
0,Zachary Cotter
2,Tom Parry
5,Scott Jarriel
11,Caleb Bevers
12,Clayton Howeth
12,Nikos Jordan
21,Adam Shreck
26,Weston Mauz
42,Mark Jeska
44,Robert Beaver
56,John Arndt
69,Jared Parrish
77,Thomas Hennen
b,r,e,a,k
California (B),13
teamInfo,Thugmo,"Berkeley, California",,,
0,Timothy Ross
02,JOHN HO
04,Aidan Kahng
07,Jeremy Warner
10,Myron Liu
12,Edward Diven
17,John Diven
18,Howard Ki
22,Christopher Lung
23,David Campos
24,Erik Jorgensen
27,Jack Baumruk
28,Walter Wu
33,Austin Leung
47,Christopher Akers
58,Bertram Arnold
88,Jeffrey Liu
b,r,e,a,k
Caltech,16
teamInfo,Aftermath,"Pasadena, California",http://ultimate.caltech.edu/index.html,,
0,Aaron Young
0,Brigitte Rooney
0,Charles Dorn
0,Erika Ye
0,Hyunseong Kim
0,Kevin Yang
0,Leo Balestri
0,Michael Miller
0,Sarah Kreider
0,Thomas Alford
0,Vatsal Jhalani
3,Daryl Yee
5,Helena Wu
6,Alexander Cui
8,Bryce Edwards
9,Junno Tseng
11,Dominic Yurk
21,Sarang Mittal
24,Jonathan Cotler
26,Evan Yeh
27,Sophus Shackford
42,Somasundara Pandian
88,Peishi Cheng
96,Michael Lichterman
b,r,e,a,k
Pacific Lutheran,27
teamInfo,Reign,"Parkland, Washington",https://www.plu.edu/recreations/club-sports-teams/mens-ultimate-frisbee/,,https://twitter.com/plu_ultimate
0,Austin Coughlin
0,Daniel Kaiser
0,Jeffery Steehler
0,Sam Martinson
0,Torrin Laughlin
2,Ryan Ball
2,James Krick
3,Alex Lund
7,Elijah Grow-Hanson
7,Benjamen Acord
8,Robby Lambert
12,Joe Zak
13,Bryant Stone
20,Reza  Refaei
28,Nathan Adams
31,Clayton Regehr
44,Caleb LaVergne
64,Chris Anderson
b,r,e,a,k
Claremont,18
teamInfo,Braineaters,"Claremont , California",,,
00,Abhyudit Lohe
00,AVI ELKIN
00,BRUCE SERVICE
00,BRYCE MCLAUGHLIN
00,Elijah Falk
00,Gabriel Gluskin-Braun
00,Gavin Siegert
00,Gerard Bentley
00,Harrison Chotzen
00,Isaac Zinda
00,Joseph Esbenshade
00,Lukas DeSimone
00,MATTHEW  GRIFFITH
00,Owen Gillespie
00,Philip DiGiacomo
00,ROMAN ROSENAST
00,Samuel Warren
99,Jeremy Snyder
b,r,e,a,k
Nevada-Reno (B),25
teamInfo,Ascension,"Reno, Nevada",,,
0,Brad Daughtry
0,Chase McAninch
0,Cordel Bever
0,Jackson Sanders
0,Jacob Ellis
0,Justin Patrick
0,Thomas McCrone
0,Troy Warne
12,Alex Wilbanks
13,Trevor Olsen
b,r,e,a,k
New Mexico,30
teamInfo,HantaVirus,"Albuquerque, New Mexico",,https://www.facebook.com/unmmensultimate,https://twitter.com/HantaVirus_Ulti
0,Cyrus Stephens
0,Trent Spencer
6,INDIGO BROWN
02,Jason Denning
11,Kasey Anderson
13,Kevin Hedrich
16,Matt Shubert
18,SAMUEL ALBERT
23,Leroy Sandoval
24,Craig Still
32,Nathan Kennedy
44,Dinh Nguyen
b,r,e,a,k
Cal Poly-Pomona,11
teamInfo,Cow Ultimate,"Pomona, California",,https://www.facebook.com/CPPUltimate,https://twitter.com/cowultimate
0,Abin Thomas
0,Andrew Calinescu
0,Bruno Haesbaert
0,Caleb Jang
0,Daniel Ouk
0,Drew Gates
0,Eric Knorr
0,Isaac Porter
0,Joshua Agopian
0,Julian Salazar
0,Justin Nolan
0,Kevin Labbate
0,Matt Lambrose
0,Matt Theologidy
0,Michael LePage
0,Nathan Leong
0,Renato Perez-Ramirez
0,Yik Hin Wong
0,Zachary Perez
1,Zamin Aziz
2,Mateus Pinheiro
8,Christopher Chang
14,Andrew Kinkele
14,Knox Borges
22,Kyle Jepsen
26,Blake Ferguson
26,Christopher Tait
69,Jonathan Horton
99,Brandon Yee
b,r,e,a,k
California-Irvine,14
teamInfo,Nightlife,"Irvine, California",https://www.facebook.com/mensultimateatuci/,https://www.facebook.com/mensultimateatuci/,https://twitter.com/irvineultimate
0,Evan Ishida
0,Jose Loli
3,Kenneth Lee
4,Daniel Park
8,John Morgan
9,Liam Drennan
22,"Jeremy ""River"" Rhoan"
27,Alvin Gao
37,Aidan  Carrigan
49,Elliott Allison
50,Wayne Lu
69,Calvin Belcher
b,r,e,a,k
Arizona (B),9
teamInfo,Swashbucklers,"Tucson, Arizona",sunburnultimate.com,,
0,Matthew Grijalva
0,Peter Rosado
0,Quinton Fitzpatrick
0,Jared Averett
0,Kyle Ellison
0,Sam Freitas
0,Wesley Bohult
11,Kyle Fullerton
13,Sean Tamboer
55,Raymond Rash
b,r,e,a,k
Arizona State (B),10
teamInfo,Pleasure Ultimate,"Tempe, Arizona",www.arizonastateultimate.com,https://www.facebook.com/pages/Pleasure-Ultimate/428479377237462,https://twitter.com/pleASUre_ult
coaches,GREG SCALIA
02,Justin Wilk
04,Michael Furey
05,Cole Davis
07,Tymur Vidyakin
08,Barrett Bromich
09,Anthony Prosceno
10,Ben Nagele
12,Christian Menke
13,Kolton Nelder
14,Tyler Prime
17,Brandon Karlin
21,Jack Lechich
23,Mauricio Muller
29,Robin Skaria
33,Danny Holton
42,Michael Nassief
44,Vishal Mehta
59,Brent Poynter
59,Benjamin Roth
68,Jared LeBlanc
69,Andrew Trichak
74,Sean Randall
77,Japheth Gielen
86,Timothy Snelling
96,Conner Propst
97,Tyler Mebane
b,r,e,a,k
Colorado-Denver,21
teamInfo,Frostbite,"Denver, Colorado",,,
0,Alex Kacsh
0,Arian Anderson
0,Casey Hodges
0,Chad LeFebre
0,Cruz Alvarez-Machado
0,Dakota Chauncey
0,Donovon Locke
0,Matthew McCoo
0,Ryan Fleury
0,Sam Wilson-Moses
0,Scott Cao
0,Tyler LeFant
4,Corey Nuechterlein
29,Garrett Blacksten
b,r,e,a,k
Utah Valley,17
teamInfo,CHOMP,"Orem, Utah",,,
00,Craig Larsen
02,John Scott
04,Jordan Floyd
05,Hunter Weintz
07,Tyler Devenberg
08,Brennen Clark
09,Tyler Zubak
11,Ethan Wimmer
16,PRESTON PARRIS
79,Peter Hsiung
97,TAYLOR DAVIDSON
b,r,e,a,k
Cal State-Fullerton,12
teamInfo,The Commute,"Fullerton, California",,,
0,Aaron Cordova
0,Alex arnoldus
0,Andrew Leonard
0,Austin Kroth
0,Denyz Melchor
0,Karen Barrales
0,Kristian Cuasay
0,Krystal Szumowski
0,Martin Espinoza
0,Victor Hernandez
0,Vivian Lao
5,Scott Luong
10,Jason Heh
17,Garrett Nichol
21,Hirschy Clein
b,r,e,a,k
s,t,a,g,e,s
pools,Black
pool,Pool A
Florida,North Texas,12,8,"03/25/2017, 12:00",Pool A,Final
Arizona State,UCLA,9,6,"03/25/2017, 12:00",Pool A,Final
Florida,UCLA,11,5,"03/25/2017, 13:30",Pool A,Final
Arizona State,North Texas,10,9,"03/25/2017, 13:30",Pool A,Final
Florida,Arizona State,13,5,"03/25/2017, 15:00",Pool A,Final
UCLA,North Texas,9,4,"03/25/2017, 15:00",Pool A,Final
pool,Pool B
Southern California,Utah State,12,11,"03/25/2017, 09:00",Pool B,Final
Arizona,Utah State,13,8,"03/25/2017, 10:30",Pool B,Final
Southern California,Arizona,10,6,"03/25/2017, 12:00",Pool B,Final
b,r,e,a,k
pools,Red
pool,Pool C
Colorado State (B),Fresno State,11,3,"03/25/2017, 11:40",Pool C,Final
pool,Pool D
Southern California (B),Santa Clara,0,13,"03/25/2017, 11:40",Pool D,Final
Santa Clara,Grand Canyon,13,1,"03/25/2017, 15:00",Pool D,Final
Southern California (B),Grand Canyon,4,13,"03/25/2017, 16:20",Pool D,Final
pool,Pool E
Occidental,Northern Arizona,5,8,"03/25/2017, 09:00",Pool E,Final
California-San Diego (B),Northern Arizona,3,13,"03/25/2017, 10:20",Pool E,Final
California-San Diego (B),Occidental,2,8,"03/25/2017, 11:40",Pool E,Final
pool,Pool F
Caltech,Colorado School of Mines,4,9,"03/25/2017, 09:00",Pool F,Final
California (B),Colorado School of Mines,3,13,"03/25/2017, 10:20",Pool F,Final
California (B),Caltech,9,6,"03/25/2017, 11:40",Pool F,Final
pool,Pool G
Claremont,Pacific Lutheran,4,8,"03/25/2017, 09:00",Pool G,Final
Nevada-Reno (B),Pacific Lutheran,1,13,"03/25/2017, 10:20",Pool G,Final
Nevada-Reno (B),Claremont,3,13,"03/25/2017, 11:40",Pool G,Final
pool,Pool H
Cal Poly-Pomona,California-Irvine,9,6,"03/25/2017, 09:00",Pool H,Final
Arizona (B),California-Irvine,4,10,"03/25/2017, 16:20",Pool H,Final
Cal Poly-Pomona,New Mexico,6,9,"03/25/2017, 16:20",Pool H,Final
Arizona (B),Cal Poly-Pomona,5,9,"03/25/2017, 17:40",Pool H,Final
New Mexico,California-Irvine,11,4,"03/25/2017, 17:40",Pool H,Final
Arizona (B),New Mexico,0,13,"03/25/2017, 21:00",Pool H,Final
pool,Pool I
Arizona State (B),Colorado-Denver,7,6,"03/25/2017, 09:00",Pool I,Final
Arizona State (B),Utah Valley,11,5,"03/25/2017, 16:20",Pool I,Final
Cal State-Fullerton,Colorado-Denver,2,12,"03/25/2017, 16:20",Pool I,Final
Arizona State (B),Cal State-Fullerton,8,7,"03/25/2017, 17:40",Pool I,Final
Colorado-Denver,Utah Valley,11,5,"03/25/2017, 17:40",Pool I,Final
Cal State-Fullerton,Utah Valley,6,9,"03/25/2017, 21:00",Pool I,Final
b,r,e,a,k
brackets,March Madness
bracket,Champ
Florida,Southern California,10,7,"03/26/2017, 14:30",Champ,Final
Florida,Arizona,12,9,"03/26/2017, 13:00",Final 4,Final
Nevada-Reno,Southern California,6,11,"03/26/2017, 13:00",Final 4,Final
Florida,Chico State,13,8,"03/26/2017, 11:30",Elite 8,Final
Santa Clara,Arizona,0,1,"03/26/2017, 11:30",Elite 8,Final
Nevada-Reno,Utah State,13,12,"03/26/2017, 11:30",Elite 8,Final
New Mexico,Southern California,10,13,"03/26/2017, 17:30",Elite 8,Final
California (B),Chico State,8,14,"03/26/2017, 10:00",Sweet 16,Final
UCLA,Santa Clara,10,12,"03/26/2017, 10:00",Sweet 16,Final
North Texas,Arizona,0,1,"03/26/2017, 10:00",Sweet 16,Final
Arizona State,Nevada-Reno,9,12,"03/26/2017, 10:00",Sweet 16,Final
Colorado School of Mines,Utah State,11,14,"03/26/2017, 10:00",Sweet 16,Final
New Mexico,Claremont,15,6,"03/26/2017, 16:00",Sweet 16,Final
California-San Diego (B),California (B),11,12,"03/26/2017, 15:00",2nd Rd,Final
Cal Poly-Pomona,Chico State,8,9,"03/26/2017, 15:00",2nd Rd,Final
Santa Clara,Northern Arizona,11,6,"03/26/2017, 15:00",2nd Rd,Final
North Texas,Colorado State (B),13,6,"03/25/2017, 16:30",2nd Rd,Final
