Great Lakes Mixed Regional Championship 2017,Club - Mixed ,23,9,2017
https://play.usaultimate.org/events/Great-Lakes-Mixed-Regionals-2017/schedule/Mixed/Club-Mixed
Steamboat,1
0,Jeff Kula
0,Kyle Romard
0,Michael Ames
0,Patrick McCarthy
0,Sarah Mondschein
2,Nancy Haskell
3,Eddie Mack
4,Katherine Claiborne
7,Brandi Skanes
7,Bryan Walsh
05,Ryan Gorman
08,Tim Settles
10,Evelyn Reding
10,Jennifer Golan
12,Josh Findley
13,Kristin Baxter
21,Scott Schriner
22,Brittany Winner
23,Nichole Kwee
24,Cara Sieber
24,Mya Hernandez
27,Christopher Powers
28,Jeff Haney
33,Austin Winner
38,Joe Mozloom Jr
77,Daniel Khoe
99,Kevin Kula
b,r,e,a,k
Hybrid,8
01,Kari Paine
02,KRISTOPHER COLEY
04,Zachary Barnhart
07,Elizabeth Benedetto
08,Jenna Ray
10,Megan Gordon
13,Benjamin Murphy
14,Caleb May
15,Alex Bertoia
17,John Goodwin
18,Erin McCann
21,Christina Hanson
24,Patrick Abeli
25,GARY GRANT
27,Bailey Besser
29,Ashton Hoffman
30,RYAN MARIOUW
31,Scott Hetu
33,Noah Fisher
35,Joseph Besser
42,Marissa Ray
46,Amy Stoddard
48,Hannah Gannon
66,Tia Esposito
92,Charlotte Wilson
b,r,e,a,k
Petey's Pirates,13
0,Daniel Shonk
0,Tyler Higgins
01,Gregg Vaillancourt
03,Austin Eilbeck
04,David Hazlett
05,Abigail Nypaver
07,Alexandria Hughes
11,Kerrie Rubadue
12,Alec Mathena
13,Adam Perks
14,Mary Beth Mueller
17,Kelsey  Dober
21,Kathryn Oehlman
24,Chelsea Ardle
27,Aaron Deal
30,Michael Hammond
31,James Zhang
37,Tony Donato
41,Eric Border
44,Josh Shamburger
49,Nathan Landry
64,Meredith McCormack-Mager
69,Jacob Brown
78,Tiffany Lim
80,Nathan Morgan
81,Glen Slejko
95,Kristen Behrens
b,r,e,a,k
Moonshine,12
