Bring the Huckus 7,College - Women ,25,2,2017
West Windsor Township,NJ,2017-02-25,2017-02-26
https://play.usaultimate.org/events/Bring-the-Huckus-7/schedule/Women/CollegeWomen/
West Chester,1
0,Ashley Gonzabay
0,Claire Seidler
0,Elissa Sutherland
0,Isabel Moroney
0,Kate Thoma-Hilliard
0,Katherine Westerlund
0,Laura Schlossman
0,Elizabeth Kisch
0,Lucy Beni
0,Michelle Wong
2,Hannah Baek
13,Diana Gonzabay
16,Kimberly Tan
18,Tiffani Teng
20,Camryn Yurcisin
28,Hannah Goh
31,Haley Enns
50,Heather Gray
b,r,e,a,k
Northeastern (B),24
teamInfo,Valkyries,"Boston, Massachusetts",http://www.ultimate.neu.edu/women/,https://www.facebook.com/pages/Northeastern-Valkyries-Womens-Club-Ultimate-Frisbee/261962653833898?fref=ts,
0,AVA WONG
0,Brianna  Considine
0,Camille Bahr
0,Caroline Hegg
0,Charlotte Brochu
0,Danielle DiRaddo
0,EMILY OBRIEN
0,Emma Katz
0,Eva Power
0,Grace Woodward
0,Katherine Murray
0,Meghan Gannon
0,Michelle Guerriero
0,Natalie Hopkins
0,Rebecca Sirull
0,Sara Shaker
0,Sophia Keins
0,Allison Leonard
14,Mei-An Nolan
23,SOPHIE KUSHEN
26,Ariel Bloch
b,r,e,a,k
Syracuse,17
teamInfo,Fox Force Seven,"Syracuse , New York",,https://www.facebook.com/FoxForceSeven,https://twitter.com/FoxForceSeven
00,Emily Heghmann
00,Perrine Wasser
07,Tanita Cheevaphantusri
08,Rachael Church
09,Elizabeth Jamison
22,Miranda Ciardulli
27,Rori Sachs
42,Claire Michaud
69,Angel Cai
96,Joann Li
b,r,e,a,k
College of New Jersey,18
teamInfo,Anarchy,"Ewing, New Jersey",,,
0,Evey Le
0,Haley Mosseri
0,Jackie Kaletski
0,Julia Lekht
0,Karaline Rosen
0,Karoline Perez
0,Katie LaBarbera
0,Lauren  Cascio
0,Alexa Anderson
0,Alyssa Beier
0,Rebecca Snyder
5,Camille Delacruz
11,Alexa Jones
12,Cara Silvestri
15,Miriam Meller
18,Nicole Montemarano
b,r,e,a,k
Hofstra,10
teamInfo,M45,"Hempstead, New York",,,
0,Haley McPartland
0,Jessica Siskind
0,Kathryn Krukowski
0,Lauren Small
0,Rachel Beaton
0,Urmila Gomes
7,Mary McFarlin
16,Barbara Marquez
18,Pauline Seibert
19,Kelsey Kresge
21,Carolina Carrera
23,Adelynn Murphy
24,Maureen Oliva
43,Kellie O'Brien
47,Miranda Pasquarella
73,Caitlin McCarthy
99,Emily Meredith
b,r,e,a,k
Ithaca,15
teamInfo,Kweezy,"Ithaca, New York",,https://www.facebook.com/pages/Kweezy-Ultimate/367488203319200,
0,Ariana Ross
0,Chloe Hart-Kindelberger
0,Jamie Kimelstein
0,Laurel Chase
0,Lindsay Darlow
0,Madeleine King
0,Margaret Seitz
0,Olivia  Pockette
0,Rowan Thorsland
0,Ryan Gravley
0,Taylor Zambrano
10,Tiara Borneman
73,Sarah Lamoureux
b,r,e,a,k
Drexel,23
teamInfo,Spitfire,"Philadelphia, Pennsylvania",http://drexel.edu/recathletics/club-sports/intro/Ultimate-W/,https://www.facebook.com/groups/652074421493804/,
01,Francesca Corna
08,Tiffany Linh
09,Angelina LaMastra
12,Emily Spishock
13,Haley Grunwald
16,Chesla Sayers
25,Rheanna Congdon
26,Erin Lyon
39,Inesse Hanna
53,Rachael Reich
b,r,e,a,k
Skidmore,22
teamInfo,Karabo Mosola,"Saratoga Springs, New York",,,
0,Alana Pogostin
0,Barbara Contin
0,Blair Warren
0,Clare McInerney
0,Grace Sowyrda
0,Isabel  Blumenthal
0,Neha Amatya
0,Nina Clemente
0,Olivia Ring
11,Miranda Coble
12,Megan Macomber
16,JESSIE HAMILTON
21,Isabella Bennett
22,Gina Pryciak
24,Karabo  Mosola
55,Gigi Ager
b,r,e,a,k
DEVYL,11
teamInfo,,"Westfield, New Jersey",,,
coaches,Ken Karnas
9,Rachel Tigol
00,Allison Huresky
00,Allison Chien
00,Amreeta Verma
00,Catherine Chen
00,Cidney Weng
00,Jesse Song
00,Jessica Zhao
00,Jocelyn Wang
00,Katherine Chang
00,Kathy Lee
00,Kimberly  Dang 
00,Lian Wong
00,Megan Ma
00,Minhee Han
