TCT Pro-Elite Challenge 2017,Club - Mixed ,8,7,2017
Aurora,CO,2017-07-08,2017-07-09
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2017/schedule/Mixed/Club-Mixed
Slow White,1
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/SlowWhiteUltimate/,https://twitter.com/SlowWhite_
0,Walker Hatchett
00,Shaun Krieger
00,Caitlin Go
00,Daniel Glatt
00,David Friedman
00,Patrick Barron
01,Alexi Zalk
02,Emilia (Mia) Bladin
04,Thomas Ferguson
09,Jeff Smith
10,Michael Miller
12,Christopher Waite
14,Hannah Baranes
15,Tannor Johnson
17,Kirsten Lundquist
19,Olivia Hampton
21,Stephen Sullivan
24,Andy Schachter
25,Alexander Trahey
26,Rachael Westgate
28,Vicki Chang
51,Caitlin Fitzgerald
89,Annie Fisher
b,r,e,a,k
Love Tractor,12
teamInfo,,"Denver, Colorado",http://www.lovetractorultimate.com/,https://www.facebook.com/lovetractorultimate/,https://twitter.com/love_tractor
coaches,Jesse Kuroiwa
01,Spencer Norman
02,CHRIS HART
03,Heather Kraft
04,David Protter
05,Jack (John) McShane
06,John (Clay) Heinzel-Nelson
07,Charles Furse
08,Matt Gleason
09,James Cantwell
10,Brian Carroll
11,Megan Henderson
12,Samuel Shearer
13,Christine Kamin
17,Brady Cowiestoll
18,STEPHANIE FROST
19,Garrett Moulder
22,Arthi Padmanabhan
23,Camden Kittredge
24,Hilary Egan
25,Kirsten Fahlbusch
26,Chloe Greene
29,Peter Gleason
33,David Kamin
35,Kate Pearson
41,Katie Patterson
91,Matthew Zemel
b,r,e,a,k
Ambiguous Grey,8
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/AmbiguouslyGrey,https://twitter.com/ambiguouslygrey
00,Shannon Tsai
01,Mason Gardner
02,Sara Peczkowski
03,ALANNA McKee
04,Kelly Ross
06,Thomas Piper
07,Peter MacArthur
08,Jillian Du
09,Jarnail Bajwa
11,Kevin Chiang
12,James (Jim)  Boley
15,Zachary Norrbom
17,Kyle Khalifa
18,Christine Valvo
19,Noah Newberger
21,Andrew Allen
22,Francoise Delisle
23,Emilio Craddock
25,Michelle Carey
27,Ernest Svenson
36,Rebecca Meeker
52,Tess Warner
70,Brian O'Hara
73,Mark Flores
