Big D in Little D Open Tournament 2017,College - Men ,4,2,2017
https://play.usaultimate.org/events/Big-D-in-Little-D-2017/schedule/Men/CollegeMen/
Colorado College,1
00,Augustus Catlin
00,Connor Nolan
00,Gabe Poehls
00,Landis Hackett
00,Luke Strohbehn
00,Martin Parks
00,Michael Greenberger
00,Nick Carpenter
00,Orren Fox
00,Patrick Ende
00,Patrick Mahoney
00,Shane Eckert
00,Tamman Montanaro
00,Trystan Alexander
00,William Rundquist
01,Clay Elliott
03,Sam Hale
11,Perry Fitz
16,Andrew Braverman
29,Grant Mitchell
39,Phillip Korolog
47,ISAAC RUBINSTEIN
50,Carl Anderson
71,Joel Fisher-Katz
73,Jason Bair
81,Abram Mamet
b,r,e,a,k
Kansas,10
0,Alex Przybylski
0,Bret Bergmeier
0,Brooks Hidaka
0,Caleb Robinson
0,Daniel Stahlhut
0,Isaac Powell
0,Jeremy Katz
0,Keaton Bowers
0,Owen Stegner
0,Taylor Ivey
0,Ulysses Hagedorn
5,Thomas Schreiber
12,Matt Primovic
13,Clarence Dennis
15,Neil Newsome
17,Jordan Bertholf
30,Lewis Lundy
35,Nicholas Bontrager
74,Jakob Yedo
89,David Stierwalt
b,r,e,a,k
Marcus,20
00,Cameron Breding
00,Dylan Venter
00,Eric Israelson
00,Gavin Davis
00,Hunter Burke
00,Jackson Potts
00,Justin MIlls
00,Manov Jain
00,Matt Chambers
00,Matthew Wilson
00,Omar (Leonel) Arellano
00,Simon Vickers
00,Will Dority
00,Zach Hensel
00,Alex Fernandez
00,Alexander McNiel
00,Andrew Stewart
26,Caleb Dixon
b,r,e,a,k
Texas-Arlington,11
0,Alan Rodriguez
0,Greg Loftis
0,Isaac Rooker
0,Nathaniel  Loper
4,Jonathan Conway
5,Colton McDorman
6,brady reeder
11,cole oyer
15,Frederick Christen
16,Jeremy Wilson
16,Logan Dillman
17,Darren Phillips
27,Andrew Fowler
42,Jason Breedlove
50,Barrett Kunkel
73,Vu Tran
77,Matthew McCormick
96,Joseph Lopez
b,r,e,a,k
Oklahoma (B),21
4,Abigail Baukus
00,J.D. Ingendorf
10,Casey Seitz
15,Caroline Bantug
31,Sam Baskin
34,Lily Shu
54,Logan Elliott
60,Nathan Richbourg
62,Kate-Lynn Walsh
69,Austin Gould
97,Taylor Poydence
b,r,e,a,k
John Brown,2
0,Bryson Cobb
0,Carlson Wakefield
0,Kent McDonell
0,Kevin Chen
0,Landon Jones
0,Nate Taylor
3,Anson Stoller
4,Thomas Friesen
5,Nolan Campbell
7,Parker Gulbranson
8,Austin Rider
02,Ryan Gulbranson
10,Jacob Bushlack
13,Bradley Herschend
14,Ethan Penner
15,Grant Bruner
17,Zachary Odell
18,Brendan Culp
19,Ethan Bolthouse
26,Jon Meyer
28,Garrit Headley
32,Drew Taylor
33,Jonathan Rothfus
66,Mark Belvardi
67,Spencer Patterson
74,Clinton Carroll
80,Josiah Johnson
81,Jacob Hash
96,Drew Fain
b,r,e,a,k
North Texas,9
0,Ben Montgomery
0,BRANDON LOCKLEAR
0,Brandon Martin
0,Brian gonzalez
0,Cameron Young
0,David Lowell
0,Eian Brent
0,Jared Rienfeld
0,Johnathan Kirtland
0,Larry Pate
0,Mitch Fruth
0,Peter Nguyen
0,Slayter Marwitz
0,Stewart Williamson
0,Ty Dolgener
0,Weston Lopez
4,Kendall Williams
9,Benjamin Meaders
11,Grayson Gummelt
15,Corey Gendron
16,Andy Evans
17,Matt Klespis
21,Connor DeLuna
55,Jacob Hanson
77,Ian Ambrose
b,r,e,a,k
Rice,12
0,Andrew Clifton
0,Collin Allen
0,Connor Stuart-Paul
0,Jack Kaplan
0,Luke Howe-Kerr
0,Nicholas Leisle
0,Patrick Kelly
0,Qufei An
0,Samuel Shadwell
3,Brian Walker
4,Austin Benavides
4,Adrish Anand
6,Alexander Heath
21,Sam Burke
23,Michael Young
b,r,e,a,k
Trinity,19
0,Alexander Han
0,Anthony Abshire
0,Breton Smith
0,Galen Curtis
0,Jack Parker
0,Matt Brant
0,Matthew Miller
0,Maxwell Bogue
0,Miles Fuqua
52,Brett Skogman
b,r,e,a,k
Baylor (B),22
0,Avery Heidemann
0,Carter Clark
0,Cody Humphrey
0,James Taw
0,Julian Hunter
0,Matt Giles
0,Ryan Harrington
0,Samuel Voss
0,Trent Rook
00,Aaron Logue
00,Kyle Stewart
14,Ryan Keller
28,John Eyre
32,Chad Rizenbergs
b,r,e,a,k
Oklahoma,8
00,Addison Fehl
00,Collin Dabbieri
00,Cyle Famuliner
00,Greg Olson
00,Joseph Dal Santo
00,Joseph Fortunato
00,Steven Wild
04,Ryan Kyle
06,Jason Christian
07,Logan Allen
09,Harper Stanfield
12,"Sam ""Suds"" Ward"
13,Cameron Guidry
14,Nathaniel Loyd
15,Andrew Turcotte
31,Kai Marshall
36,Christopher Leonard
38,Alex Mudd
44,Dillon Bruer
61,Stephen Wilson
99,Wesley Zhang
b,r,e,a,k
Texas Christian,3
0,Curtis Hansen
0,Luke Eidsvold
0,Jared Talton
0,Spencer  Fedich
0,Tommy Isenberg
0,Zach Hoepfl
02,William Baledge
03,Andrew Gillogly
07,Luke Reddick
08,Chris Pleshek
12,Andrew Hipskind
18,Dalio Losch
21,John May
23,Michael McLoughlin
24,Bobby Neil
25,Christopher Roberson
27,Daniel Hooks
28,Andrew Fletcher
32,Derek Schmidt
34,Caleb Ellison
49,Jacob Malmquist
53,Nolan Smith
