Midwest Throwdown 2017,College - Men ,4,3,2017
https://play.usaultimate.org/events/Midwest-Throwdown-2017/schedule/Men/CollegeMen/
Northwestern,1
02,Benjamin Spielman
05,Raul Rosenfeld
07,Keith Bohrer
08,Elliott Siu
09,Michael Hamburger
10,Matthew Niemer
11,Jeffrey Holm
12,Kyle Rutledge
13,Jeremy Piech
15,Elan Kane
17,Andrew Patel
19,Jevons Liu
20,Jay Valdillez
23,Eric Hochberger
25,Jonathan Piech
27,Edward Speyer
31,Christopher Pierce
33,Jakub Jezusek
36,Will Frolich
41,Christian Rozolis
42,Henry Richey
44,Isaiah Mendoza
49,Peter Pribyl Pierdinock
57,Bif Reiser
58,Theodore Bisdikian
99,Joshua Venegas
b,r,e,a,k
Iowa State,4
0,Josh Poterack 
0,JUSTIN PAGE
0,Michael Stevens
2,Logan Grothus
4,Brian Wandrei
5,Daniel Sullivan
6,Scott Hearne
7,Joel Morton
8,Joseph Kosterman
11,Jacob Badger
11,Richard Poterack
12,Grant Larson
12,Jack Sanders
16,Jon Olson
21,Ethan Sabado
23,Ben Joerger
27,Lukas Nesheim
28,Niko Beauchamp
28,Trevor Sawatzky
33,Peter Miller
34,Sam Habel
52,Bryan Hall
54,Alec Sauerbrei
89,Michael Sandstrom
95,Zachary Diener
97,Tanner Boyle
b,r,e,a,k
Washington University,5
0,Arman Guerra
0,Brandon Parr
0,Delmar Tarrago
0,Evan Korte
0,Ian Bernstein
0,John Bisognano
0,JOHNNY HEIN
0,Khoa Nguyen
0,Nathan Vogt
0,Zachary Lin
2,Josh Rotker
5,Rett Hooper
7,Campbell Eshleman
8,Joel Maiman
9,Jared Crane
10,Nirek Sharma
10,Tony Bumatay
14,Matthew McElduff
16,Yuval Pearl
17,Evan Wilder
21,David Jones
21,Tanner  Nordell
22,Jordan Chow
24,Sam Gittleman
31,Ben Aunins
33,Jeremy Marcus
33,Sam Fisher
41,Cole Atkins
42,Jacob Reed
b,r,e,a,k
Missouri,8
0,Alex Werner
0,Ben Rollings
0,Colin Iglehart
0,Colin Macgregor
0,Eric Piatchek
0,Eric Rideout
0,Jonathon Morris
0,Joshua Morris
0,MIKE BOYLE
0,Nicholas Biggs
0,Thomas Hopper
0,Zachary Campbell
5,Zachary Gase
6,Nicholas Mihulka
11,Colin OBrien
15,Mark Stedem
16,Evan Opsal
17,Ryan Tray
34,Kyle Hatten
35,Samuel Staloch
35,Sawyer Novak
54,Jack Carmichael
67,Greg Francis
69,JORDAN MCGHEE
b,r,e,a,k
Purdue,2
00,Trevor Kyle
02,Lowell Knight
06,Jacob Mock
10,Tucker Born
12,Joseph Byerly
14,Justin Bowling
17,Griffin Snead
18,Mike Kobyra
19,Daniel Blanc
20,Nick Loughran
22,Jake Slaveck
23,Sam Ellison
27,Aidan Gifford
29,John Sellers
37,Samuel Trent
46,Austin Ambrose
52,Jacob Fella
54,Drew Hirsch
72,Dalton Chaffee
98,Isaac Mock
b,r,e,a,k
St John's,6
01,Samuel Richards
02,Colton Motschenbacher
04,Peter Flynn
05,Charlie Schuweiler
07,John Schmelzer 
08,Jeffrey McGurran
09,Mitch Rotert
11,Justin Wollin
14,Seamus Ott
18,Tyler Meyer
22,Patrick Ellingson
24,Tyler Wright
27,Andrew Ellingson
42,Noah Schmelzer
47,Isaac Lauer
85,Charlie Nicklay
88,Alec McFarlane
b,r,e,a,k
Kansas,7
0,Alex Przybylski
0,Bret Bergmeier
0,Brooks Hidaka
0,Caleb Robinson
0,Daniel Stahlhut
0,Isaac Powell
0,Jeremy Katz
0,Keaton Bowers
0,Owen Stegner
0,Taylor Ivey
0,Ulysses Hagedorn
5,Thomas Schreiber
9,William Diffin
12,Matt Primovic
13,Clarence Dennis
15,Neil Newsome
17,Jordan Bertholf
27,Mitchell Deery
28,David Vu
30,Lewis Lundy
35,Nicholas Bontrager
74,Jakob Yedo
89,David Stierwalt
b,r,e,a,k
Wisconsin-Milwaukee,3
0,Kyle Gasiorowicz
0,Ryan Cindric
7,Samuel Dirks
8,Tate Halberg
8,Richard Kerr
9,Greg Maddox
10,Deng Deng
11,Will Casperson
17,Drew Chapman
19,Austin Johnson
30,Stephen Becker
52,Jared Matthews
81,Joseph Pederson
87,John McCune
b,r,e,a,k
Minnesota-Duluth,9
0,David Huber
9,Regan Smith
02,Patrick Andresen
03,Mitchell O'Brion
04,Nick Hughes
05,Cesario Velasco
06,Isaac Thompson
07,Josh Daniel
10,Alex Griswold
12,Frank Fairchild
14,Tyler Thomegreene
16,Riley Siewert
18,Mathew Orner
20,Marty Adams
21,Luke Henry
22,Mitchell McGahan
23,Victor Pilon
26,Sam Bates
27,Tyler Konicek
29,Garrett Geib
32,Anthony White
35,Shaun LaFrance
36,Reese Grailer
42,Raheem Ishaque
47,Rand Phillips
51,Max Stillman
99,Kyle DeJesus
b,r,e,a,k
Drake,20
0,Graham Johnson
0,Joseph Sheehan
5,Ben Ransom
9,Thomas Foersterling
10,Robert Mitchell McCarthy
14,Michael Grant
19,Timothy Webber
21,Noah Werling
22,Tyler Walden
23,Connor Ellingson
25,Kenneth Caldwell
27,Matthew VanHerzeele
33,Matthew Kraus
42,Carter Genrick
45,Devon Lord
54,Alex Stumphauzer
55,Nicholas  Driscoll
61,Thomas Rauch
b,r,e,a,k
Missouri State,21
0,Cameron Yuan
1,James Engelhardt
2,Joe Ernst
6,Cole Wheeler
7,Aaron Parkhurst
10,Grant Erard
12,Benjamin Duvall
13,Mathew Heinz
15,Jonathan (Roo) Kodner
17,TJ Ridge
21,Daniel Holsten
23,Jackson Reid
27,Gabe Olender
41,Austin Yuan
77,Matthew Moore
77,Mitchell Weinstein
87,Darren Yount
90,Devon Gibbs
90,Joshawa Ryun
91,Andrew Keim
b,r,e,a,k
Wisconsin-Oshkosh,32
0,Tyler Cox
01,Nick Lilla
05,William Bartel
06,Beau Ermatinger
07,jacob Martin
10,Thomas Micke
12,Zackary DeBroux
17,Michael Dineen
18,Thomas Schnoor
18,Ben Slusser
21,Caleb Aschebrook
24,Jason Hataj
37,Luke Seuffer
81,Olivia Schilcher
99,Matt Hutchings
b,r,e,a,k
Illinois State,10
0,Ryan Adams
1,Cameron Powers
2,Jacob Kaindl
3,Kollin Kaczynski
5,Cal Tornabene
7,Jack Shanahan
9,SAM GESESSEW
10,Stephen McCracken
11,Josh Graunke
12,Jeremy Burril
13,Karl Beck
14,Owen McGee
16,Nicholas Bratt
17,Kevin Szczygiel
18,CHRIS  OESTERREICH
19,Michael Reaves
20,Ricky Ramirez
21,Jack Giannini
22,Dominick Pietrantonio
23,Charlie Pomrehn
24,Kevin Berenschot
24,Joseph Cacciatore
25,Ryan  Pedote
27,Patrick Pearce
28,Zach Delegatto
30,Stone Swayze
31,Kyle Jones
32,Nick Johnson
34,Jason Belzer
55,Nicholas Kluessendorf
88,Nick Espe
99,Joshua Sanabria
b,r,e,a,k
Northern Iowa,22
3,Richard TeKippe
6,Ian Kubbe
9,Lucas Block
10,JOEL HEILMAN
11,Daniel Tarasi
12,Ethan Schultzen
13,Payton Burken
16,Colin Stroehle-Durrah
20,Nate Rondeau
24,NICK ROUDABUSH
30,Steven Flesch
35,Caleb Lundeen
44,Mitchell Diamond
63,Mason Burken
73,Daniel Thomsen
77,Cody Campbell
b,r,e,a,k
Grinnell,19
0,Austin Schilling-Stumpner
0,Daniel Cook
0,Michael Sundby
0,Patrick Sheehan-Klenk
0,Terrel Jones
1,Jack Graen
8,Vincent Noh
00,Charles McKenzie-Smith
10,Nathan Gifford
13,BENJAMIN BROSSEAU
14,RAY SCHROEDER
16,David Kreis
17,Sayles Kasten
23,Corey Alt
27,Lucas Verrastro
29,Russ Haight
30,Kevin Molina
32,Noah Mozell
36,Yang Luo
39,Seth Van Helten
42,Nate Tometich
55,Liam Niehus-Staab
72,Evan Porter
74,Henry Jantzen
84,Jon Mehlhaus
97,Kevin Connors
99,Jonathan Dowell
99,David Underwood Sherrell
b,r,e,a,k
Wisconsin (C),31
0,Joshua Garvey
0,Luke Boge
0,Xavier Franczyk
5,Ben Kishter
7,David Cann
9,Paxton Bauer
11,Soren Rozema
19,Daniel Davies
21,Jack Mallmann
29,Jacob Calbaum
69,Tyler Weum
79,Tim Hinkens
80,Joly Scudder
88,NATHAN VICEN
b,r,e,a,k
North Park,18
0,Caleb Nelson
01,Ben Soffel
02,Nathan Werling
03,Eric Lundgren
05,Josiah Bishop
10,Scott Nitchie
12,Jonathan Berggren
13,Cory Wallace
14,Andrew Swanson
22,Benjamin Horstman
23,ISAAC COYNE
25,Bradley Johnson
25,Andres Garcia
28,Geoffry Leedom
44,Phillip Conijn
47,Payton Walles
55,Noah Swanson
57,Aaron Klinefelter
60,Curtis Pederson
b,r,e,a,k
Wisconsin (B),11
2,Dylan Petersen
4,Gregory Smail
6,Anders Shropshire
8,Ben Schewe
03,Matthew Owens
10,Logan Martin
15,Ian Henion
16,Mitchell Rose
16,Sean Markey
18,Scott Groux
20,Nathan Richman
32,Daniel Garlock
42,Andrew Ishikawa
44,Anders Haroldson
63,Benjamin Rubin
67,LUKE WENNEN
69,Isaac Fine
77,Kyle Fruhling
b,r,e,a,k
Purdue (B),30
0,Christopher Kok
0,Jason Bosse
0,Logan Staples
0,Nicholas Chan
2,Jacob Just
8,Nicholas Biddle
04,Connor Gallogly
21,James Hawk
24,Darrell Cheu
31,Matthew VanDokkenburg
33,Erik Rundlett
34,Matthew Morgan
42,Sean Mason
44,Ryan Kissane
56,Zachary Piontek
58,Ted Lingenfelter
64,Jeremy Ray
66,Patrick Dunn
79,Gus Swansen
81,Nithin  Somenhalli
b,r,e,a,k
Luther (B),23
0,Eli Wilson
0,Henry Zheng
0,Logan Weaver
0,Nathan Riley
0,Tyler Johnson
1,Ethan Harris
3,Daniel Suhr
6,Aaron Herman
7,Harrison Hoffman
15,Brady  Ross
18,Herik Hernandez
27,Bradley Kovacovich
29,Michael Vann
41,David Priggie
49,JOHN EVANS
54,Austin Uetz
63,Seth Warner
87,Benjamin Oanes
90,Sam Poppen
b,r,e,a,k
Kansas State,17
0,Blake Smethers
0,Brett Dare
0,Darien Parr
0,Drew Mechnig
0,Erick  Neilson
0,Erik Hjelmaas
0,Jeb Stewart
0,Luke Grieger
0,Ryan Irvin
0,Sam Nelson
0,Spencer Roberts
7,John Benfer
15,Dan Gould
17,Clayton Smith
26,Joshua Smith
27,Kyle Thompson
34,Colin Beauregard
59,John Wildman
b,r,e,a,k
Minnesota (B),12
0,Anders Zetterlund
0,Christopher Clark
0,Drew Eskoff
0,Jacob Graff
0,Jesse Schlemmer
0,Joseph Cregan
0,Justin Hill
0,Kalen Balas
0,Matthew Nguyen
0,Nikhil Khurana
0,Patrick Norman
0,Peter Diede
0,Sachchit Murali
0,Trevor Graham
1,Derek Anderson
2,David Zheng
6,Jonah Resnick
6,RYAN FRANKLIN
10,Jonah Matthew
26,Bill Keane
28,Greg Cepuran
31,Ross Screaton
33,Paul Rheinberger
36,Donald Wood
42,Nathan Swanson
46,Timothy Opdahl
b,r,e,a,k
Iowa State (B),24
0,Ben Dankle
0,Blake Daniel Julius
0,Christopher Jenkins
0,Daniel Mendralla
0,Declan  Buhrsmith
0,Vince Momot
0,William Johns
0,Ziad Nimry
50,Clay Hugen
72,Nick Rieger
b,r,e,a,k
Nebraska-Omaha,29
0,Dexter Renter
0,Robert Gibbs
0,Samuel Sobczyk
0,Zane Homan
7,Michael Swanger
11,EVAN VARNER
17,Cameron Gilinsky
20,Julie Hofer
21,Christopher Baines
22,Adam Meyer
28,Joseph Blecha
69,Nich Rush
b,r,e,a,k
Wisconsin-Eau Claire,16
1,Sam Sincere
4,Aaron Schneider
5,Jacob Johnson
7,Kristian Johnson
8,Oliver Oremek
14,Derek Kalvin
21,Patrick Cooney
27,Josh Yira
33,Ryan Schultz
44,Colin Williams
49,Cordell Kapusta
77,Cole Edgell
b,r,e,a,k
Nebraska,13
0,Alec  Williams 
0,Ben Melcher
0,Daniel Forsyth
0,Gjermund Amlien
0,Jackson Cutsor
0,Jake Modica
0,ROBBY ELSNER
0,Ryan Dornbusch
6,Noah Ross
9,Jake Lindvall
10,Stephen Lunde
12,Noah Gould
15,Kyler Lecomte
18,Tristan Mahler
19,Mark Quinn
20,David Forsyth
26,Marty Praska
b,r,e,a,k
Northwestern (B),25
0,Alan Grampp
0,Jacob Swan
0,John Surprenant
0,Luke Spencer
0,Octavio Bruetman
4,Jonathan Huang
22,James Schuller
24,Shu Han
32,Kenneth Xuan
35,Patrick Doyle
37,John Eichenlaub
46,Andrew SaLoutos
48,Alex Rubin
52,Ben Richards
65,Jake Clady
66,Arseniy Minasov
73,Benjamin Laning
81,Thomas Fredericks
96,George Irving
98,John Lee
99,Joe Harari
b,r,e,a,k
Drury,28
0,Angelo Abernathy
0,Coral McLaughlin
0,Evan Petrich
0,Jarrett  Quas
0,John Davis
0,Laura Little
0,Nick Schurk
0,Tim Anzalone
1,Nick Widmer
11,Kalyn Ahrens
20,Tianna  Thomas
24,Josue Bolanos
b,r,e,a,k
Missouri S&T,15
0,Brad Mealy
0,Cameron Leonard
0,Chase Neely
0,David Swed
0,David Szatkowski
0,Jacob Crouse
0,John Whitelock
0,Robert Taylor
0,Rusty McDonald
0,Nate Clancy
4,John Mauntel
9,Christopher Dolles
12,Brendan Carriel
16,David Druzynski
17,Alex Mundahl
21,Brody Johnson
21,William (Will) Imming
25,Kelly Mauntel
30,Trevor Nenninger
32,Cedric Jones
39,Sandy Gu
48,Seth Day
48,Justin Flynn
63,Louie Bertoncin
78,Mitchell Zimmmermann
80,Nicholas Spitznagel
86,Matt LaFever
91,Matthew Dugan
99,Benjamin Alber
b,r,e,a,k
Truman State,14
2,Alexander Sextro
7,Michael Anderson
10,Brendan Cirillo
11,Jared Favero
12,Benjamin Wolf
15,Jacob Jackson
16,Taylor Hession
17,Christopher Stilwell
20,Andrew Richter
24,Michael Walder
26,Frank Ginder
27,Mariano Marin
31,Sean Eberle
31,Blake Bixler
40,Ethan Conley
44,Nathan Pyles
72,Joseph Williamson-Link
88,Isaac Pearlstone
98,Matthew Beers
b,r,e,a,k
Washington University (B),27
0,Alex Sandoval
0,Elijah Kessler
0,Jan Mazur
0,Martin Goree
0,Rishab Arora
0,Robert Brachman
0,Tyler Reeves
4,Benjamin Bridgforth
10,Sidharth Kamana
20,Daniel Cohen
22,David Lopez
25,Gabriel Beer
86,Matt Geer
b,r,e,a,k
Wisconsin-Milwaukee (B),26
0,Timothy Garman
02,Adam Hunter
02,Evan Treacy
06,Thomas Wagner
09,James Vento
11,Cal Martin
12,Jeremiah Sprengel
13,Kyle VanDaalwyk
22,Ben Waitrovich
27,Patrick Calhoun
28,David Mckeag
31,Edwin deWerff
34,Trevor Scaife
86,SAM MCCARVILLE
b,r,e,a,k
s,t,a,g,e,s
pools,PP
pool,Pool A
Northwestern,Washington University,13,12,"03/04/2017, 09:30",Pool A
Iowa State,Missouri,14,9,"03/04/2017, 09:30",Pool A
Northwestern,Missouri,15,5,"03/04/2017, 11:30",Pool A
