Florida Winter Classic 2017,College - Women ,14,1,2017
Apopka,FL,2017-01-14,2017-01-15
https://play.usaultimate.org/events/Florida-Winter-Classic-2017/schedule/Women/CollegeWomen/
Dartmouth,1
teamInfo,Princess Layout,"Hanover, New Hampshire",http://www.dartmouth.edu/~playout/,https://www.facebook.com/Dartmouth-Ultimate-Princess-Layout-101082166625239/,https://twitter.com/PrincessLayout
0,Annett Gawerc
0,Anna Matusewicz
0,Kerinleigh Abbott
0,Lucia Pierson
0,Savannah Cochran
0,Ariela Kovary
0,Margaret Nichols
0,Hannah Marr
0,Abby Ritterband
6,Alexa Wing
6,Piper Curtis
08,Angela Zhu
12,Erica Ng
14,Lily Eisner
17,Magdalene Pizzo
22,Jack Verzuh
26,Caitlyn Lee
33,Sarah Colon
55,Julianna Werffeli
99,Moyosore Okeremi
b,r,e,a,k
Florida State,4
teamInfo,Seminole Ladies,"Tallahassee, Florida",,https://www.facebook.com/SeminoleLadies,https://twitter.com/seminoleladies
00,Celine Charitat
00,Brianna O'Connor
00,Jenna Flemons
00,Courtney Read
00,Jackie Borkowski
00,Natalie Wilson
09,Julia Gregory
15,Lindsi Allman
18,Lauren Brooker
21,Natalie Dix
32,Connie Barroso
36,Alexa Fritsche
40,Grace Tummel
43,Reagan Walker
66,Hayley Cotton
85,Rachael Thompson
b,r,e,a,k
Northeastern,5
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/women/,https://www.facebook.com/pages/Northeastern-Valkyries-Womens-Club-Ultimate-Frisbee/261962653833898?fref=ts,https://twitter.com/ValksUltimate
0,Natalie Hopkins
0,Anna Sciaruto
0,Anna Cullen
0,Katharine Gilbert
0,Charlotte Langer
0,Tracey Lum
0,Vivian Lee
0,Sofia Horan
0,Eleanor Patten
0,Gianna Scioletti
0,Lydia Auch
9,Duschia Bodet
06,Lauren Bertino
11,Arielle Nelson
13,Ellen  Harsha 
15,Julianne Kloza
26,Ariel Bloch
33,Samantha Gray
49,Lamia Farah
50,Isabel Tripp
b,r,e,a,k
Florida,6
teamInfo,FUEL,"Gainesville, Florida",gvilleultimate.com/FUEL/#!/,https://www.facebook.com/FUELenfuego,https://twitter.com/FUELenfuego
0,Camilla  Edwards
0,Rosemary Murray
0,Megan George
0,Charlotte Talham
0,Pilar Alvarez
0,Kaitlin O'Keefe
1,Natori Cummings-Haynes
4,Lien Nguyen
4,Harley Peters
8,Lucy Berman
02,Courtney Testa
10,Tori Taylor
14,Sydney Weiner
23,Alexis Brantly
55,Jennifer Ralphs
