Ohio Valley D-I College Men's Regionals,College - Men ,29,4,2017
Allentown,PA,2017-04-29,2017-04-30
https://play.usaultimate.org/events/Ohio-Valley-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/
Pittsburgh,1
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
4,Julius Hubby
5,Saul Graves
6,Maxwell Naar
7,Noah Weintraub
8,Thomas Edmonds
9,Carl Morgenstern
11,Leo Warren
12,KEVIN TANG
13,Andrew Lehmberg
14,Nick Haser
15,Dylan Best
17,Matthew Hanna
18,Kyle Hartley
21,Noah Robinson
23,Dillon Tranquillo
24,Sam VanDusen
28,SAM JENNINGS
29,Hafeez Shams
33,Max Thompson
35,Dan Goldstein
38,Jonah Wisch
42,Ben Morgenstern
48,Jimmy Towle
79,Michael Ing
84,Alex Spenceley
88,Jack Slevin
b,r,e,a,k
Lehigh,8
teamInfo,Lehigh ,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Ben Durkee
0,Carter Hartmann
0,Christopher O'Byrne
0,Jeremy Glennon
0,Kevin Latwis
0,Marshall Stallings
0,Noah Katz
0,Stuart Gordon
6,Alex Schlegel
11,Ian Haney
21,Adam Kafka
23,Caleb Leaser
26,Vincent Rienzi
28,Alec Marks
35,ZIV ARZT
42,Daniel Slesinski
47,Sam Joynson
59,Kyle Fischer
61,Timothy Predmore
69,John Lund
77,Ryan Santos
84,Matt Lubitz
87,KYLE MEGATHLIN
b,r,e,a,k
West Chester,12
teamInfo,West Chester A,"West Chester, Pennsylvania",,,
0,Brian Crenny
0,Calvin Green
0,Damien Yasipour
0,Dan Ruban
0,Gabriel Myers
0,Matthew Brown
0,Sam Caldwell
0,Vincent DiMondo
1,Mike Patuk
2,Dominick Bussanich
3,Austin Lillis
5,Edward Eckert
6,Brendan Bittle
7,Zach Owen
15,Jonathan Anthony
17,Devin Foster
19,Daniel Monts
23,Shadow Deyo
26,Troy Quaile
30,Austin Doucette
43,Dustin Henken
45,Nicholas DiGiorgio
b,r,e,a,k
Pittsburgh (B),13
teamInfo,En Sabah Nur-B,"Pittsburgh, Pennsylvania",pittultimate.org,,https://twitter.com/pittb_ultimate
0,ALEX ORSENO
0,Henry Novara
0,Josh Pogue
0,Scott Branagan
0,Trent Greener
0,Varun Zaver
2,Kevin Smith
3,Charles Lee
12,Joshua Carroll
18,Kyle Cummings
20,David Smith
23,Peter Niesman
31,David Tulin
39,ROGER XUE
44,Matt Walheim
44,Dylan Falk
52,Ryan Andersen
96,Kamal Raslan
b,r,e,a,k
Akron,11
teamInfo,Goon Squad,"Akron, Ohio",,,
0,Tyler Brady
10,CAMDEN HAYES
12,DANIEL MORGAN
18,MATT PETERSON
20,Alexander Maynard
21,Paul McClellan
22,Griffin Binkley
23,Christian Martin
26,Alexander Jarufe
27,Kyle Jasany
28,Simon Luscher
30,George Mallinos
