USA Ultimate National Championships,Club - Mixed ,19,10,2017
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2017/schedule/Mixed/Club-Mixed
Seattle Mixtape,1
00,Mike Cavanaugh
02,Kahyee Fong
03,Cam Bailey
04,Zhi Chen
07,Arianne Lozano
08,Meagan Kapostasy
09,Jennifer Cogburn
10,Lexi Garrity
11,Bert Cherry
12,Bradley Houser
15,Drew Johnson
16,Mark Burton
17,Fiona McKibben
18,Casey Ikeda
19,Cole Johnson
20,Grace Noah
21,Jesse Bolton
22,Evan Klein
24,Alex Duffel
27,Dominic Cavalero
28,Claire Revere
31,Henry Phan
44,Abbie Abramovich
50,Nicholas Dare
58,Paige Kercher
81,Lani Nguyen
99,Khalif El-Salaam
b,r,e,a,k
Public Enemy,13
01,Jarrod Hockett
02,Colby Keen
03,Matthew Hudspith
04,Rowdy Howell
05,Chris Casey
06,Chris Pleshek
07,Lindsey Kappen
08,REBECCA PHILP
09,Krystina Morris
10,Bryan Bush
11,Veronica Coombs
12,Kevin Christian
16,Michael Hays
18,Kendra Hess
21,Danielle Runzo
22,Connor Olson
24,Jenna Bigbie
26,Trevor Wiltz
27,Jonathan Higgins
27,Brandon Dial
29,Jessica Gamwell
37,Lindsey Mazur
39,Chris Mazur
41,Cara Utesch
42,Paul Utesch
77,Keya Davani
95,Brooke Wooldridge
b,r,e,a,k
Mischief,8
00,Matt West
02,Corinne Hanson
03,Preeti Nalavade
04,Michael Dirda
05,Robert Yeagle
06,James Hansell
07,Devon Williams
10,Brett Petersen
11,Cody Kirkland
12,Candice Tse
14,Youngsoo (Ellen) Rim
15,Nathan Young
18,Caitlin Rugg
22,Eric Rivera
23,Jordan Jeffery
25,Audrey Wei
27,Jordan Taylor
28,Catherine Chen
33,Scott Gatto
47,Gina Schumacher
66,Jackie Wang
71,Manisha Daryani
72,Devin Drewry
80,Kevin Smith
85,Evan Brydon
88,Laurel (Kirstin) Auker
b,r,e,a,k
NOISE,12
00,Kyle Weigand
03,Sam Loveland
04,Vanessa Cannaday
06,Dane Warner
07,Josh Davidson
08,Maria Signore Becker
09,Joshua Wilson
10,Kristen Brenner
11,Brittany Hoegh
13,Mary VanDuyne
14,Anna Hrovat-Staedter
15,Haley Hudson
16,Frank Qin
17,Emily Dayton
19,Ari Davidson
22,Stephen Haynes
25,Joann Wong
26,Lorraine Guerin
27,Michael Swain
29,Christopher Reichel
31,Michelle VanSchyndel
33,Katy Stanton
34,Matthew Becker
39,CHRISTINE ROSEN
43,Kevin Cannaday
48,Peter Guerin
81,Dayu Liu
b,r,e,a,k
AMP,2
01,Robert Roos
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
05,Justin Carter
06,Kelsey Devlin
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
11,Ryan Flamberg
13,Nico Lake
14,Stuart Hean
16,Richard Robinson
17,Stephen Ng
18,Emily Shields
19,Anna Thompson
20,Ben Pelleg
21,Linda Morse
22,Allysha Dixon
23,Natalie Bova
24,Danielle Walsh
29,Sarah Johnson
33,Calvin Trisolini
36,Carolyn Normile
46,Austin Bonelli
79,Michael Ing
88,Matt Carter
b,r,e,a,k
Blackbird,7
00,Laura Moore
02,Corey Lee
03,Castle Sinicrope
04,Deanna Bjorkquist
05,Thomas Hendrickson
07,Malina Wiebe
09,Adam Farren
10,Krisztina Finn
11,Barrs Lang
12,Alexandra Hasan
13,Sally Mimms
16,Vincenzo Vitiello
17,William Finn
17,John Kolb
18,Tim Gilligan
19,Ryo Kawaoka
21,ADAM SCOW
28,Sheeva Slovan
29,VY Chow
30,Megan Schoellhamer
31,Seth Reinhardt
33,Carol Chen
40,Mac Taylor
51,Ryan Scribner
64,Jamie Quella
b,r,e,a,k
Toro,11
00,Kirkwood Alex Cloud
03,Dean Culver
05,Matthew Thomas
07,Sarah Hasch
08,George Guthrie
10,Theran Riedel
12,Erin Wiltgen
13,Kathryn Morrison
14,Brendan Smith
15,Kerry Green
17,Dylan Shields
22,Lucas Darden
24,Meghan Miller
25,Michael Pannone
27,Leslie Willis
31,Alex Kaja
32,Jake Coleman
42,Wendell Wilson
47,Andrew Ryan
48,Kaye Eshelman
54,Tristan Green
55,Corinna Keeler
66,Paul Weeks
88,Christine Bookhout
89,Erica Brenner
97,Alison Bender
b,r,e,a,k
Metro North,14
00,Eugene Yum
01,Theodore Mason
02,Diane Palmer
03,John Korber
04,Dave Tedeyan
05,Dwight Harris
06,Christina Coppola
07,Elizabeth Middleton
08,Alex Grintsvayg
09,Austin Raymond
10,Misha (Michael) Horowitz
11,Young Jo Fontaine
13,Erin Leonard
14,Elsa Regnéll
21,Molly McCauley
22,Amanda 'Leia' Walker
23,Allison Springer
24,Seth Canetti
26,Andrew Bosco
32,Lauren Doyle
36,Adam Stern
39,Brent Anderson
40,Jacqueline Feil
47,Lucas Murphy
80,John Palmer
81,Sean Murray
92,Bryan Forman
b,r,e,a,k
Drag'n Thrust,3
0,Alicia Carr
02,Brett Sullivan
03,Patrick Niles
04,Erica Baken
05,Robin Fassett-Carman
06,Jake McKean
08,Claire Oakley
09,Jay Drescher
10,Martha Lien
12,Marty Adams
13,Jacob Lien
14,Austin Lien
15,Kristian Johnson
16,Brian Schoenrock
17,James Hron
19,Mike Clark
20,Neal Hanke
22,Kathryn Ritzmann
24,Jessica Haller
31,Josh Hemmesch
33,Jaime Glader
37,Sierra Barthen
42,Meredith Bray
43,Bryan Vohnoutka
44,Sarah Meckstroth
55,Charlie Schuweiler
92,Sarah Espinoza
b,r,e,a,k
shame.,10
02,Hugh Carey
03,Kelcie Glick
04,Isabel Cisneros
05,Henry Adams
06,Ashley Daly Morgan
07,Emily Hanson
08,Bailey Russel
09,Nate Roth
10,Doug Stenclik
11,Danielle Love
13,Kyle Enns
14,Jade McLaughlin
15,John Kearns
17,Danielle Tran
20,C Ryan Morgan
23,Peter Raines
24,Zackary Fleming
25,Nicholas Snuszka
27,Chris Gauen
31,Christina McDowell
35,Steven Rouisse
46,Elizabeth Murphy
48,Aubree Dietrich
51,Spencer Tibbs
52,Marilyn Reich
56,Jacob Juszak
85,Vinny Fiacco
b,r,e,a,k
Wild Card,6
00,Luke Lanoue
01,Lauren Nelson
02,Jodi Robert
03,Ian Engler
04,Daniel Moder
05,Andrew Pillsbury
07,Maxwell Rick
08,Connor Fortin
09,John Rahill
10,Annika Chan
11,Lloyd Olson
13,Robin Meyers
14,Hannah Crowley
16,Casey Terp
17,Sarah Hansen
19,Lily Steponaitis
21,Eva Petzinger
22,Alina Li
24,Albert Lee
25,Judy Ledlee
30,Kyle Johnson
32,Megan Wilson
34,Gustav Haflin
37,Matthew Heath
73,Katharine Sullivan
84,Alex Kapinos
88,Hailey Alm
b,r,e,a,k
Love Tractor,15
00,Stephanie Redfern
03,Heather Kraft
04,David Protter
05,Jack (John) McShane
06,John (Clay) Heinzel-Nelson
07,Charles Furse
08,Scott Forrester
09,James Cantwell
10,Brian Carroll
11,Megan Henderson
12,Samuel Shearer
13,Christine Kamin
16,Hilary Walker
17,Brady Cowiestoll
18,Fern Beetle Moorcroft
19,Garrett Moulder
22,Arthi Padmanabhan
23,Camden Kittredge
24,Hilary Egan
26,Chloe Greene
29,Peter Gleason
33,David Kamin
35,Kate Pearson
41,Katie Patterson
91,Matthew Zemel
b,r,e,a,k
Slow White,4
00,Alexi Zalk
00,Walker Hatchett
02,Patrick Barron
03,Emilia (Mia) Bladin
04,Thomas Ferguson
06,Shaun Krieger
07,Rosalyn Ano
09,Jeff Smith
11,Arielle Nelson
12,Christopher Waite
13,Ryan Turner
14,Hannah Baranes
15,Tannor Johnson
17,Kirsten Lundquist
19,Olivia Hampton
21,Stephen Sullivan
23,Miles Montgomery-Butler
24,Andy Schachter
25,Alexander Trahey
26,Rachael Westgate
28,Vicki Chang
42,Mary Glickman
46,Daniel Glatt
51,Caitlin Fitzgerald
55,Todd Herman
60,Caitlin Go
89,Annie Fisher
b,r,e,a,k
BFG,5
01,Kieran Kelly
02,David Hunzicker
05,Kate Kingery
06,Bryson Fox
07,Kerry Chang
09,Aaron Richards
10,Adam Simon
11,Joshua Lang
12,AnnaMaria Pape
13,Trudy Philip
16,Alissa Soo
17,Thomas Li
18,Anna Chute
20,Alexa Kirkland
23,Linnea Soo
26,Andi Coleman
27,Jeffrey Pape
28,Drew Lockhart
29,Jimmy Hooper
32,Sarah Benditt
33,Cody Rebholz
44,Stephen Gussin
55,Lindsay Simon
66,Crystal (Lok) Koo
88,Lili Gu
93,CB Wolf
99,Kyle Terriere
b,r,e,a,k
Steamboat,9
00,Jeff Kula
03,Eddie Mack
04,Katherine Claiborne
05,Ryan Gorman
06,Patrick McCarthy
07,Bryan Walsh
08,Tim Settles
10,Jennifer Golan
12,Josh Findley
13,Kristin Baxter
14,Kyle Romard
18,Sarah Mondschein
21,Scott Schriner
