Northeast Mixed Regional Championship 2017,Club - Mixed ,23,9,2017
https://play.usaultimate.org/events/Northeast-Mixed-Regionals-2017/schedule/Mixed/Club-mixed/
Slow White,1
0,Alexi Zalk
0,Daniel Glatt
0,Emilia (Mia) Bladin
0,Hannah Baranes
0,Jeff Smith
0,Caitlin Go
0,Miles Montgomery-Butler
0,Olivia Hampton
0,Rachael Westgate
0,Rosalyn Ano
0,Shaun Krieger
0,Thomas Ferguson
0,Todd Herman
0,Vicki Chang
0,Walker Hatchett
10,Ryan Turner
11,Arielle Nelson
12,Christopher Waite
15,Caitlin Fitzgerald
17,Kirsten Lundquist
21,Patrick Barron
21,Stephen Sullivan
21,Tannor Johnson
24,Andy Schachter
25,Alexander Trahey
42,Mary Glickman
89,Annie Fisher
b,r,e,a,k
XIST,8
0,Alexander Hem
0,Angel Li
0,Cara Brown
0,Cory Salé
0,Emily Cho
0,Gary Dixon
0,Hannah Garfield
0,Joe Santosus
0,Kamil Skwarek
0,Karen Chalif
0,Jesse Moskowitz
0,Matt Wiener
0,Matthew Mclaughlin
0,Miranda Moore
0,Robert Smith
0,Ruozhou Ye
0,Sarah Heffernan
0,Sarah Kay Dela Cruz
0,Tricia Smit
5,Kyla Dayer
6,Ryan Drost
7,Taylor Brooks
9,Isaiah Bryant
12,Joe Babbino
15,Matthew Baum
18,Caitlyn Hauswirth
25,Amelia Murphy
b,r,e,a,k
Townies,11
0,Adam Neu
0,Alyssa Menz
0,Anna Tarren
0,Anthony Palazzolo
0,Benjamin Kammerman
0,Christine Georgakakos
0,ETHAN CECCHETTI
0,Galen Gibian
0,ROBERT LU
0,Zoe Tucker
7,Lena DeTar
7,James Greeno
9,Justin Pierce
9,Katie Mihalenko
19,Raina Kamrat
19,Veronica Pillar
21,Hannah Smalley
27,Thomas Pera
28,Michael Harley
36,Nicolas LoPresto
91,Daniel Vandam
b,r,e,a,k
Alternative Stacks,14
0,Barb Banz
0,Cynthia Jones
0,Eric Hemphill
0,Holland Florian
0,Iris Lam
0,Michael O'Brien
0,Minaqa Quinn
0,Natalie Kallhoff
0,Nicholas Cortina
0,Nicholas Dacosta
0,Rachel Egan
0,Rebecca Foster
0,Roosevelt Ward
0,Sam Spiegel
0,Justin Lamarche
0,Mary Offutt
3,Shannon Stolting
3,Elliot Lee
4,Joseph Corcoran
9,Victoria Sanchez
10,Mei Zhang
12,Liana Lin
13,Elton Zhou
27,Audrey Love
35,Daniel Arnold
45,Mark Falinski
99,Vicki Mackowka
b,r,e,a,k
Wild Card,2
0,Luke Lanoue
0,Sarah Hansen
1,Lauren Nelson
2,Jodi Robert
3,Ian Engler
4,Daniel Moder
5,Andrew Pillsbury
7,Maxwell Rick
8,Connor Fortin
9,John Rahill
10,Annika Chan
11,Lloyd Olson
13,Robin Meyers
14,Hannah Crowley
16,Casey Terp
19,Lily Steponaitis
21,Eva Petzinger
22,Alina Li
24,Albert Lee
25,Judy Ledlee
30,Kyle Johnson
32,Megan Wilson
34,Gustav Haflin
37,Matthew Heath
73,Katharine Sullivan
84,Alex Kapinos
88,Hailey Alm
b,r,e,a,k
League of Shadows,12
0,Jason Shnipes
0,Piper Curtis
0,Shi-Min Chin
1,Patricia Neckowicz
2,Edward Tu
3,Daniel Krigel
4,Daniel Rosengard
5,Qingyun Lu
7,Clarence Lee
12,Luke Arnone
13,Alex (Wei Yuh) Chang
16,Henry Frost
17,Lillian Huang
19,Karissa  Tabtieng
20,Nicole Wilkinson
21,Charles Marokhovsky
22,Tzvi Miller
23,Jon Xu
24,Jing Ren
27,Emily Wilkinson
28,Raphael Parens
29,Tate Tabtieng
37,Thomas Balch
49,Tomaso Mukai
77,Matthew Fasano
92,Brandon Henshaw
99,Jordan Kaufman
b,r,e,a,k
Titan NE,13
0,ABIGAIL CLEMENT
0,ADAM JOHNSTON
0,Andrew Applegate
0,Dang Khoa DuBay-Dang
0,Daniel Pavitt
0,DEREK WYMAN
0,Brad Smith
0,Chris Zybert
0,Jared Jandreau
0,Jennifer O'Connell
0,Kacy Thibodeau-Harvey
0,Kristen Stasinowsky
0,Madeleine Purcell
0,Meredith Duffy
0,Nora Hoover
0,Tim Cardoso
3,Elizabeth Way
4,Ciaran Shaughnessy
9,John Sullivan
11,Paul Rees II
11,Samuel Letcher
17,Ben Goossen
20,Ashton Wollett
41,Lewis Seton
43,Jessica Jandreau
47,Kevin Chen
56,Jen Beatty
b,r,e,a,k
Grand Army,7
0,AARON PARKER
0,Abigail Schuster
0,Andrew Werblin
0,Anna Meyendorff
0,Benjamin Raudabaugh
0,Darren Defreeuw
0,Dylan Horowitz
0,Edith Iyer-Hernandez
0,Gina Stees
0,Henry Zhang
0,Jae Lee
0,Jeannine Opie
0,Jimmy Chen
0,Josette (Josie) Pratt
0,Julie Xia
0,Kyle Blaeuer
0,Miriam Nielsen
0,Sean Petterson
0,Tom Sum
11,Hayley Manning
13,John Sakon
16,Jamie Lawler
20,Camila Pelaez Valderrama
31,Julie Paik
69,Peter Luo
b,r,e,a,k
Metro North,3
0,Eugene Yum
1,Theodore Mason
6,Christina Coppola
8,Alex Grintsvayg
02,Diane Palmer
03,John Korber
04,Dave Tedeyan
05,Dwight Harris
07,Elizabeth Middleton
09,Austin Raymond
10,Misha (Michael) Horowitz
11,Young Jo Fontaine
13,Erin Leonard
14,Elsa Regnéll
21,Molly McCauley
22,Amanda 'Leia' Walker
23,Allison Springer
24,Seth Canetti
26,Andrew Bosco
32,Lauren Doyle
36,Adam Stern
39,Brent Anderson
40,Jacqueline Feil
47,Lucas Murphy
80,John Palmer
81,Sean Murray
92,Bryan Forman
b,r,e,a,k
Happy Valley,6
00,Leila Tunnell
02,Jeremiah Berlin
05,Joe Costello
11,Blake Spitz
12,Laura Masulis
14,Sara Jacobi
15,Zachary Dietz
17,Herman (Alex) Weck
18,Jacob Kaplan
19,Clarissa Lyons
20,Josephine Coppinger
21,Leija Helling
22,Dory Ziperstein
23,Nathan Smiley
30,Robin Stewart-Demartino
30,Tim Coppinger
33,Elizabeth Calkins
36,Dan Kaplan
39,Mackenzie Stein
49,Chandler Thoma
51,Shelly Peyton
64,Dylan Tunnell
89,Oliver Fay
93,Dustin Baglow
95,Amos Adams
96,Leland Rege-Colt
b,r,e,a,k
PleasureTown,9
0,Alice Chirn
0,Axis Sivitz
0,DANIEL MERCER
0,Delaney Reardon
0,EMILY HEATH
0,Erica Tangney
0,Jaquille Jones
0,Kathryn Haapala
0,Kayla Huddell
0,Maya Stokes
0,Meaghan Lass
0,Nicholas Amendolare
0,Bryant Wolf
0,Skyler Tom
0,Timothy Bobrowski
0,Tsuki Hoshijima
3,Brian Wyer
5,Alexander Riahi
11,Kiersten Mailler
17,Cici Wang
20,Brandon Nadres
21,Taylor Stewart
23,Ryan Holmes
29,Daniel Doherty
33,Samantha Gray
50,Harrison Greene
99,Dan Huddell
b,r,e,a,k
Crash,16
0,Thomas Jacob Redekopp
02,Daniel Balzerson
03,Andrew Savage
06,Donna Dupuis
10,Adam Lazenby
11,Thomas Flynn
12,Katrina Parkinson
13,Neil Thomas
14,Becky Thompson
15,Jennifer Taves
19,Amanda Froese
20,Jeremie Raimbault
24,Megan Bailey
25,Amanda Raimbault
27,Chris McKie
30,Emily Ritz
32,Trevor King
37,Dario Zgrablic
43,Brad Froese
54,Adam Van Ymeren
72,Brittany Edgett
73,Audrey Fu
83,Laura Anne Tuck
85,PATRICK TUCK
93,Jamie Yeung
b,r,e,a,k
UNION,4
03,Dan  Benvenuti
04,STEVEN LEE
05,Ivan Pienaar
06,STEPHANIE HARPER
07,Jacqueline Man
10,Danielle Leung
11,Eric Blanchard
13,Cameron Dunning
15,Lindsay Earle
16,Keegan Lee-Newbury
17,Heather Neary
19,Parker Bollmann
23,SKY POWELL
25,Jordan Atchison
28,JENNIFER LEROUX
31,Rebecca Babcock
34,Nathaniel Faries
40,Stephanie Malcher
42,KATE JARDINE
45,Emmalyne Azucena
64,Jeffrey McClelland
71,BRYAN YUE
72,KRISTA KOTWA
73,David Kaufman
89,Brendan Wood
b,r,e,a,k
The Feminists,15
0,ANDREW RAINES
0,ANDREW WILKES
0,Avery Reed
0,Brandon Contarsy
0,Chris Nelson
0,David Willis
0,Eliot Bemis
0,Haley Enns
0,Jessica Rosenqvist
0,John (Jack) Flintermann
0,Kara Neaton
0,Kerry Beyrer
0,Kim Tischler
0,Kristie Wong
0,Rebekah Souder-Russo
0,Robert Devoogd
0,Samuel Taylor
0,Shelley Su
0,Thomas Haynes
0,William Olli
0,Mari Oshiro
0,Minerva Muzquiz
5,Peter Gilchrist
11,Elizabeth LeeJohnson
24,Brendan Awerbuch
27,Lionel Wininger
33,Luke Wolckenhauer
b,r,e,a,k
Garbage Plates,10
00,Bradford Montgomery
00,Briana Newman
00,CARTER MIDDLETON
00,Chelsea Rybak
00,Christine Purtell
00,Dudley Loew
00,Emmett Wilson
00,Erin Sullivan
00,Joseph Becker
00,John Serafini
00,Joseph Quinzi
00,Ken (KJ) Dziak
00,KEVIN FARRELL
00,Kyle Morgan
00,Madeline Schwenker-Punnett
00,Marisa Wilson
00,Matthew Rybak
00,Matthew Cameron
00,Nate August
00,NICOLE MEO
00,Rui Da Costa
00,RYAN GARDNER
00,Wilson Gardner
00,Amanda Davis
28,Angela Dana
b,r,e,a,k
Heartless,5
0,Brenda Hoang
0,Quinn Ledak
0,Sam Kilburn
3,Ellis Fredella
4,Greta Pellerin
5,Madison Westfall
7,Evan Hollar
8,Stephen Donahue
9,Ted Blum
10,Aidan Travers
11,Ian Browning
12,Kyle Weatherhogg
14,Isaac Avery-Padberg
15,Nicholas Lynn
16,Olivia Phillips
17,Sage Tanner
19,Ryan Colarusso
20,Jackson Berman
21,Nolan Benoit
22,Clair Beltran
23,Mariz Mangundayao
25,Emma Weatherhogg 
27,Kaitlyn Thibault
34,Sarah Rose
43,Remy Eisendrath
44,Daron Byerly
55,Kyle Deaver
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Slow White,Townies,13,1,"09/23/2017, 09:00",Pool A
XIST,Alternative Stacks,13,4,"09/23/2017, 09:00",Pool A
Slow White,Alternative Stacks,13,8,"09/23/2017, 11:00",Pool A
XIST,Townies,13,5,"09/23/2017, 11:00",Pool A
Slow White,XIST,13,8,"09/23/2017, 13:00",Pool A
Townies,Alternative Stacks,13,8,"09/23/2017, 13:00",Pool A
pool,Pool B
Wild Card,League of Shadows,13,6,"09/23/2017, 09:00",Pool B
Grand Army,Titan NE,6,13,"09/23/2017, 09:00",Pool B
Wild Card,Titan NE,13,6,"09/23/2017, 11:00",Pool B
Grand Army,League of Shadows,10,13,"09/23/2017, 11:00",Pool B
Wild Card,Grand Army,13,2,"09/23/2017, 13:00",Pool B
League of Shadows,Titan NE,13,5,"09/23/2017, 13:00",Pool B
pool,Pool C
Metro North,PleasureTown,13,7,"09/23/2017, 09:00",Pool C
Happy Valley,Crash,13,8,"09/23/2017, 09:00",Pool C
Metro North,Crash,13,7,"09/23/2017, 11:00",Pool C
Happy Valley,PleasureTown,11,13,"09/23/2017, 11:00",Pool C
Metro North,Happy Valley,13,5,"09/23/2017, 13:00",Pool C
PleasureTown,Crash,13,14,"09/23/2017, 13:00",Pool C
pool,Pool D
