Boston Invitational 2017,Club - Women ,24,6,2017
https://play.usaultimate.org/events/Boston-Invitational-2017/schedule/Women/Club-Women/
Siege,1
00,Molly Morgan
03,Analise Huysentruyt
04,Jacqueline Willwerth
05,COURTNEY MOORES
09,Chelsey Burrows
10,Renata Pepi
11,Xenia Rudenko
12,Nicole Canning
14,Charlotte Doran
15,Laura Fradin
17,Shirlee Wohl
18,Julia Johnson
19,Caroline Collis
21,Tess Johnson
22,Melissa Ellis
23,Lizzie Jones
24,Margot Lieblich
26,Emily Eibl
27,Courtney Remm
33,Aly Fassett-Carman
37,Hannah Walter
42,Clara Stewart
44,Jackie Booth
99,Annie Shriver
b,r,e,a,k
Hot Metal,4
0,Linn Bjanes
0,Liz Santucci
0,Vaughan Skinker
2,Megan MacGillivray
5,Dakota Lippincott
6,Darra Reppermund
6,Natalie Barnhart
11,Hannah Blizzard
12,Erin Curry
13,Jessica Sourbeer
14,Caterina Pagano
20,Lakshmi Ilango
27,Goda Tarcijonas
31,Sharon Yee
37,Sarah Lemanski
50,Mallorie Barber
54,Sarah Russek
69,Charlotte Koerner
b,r,e,a,k
Venus,5
0,Catherine Ferland
0,CATHERINE AUGER
0,Chloé Emond
0,CYNTHIA BAZINET
0,Geneviève Richard
0,Giulia Alberini
0,HEATHER AMBERY
0,Karissa  Tabtieng
0,Anaïs Millereau
0,Catherine Gadbois
0,MARIE-MICHLE BLANGER-TIMOTHY
0,Nyna Prevost
0,Sasha Lemaire St-Gelais
0,Stephanie Castonguay
0,Valérie Piché-Richard
2,Laure Drouin-Jacques
3,Marie-Christine Morisset
10,Frederique Riel
16,Mylène Côté
31,CATHERINE VIAU
32,Elisabeth Poirier-Defoy
b,r,e,a,k
Vice,8
0,Alison Hill
0,Anna MacNaughton
0,Carla Fergusson
0,CHARIS CROFTON
0,Claire Dutton
0,Emily Van Malden
0,Jenna Murphy-Judelson
0,Judith Garber
0,Katharine Gilbert
0,Kathryn Hickey
0,Melissa Stuart
0,Savannah Erwin
0,Lee Bashant
0,Tahlia Quartin
0,WENDY GOLDMAN
1,Michaela Dudley
2,Chelsea Mower
6,Mary Zhong
22,Megan Chen
44,Lauren Kraemer
64,Anna Blasiak
b,r,e,a,k
Baywatch,9
0,Colette Pellegrini
0,Darwin Pappas-Fernandes
0,Delilah Fairclough-Stewart
0,Jennifer Gagnon
0,Jessica Tyler
0,Aimee Alexander
0,Kaely Quijano
0,Kate-Lynn Walsh
0,Sofia Donskaya
0,Stephanie Hubli
0,Tessa Adler
0,Victoria Kirkman
5,Leanna Sprague
13,Carolina Brager
14,Joann Duman
25,Annalisa Boerner
28,Katherine Overstrum
28,Sonya Haupt
77,Maggie Emerick
b,r,e,a,k
Grit,2
1,Caroline Tornquist
2,Lauren Privette
03,Katie Judd
05,Jessie Durrett
08,Anastasia Mark
09,SALLY HARDIN
11,Sarah Buxbaum
14,Grace Champion
15,Elizabeth (Libby) Chamberlin
16,Grace Riley-Adams
17,Elizabeth Pugh
18,Lukiih Cuan
19,Lauren Allen
21,Caroline Buhse
23,Leigh Dairaghi
24,Grace Castro
25,Neena Kashyap
27,Jacqui Rhodes
28,Hanna Finigan
37,Carolyn Clendenin
44,Katherine Buckingham 
48,Emily Schwartz
61,Kristin Poinar
64,Becca Arbacher
73,Julia Petro
93,Kate Trenerry
b,r,e,a,k
PPF,3
0,BRIANNA JARVIS
0,Jaime Anderson
0,JILL GUERRA
0,Lauren  Green
0,May Nguyen
0,Molly Kojder
0,Saskia van Arragon
0,Serena Foo
0,Sydney Dunbar
0,Taylor Stanojev
4,Stephanie Hall
00,MEGAN THOMAS
00,Melissa Dunbar
00,Melissa Vandersluis
00,Jerry Hwang
00,Carly Fraser
00,Elora Brenneman
00,Agnes Chu
00,Alexandrea Austin
00,Alyssa Mason
00,Brianna VanderGriendt
00,Teresa Wittmann
b,r,e,a,k
Pine Baroness,7
0,Abigail Stolowski
0,Alice Weng
0,Angel Weng
0,Dana  Marxen
0,Elena Adams
0,Emily Reckenbeil
0,Jessica Waugaman
0,Julia Lekht
0,Sabrina Todaro
0,Stephanie Hartson
3,Jennifer Willemsen
5,Camille Delacruz
11,Rachel Rivera
13,Jessica Uscamayta
17,Jessica Schaub
26,Kate Douthat
b,r,e,a,k
Salty,6
01,Breagh Wallebeck
02,Meggie MacMichael
03,Katelyn Gordon
04,Makenzie Gallagher
05,Molly Wedge
06,Catherine MacPhail
07,Sara Sparavalo
08,Helena Sparavalo
11,Laurel Dykun
12,Rachel Woodside
21,Sarah  Ross
27,Samantha Ellis
28,Jennifer Keel
32,Elizabeth Weld
34,Amanda Ring
38,Michelle Lane
45,Emily Lamoureux
63,Erica Barber
88,Emma Parsons
93,Spencer Leslie
b,r,e,a,k
Storm,10
0,Sarah Bouchard-Cyr
02,MARIE-EVE GAUVIN
04,Laura Arbique
05,MAUDE PELLETIER
08,LAURENCE DEMERS-RIVARD
10,Lysandre Bessette-Brault
11,ANNICK MARTIN
12,Joelle Pion-Massicotte
13,Jessica Richard
19,Frederica Bouffard Forest
22,Natash Dumont-Carey
23,Alexandra Paille
24,Catherine Lalonde
25,Eve Massé
28,Gabrielle Beaudoin
40,Anne-Marie Boisvert
42,Catherine Goulet
44,Catherine Poirier
45,Diana  Cardenas
68,Rachel Beauchemin
87,Noémie Latendresse
88,Marie-Eve Martineau
b,r,e,a,k
Broad City,18
0,Amanda Cornfield
0,Caroline Passalacqua
0,Frances Taschuk
0,Tina Yen
2,Nayah Cruz
00,Rebecca Cooney
00,Stacey Spencer
00,Theresa Buckalew
00,Kristen Henry
00,Lindsay Arnone
00,Loryn Way
00,Mariko Kishimoto
00,Kathleen Raftery
00,Christine Reynolds
00,Victoria Spofford
11,Dalia Weinstein
14,Gabrielle Summers
15,Jenna Borges
15,Kelly Wojtan
26,Caitlin Conklin
27,Brianna Groh
b,r,e,a,k
Mystik,15
00,Dominik Anctil Goineau
03,Mathilde Givern-Heroux
06,Noémie Thibodeau
07,ALEXE VIGNEAULT-PINARD
10,Julia Biris
11,Maude Cournoyer
13,Julie Ouimet
16,Kimberley Pare
17,Pier-Jade Duchaine
18,Maude Laniel-Ducharme
21,Sarah Perrino
24,Myriam Chabot
25,Emma Fowler
26,Josée Houde
28,Camille Couture
31,Ariane Coupal
39,Camille Veillette Matte
40,Cloé Riel
89,Anne Laverdiere
b,r,e,a,k
BUDA,19
0,Ashley Wong
0,Caroline Tessy
