Northwest Challenge 2017,College - Women ,24,3,2017
Seattle,WA,2017-03-24,2017-03-26
https://play.usaultimate.org/events/Northwest-Challenge-2017/schedule/Women/CollegeWomen/
Pittsburgh,9
0,Abigail  Bomberger
0,Allison Hill
0,Anna Dzuricky
0,Annie Koch
0,Gabrielle Doran
0,Hannah Blizzard
0,Linn Bjanes
0,Peyton Skinker
0,Sofia Leav
1,Victoria Smith
2,Megan MacGillivray
2,Jessie Sun
7,Katie Schreiber
8,Linda Morse
12,Sarah Russek
14,Haley Grajewski
22,Caterina Pagano
23,Katie Cleveland
27,Goda Tarcijonas
36,Carolyn Normile
88,Liz Santucci
b,r,e,a,k
Michigan,14
02,Marguerite Harris
04,Amanda Casetti
05,Cassandra Singler
06,Olivia Perfetti
07,Elizabeth Benedetto
09,Nina Janjic
10,Brittany Wright
11,Tracey Lo
12,Janine Kerr
13,Mary Boyd
14,Meghan Campano
17,Nicole Kleinsorge
19,Abigail Jaqua
20,Madison Nightingale
21,Christina Hanson
24,Kristina Nunez
27,Megan Gordon
28,Leah Bar-On Simmons
31,Shannon Danforth
32,Vivian Chu
37,Hannah Henkin
42,Sylvia Gisler
44,Grace Denney
46,Amy Stoddard
48,Hannah Gannon
66,Tia Esposito
77,Phoebe Hopp
98,Katie Wagner
b,r,e,a,k
Dartmouth,1
0,Abby Ritterband
0,Annett Gawerc
0,Hannah Marr
0,Lucia Pierson
0,Margaret Nichols
6,Piper Curtis
6,Alexa Wing
8,Angela Zhu
12,Erica Ng
14,Lily Eisner
17,Magdalene Pizzo
22,Jack Verzuh
26,Caitlyn Lee
33,Sarah Colon
55,Julianna Werffeli
99,Moyosore Okeremi
b,r,e,a,k
Carleton College,12
0,Chessy Cantrell
02,Isabel Olson
03,Emma Gautier
04,Connor Kasch
05,Claire Thallon
07,Emily Kampa
09,Ellen Jacobus
10,Anika Thomas-Toth
11,Emma Nicosia
12,Zoe Denckla
13,Laura Soter
14,Claire Rostov
17,Madeleine Preiss
18,Mackenzie Korpi
21,Eliza Skoler
23,Caroline Sheffield
24,Naomi Price-Lazarus
25,Elaine Sundberg
26,Hannah Barnstone
28,Maya Powell
32,Emma Goidel
37,Sylvie Polonsky
42,Anna Stubbs
45,Katie Ciaglo
b,r,e,a,k
Washington,19
0,Anya Meleshuk
0,Caylyn Rich
0,Kaisa Rautiainen
0,Madeline Kramer
0,Mariel Empinado
1,Inaayat Gill
6,Claire Cyra
7,Rachel Jecker
02,Alexa Yadama
05,Janet Ho
11,Lily Moline
14,Nicole Cramer
15,Kaitlin Kirkpatrick
17,Ellen Goldberg
23,Maria Carla Marigmen
25,EDRIENNE  CHAN
36,Sophia Johansen
51,Kate Crawford
b,r,e,a,k
Virginia,6
0,Allison Hahn
0,Brittney Vargas
0,Chandler Smith
0,Claire Burke
0,Phoebe Merrick
0,Shuchi Amin
1,Emma Price
4,Christine Derieux
6,Jianna Torre
7,Brandi Skanes
9,Laura Landis
10,Alyssa Curry
11,Erin Flores
13,Ellie Wood
15,Julia Harris
16,Caroline Bereuter
22,Kiera Givens
23,Megan Gallagher
26,Rukmini Basu
29,O'Linda (Blaise) Sevier
30,Brogan Jones
32,Rebecca Driver
44,Keila Strick
52,Tess Warner
54,Sarai Arbus
b,r,e,a,k
Stanford,2
03,Rachel Thomson
