Heavyweights 2017,Club - Men ,22,7,2017
Loves Park,IL,2017-07-22,2017-07-23
https://play.usaultimate.org/events/Heavyweights-2017/schedule/Men/Club-Men/
Mad Men,1
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/madmenultimate/,https://twitter.com/MadMenUltimate
00,Branavan Yogarajah
00,Cody Milstein
00,Eric von Kampen
00,John (Christian) Lukas
02,Tyler Williams
05,Joseph Nelson
06,Gordon Peterson
10,Logan Martin
12,Sam Hebert
14,Jerome McGinnis
17,Thomas Gallagher
18,Patrick Donovan
23,Sef van Kan
24,Andrew Everts
26,Simon Kuran
41,Colin Sunde
42,Maddox Hill
49,John Tan
66,Ted Schewe
93,Felix Braun
b,r,e,a,k
General Strike,4
teamInfo,,"Winnipeg, Manitoba CA",,https://www.facebook.com/WinnipegGeneralStrike,https://twitter.com/strikeultimate
02,TYLER CHOCHINOV
04,Jesse Greenberg
05,Mathew Ladyman
07,Kyle Parker
10,Jordan Kovacs
12,Mike Doyle
13,Ethan Duncan
14,JORDAN CHOCHINOV
15,Scott Jones
17,Nicholas Dacquisto
19,DEAN JOHNSTONE
20,JOSHUA MAGNUSSON
21,Cameron Burden
22,David Ladyman
23,Gil Binnun
29,Brendan Wilson
31,JARED LEHOTSKY
36,Matthew Loxley
44,Jacob Meiklejohn
45,YACINE BARA
76,Steven Brown
90,Zach Goldberg
b,r,e,a,k
Black Market,8
teamInfo,,"Lombard, Illinois",https://www.BlackMarketUltimate.com,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
0,Joseph Conerty
01,Daniel Vockeroth
02,Joe Sidrys
03,Michael Armstrong
04,Zachary Schwulst
05,Zach Kieffer
06,Kevin Cleary
08,NICK BURRIL
09,Nathan Kinsinger
12,Ben Sabourin
13,Daniel Miller
16,Kevin DeAngelis
20,Reid Martin
22,Brian Rathunde
23,Ryan Smith
30,Nathan Wells
35,Conner Haenszel
40,Canaan Murray
42,Jeff Robinson
45,Chris Santiago
66,Jacob  Cuthbert
70,Josh Deeman
79,Aiden Frank
80,Peter Bennett
83,Drake Slater
85,Matthew Lemaitre
99,Evan Power
b,r,e,a,k
CaSTLe,5
teamInfo,,"St. Louis, Missouri",,,@CASTLE_ultimate
0,Ben Krupp
0,Cameron Yuan
0,Colin Macgregor
0,Daniel Sullivan
0,Daniel Scribner
0,George Brell
0,Jacob Jackson
0,Matthew Beers
0,Philip Arnold
0,Thomas Crockett
0,TJ Ridge
2,Evan Karson
3,Alex McClure
10,Michael Mills
10,Nirek Sharma
15,Alex Semaca
21,William (Will) Imming
24,Aaron Bryant
31,Ben Aunins
31,Parker Quinn
32,Joshawa Ryun
47,Devin Belvin
81,Ryan Wolfe
b,r,e,a,k
Illusion,2
teamInfo,,"Iowa City, Iowa",,https://www.facebook.com/illusionultimate/,https://twitter.com/dbqillusion
0,Brent Novey
0,Cody Rohlf
0,Colin Lord
0,Eric Hart
0,Jamison DiSalvo
0,Jonathan Beavers
0,JOSH PURMAN
0,Kegan Wakefield
0,Nick Sanchez
0,Nick Patrum
0,Payton Burken
0,Richard Higginbotham
2,Logan Grothus
2,Julian Gallo
5,Dillon Crowell
5,Paul Fritzell
10,Jacob Jahnke
15,Matthew Weber
23,Matthew Murry
25,Chase Everett
26,Zach Ohnesorge
27,Lucas Boyle
30,Tanner Boyle
35,Ryan Pesch
77,Eric Shomo
99,Colin Fry
b,r,e,a,k
Beachfront Property,3
teamInfo,,"Chicago, Illinois",modules/common/www.bfpultimate.com,https://www.facebook.com/BFPultimate,https://twitter.com/bfpultimate
0,Adam Wright
0,Johnny Saniat
0,Kenneth Debacker
0,Kyle Krukowski
0,Michael Koho
0,MICHAEL CALDERBANK
0,Nick Myhre
0,Reno Brinn
0,Ricky Ramirez
1,NICK PROZOROVSKY
4,Gabriel Valencia
5,JAMES TUNNEY
10,Jeff Zhao
12,Jeremy Burril
13,Karl Beck
21,Cal Tornabene
25,Adam Wong
31,Daniel Miller
40,Anthony Davis
59,Joseph Cacciatore
71,Dylan Power
73,Justin Reeverts
b,r,e,a,k
Haymaker,7
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/HaymakerUltimate,https://twitter.com/Chihaymaker
coaches,James Wolf
01,Willem Longendyke
04,Jacob Ward
05,Ryan Shea
10,Eric Swan
11,Christopher Asta
12,Matt Finley
13,Milan Rivas
14,Anthony Paoli
15,Wes Geisenberger
16,Ryan Watson
17,Rob Greenberg
18,Ian Blanke
19,KEVIN KOPROWSKI
21,Preston Bailey
22,Brandon Deihl
23,SHANE O'FARRELL
24,Andrew Fischer
35,Steven Cummings
41,Caden Canavan
42,James Sykora
50,Max Trotter
