Santa Barbara Invitational 2017 powered by SAVAGE,College - Men ,28,1,2017
Santa Barbara,CA,2017-01-27,2017-01-29
https://play.usaultimate.org/events/Santa-Barbara-Invitational-2017/schedule/Men/CollegeMen/
Washington,1
01,Manuel Eckert
02,Tian Chuan Yen
03,Khalif El-Salaam
05,Jakob Steen
06,Porter Jones
09,Maximilian Landa
10,Dongyang Chen
11,Jonathan Shuster
12,Tomas Delgado
13,Jason Peacher-Ton
14,Steven Benaloh
15,Derek Mourad
16,Cooper Schumacher
18,Nathaniel Wipfler
21,Lucas Chen
22,Zach Airth
23,Xiao Dong Liu
29,Michael Buyco
30,Nels Schimek
37,Brian Huynh
44,Noah Kregenow
50,Samuel Scherer
87,Joseph Kornowske
99,Reed Hendrickson
b,r,e,a,k
Colorado State,9
0,Lucas Beal
0,Daniel Crump
0,Mason Kiefer
0,Clark Yarbrough
0,Dylan Cheever
0,Thomas Theodorescu
0,Cole Turner
0,Mark Stratford
0,Easton Archibald
0,Toby Nordhoff
0,Dylan Custer
1,Jack Hinchsliff
3,John Miller
4,Mo Scott
7,Will McDonald
9,Jacob Servaty
11,Jack McGinnis
14,Matthew Bush
16,Jake Marrapode
18,Dylan Johnson
20,JORDAN TREPP
22,Hudson Martin
24,David Miller
30,Sten Larson
34,Cody Spicer
54,Sean Peskin
b,r,e,a,k
Arizona State,16
1,Evan Iacono
3,Jonathan Bridges
6,Shawn Courson
7,Jacob Mumme
9,Colin Parker
10,Aaron Flegenheimer
11,Carter Szukala
11,Clifford Capria
12,Bernhard Winklehner
17,Michael King
20,Raul Lizalde
21,Trevor Lattimore
23,Julian Prime
24,Samuel Sutton
24,Andrew Doe
30,CONNOR ROTH
32,Brandon Thomas
33,Brian Dryden
37,Bennett Christoffersen
39,Kevin Cranmer
69,Blaine Farber
87,Logan Martin
88,Andrew North
b,r,e,a,k
California-San Diego,17
69,Ryan Amely-Shannon
69,Luke Wulf
69,Ben Kumler
69,Zac Goldberg
69,Migal Manickaraj
69,Victor Rodrigo
69,Mazden Mastromauro
69,Eric Hytönen
69,Jacob Gutkowski
69,Scott Radlauer
69,Stefan Samu
69,Sequoya Daniels
69,Shawn Krystkowiak
69,Gene He
69,Zachary Murez
69,Aidan Bound
69,Adam Stafford
69,Isaac Shanley
69,Kiran Potula
69,Isaac Rehg
69,Jackie Wong
69,Andrew Hua
69,Joe McMinn
69,James Kasic
69,Bernard Suwirjo
69,Jacob Huls
69,Gavriel Gelbart
69,Bryce Lozinski
69,John Geller
69,Neehar Kondapaneni
b,r,e,a,k
California-Davis,8
0,Jarren Suzuki
0,Casey Shugarman
0,Jacob Deppmeier
0,Devin Hom
0,Nicholas Helms
0,Evan  Martin
0,Spencer Sawyer
0,Tycho Yacub
0,Kevin Klein
0,Trent Viau
0,Bryan LoCoco
0,Callum Watts
0,Dylan Pyle
0,Dylan Owens
5,Julius Vo
11,Ryan Gallagher
14,Fredric Murolo
15,Nick Tolfa
25,Nathan Maddox
b,r,e,a,k
Cal Poly-SLO,2
0,Sunghoon Chung
02,Brennan Bryant
05,Aaron Shi
06,Gabe Ghirann
07,Jordan Schaeffer
08,Dillon Whited
09,Nathan Pettyjohn
11,Hudson Stuck
13,Theodore Watkins
14,Dean Otsuka
17,Joshua (Slater) Levey
18,Alec Bandler
19,Conor Schofield
20,Sean Liston
21,Caleb Merriam
24,Cameron Wariner
25,Camden Reynolds
26,Jansen Selenis
27,Andrew Lam
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
35,Justin Ting
53,Matthew Ferrari
82,Morgan Sommer
87,Matthew Ryan
95,Jake Biancur
b,r,e,a,k
Southern California,18
0,Ghenki Okumoto
0,Jordan Chock-Wong
0,Reece Matsumoto
0,Rowan McEvoy
1,James Toh
2,Sam Cook
3,Ricky Kirkpatrick
3,Edwin Chen
4,Wyatt Paul
10,Shawn Chang
11,Chris Holmes
13,Matt Burke
17,Alex Koh
23,Michael Wilson
26,Alexander Tovar
29,David Sealand
35,Jasper McEvoy
45,Michael Sylvester
55,Drew Okenfuss
88,Gideon Elson
94,Jacob Kulakofsky
b,r,e,a,k
Oregon State,7
0,Aaron Peterschmidt
0,IAN BOGLEY
1,Sam Amaro
3,Jacob Ramsey
4,Nick Maher
6,Eric Callahan
7,Jacob Wigen
8,Andrew McCullough
10,Ryan Rogers
12,Dan Baumgartner
13,Jacob Chickadonz
16,Beryl Terry
17,Kyle Furukawa
18,Edward Simpson
19,Aaron Rogers
24,Andrew Lewis
25,William Rowley
26,Taylor White
28,George Rear
30,Drew Peterschmidt
35,Kalen Pegeder
36,Adam Schneiderhan
62,Quinn Buermeyer
77,Jack Hubner
89,David Rong
b,r,e,a,k
Washington University,10
0,Khoa Nguyen
0,Brandon Parr
0,Arman Guerra
0,John Bisognano
0,Nathan Vogt
0,Delmar Tarrago
0,JOHNNY HEIN
0,Evan Korte
0,Zachary Lin
0,Ian Bernstein
2,Josh Rotker
5,Rett Hooper
7,Campbell Eshleman
8,Joel Maiman
9,Jared Crane
10,Tony Bumatay
10,Nirek Sharma
14,Matthew McElduff
16,Yuval Pearl
17,Evan Wilder
21,Tanner  Nordell
21,David Jones
22,Jordan Chow
