Philly Open 2017,Club - Mixed ,5,8,2017
https://play.usaultimate.org/events/Philly-Open-2017/schedule/Mixed/Club-Mixed
Powermove,9
0,Emily Grad
0,Ethan Jones
0,Hy Ha
0,Jan Vanous
0,Kevin Ludwig
0,Kevin Hsu
0,Kylie Sterling
0,Neil Orzechowski
0,Ryan MacFadyen
0,Sam Isaac
0,Tiffany Macfadyen
0,Camille Victoria Delgado
0,CHRISTOPHER MURPHY
0,Daniel Siegel
0,Alex Becker
0,Zina Huxley-Reicher
9,Delaina Allegretti
14,Brianna Dayer
92,Travis Rothbloom
b,r,e,a,k
Albany Airbenders,8
0,Allie Dimura
0,Ben Lounsbery
0,Jennifer Collins
0,Jon Stephan
0,Max Morse
0,Thomas von Allmen
1,Wunyin Au
2,Garrett Clay
3,Kaitlyn Clay
5,Matthew Kerendian
5,Noah Betz-Richman
5,Reid Slingerland
8,Jonathan McRae
9,Haley Lescinsky
11,Harry Park
11,Hayley Mattice
13,Kathryn Olds
13,Kevin Stearns
17,Charles Mehrotra
21,Adam Nelson
24,Michael Aurrichio
34,ERICA BORNHOFT
36,Justin Aragosa
b,r,e,a,k
Crucible,1
0,Ana Vizcaya Hernandez
0,Andrew Walsh
0,Blaine Taylor
0,CAROLINE NOFZINGER
0,Lauren Franke
0,Lindsay Zadunayski
0,Melissa Zajdel
0,Patrick McMullen
0,Rachel Diffendal
0,Scott Branagan
3,Taha Udyawar
6,Kalene Morozumi
7,Cory Ruff
8,Amanda Erlandson
8,Ronald Persico
8,Samuel Munnis
18,Bridget McCoy
21,Elliott Diamond
23,Matthew McDaniel
25,Rachel Olszewski
27,STEVE OLDRATI
31,Anthony Erlandson
37,Svetlana Romanova
56,Julia Lekht
59,Michael Driskell
80,Jay Walker
89,Eric Petrow
b,r,e,a,k
Varsity,16
02,Lara Fernandez-Cerezo
03,Kristian Lundberg
08,Iris Malfetano
09,Justin Fabrikant
12,Elizabeth Coe
16,Anca Giurgiulescu
21,Edward Fenster
22,Sasinya Scott
23,Jordan Tippitt
27,PJ Niegsch
33,Daniel Aronov
39,Jimmy Phillip
42,Ajay John Komattu
43,Jeffrey Pollock
47,Madeline Rosenberg
69,Adam Pin
b,r,e,a,k
Pandatime,17
0,Benjamin Armero
0,Brandon Myers
0,Brian Leonard
0,Caleb Guillaume
0,Connie Anagnostou
0,Jas Raj Singh
0,Louis Kline
3,Aimee Seger
18,Alexandra Zorbach
19,Samantha  Maygers
36,Miranda Gallegos
66,Michael Valdes
b,r,e,a,k
#Birdz,10
0,Allison Dowling
0,Brandon Eng
0,Christopher Kizis
0,Christopher Grenier
0,Josiah Zoodsma
0,Leanne Beyel
0,Sarah Cotter
0,Scott Mulderig
0,Stacey Ng
1,May Patino
7,Patricia Burks
8,Angela Petrus
15,James Green
15,Elena Arnosky
17,Kellianne Kinane
17,Whitney McCarthy
21,Christopher Cabot
23,Michael Agarenzo
24,Benjamin Sokolowsky
31,Collin Bartoldus
42,Andreas Lietzau
96,Eric Cannella
b,r,e,a,k
8 Bit Heroes,2
0,Chris Pliszak
