Bring the Huckus 7,College - Men ,25,2,2017
West Windsor Township,NJ,2017-02-25,2017-02-26
https://play.usaultimate.org/events/Bring-the-Huckus-7/schedule/Men/CollegeMen/
Williams,2
teamInfo,WUFO,"Williamstown, Massachusetts",http://williamsultimate.wordpress.com,,https://www.twitter.com/wufoultimate
0,Patrick Gerald
1,Jeffrey Sload
2,Ari Ball-Burack
3,Dylan Martin
4,Gabriel  Silva Collins
5,Noah Betz-Richman
6,Ryan Taylor
7,Nicholas Weed
8,Lev Gordon
9,Gray Livingston
10,Will Turett
11,Henry Lane
12,Nathaniel Munson-Palomba
13,Kees Humes
15,Jeremy Smith
18,Jonah Greenberg
20,Alexander Majercik
23,Nicholas Couch
25,Emmett Blau
27,Thomas Edward Ragucci
31,Matthew Jang
41,William Newton
59,Richard Saint
69,Luke Passannante
77,Matias Korfmacher
99,Jeff Pearson
b,r,e,a,k
Northeastern,3
teamInfo,Huskies,"Boston, Massachusetts",http://www.ultimate.neu.edu/men/newsite/blogs/,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
0,Cory Hard
0,Jonathan Wagner
0,Jorden Van Emmerik
0,JUSTIN WONG
0,Mark Kharakh
0,Sean Wallace
0,Sumner Cushman
0,Walker Mayerchak
0,Michael Busa
1,Noah Kurland
2,Jacob Kaplan
3,Brian Wyer
11,Samuel Letcher
17,Ben Goossen
20,Jonah Kurman-Faber
25,Ilya Yudkovich
29,Daniel Doherty
32,Matthew Schwartz
39,Benjamin Meltzer
40,Liam Henry
45,Cameron Levenstein
59,George Abuhamad
67,Benjamin Deprez
81,Winston Ge
b,r,e,a,k
Boston College,5
teamInfo,Eagles,"Chestnut Hill, Massachusetts",,,https://twitter.com/bcultimate
0,Andrew Cirillo
0,Kevin Sprotte
0,Riley Hanson
2,Ryan Cardinal
5,Drew Davis
10,Theo Kruse
12,Alexander Bernhardt
13,Liam Earley
21,Myles Hahn
50,Joshua DeBlieux
b,r,e,a,k
Princeton,7
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
coaches,Grant Franke
0,Andrew Goh
0,Kavinayan Sivakumar
0,Matt Lefebvre
0,Nadeem Demian
0,Nathaniel Moses
0,Oakley Richins
0,Paul Witten
0,Sean Gai
0,Ted Callon
0,Thomas Colen
0,Zane Friedkin
1,Kiffa Conroy
4,Seho Young
8,Tony Jin
11,Shamay Agaron
11,Charles Coburn
14,Matthijs Dijkgraaf
17,Rocco Amorosso
19,Zach Weed
21,Steven Chien
27,Victor Zhou
28,Andrew Nelson
36,Jake Waksbaum
37,Dylan Baroody
42,Noah Hastings
b,r,e,a,k
Rhode Island,9
teamInfo,RIUT,"Kingston, Rhode Island",http://www.urimensultimate.com,https://www.facebook.com/rhodeislandultimate,https://twitter.com/MensRIUT
02,Johann Becker
04,Seth Thompson
07,Robert Thottam
09,Zachary Smith
10,Sawyer Nichols
12,Sean Tolster
13,Nicholas Tierney
15,Frank Noonan
16,Ben Sacco
20,Ryan Brown
22,Marc Gleason
23,Sean McQueeney
32,John Mundo
34,Jason Schwartz
45,Brandon DiGiulio
60,Russell Brown
72,Zachery Raso
83,Dean Bussick
88,JohnRobert Gimler
b,r,e,a,k
Haverford,12
teamInfo,Big Donkey Ultimate,"Haverford, Pennsylvania",,,https://twitter.com/donkeyultimate
0,Maarten Hesseling
00,Mac Perkins-High
00,Michael Weber
00,Nicky Rhodes
00,Paul Wynkoop
00,Saket Sekhsaria
00,Daniel Sax
00,Dominick Rowan
00,Wallace Miller
00,Yuchao Wang
00,Alden Daniel
00,Alexander Kane
00,Charles Marx
00,Gabriel Halperin-Goldstein
00,Gaynor Norcott
00,Jack StClair
00,Jake Murray
00,Jordan Acker
05,TJ von Oehsen
08,Dylan Emery
10,Calvin Trisolini
23,Justin Marshall
42,Lucas  Richie
98,Chris Hoogstraten
b,r,e,a,k
Navy,8
teamInfo,Poseidon,"Annapolis, Maryland",,,
3,Thomas Larrea
7,Sean Freeman
9,Nicholas Andrie
02,George Saker
08,Jay Wallen
10,John Faucher
11,Bernard Forney
13,Ryan Waterman
15,Carl Trampenau
17,William Kruger
18,Stephen Steckler
20,Sean Bernstel
21,Jacob Prickett
24,Alexander Huang
25,Austin Scigliano
27,Sam Weaver
31,Chad Hollandsworth
45,Kevin Lu
50,Jeremiah Harding
54,Spencer Cobb
69,Marc Seitz
85,Tyler Reasner
b,r,e,a,k
Delaware,11
teamInfo,Sideshow,"Newark, Delaware",,,
0,Aaron Bonsignore
0,Andrew Moore
0,Hayden Fulton
0,Kyle Weinberg
0,Matt Hardie
0,Mitch Stuchlik
0,Richard Evans
0,Robert  McLean
0,Sean Duncan
2,JOSEPH CARVER
4,Reed Forman
8,Matthew McLean
