Commonwealth Cup 2017,College - Women ,25,2,2017
Axton,VA,2017-02-25,2017-02-26
https://play.usaultimate.org/events/Commonwealth-Cup-2017/schedule/Women/CollegeWomen/
Pittsburgh,1
teamInfo,Danger,"Pittsburgh, Pennsylvania",https://sites.google.com/site/dangerultimate2/,https://www.facebook.com/groups/35601418785/,https://twitter.com/dangerultimate
coaches,Ben Banyas
0,Abigail  Bomberger
0,Allison Hill
0,Anna Dzuricky
0,Annie Koch
0,Gabrielle Doran
0,Hannah Blizzard
0,Lakshmi Ilango
0,Linn Bjanes
0,Peyton Skinker
0,Sofia Leav
1,Victoria Smith
2,Megan MacGillivray
2,Jessie Sun
7,Katie Schreiber
8,Linda Morse
12,Sarah Russek
14,Haley Grajewski
22,Caterina Pagano
23,Katie Cleveland
27,Goda Tarcijonas
36,Carolyn Normile
88,Liz Santucci
b,r,e,a,k
North Carolina-Wilmington,5
teamInfo,Seaweed,"Wilmington, North Carolina",,https://www.facebook.com/Seaweed-Ultimate-112707882088022/?fref=ts,https://twitter.com/SeaweedUltimate
0,Annalise Hiskey
3,Tori Pitts
4,Jessica Graham
5,Paige Durham
7,Cacey-Jane Bunch
8,Arianna Triantis
11,Hannah Samuelson
13,Abigail Rioux
15,Kellee Meiners
17,Erin Johnston
22,Kristen Reed
24,Hannah Boettcher
44,Jenny Anguisaca
55,Klara Calderon-Guthe
83,Abby Kent
95,Lindsey Bishop
99,Kelly McGillicuddy
b,r,e,a,k
Penn State,4
teamInfo,Crisis,"University Park, Pennsylvania",,,https://twitter.com/crisisultimate
0,Jessica Sourbeer
0,Keanna Haney
0,Madeline Durn
0,Maya Karl
0,Meaghan Kane
0,Melissa McCloskey
0,Molly Robertson
0,Molly Lynch
0,Myranda Armstrong
0,Allison Milligan
0,Blake Ratner
0,Guinevere Rauch
0,Haleigh Cavalier
0,Torey Vayer
2,Cassidy  Camplese
27,Brooke Ruggieri
31,Jackie Middleswarth
80,Tara Peng
b,r,e,a,k
Maryland,8
teamInfo,Helpful Corn,"College Park, Maryland",https://sites.google.com/site/umdwomensultimate/,https://www.facebook.com/UMD-Womens-Ultimate,https://twitter.com/UMD_HelpfulCorn
0,Abigail Toretsky
0,Amy Buck
0,Catherine Heller
0,Ilana Herold
0,Jaime Capron
0,Kelsie Hohenberger
0,Maeve McKinney
0,Megan Czysz
0,Natsu Kumagai
0,Tori Queeney
6,Maria Pascale
8,Hanna Finigan
12,Allyson McCarthy
17,Juliet Bishop
18,Galen Reifsnider
39,Sophie Lyle
64,Ciera Miller
b,r,e,a,k
Virginia,2
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
coaches,David Allison,Elliott Isaac,Janie Mockrish,Nada Tramonte
0,Allison Hahn
0,Brittney Vargas
0,Chandler Smith
0,Claire Burke
0,Phoebe Merrick
0,Shuchi Amin
1,Emma Price
4,Christine Derieux
6,Jianna Torre
7,Brandi Skanes
9,Laura Landis
10,Alyssa Curry
11,Erin Flores
13,Ellie Wood
15,Julia Harris
16,Caroline Bereuter
22,Kiera Givens
23,Megan Gallagher
26,Rukmini Basu
29,O'Linda (Blaise) Sevier
