2017 Capital Mixed Sectionals,Club - Mixed ,9,9,2017
Fredericksburg,VA,2017-09-09,2017-09-10
https://play.usaultimate.org/events/2017-Capital-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Ambiguous Grey,1
7,Allyson Golightly
8,Anne Tanenbaum
12,Bryan Nadeau
14,Samuel Young
16,Diana Burke
19,Eric Helm
19,JAMIE Witman
22,Liz Grimes
32,Nick Malagari
50,Tommy Barber
99,George Wright
b,r,e,a,k
Los Penguinos,14
0,Alan Jameson
0,ATHENA TANG
0,Brice McKeever
0,Cara Murray
0,Cara Groden
0,Christina Chang
0,Corrie Willson
0,Dominik Heynen
0,Elizabeth Herzfeldt-Kamprath
0,Eyad Lababidi
0,Genevieve Maricle
0,Gregory Heltzer
0,Hon Yin Eubanks
0,Karin Rafaels
0,KATY MURPHY-LUBOWICZ
0,Michael Schwartz
0,RACHEL AUSTIN
0,Stephen Lewis
0,Swati Agarwal
0,THOMAS GODSEY
0,Winston Chang
7,William Cvengros
11,Joshua Mull
13,Justin Kratz
16,Alec Hirschauer
18,DAVID SCHNAARS
73,Brian Jollie
b,r,e,a,k
Fireball,12
0,Adrienne Nicholson
0,Eugenia Romantseva
0,Huldah Gronvall
0,Jackson Schreiber
0,Jacob (Jake) Horowitz
0,JASON ANDRYUK
0,JENNIFER WELLMAN
0,JENNIFER GORDON
0,Karen Schulte
0,Lisa Helvin
0,Mark Kresowik
0,Matthew Gordon
0,MATTHEW GREYTAK
0,Natasha Sienitsky
0,Nicole Kresowik
0,Owen Williams
0,Seth Buchsbaum
0,Steve Helvin
7,David Boylan-Kolchin
9,Jarnail Bajwa
12,Oliver Platts-Mills
17,David Branick
22,Robert Luhrs
32,Bryan Greenwald
42,Ellen Greytak
47,Thomas Nicholson
61,Erik Salmi
b,r,e,a,k
American Hyperbole,4
0,Alex Bodaken
0,Alexander Antolick
0,Alexis Faccone
0,Annalise Humm
0,Benjamin Price
0,Drew Shaffer
0,Dylan Leighton
