Mid-Atlantic Mixed Regional Championship 2017,Club - Mixed ,23,9,2017
Milford,DE,2017-09-23,2017-09-24
https://play.usaultimate.org/events/Mid-Atlantic-Mixed-Regionals-2017/schedule/Mixed/Club-Mixed
AMP,1
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,Patrick Sherlock
01,Robert Roos
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
05,Justin Carter
06,Kelsey Devlin
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
11,Ryan Flamberg
13,Nico Lake
14,Stuart Hean
16,Richard Robinson
17,Stephen Ng
18,Emily Shields
19,Anna Thompson
20,Ben Pelleg
21,Linda Morse
22,Allysha Dixon
23,Natalie Bova
24,Danielle Walsh
29,Sarah Johnson
33,Calvin Trisolini
36,Carolyn Normile
46,Austin Bonelli
79,Michael Ing
88,Matt Carter
b,r,e,a,k
Ant Madness,12
teamInfo,,"Arlington, Virginia",,,https://twitter.com/antmadness
0,Allison Hahn
0,Amy Wedmore
0,Carolyn Ng
0,Collier Cobb
0,Grace Denney
0,Janie Mockrish
0,KATIE HAWN
0,Katrien Hinderdael
0,Luke Hart-Moynihan
0,Molly Thomasson
0,SHANNON MCVEY
0,Sydney Kane
8,Jae Miner
9,Alexander Lichtenstein
11,Alex Srisuwan
11,Ryan Thornton
13,Varun Pattani
13,Nicole Getter
14,Daniel Blair
18,Graham Turner
20,Samuel Brecker
22,ANDREW SIGAL
25,Carl Schoenherr
31,Andrew Ferraro
42,Claire Loxsom
53,Jackson Gode
88,Robert Pratt
b,r,e,a,k
Fireball,8
teamInfo,,"Rockville, Maryland",,,
0,Adrienne Nicholson
0,Eugenia Romantseva
0,Huldah Gronvall
0,Jackson Schreiber
0,Jacob (Jake) Horowitz
0,JASON ANDRYUK
0,JENNIFER WELLMAN
0,JENNIFER GORDON
0,Karen Schulte
0,Lisa Helvin
0,Mark Kresowik
0,Matthew Gordon
0,MATTHEW GREYTAK
0,Natasha Sienitsky
0,Nicole Kresowik
0,Owen Williams
0,Seth Buchsbaum
0,Steve Helvin
7,David Boylan-Kolchin
9,Jarnail Bajwa
12,Oliver Platts-Mills
17,David Branick
22,Robert Luhrs
32,Bryan Greenwald
42,Ellen Greytak
47,Thomas Nicholson
61,Erik Salmi
b,r,e,a,k
American Hyperbole,13
teamInfo,,"Baltimore, Maryland",,,
0,Alex Bodaken
0,Alexander Antolick
0,Alexis Faccone
0,Annalise Humm
0,Benjamin Price
0,Drew Shaffer
0,Dylan Leighton
0,James Collins
0,Jonathan Ginsberg
0,Kara Schulden
0,Kelly Wallace
0,Kristen Connor
0,Matthew Radhe
0,Marie Collins
0,STEPHANIE DREYER
3,Hallie Carter
6,Michael Sharma
16,Jeff Martin
23,Samantha Elliott
27,Ada Maxwell
36,David Jones
42,Jeffrey Hoch
54,Spencer Cobb
69,Ryan Bates
69,Kevin Versteeg
80,Joseph Ricks
94,Abigail Wenck
b,r,e,a,k
Alloy,2
teamInfo,,"Pittsburgh, Pennsylvania",modules/common/pghmixed.com,https://www.facebook.com/pghalloy/,https://twitter.com/pghalloy
01,Christie Lawry
02,Megan Briggeman
03,Maria Bajzek
04,Molly Moore
05,Christina Poole
06,Shayna Reppermund
07,Lucy Bender
08,Victoria Rollin
09,Nathan Hess
11,Leo Warren
12,Nicole Fiorentino
13,Jesse Kummer
14,Kenny Furdella
18,Susan Devaraj
22,Mark Pitts
24,Alexander Thomas
25,Kelsey Lenard
26,Kelsey Cowles
30,AARON KANE
31,AARON BUSS
43,Jake Rovner
52,Ellis Baehr
59,Bryan Bernard
77,Mohamadou Diatta
82,Isaac Smith
85,William Hefferon
86,Robert Paolini
b,r,e,a,k
Jughandle,7
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
0,Andrew Auyeung
0,Brian Litt
0,Cara Silvestri
0,Colin Kochenash
0,Drew Rasmussen
0,Harrison Treegoob
0,JAMIE BARR
0,Janine Hlavaty
0,Jeff Shipkin
0,Jessica Renninger
0,Jimmy Wang
0,Evan Feeney
0,Kristi Huang
0,Natalia De Jesus
0,Rebecca Halleran
0,Thomas Johnson
2,Funing Zhang
6,Dmitry Suvorov
9,Charles Cannon
