Northeast College Mixed Regional,College - Mixed ,11,11,2017
Northampton,MA,2017-11-11,2017-11-12
https://play.usaultimate.org/events/Northeast-College-Mixed-Regional-2017/schedule/mixed/College-Mixed/
Massachusetts,1
teamInfo,Zoom,"Amherst, Massachusetts",,,
0,Allison Steele
0,Caroline Collis
0,Caroline Pellegrini
0,Eugene L'Heureux
0,Jared Scheinberg
0,Megan Savoy
0,Nathan Ryan
0,Sophie Shen
5,Jacob Radack
6,Justinne Guarin
7,Gabriel Schmitt
12,Matt Caswell
13,Kat Brock
18,Brett Gramann
20,Liz Lim
21,Patrick Barron
21,Tannor Johnson
25,Lucy Grossman
47,Ethan Smith
69,Solomon Maerowitz-McMahan
70,Samuel Gagnon
72,Joseph Sadok
77,Tess Cullaz
b,r,e,a,k
Bates,8
teamInfo,CoolWhip,"Lewiston, Maine",,,
0,Alexis Hudes
0,Avery Wolfe
0,Cameron Johnson
0,Josie Gillett
0,Kwamae Delva
0,Libby Masalsky
0,Lindsey Beauregard
0,Meghan Cleary
0,Rachel Blaustein
2,Matt Goldberg
3,Grace Warder
9,RJ Bingham
18,Jacob  Freedman
69,Will McPherson
81,Max Rein
87,Colin Eimers
b,r,e,a,k
MIT,9
teamInfo,Woodbyters,"Cambridge, Massachusetts",,,
0,Arjun Khandelwal
0,Eric Wong
0,Eshaan Nichani
0,Hao Shen
0,Henrik Boecken
0,Kuo-An Wei
0,Madelyn Focaracci
0,Richard Yip
0,Solan Israel-Megerssa
07,Kelly Chen
10,Michelle Chen
10,Munir Libos
12,Claire Duvallet
15,Kimberly Yu
18,Helen Li
23,Mary Zhong
24,Paolo Gentili
25,Alicia Lai
27,Saroja Erabelli
29,Steven Homberg
32,Amelia Becker
36,Amy Liu
77,Milani Chatterji-Len
b,r,e,a,k
Hofstra,16
teamInfo,Hofstra Ultimate,"Hempstead, New York",,,
0,Adam Drill
0,Anthony Muscarello
0,Benjamin Denaga
0,Daniel Valverde
0,Joseph Murphy
0,Michael Ringel
4,Tyler McCarthy
4,Lauren Small
5,Jessica Siskind
5,Andrew Detres
6,Haley McPartland
6,Joshua Sullivan
7,Jordan Dalmedo
18,Pauline Seibert
20,Kathryn Krukowski
21,Carolina Carrera
21,Gabriel De Oliveira
23,Adelynn Murphy
29,Mary McFarlin
33,Ian Weimer
37,Kyle Sommerlad
43,Kellie O'Brien
47,Miranda Pasquarella
55,Michael Perez
72,Frank Castelluccio
73,Caitlin McCarthy
b,r,e,a,k
Skidmore College,17
teamInfo,ThoroughBears 1,"Saratoga Springs, New York",,,
0,Alexander Lund
0,Clare McInerney
0,Quinn Campbell
0,Sabrina Xie
0,Sammi Smith
0,Jules Ramirez
4,Emma Hulbert
17,Shane Fuller
22,Gina Pryciak
24,Karabo  Mosola
33,Jonah Amron
72,Dylan Frank
b,r,e,a,k
Northeastern,2
teamInfo,Husky Valks,"Boston, MA, 02120, Massachusetts",www.ultimate.neu.edu,,
0,Anna Cullen
0,Charlotte Langer
0,Danielle DiRaddo
0,Jonathan Wagner
0,Jorden Van Emmerik
0,Justin Tran
0,Liam Henry
0,Lydia Auch
0,Sean Wallace
0,Sofia Horan
0,Sumner Cushman
0,Tracey Lum
0,Vivian Lee
1,Noah Kurland
2,Jacob Kaplan
11,Arielle Nelson
13,Ellen  Harsha 
15,Julianne Kloza
17,Ben Goossen
25,Ilya Yudkovich
26,Ariel Bloch
29,Daniel Doherty
41,Frederick Sheehan
49,Lamia Farah
b,r,e,a,k
Amherst,7
teamInfo,Sparkle of Darkness,"Amherst, Massachusetts",,,
0,alexander chaffers
0,Alisa Bajramovic
0,David Brinkley
0,Flavia Martinez
0,Julia Pretsfelder
0,Julia Burnett
0,Julian Brubaker
0,Katherine Stanton
0,Lehua Matsumoto
0,Logan Deming
0,Mahesh Dhulipala
0,Nathan Sacks
0,Robbie Zielinski
0,Sarah Teichman
2,Borun Sun
3,Victoria Zhang
3,Jonathan Che
4,Lauren Weiss
5,Mackenzie Stein
7,Jason Darell
