President's Day Qualifier 2017 (Men),College - Men ,4,2,2017
https://play.usaultimate.org/events/Presidents-Day-Qualifier-2017/schedule/Men/CollegeMen/
Chico State,1
55,Jack Burfield
57,Jackson Rhodes
85,Mark Hazlebeck
88,Ethan Heh
b,r,e,a,k
UCLA (B),18
03,Tejas Dalvi
04,David Curry
07,Brennan Hartley
08,Joseph Gorelik
09,Edden Yashar
10,Ari Sweedler
11,Ryan Cheng
13,Max Dunsker
15,Calvin Lam
16,Spencer Anderson
21,Daniel Begazo
22,Joshua Yu
28,Nicholas Schneider
29,Itai Intrater
31,Casey Darmawan
35,Edward White
37,Edouardo Honig
88,David Yee
98,Graydon Flatt
b,r,e,a,k
Caltech,7
0,Aaron Young
0,Andrew Ortegaray
0,Brigitte Rooney
0,Charles Dorn
0,Dennis Yatunin
0,Erika Ye
0,Hyunseong Kim
0,James Deacon
0,Kevin Yang
0,Leo Balestri
0,Michael Miller
0,Sarah Kreider
0,Thomas Alford
0,Vatsal Jhalani
3,Daryl Yee
5,Helena Wu
6,Alexander Cui
8,Bryce Edwards
9,Junno Tseng
11,Dominic Yurk
21,Sarang Mittal
24,Jonathan Cotler
26,Evan Yeh
27,Sophus Shackford
42,Somasundara Pandian
88,Peishi Cheng
96,Michael Lichterman
b,r,e,a,k
UCLA,3
0,Alex Gu
0,Alexander Julian
0,BEN KRAHENBUHL
0,Dylan Neff
0,Jarett King
0,Kevin Zhang
0,Konrad Niemiec
0,Matthew Yee
0,Mochi Li
0,Noah Anderson
0,Paul Ramstad
0,Ruochen Wang
4,Michael Peng
7,Preston Carroll
9,Cooper Tanquary
10,Suraj Patel
12,George Faour
18,Geoffrey Iyer
19,Joseph Schatzlein
23,Evan Soskin
32,Eric Siegel
38,Conor McNamara
44,Bryson Levisay
50,Ram Goli
62,Thomas Mendoza
85,Siddhesh Naik
b,r,e,a,k
Sonoma State,6
0,Erik Castellanos Vasquez
0,Garrett Grubaugh
0,Humberto Gonzalez
0,Jack Weatherford
0,Jae Yu
0,Dante Fernandez
0,Kevin Locke
0,Zachary Ormsby
8,Clayton Hensley
9,Albert Coito
9,Josh Fontes
10,Ryan  de Leuze
13,Eric Uldall
17,Matthew Gibbons
20,Colter Bocksnick
24,Adrian Castellotto
27,Noah Bernhardt
39,Noah Abrams
44,Kevin Gantsweg
97,Omar Cornejo-Esquivel
b,r,e,a,k
California-Santa Cruz (B),11
0,Daniel Monaco
0,Evan West
0,Felix Vazquez
0,John Bowman
0,John Briseno
0,Kristopher Rollert
0,Noah Smith
0,Sachin Deepak
0,Sam Bolton
0,Spencer Neuschmid
0,Ben Ogawa
7,Billy Fague
14,Justin Tsuchiyama
21,Thomas Zetino
51,Joseph Tillson
b,r,e,a,k
California-San Diego (B),14
0,Andrew Muro
0,Andy Ho
0,Arik Singh
0,Armaan Ali
0,Ben Holladay
0,Benjamin Birner
0,Blake Gabel
0,Abel Martinez
0,Christopher Robinson
0,Chun-Cheng WU
0,Grant Hultquist
0,Jasper Travers
0,Jonathan Hanna
0,Kedar Pujara
0,Lucas Martz
0,Quomel Imani
0,Sean  Lo
0,Stephen Carrington
0,Zachary Huang
3,Michael Huang
17,Brian Greenbaum
18,Roman Kitsela
27,Nicholas Vacchio
32,Ryan Pak
52,Kush Parmar
71,Storm Dotson
75,Gautam Ramesh
86,Alan  Chen
90,Alphonse Owirka
b,r,e,a,k
Cal Poly-Pomona,4
0,Abin Thomas
0,Andrew Calinescu
0,Joshua Agopian
0,Julian Salazar
0,Justin Nolan
0,Eric Knorr
1,Zamin Aziz
02,Mateus Pinheiro
04,Caleb Jang
06,Kevin Labbate
08,Christopher Chang
14,Andrew Kinkele
14,Knox Borges
19,Isaac Porter
22,Kyle Jepsen
26,Christopher Tait
29,Daniel Ouk
33,Bruno Haesbaert
34,Nathan Leong
42,Drew Gates
69,Jonathan Horton
87,Matt Lambrose
99,Brandon Yee
b,r,e,a,k
San Jose State,5
0,Aaron Shuler
0,ANDREW FETZER
0,Brandon Purcell
0,Calvin Chang
0,Chase McCoy
4,Phillip Young
9,NIKOLAS MIFSUD
10,Jonathan  Nozzari
16,Garrick Ho
23,Karl Muster
28,Aren Yeghissian-Kanneian
42,Alvin Feng
51,Spencer Wong
97,Davis Ambur
b,r,e,a,k
California-Davis (B),12
0,Adam Humphrey
0,Daniel Langford
0,Eddie Jacobs
0,Joel Rivett
0,Kun Huang
0,Nicholas Hausch
0,Sean Killilea
