D-I College Championships,College - Men ,26,5,2017
Mason,OH,2017-05-26,2017-05-29
https://play.usaultimate.org/events/2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/
Massachusetts,1
00,Jared Madore
03,Ben Sadok
04,Ciaran Shaughnessy
05,Jacob Radack
07,Gabriel Schmitt
08,Dustin Baglow
14,Gregory Oreste
15,Tannor Johnson
16,Giancarlo Cincotta
18,Brett Gramann
21,Patrick Barron
27,Solomon Maerowitz-McMahan
28,Aaron Raskin
29,Jared Chapman
31,Eddie Scott
32,Jack Staples
33,William Thornton
34,Nico Mueller
38,Matt Caswell
80,Chris Bartoli
89,Eugene L'Heureux
96,Alexander Donadio
b,r,e,a,k
Washington,8
01,Manuel Eckert
02,Tian Chuan Yen
03,Khalif El-Salaam
04,Brian Huynh
05,Jakob Steen
06,Porter Jones
07,Maximilian Landa
10,Dongyang Chen
11,Jonathan Shuster
12,Tomas Delgado
13,Jason Peacher-Ton
14,Steven Benaloh
15,Derek Mourad
16,Cooper Schumacher
18,Nathaniel Wipfler
21,Lucas Chen
22,Zach Airth
23,Xiao Dong Liu
29,Michael Buyco
30,Nels Schimek
44,Noah Kregenow
50,Samuel Scherer
87,Joseph Kornowske
99,Reed Hendrickson
b,r,e,a,k
Cal Poly-SLO,17
00,Sunghoon Chung
02,Brennan Bryant
03,Simon Krauter
04,Daniel Hoffman
05,Aaron Shi
08,Dillon Whited
09,Nathan Pettyjohn
10,Jeremy Dolezal-Ng
11,Hudson Stuck
13,Theodore Watkins
14,Dean Otsuka
17,Joshua (Slater) Levey
18,Alec Bandler
19,Conor Schofield
20,Sean Liston
21,Caleb Merriam
24,Cameron Wariner
25,Camden Reynolds
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
35,Justin Ting
42,Jonathan Chianglin
52,Andrew Stratford
53,Matthew Ferrari
82,Morgan Sommer
87,Matthew Ryan
95,Jake Biancur
b,r,e,a,k
Stanford,12
01,Allan Ndovu
02,Jack Kimmel
03,Sam Kunz
04,Drew Mathieson
05,Zane Kashner
07,Maxwell Perham
08,Grant Lin
10,Elliott Chartock
13,JOHN KADAVY
14,Lyndon Whittaker
16,Sergio Licon
17,NOLAN WALSH
20,Ethan Shen
21,Phillip Cathers
22,David Mondry
23,Gabriel Hernandez
24,Kevin Tien
25,Ri Chen
28,Michael Becich
33,Nicholas Hirning
46,Cyrus Ready-Campbell
47,Abdramane Diabate
74,Alvin Kim
88,Maxwell Melin
b,r,e,a,k
Colorado State,13
01,Jack Hinchsliff
02,Easton Archibald
03,John Miller
04,Mo Scott
05,JORDAN TREPP
07,Will McDonald
09,Jacob Servaty
11,Jack McGinnis
12,Mark Stratford
13,Dylan Custer
15,Mason Kiefer
16,Jake Marrapode
17,Cole Turner
18,Dylan Johnson
20,Clark Yarbrough
21,Lucas Beal
22,Hudson Martin
24,David Miller
30,Sten Larson
31,Toby Nordhoff
33,Matthew Bush
34,Cody Spicer
36,Daniel Crump
44,Thomas Theodorescu
54,Sean Peskin
90,Dylan Cheever
b,r,e,a,k
North Carolina-Wilmington,11
00,Alex Bleuzen
01,James Lockamy
02,Michael Richards
03,Colin White
04,Jacobb Murphy
05,DANIEL MERCER
07,JD Hastings
08,Matthew Ellis
09,Frederick Hennighausen
10,Kyle Warfel
11,Jack Williams
12,Kevin Mateer
13,Kevin Huerta
16,Alex Janus
17,Keane Squeri 
18,Grayson Sanner
21,Caleb Avery
22,William Stewart
23,vincent  frungillo
25,Davon Jaramillo
33,Austin McGrayne
52,Connor Russell
88,Dalton Vestal
99,Thomas  Theunissen
b,r,e,a,k
Pittsburgh,2
04,Julius Hubby
05,Saul Graves
06,Maxwell Naar
07,Noah Weintraub
08,Thomas Edmonds
09,Carl Morgenstern
10,Alex Spenceley
