Easterns 2017,College - Men ,1,4,2017
https://play.usaultimate.org/events/Easterns-2017/schedule/Men/CollegeMen/
Wisconsin,9
0,Andrew Everts
0,Ben Pavelka
0,Cody Milstein
0,Joseph Nelson
0,KEVIN CONWAY
0,Maddox Hill
1,Adam Klaus
2,Branavan Yogarajah
3,Nicholas Vogt
5,Jeff Maskalunas
6,Ian Hahn
9,Erik Jorgensen
07,Avery Johnson
10,Sam Hebert
12,Chris Wilen
13,David Yu
13,Karter Keller
17,Thomas Gallagher
23,Graeme Kernick
25,Ross Barker
26,Eric von Kampen
37,Jan Szmanda
44,Nicholas Ladas
49,John Tan
57,Austin Reif
b,r,e,a,k
Pittsburgh,1
4,Julius Hubby
5,Saul Graves
6,Maxwell Naar
7,Noah Weintraub
8,Thomas Edmonds
9,Carl Morgenstern
11,Leo Warren
12,KEVIN TANG
13,Andrew Lehmberg
14,Nick Haser
15,Dylan Best
17,Matthew Hanna
18,Kyle Hartley
21,Noah Robinson
23,Dillon Tranquillo
24,Sam VanDusen
28,SAM JENNINGS
29,Hafeez Shams
33,Max Thompson
35,Dan Goldstein
38,Jonah Wisch
42,Ben Morgenstern
48,Jimmy Towle
79,Michael Ing
84,Alex Spenceley
88,Jack Slevin
b,r,e,a,k
North Carolina-Wilmington,8
0,Alex Janus
0,Alex Bleuzen
0,Austin McGrayne
0,DANIEL MERCER
0,Jack Williams
0,James Lockamy
0,JD Hastings
0,Keane Squeri 
0,Kevin Mateer
0,Michael Richards
0,vincent  frungillo
3,Kevin Huerta
3,Colin White
6,Kyle Warfel
9,Frederick Hennighausen
10,Caleb Avery
10,William Stewart
13,Matthew Ellis
18,Grayson Sanner
52,Connor Russell
69,Jacobb Murphy
88,Dalton Vestal
89,Davon Jaramillo
99,Thomas  Theunissen
b,r,e,a,k
Tufts,24
0,Aaron Epstein
0,Alex Caulfield
0,Bryce Walsh
0,Charles Caron
0,Daniel Weinstein
0,Daniel Bronshvayg
0,Jacob Marsh
0,Jack (John) Spiva
0,Jac Carreiro
0,Kevin O'Brien
0,Michael Dillard
0,Morgan Gellert
0,Eric Chen
2,Owen Martin
3,Nicholas Roberts
5,Addison Hanson
6,William Simon
7,Torsten Johnson
10,Dylan Gully
13,Oliver Newland
15,Hakeem Adeyemi
25,Benjamin Wittenberg
29,David Leibert
38,Nikhil Bhatia-Lin
77,Walton (Yuito) Lee
b,r,e,a,k
Virginia,17
2,MAX MULCAHY
3,Jacob Hartzler
5,John Scoville
6,James King
7,HENRY LEGARD
8,Kristopher Harrison
9,PHILIP ADDINGTON
10,Alexander Rudin
11,Richard Young
12,Owen Robinson
13,Corey Sostre
14,David Maser
15,Taylor Shuford
17,Ryan French
18,James Godwin
20,Marshall Carl
21,Kevin  Niu
22,Evan  Hurley
23,Tyler Berkeley
30,Danny Krug
33,Chris Strunck
34,Kevin Sutyla
41,Thomas Owen
70,Lincoln Hirn
74,Derek Schauss
78,Isaac Roberts
81,Alexandre Fall
85,Coleman Dickerson
b,r,e,a,k
Case Western Reserve,16
69,Adam Cox
69,Benjamin March
69,Brian Ward
69,Chester Nguyen
69,Dmitriy Estrin
69,Ethan Liaw
69,Jacob Lunn
69,Jacob Kessler
69,Jake Rovner
69,Jonathon Grgat
69,Jordan Liff
69,Kevin Talbot
69,Kunal Rath
69,Kyle Rogers
69,Mark Fertal
69,Matthew Chin
69,Michael Kasper
69,Nathan Olszowy
69,Nick Longo
69,Steven Tokar
69,Steven Her
69,Tarik Akyuz
69,Zach Sedor
b,r,e,a,k
Stanford,10
1,Allan Ndovu
2,Jack Kimmel
3,Sam Kunz
5,Zane Kashner
8,Grant Lin
10,Elliott Chartock
11,Drew Mathieson
13,JOHN KADAVY
14,Lyndon Whittaker
16,Sergio Licon
17,NOLAN WALSH
20,Ethan Shen
21,Phillip Cathers
22,David Mondry
23,Gabriel Hernandez
24,Kevin Tien
25,Ri Chen
28,Michael Becich
33,Nicholas Hirning
46,Cyrus Ready-Campbell
47,Abdramane Diabate
49,Maxwell Perham
74,Alvin Kim
88,Maxwell Melin
b,r,e,a,k
North Carolina,2
01,Aaron Wan
02,Norman Archer
03,Thomas Clerkin
04,Suraj Madiraju
05,Nathan Kwon
06,Ben Maxson
07,Jesse Kovacs
10,Marcus Rovner
11,Taek Lee
12,Elijah Long
13,Andrew Cohen
14,Nick MacLeod
16,Anders Juengst
17,Spencer Beck
20,Thomas Williams
21,Matt Gouchoe-Hanas
22,Walker Matthews
22,Jacob Zurbuch
24,Alexander Davis
25,David Voychuk
27,Christopher Humphrey
28,John Watters
32,Yuma Kobayashi
33,Joshua  Krause
40,Samuel Lee
42,Alex (Evan) Grosskurth
76,Chathan Driehuys
85,Andrew Mouw
97,Kai Marcus
b,r,e,a,k
Georgia,7
4,Aidan Rogers
5,Ethan Bowling
7,Parker Bray
10,Adam Burgess
12,Conner Stoll
14,John Langstaff
16,Hunter Cutts
17,Ben Gladstone
22,Jon Ross Ingley
24,Patrick Trent
26,Vasiliy (Vasia) Mishin
28,Mack Hodges
29,Mason Cary
32,Noah Li
34,George Summers
40,Tyler Russell
42,Jason Jones
60,David William Petmecky
82,Sam Batson
87,Gino Mattace
88,Brandon Li
88,NATHAN HASKELL
b,r,e,a,k
Virginia Tech,15
0,Drew Ledford
0,Tim Slade
4,Joe Novak
5,Owen  Wright
6,Ryan Rossum
8,Aaron Arslan
12,Kyle Flynn
13,David van Pelt
14,Daniel Sablosky
16,Evan McLean
17,Colum Bergeron
18,Tyler Vincent
19,Ian Connerney
20,Dylan Hitt
21,Rhys Bergeron
22,Ferry Akbar Buchanan
25,Mike Vignali
27,Christian Kingett
32,Alexander DeLuca
42,Adam Norrbom
43,Joe Freund
54,Andrew Franco
55,Christian Gilbertson
87,TOBY WHITE
b,r,e,a,k
Brown,23
0,Adrian Grant-Alfieri
0,Benjamin Attal
0,Bryan Xian
0,Daniel Forssman
0,ELI ROSENTHAL
0,Ethan Pierce
0,Griffin Kao
0,Jacob Coonin
0,Mauricio Pinto
0,Michael Chen
0,Nathaniel Dick
0,SAMUEL MASSION
0,Vincent Lau
3,Henry Laseter
12,Mac Hecht
13,Alex Liu
17,Eli Motycka
19,Solomon Rueschemeyer-Bailey
23,Charlie Holtz
24,Gilad Seckler
44,Henry Jones
99,Ken Noh
b,r,e,a,k
Florida State,18
0,Jayson Dickinson
0,John Andrade
0,Grason Cain
3,Tim Lootens
4,Gabe Azarcon
6,Rob Leeds
7,Carlito Que
8,CHENTE ORTIZ
9,Scott Moore
10,Kellen Gray
12,Jacob Bell
14,Austin Bass
19,Bryce Vokus
21,Robert Larsen
23,Peter Van Brussel
24,Peter Backhaus
24,Dylan Claerbout
34,Avery Van Brussel
35,James Dobson
36,Stephen  Muir
46,Keno Catabay
50,Driss Ziane
80,Daniel Miller
b,r,e,a,k
Michigan,11
0,ALEXANDER ROBERTS
0,Alexander Gaggino
0,Alexander Russomanno
0,Robert (Bobby) Moyer
0,Dan Calabrese
0,Max Teener
0,MICHAEL ROBERTS
0,Michael Burke
0,Joe Krieger
0,Noah Lybik
0,Parker Howard
0,Steven Jacobson
0,Travis Compo
0,Wesley Chen
0,Zachary Latter
1,Samuel Vetromile
5,Noah Backer
8,Jared Schwallie
15,Sam Bethancourt
16,Raymond Lu
17,Jake Moyer
18,David Innis
20,Adam Stautberg
27,Ian Crowley
27,Jake Steslicki
29,Christopher Jacobson
32,Wills  Weimer
41,Daniel Lee
59,Nicholas Gerber
87,Josh Becker
97,Chad Aaronson
b,r,e,a,k
Carleton College,6
1,James Freed
2,Solomon Yanuck
3,Eli Miller
5,Liam Holloway-Bidwell
6,Alex Olson
7,Cameron Hastings
9,Nikita Fomichev
10,Henry Fisher
11,Kohl Sparrman
12,Tim Schoch
13,Chris Padilla
13,Alexander Walker
14,Dillon Lanier
15,Eric Taylor
17,Adam Throne
19,Stanley Birdsong
21,Ethan Bloodworth
24,Noah Cohen
27,Elliot Mawby
30,Natan Lee-Engel
33,Conor Eckert
46,Luke Webb
51,Jared Kannel
53,David O'Dea
55,Jake Ritmire
91,Joe White
b,r,e,a,k
Colorado,3
0,Mark Rauls
03,Elliott Woodward
04,Jack Drumright
06,Erik Hotaling
07,Sean Chapel
09,Matthew Loughridge 
10,Danny Langevin
11,Joshua Crane
12,Girish Narayanswamy
13,Gregory Blumer
15,Marc Kaylor
16,Christopher Larson
18,SAM RHEINS
19,Isaac Chestler
21,J Wesley Chow
30,Jonathan Stirk
33,Christopher Ward
34,Michael Fruge
39,Jack Ziemer
77,Quinn Finer
80,Jeremy Harker
87,Mathieu Agee
99,Alex Tatum
b,r,e,a,k
Harvard,19
0,Ashwin Krishna
