Oak Creek Invite 2017,College - Men ,18,3,2017
Axton,VA,2017-03-18,2017-03-19
https://play.usaultimate.org/events/Oak-Creek-Invite-2017/schedule/Men/CollegeMen/
William & Mary,7
0,Colin Messerschmidt
0,COOPER MICHAELIS
0,Gabe Westergren
0,Greg Garnhart
0,Gus Norrbom
0,Henry Trotter
0,John Wilkes
0,Joshua Zinger
0,Matthew Straus
0,Nicholas Som
0,SETH HAGE
0,Taylor Gilman
0,Tommy Harris
0,Zachary Nimmo
2,HENRY TESSIER
3,Benjamin Helm
6,Jacob Smith
16,Patrick So
17,Moussa Dia
23,Spencer Kirn
26,Matthew Wattendorf
27,Connor Chapin
69,Jack Kanehann
74,David Jensen
b,r,e,a,k
Villanova,6
0,Don Pontrelli
3,Peter Fedoryk
5,Christopher Betz
7,Thomas McKernan
8,Ethan Fortin
9,Casey Vaughn
11,Jon Feikens
13,Peter Psyllos
14,Chris Dixon
15,Dominic Martinez
18,Brendan Merrick
19,Dale Mittleman
20,Sam Olson
21,Ryan Caste
23,Jordan Ciccarone
26,GRIFFIN CRAFTS
28,Jonathan Collins
29,Stephen Gagnier
31,Sal Oliver
33,Andrew Deshler
35,Joe Donovan
36,Garrett Flott
42,Luke Natalo
44,Demetrios Kyriannis
45,Brent Studenroth
88,Christopher White
b,r,e,a,k
Davidson,12
0,Ben Whitfield
0,Chris Johnson
0,Dylan Sandlin
0,Henry Siebentritt
0,Isaac Mervis
0,James Taylor
0,Kevin Endersby
0,Kyhl Austin
0,Mac Harris
0,Michael Robertson
0,Mohammad Saad Farooq
0,Patrick Spauster
0,Aidan O'Neill
0,Ryan Almeida
0,William Stifel
5,MAXIMO GUERRIERI
7,Cullen MacDowell
8,Jonathan Phillips
27,Alex Berro
32,Andrew Roy
40,Phillip Bader
45,Dustin Smith
69,Paul Brennan
77,Kaylen Alexis
b,r,e,a,k
Richmond,1
0,Ben Weinstein
0,Graydon Cowan
0,Patrick  Murray
0,Tynan Englert
0,Xavier McCormick
0,Zachary Perkins
4,Conor Tenbus
6,Mitchell Woo
12,Justin Keller
16,Christopher Selwood
18,Sam Gillespie
19,Mitchell Parry
21,Matthew Szeluga
22,Harris Cannon
24,Michael Le
44,Evan Crawford
45,Henry Babcock
48,Patrick TomHon
69,Christopher Cassella
72,James Lenox
75,Abraham Schroeder
99,Brenden Carol
b,r,e,a,k
SUNY-Buffalo,13
0,Adam Goodwin
0,Andrew DeMott
0,Austin Crosby
0,Brendan Warner
0,Conor Lenahan
0,Jacob Loecher
0,Michael Buxton
0,Nick Lenhard
0,Leonard  Pietrafesa
1,Paul DeGennaro
2,Jeremy Sawyer
4,Roy Cineus
7,Christian Tjahjadi-Lopez
9,Sean Bowers
10,Steven Bennett
11,Scott Scheers
16,Devin Smith
18,Sam Candee
21,Max Hattem
22,Paul Sperr
23,Bryce Potter
25,David  McLaud
31,Aidan Collins
44,Zachary Flint
80,Edward Selig
95,Benson Chen
99,Jackson Donnelly
b,r,e,a,k
Virginia Commonwealth,5
