2017 Texas Men's Sectionals,Club - Men ,9,9,2017
Round Rock,TX,2017-09-09,2017-09-10
https://play.usaultimate.org/events/2017-Texas-Mens-Sectionals/schedule/Men/Club-Men/
Singlewide,1
teamInfo,,"Austin, Texas",,,
00,Alexander You
00,Austin Workman
00,Brian Gfroerer
00,Dylan Swoboda
00,Elliott Moore
00,Ibrahim El-sayed
00,C. Rickner
00,Connor Cole
00,Matthew Wilson
00,SAM DAVIDSON
00,Shaun Seidenberger
00,Simon Vickers
00,Michael Bryant
00,Mutahir Ahmad
04,Trenton Hebert
20,Timothy Robison
21,Alex Fernandez
32,Jared Schueler
34,Reese Bowman
50,Matthew Armour
72,DEREK TINKER
81,Luke Hebert
88,CEDRIC ATWOOD
b,r,e,a,k
Fénix Ultimate,8
teamInfo,,"Mexico City, Mexico City MX",http://www.fenixultimate.org,https://www.facebook.com/FenixUltimateclub,https://twitter.com/FENIXULTIMATEMX
0,Jose Diaz
5,Juan  Argüelles
02,Víctor  Bautista González
03,Sergio Ramirez Zapata
04,Luis  Ramos Zapata
06,Jorge Ramirez Ruiz
08,Mateo Monterrubio
09,Alfonso Castro Guinea
10,Enrique Solares
11,Luis  Gonzalez
17,Jose Sosa
17,Gustavo Esquivel
18,Aaron Lackowski
20,Carlos Pérez de la Rosa
22,Miguel Monterrubio Bandera
43,Gerardo Hernandez
52,Mariano Figueroa 
75,J. Manuel Oseguera
84,Rafael Oseguera
99,Pablo Gonzalez 
b,r,e,a,k
Spring Creek Ascension,9
teamInfo,,"Tomball, Texas",,,
0,Schaeffer Carr
1,Kevin McKearin
2,Sam  Hill
3,Zachary Anderson
7,Zachary Harris
8,Sam  Hiley
9,Cameron Lichnovsky
10,Jean-Paul Trudeau
11,Daniel Trotter
18,john hiley
19,Stephen Strack
21,Andrew Shipp
23,Johua  stutz
24,VINCENT RONCA
26,Cameron Yeoh
32,Ryan Buckingham
35,Jesse Hill
44,Jonathan West
80,Michael Strack
88,Coy Bufkin 
b,r,e,a,k
Flash Flood,16
teamInfo,,"Flower Mound, Texas",,,
0,Benjamin Rogers
0,Kaushik Jampala
0,Manov Jain
0,Omar  Semrin
0,Pranav Mulukutla
0,Gavin Davis
0,Ryan Poe
0,Zach Egge
0,Zachary Slayton
1,Ryan Smith
5,Cameron Breding
8,Darius Tse
8,Jack Guidry
9,Jackson Potts
15,Zach Howell
22,Colton Green
33,Andrew Stewart
b,r,e,a,k
Plex,2
teamInfo,,"Dallas, Texas",http://www.plexultimate.com,https://www.facebook.com/PLEXUltimate,https://www.twitter.com/plexultimate
3,Jason Christian
5,Ashton Lewis
00,Austin Benavides
01,Travis Bieda
02,Griffin Miller
04,Ryan Kyle
06,Ben Giles
10,Ryan Smeltzer
11,Brian Street
14,BRANDON LOCKLEAR
18,WESLEY NEMEC
20,Nicolas Ceaser
21,David Roper
22,Scott Zachary
23,Kevin Bowman
32,Steven Borik
43,Peter Rangel
44,Dillon Bruer
63,Ross Neuman
81,Justin Sullins
89,Jack Wooldridge
97,JOE TYLUTKI
b,r,e,a,k
Premium,7
teamInfo,,"Beaumont, Texas",,,
00,AARON CRANDALL
00,CORY BOBBITT
00,Jeffrey Savoie
00,Jonathan Chiou
00,Jordan Curl
00,Kyle Turner
01,Eric Rees
09,Trey Wong
10,ADAM ZAHRADNIK
11,Cody Rees
14,Jacob Jackson
21,Nick Kramlick
22,TANNER ADAMS
27,Chris Tillman
28,Hanes Wynn
44,Josh Khoury
45,Samuel Heslep
69,Drew Davidson
84,John Miller
90,Ricardo Flores
b,r,e,a,k
Dallas United: Outlaws,10
teamInfo,,"Dallas, Texas",,,
0,ADAM BARTON
0,Andrew Dorf
0,Benjamin Dipprey
0,BRANDON HASWELL
0,BRIAN TU
0,Chris Armstrong
0,Darius Nicholson
0,Eian Brent
0,Tyler Smith
0,Justin England
0,Micah Rehfuss
0,Neel Reddy
0,Nidhish Lokesh
0,Mark Baldauf
0,Stewart Williamson
1,Josh Cunningham
5,Leith McMillan
11,Matthew Sutton
12,David Knight
13,Blake Herring
18,Zach Hensel
29,Steven Gomez
29,Kirtan Patel
30,Luke Rehfuss
45,Daniel Tipton
77,Ryan Santos
b,r,e,a,k
Swangos,15
teamInfo,,"Austin, Texas",,,
0,Andrew Bolduc
0,Calvin Coulbury
0,Dayne Ware
0,Josh Kreth
0,Leopold LeFebre
0,Logan Johnson
0,Garet Lipinski
0,Jordan Blunt
0,Troy Abbott
3,Gabriel Martinez
8,Noah Sheets
12,Mykael Cooper
14,Samuel Tagle
17,Sean Hall
33,Aaron Barcio
35,Patrick Connor
43,Joseph Wylie
73,Ben Porter
b,r,e,a,k
Riverside Ultimate,3
teamInfo,,"Austin, Texas",http://riversideultimate.org,,https://twitter.com/riversideulti
0,Willy Goal
01,Garrett Gonzales
04,Jason Hustad
04,Drew Fitzwater
06,Matthew Johnson
07,Travis Wright
09,Zac Chandonnet
10,Garrett Wilson
11,Juan Valle
13,Robert Hausmann
14,Ben Arnecke
16,Russell Yang
19,Joe Emery
21,Rick Artus
23,Sebastien Lauzy
25,Calvin Lin
26,Jeffrey Burris
31,Paul Lowe
32,Louis Fausak
37,Michael Clark
44,Ethan Banner
46,Cole Smith
47,Johnathan Roniger
54,Stephen Mckinney
55,CASEY GUINN
71,Eric Brodbeck
88,Neil Haight
b,r,e,a,k
DTH,6
teamInfo,,"Houston, Texas",,,
0,Ames Fegert
0,Ben Gibbons
0,Billy Donatuti
0,Brandon Lin
0,Clay Warzecha
0,Robert Reid
0,Curtis Roark
0,DAVID BOYEA
0,Gabriel Vacaliuc
0,Glenn Lenberger
0,Johnny Frohlichstein
0,Michael Drewry
0,Nate Zachary
0,Peter Volkmar
0,SHANE KOTLARSKY
0,Trevor Spengeman
0,Tung Shu Chu
0,Woodley Simon
5,Tyler Chiu
7,Greg Bernero
12,Hunter Paddock
13,Alexander Jiang
17,Terrence Kong
21,James Huizinga
25,Sharief Moghazy
b,r,e,a,k
Deaf Fruit,11
teamInfo,,"Lubbock, Texas",,,
0,Benjamin Hodge
0,Keith Urbanski
0,Marco Manalang
0,Nathan Poese
0,Ryan Stomp
0,William Fairhurst
1,Grant Golder
2,Carson Wilder
3,Michael Paniagua
5,Payton Ardoin
6,John Aucar
9,TREY KEESEE
12,Jason Miller
21,Caleb Schnatz
25,Ryan Welch
27,Kyle Henke
35,Alexander Brewster
44,Junaid Ramzan
49,Michael Wode
69,Ricky Stanfield
71,Brandon Fryer
78,Jace Drennan
b,r,e,a,k
Riverside Messengers,14
teamInfo,,"Austin, Texas",http://riversideultimate.org,,
0,Chester Hamilton
0,Dylan Kreth
