Huck Finn 2017,College - Men ,1,4,2017
St. Charles,MO,2017-04-01,2017-04-02
https://play.usaultimate.org/events/Huck-Finn-2017/schedule/Men/CollegeMen/
Minnesota,1
1,Charles McCutcheon
2,Alexander Jirele
3,Malakai Stern
4,Josh Kautz
4,Benjamin Jagt
6,Brian Thompson
7,Zach Trosvig
8,Cole Wallin
9,Tom Duret
11,Sam Kaminsky
12,Wystan Duhn
13,Anthony Poletto
13,Cole Jurek
18,James Nguyen
19,Oscar Leinbach
21,Joshua Pratt
23,Saurav Dubey
25,Jonah Malenfant
28,Nick Heid
33,Adam Meckstroth
41,Samuel Bumsted
42,Thomas Bakko
48,Wyatt Mekler
88,Charles Weinberg
99,Tristan Van De Moortele
b,r,e,a,k
Purdue,4
00,Trevor Kyle
02,Lowell Knight
06,Jacob Mock
10,Tucker Born
12,Joseph Byerly
14,Justin Bowling
17,Griffin Snead
18,Mike Kobyra
19,Daniel Blanc
20,Nick Loughran
22,Jake Slaveck
23,Sam Ellison
27,Aidan Gifford
29,John Sellers
37,Samuel Trent
46,Austin Ambrose
52,Jacob Fella
54,Drew Hirsch
72,Dalton Chaffee
98,Isaac Mock
b,r,e,a,k
Notre Dame,8
01,Charles Grunhard
02,Charles Labuz
03,Bailey Blum
04,Sean Brady
05,Benjamin Israel
06,Colin MacGregor
07,Luke Brennan
08,Sean Howley
10,William OBrien
11,Jacob Scobey-Polacheck
14,Andrew McNally
18,Steven Campillo
20,Patrick McMahon
21,Connor Buckley
24,Cameron Smick
27,Austin Walter
30,Oliver Hirn
34,Collin Klenke
35,Benjamin Seasly
37,Daniel Fitzgerald
41,Joseph Oswald
44,Daniel Verzuh
48,Luke Shanahan
63,Kel  Beatty
88,Franklin Mejia
97,Jack Reddan
99,Zack Veldman
b,r,e,a,k
Cincinnati,5
2,Nicholas Betsch
3,Justin Latz
5,Sophainara Long
6,Ryan Adams
7,Jacob Turner
9,Jacob Miller
11,Anthony Tran
12,Jacob Chialastri
13,Kyle Romard
15,Keegan North
16,Matthew Furnas
18,Kevin Parker
22,Stephen Kenny
33,Elliot Skindzier
38,Jose Mikalauskas
41,Adam Turner
42,Cody Bruser
47,Nathan Lauback
49,Tanner Segbers
69,Connor Messmore
77,Samuel Kratt
82,David Brockhoff
b,r,e,a,k
Colorado State,2
0,Clark Yarbrough
0,Cole Turner
0,Daniel Crump
0,Dylan Cheever
0,Dylan Custer
0,Easton Archibald
0,Lucas Beal
0,Mark Stratford
0,Mason Kiefer
0,Thomas Theodorescu
0,Toby Nordhoff
1,Jack Hinchsliff
3,John Miller
4,Mo Scott
7,Will McDonald
9,Jacob Servaty
11,Jack McGinnis
14,Matthew Bush
16,Jake Marrapode
18,Dylan Johnson
20,JORDAN TREPP
22,Hudson Martin
24,David Miller
30,Sten Larson
34,Cody Spicer
54,Sean Peskin
b,r,e,a,k
Auburn,6
0,Austin Scott
0,Benjamin Morgan
0,Chandler Foster
0,Christopher Weathers
0,Harrison Lott
0,Jack Missildine
0,Jacob Crane
0,James Hershey
0,Kyle Raab
0,Mark Shannon
0,Matthew Zheng
0,Noah Runyan
0,Peyton Whiteside
0,Robert Alongi
0,Ryan Weesner
0,Samuel Boddie
0,Samuel Murphree
0,Trevor Spengeman
0,Trois White
0,William Thompson
5,Eric Sjostrom
