Southeast Mixed Regional Championship 2017,Club - Mixed ,23,9,2017
Huntsville,AL,2017-09-23,2017-09-24
https://play.usaultimate.org/events/Southeast-Mixed-Regionals-2017/schedule/Mixed/Club-Mixed
Toro,1
1,Kirkwood Alex Cloud
03,Dean Culver
05,Matthew Thomas
07,Sarah Hasch
08,George Guthrie
10,Theran Riedel
12,Erin Wiltgen
13,Kathryn Morrison
14,Brendan Smith
15,Kerry Green
17,Dylan Shields
22,Lucas Darden
24,Meghan Miller
25,Michael Pannone
27,Leslie Willis
31,Alex Kaja
32,Jake Coleman
42,Wendell Wilson
47,Andrew Ryan
48,Kaye Eshelman
49,Derrick Marcey
54,Tristan Green
55,Corinna Keeler
66,Paul Weeks
88,Christine Bookhout
89,Erica Brenner
97,Alison Bender
b,r,e,a,k
Cahoots,8
0,Allison Bashford
1,Jason Rector
4,Christopher Cosgrove
4,Jacob Warshauer
6,Ryan Stokes
8,Ruth Stokes
9,Brennan Johnson
22,Machen Bihrle
25,Kyle Silva
26,Amy Gilbert
27,Linden Blaisus
37,Virginia Conover
44,Ruth Hudson
51,Chad Gerber
59,Ethan Burns
82,Matthew Martin
99,Monique Ferguson
99,Matt Gordon
99,Joshua Ferguson
99,Kendalyn Paulin
99,Claire Dobson
99,ANDREAS GABRIELSEN
99,Brian Kibler
99,Simone Whale
b,r,e,a,k
Crush,12
00,Bethany Dietz
00,Cassidy Quistorff
00,Christopher Calhoun
00,Cole Hudgin
00,Emily  Branson
00,Emily Rosson
00,Hanna  McClain
00,Jacob Flowers
00,Jacob Lambert
00,Jeremiah Branson
00,John Carden
00,Justin Schroeder
00,Kayla Layton
00,LUKE HUDGIN
00,Mac McClellan
00,Matthew Sui
00,Melanie Lindsey
00,MITCHELL SHOPE
00,Phillip Dougherty
00,Samuel Feldman
00,Sara Ullom 
00,Sarah Myers
00,Sarah Smith
b,r,e,a,k
Trash Pandas,13
0,Alexandra  Kinney
0,Daniel Schlabach
0,Daniel Gray
0,Derek Youel
0,Erica Zuhr
0,ERIN RACHER
0,Jessica Webster
0,JOSEPH STEPHENSON
0,Maggie Dayton
