Chesapeake Open 2017,Club - Mixed ,12,8,2017
Boyds,MD,2017-08-12,2017-08-13
https://play.usaultimate.org/events/Chesapeake-Open-2017/schedule/Mixed/Club-Mixed
Dub Club,8
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/dubclubultimate,https://twitter.com/DubClubUltimate
0,Ashley Cantasano
0,Ben Crescenzo
0,Chris Schauble
0,Christopher Pokorny
0,Elise Colomb
0,Emily Smulowitz
0,Eric Lachance
0,Gillian Crysler
0,Hannah Short
0,JONATHAN HOLLOWAY
0,Daniel Monts
0,Lindsay McKenna
0,Meghan Wadlinger
0,Rachel Crew
0,Stephen Magerr
0,Steven Broome
6,Jessica Brand
8,Liz Hart
10,Ryan Dealy
13,Joseph Brennecke
19,Courtney Potts
32,Jeffrey Andrews
34,Joshua Romani
42,Edwin Finley
44,Nicholas Moon
65,Robert Yu
72,Justin Creighton
b,r,e,a,k
Toro,1
teamInfo,,"Durham, North Carolina",,,@ToroUltimate
0,Corinna Keeler
01,Kirkwood Alex Cloud
03,Dean Culver
05,Matthew Thomas
07,Sarah Hasch
08,George Guthrie
10,Theran Riedel
12,Erin Wiltgen
14,Brendan Smith
15,Kerry Green
17,Dylan Shields
22,Lucas Darden
24,Meghan Miller
25,Michael Pannone
27,Leslie Willis
28,Matthew Olivetti
31,Alex Kaja
42,Wendell Wilson
47,Andrew Ryan
48,Kaye Eshelman
49,Derrick Marcey
54,Tristan Green
66,Paul Weeks
77,Graeme O'Connell
88,Christine Bookhout
89,Erica Brenner
97,Alison Bender
b,r,e,a,k
American Hyperbole,9
teamInfo,,"Baltimore, Maryland",,,
0,Alex Bodaken
0,Alexander Antolick
0,Alexis Faccone
0,Annalise Humm
0,Benjamin Price
0,Drew Shaffer
0,Dylan Leighton
0,James Collins
0,Jonathan Ginsberg
0,Kara Schulden
0,Kelly Wallace
0,Kristen Connor
0,Matthew Radhe
0,Marie Collins
0,STEPHANIE DREYER
3,Hallie Carter
6,Michael Sharma
16,Jeff Martin
23,Samantha Elliott
27,Ada Maxwell
36,David Jones
42,Jeffrey Hoch
54,Spencer Cobb
69,Ryan Bates
69,Kevin Versteeg
80,Joseph Ricks
94,Abigail Wenck
b,r,e,a,k
LORD,16
teamInfo,,"Fairfax, Virginia",,,
0,Adel Al-Awadhi
0,Andrew Han
0,Eliana Harnage
0,Kristin Lue Chee Lip
0,Mary Nguyen
0,Nicholas Kwan
0,Sarah Covington
0,Sean Degrace
0,Matt McMahon
7,Jonathan (Charlie) Smedberg
13,Jacob Harnage
14,Taylor Smith
15,Anthony McLean
16,Tre Williams
17,Alexis Planche
27,Matt Kalna
50,Jeremy Steinel
