Eastern's Qualifier 2017,College - Men ,18,2,2017
https://play.usaultimate.org/events/Easterns-Qualifier-2017/schedule/Men/CollegeMen/
North Carolina State,1
0,Austin Maidene
0,Austin Maune
0,Avery Acierno
0,Bailey Laberteaux
0,Conor Chickos
0,Fate Gowan
0,Henry Poe
0,Hunter Shumaker
0,Justin McPherson
0,Kevin Harrow
0,Matthew Lampe
0,Nicholas Donahue
0,Rhys Gretsch
0,Sean Murray
0,Taylor Waters
0,Valeri Kozarev
0,Wesley Dudas
0,Andrew Bunting
12,Jeff Wiltgen
15,David Jones
23,Archer Gordon
24,Michael Lee
34,Davis Mossman
b,r,e,a,k
Vermont,17
00,Bastien Taylor
00,Caleb Guziak
00,Eric Chen
00,J. Chapin Cheney
00,Jack Duncan
00,Jackson Berman
00,Jordan Kaufman
00,Liam McAuliffe
00,Michael Voelpel
00,Nathaniel Pucci
00,Noah Peterman
00,Quinn Ledak
00,Ryan Colarusso
00,Sage Tanner
00,Sam Kilburn
00,Sam Callison
00,Samuel Hanlon
00,Stephen Krajeski
00,Stephen Donahue
00,Ted Blum
b,r,e,a,k
Iowa,8
1,Tyler Barrett
2,Taustin Kaste
8,Ben  Mirr
9,Kegan Wakefield
10,Jacob Jahnke
13,Cooper Wigglesworth
14,TRAVER BATSON
17,IAN KOLB
17,Reno Brinn
20,Nick Culver
22,Hank Hugen
23,Matthew Murry
24,Dominick Peluso
25,Adam Wong
26,Evan Scaletta
28,Carson Hemphill
30,Joshua Meyer
32,Collin Spratt
33,Charles Rathe
35,Trevor Donato
39,Michael Wormley
42,Ian Taylor
44,Hunter Carver
52,Jun Shinohara
88,WILLIAM HEAN
b,r,e,a,k
Johns Hopkins,24
1,JIURU LI
2,Justin Leeb
3,Luke Reilly
5,Andrew Zhu
5,Daniel Shade
7,THOMAS MARGE
8,Jonathan Chen
10,Miles McKey
10,Christopher Leung
11,Vincent Wu
13,Eric Hu
15,Casey Zhu
16,William Franceschi
17,Adam Orla-Bukowski
19,Noam Halpern
22,Sam Pallay
23,Angelo Olcese
25,Aleck Zhao
36,JOSEPH YU
42,Lyle Paskowitz
72,Sebastian Chen
81,Neal Billig
90,Kendrick Hougen
b,r,e,a,k
Lehigh,9
0,Ben Durkee
0,Carter Hartmann
0,Christopher O'Byrne
0,Jeremy Glennon
0,Kevin Latwis
0,Marshall Stallings
0,Noah Katz
0,Stuart Gordon
6,Alex Schlegel
11,Ian Haney
21,Adam Kafka
23,Caleb Leaser
26,Vincent Rienzi
28,Alec Marks
35,ZIV ARZT
42,Daniel Slesinski
47,Sam Joynson
59,Kyle Fischer
61,Timothy Predmore
69,John Lund
77,Ryan Santos
84,Matt Lubitz
87,KYLE MEGATHLIN
b,r,e,a,k
Alabama-Birmingham,16
0,Seth Newton
01,Thomas Ballard
02,Jacob Adams
03,Nathan Wells
05,Nathan Boswell
07,Cody Dougherty
09,Jacob Meredith
10,Abhay Thottassery
11,Stakesh Peterson
13,Ethan Downs
15,Jacob Rozycki
18,Matthew Landrum
19,Matthew Ashburn
21,Richard Trieu
22,Hong-Kook Matsunaga
23,Landon Baker
24,Andrew McLarty
25,James Meredith
26,Joseph Wood
27,Eric Bearss
32,David Thornton
42,Immanuel drew
43,Justin Eads
63,Brian Acton
72,Travis Williams
81,Jake Perkins
89,Cory Potter
95,Akash Vakharia
b,r,e,a,k
Case Western Reserve,2
0,Adam Cox
0,Benjamin March
0,Dmitriy Estrin
0,Ethan Liaw
0,Jacob Lunn
0,Jonathon Grgat
0,Jordan Liff
0,Kevin Talbot
0,Mark Fertal
0,Michael Kasper
0,Nick Longo
0,Steven Tokar
0,Tarik Akyuz
0,Zach Sedor
3,Steven Her
3,Brian Ward
8,Kunal Rath
14,Kyle Rogers
22,Nathan Olszowy
31,Matthew Chin
43,Jake Rovner
54,Jacob Kessler
75,Chester Nguyen
b,r,e,a,k
William & Mary,10
0,Colin Messerschmidt
0,COOPER MICHAELIS
0,Greg Garnhart
0,Gus Norrbom
0,Henry Trotter
0,John Wilkes
0,Joshua Zinger
0,SETH HAGE
0,Taylor Gilman
0,Tommy Harris
2,HENRY TESSIER
3,Benjamin Helm
6,Jacob Smith
16,Patrick So
17,Moussa Dia
26,Matthew Wattendorf
27,Connor Chapin
69,Jack Kanehann
74,David Jensen
b,r,e,a,k
Illinois State,15
0,Ryan Adams
2,Jacob Kaindl
3,Kollin Kaczynski
9,SAM GESESSEW
01,Cameron Powers
05,Cal Tornabene
07,Jack Shanahan
11,Josh Graunke
12,Jeremy Burril
13,Karl Beck
17,Kevin Szczygiel
19,Michael Reaves
20,Ricky Ramirez
21,Jack Giannini
22,Dominick Pietrantonio
24,Joseph Cacciatore
24,Kevin Berenschot
27,Patrick Pearce
31,Kyle Jones
32,Nick Johnson
55,Nicholas Kluessendorf
88,Nick Espe
99,Joshua Sanabria
b,r,e,a,k
Georgia Southern,18
1,James ONeal (Neal) Hollis
2,Zach  Tsang
3,Bradley Thompson
4,Hamilton Mebius
7,Gregory Burkell
8,Joseph Vives
9,William Finch
11,Zach Faddis
13,Devon Conyers
15,Blake Michal
19,Tanner Butcher
20,James Rink
21,Samuel Trent
23,Chris Camp
31,Jones Durham
32,Cody Lewis
33,Andrew Pineau
34,Christopher Clark
43,Brendan Eckard
47,Brannon Thompson
67,Tanner Tracey
81,Nich Faddis
99,Dylan Whalen
b,r,e,a,k
Kansas,7
0,Alex Przybylski
0,Bret Bergmeier
0,Brooks Hidaka
0,Caleb Robinson
0,Daniel Stahlhut
0,Jeremy Katz
0,Keaton Bowers
0,Taylor Ivey
0,Ulysses Hagedorn
5,Thomas Schreiber
12,Matt Primovic
13,Clarence Dennis
15,Neil Newsome
17,Jordan Bertholf
28,David Vu
35,Nicholas Bontrager
74,Jakob Yedo
89,David Stierwalt
b,r,e,a,k
Temple,23
00,Aidan Coyle
00,Alexander Reiner
00,Austin Quinn
00,Brandon Lamberty
00,BRIAN BIRKMIRE
00,Jordan Clever
00,Kevin Woodring
00,Luke Greenley
00,Matthew Wilson
00,Mitchell Gaylord
06,Igor Smola
10,Adriene Khon
11,JULIAN MAKARECHI
17,Andrew Ngo
18,Adam Novak
20,Nicholas LaRue
21,Francisco Gomez
32,Robert Walker
33,Jeremy Fus
37,Ryan Coughlan
39,Michael Facinelli
54,Andrew Menard
69,Zach Klee
80,Benjamin Cozzolino
b,r,e,a,k
James Madison,3
0,Andrew Marusic
0,Andrew Elliott
0,Brian Kelly
0,Colin Smith
0,David Boyle
0,Francisco Marty
0,Grant Lewis
0,Joshua Alley
0,Steven Praplaski
0,Thomas O'Neil
1,Travis St. John
4,Jack Corcoran
12,Sam Bean
13,Nicholas Albright
20,Kyle Woodward
21,Benjamin Green
22,Garrett Manno
30,Quinn Bergeron
33,Torin Porter
36,Matthew Johnston
60,Patrick King
81,Colin Doescher
87,David Rigby
b,r,e,a,k
Emory,11
0,Anders Olsen
0,Brian Fleischer
0,Caleb Parsons
0,Alan Rohrbach
0,Daniel Sperling
0,Deepu Edathara
0,Ekrem Kurucan
0,Eli Zelle
0,Ethan Ecker
0,Gustavo Capo
0,Ishaan Dave
0,Jack Grubman
0,Jeremy Zackon
0,Jonathan Chylinski
0,KUNWOO PARK
0,MATHEW SPERLING
0,Michael Bartell
0,Pradyumna Singhania
0,Pratik Rout
0,sean Tierney
0,Sibo Wang
0,Timothy Jernigan
0,Varun Gupta
1,Thai-Binh Le
10,Enzo Cianelli
14,Gabriel Hart
17,Cheston Husein
18,Everett Dang
27,David Kim
84,Alex Shrader
88,Charles Mann
b,r,e,a,k
Penn State,6
0,Berk Uras
0,Christian Pilla
0,Colby Gordon
0,James Larrimer
0,Jonathan Peterson
0,Marc Sands
0,Rob Saracino
0,Travis Terrell
0,Victor Shen
1,Joseph Hacker
9,Andrew Rechenberg
17,Alex Liu
17,Terrence Kong
19,Fred Wolf
20,Graham Walker
21,Codi Wood
22,Tal Cohen
23,Ian Dietrich
23,Matt Snyder
25,Nate Long
27,Matthew Brenfleck
32,Daniel Kocher
33,BOBBY GOBAO
34,Rees McDevitt
42,Patrick Kelly
72,Nathaniel Donaher
b,r,e,a,k
Indiana,22
00,Eric Benenson
00,Jackson Sills
00,Jake Frederickson
00,Joshua Duncan
00,Kip Curtis
00,Kwunho Wu
00,Paul Bean
00,Robert Woodcock
00,William Kasprzycki
00,Zephyr Wenrich
00,Adrian Golay
23,Clark Barco
b,r,e,a,k
Clemson,14
0,Andrew Perham
0,Cameron Duncan
0,Chris Sayad
0,Jacob Hoppel
1,Patrick Duda
2,Ryland Bristow
5,Alex Wessinger
9,Thomas Loar
11,JARRYD BOYLE
12,Connor Kinzie
13,Jacob Luksik
15,Hunter Hamvas
18,Jake Barton
21,Andrew Brownlow
23,Tom McGinley
27,Jacob Thompson
28,William Logan
45,Henry Baymiller
72,Nicholas D'Orsi
