Dust Bowl 2017,College - Men ,18,2,2017
Tulsa,OK,2017-02-18,2017-02-19
https://play.usaultimate.org/events/Dust-Bowl-2017/schedule/Men/CollegeMen/
Texas Tech,1
teamInfo,Tumbleweed,"Lubbock, Texas",,https://www.facebook.com/groups/TTUUltimate/,https://twitter.com/techtumbleweed?lang=en
0,Benjamin Hodge
1,Dillon Rathman
2,Carson Wilder
3,Michael Paniagua
5,Payton Ardoin
6,John Aucar
7,Paul Yacoub 
8,Sam Kuhn
9,TREY KEESEE
11,Broderick Watson
15,Jessica Hartzer
17,Austin Ficken
19,Winstein Hungbui
21,Zaakir Muhammad
21,Caleb Schnatz
22,Grant Golder
23,Kyle Henke
32,Luke Sheppard
33,Andrew Calvert
35,Alexander Brewster
37,Lucas Meade
44,Junaid Ramzan
49,Michael Wode
66,Ryan Stomp
69,Ricky Stanfield
71,Brandon Fryer
78,Jace Drennan
b,r,e,a,k
Luther,5
teamInfo,Lufda,"Decorah, Iowa",,,
0,Henry Cravens
0,Jimmy Conway
0,John Mai
0,Marshall Creech
0,Matthew Deetz
0,Peder Hopkins
0,Samuel Moyer
0,SEAN DEMPSEY
0,Winter Hawley
5,Paul Fritzell
7,Matt Smith
11,Kaelib TeeGarden
11,Blake Heeren
12,Jack Jagielski
13,Arlen Bonson-Anderson
17,Chad Villhauer
21,Matthew Peterson
23,Peter Murry
24,Henry Craig
27,Owen Schleif
29,Peter Scott
33,Jay Puffer
42,Evan Berg
44,Jonathan Lovagnini
57,Nathaniel Koch
b,r,e,a,k
Oklahoma State,4
teamInfo,Ultimato,"Stillwater, Oklahoma",,,
0,Alex Southard
0,Andrew Newton
0,Blake Duncan
0,Cheng Hao Tan
0,Drew Starkey
0,JAKE SESSLER
0,Lander Larraza
0,Li Ya Cheng
0,Tyler Helt
1,Josh Cunningham
7,Jake Niskanen
8,Sawyer Locke
06,Merl Prichard
15,Erin Heilman
19,Detrick Bombarger
21,Deion McKittrick
22,Nick Krause
23,Clay Furleigh
27,Tyler Niskanen
51,John Athens
b,r,e,a,k
North Texas,8
teamInfo,UNT illeagles,"Denton, Texas",,,
0,Ben Montgomery
0,BRANDON LOCKLEAR
0,Brandon Martin
0,Brian gonzalez
0,Cameron Young
0,David Lowell
0,Eian Brent
0,Jared Rienfeld
0,Johnathan Kirtland
0,Mitch Fruth
0,Peter Nguyen
0,Slayter Marwitz
0,Stewart Williamson
0,Ty Dolgener
0,Weston Lopez
0,Larry Pate
4,Kendall Williams
9,Benjamin Meaders
11,Grayson Gummelt
15,Corey Gendron
17,Matt Klespis
21,Connor DeLuna
55,Jacob Hanson
77,Ian Ambrose
b,r,e,a,k
Nebraska,9
teamInfo,Cornfed Ultimate,"Lincoln, Nebraska",http://www.unl.edu/cornfed/,,
0,Gjermund Amlien
0,Jackson Cutsor
0,Jake Modica
0,Alec  Williams 
0,ROBBY ELSNER
6,Noah Ross
9,Jake Lindvall
12,Noah Gould
15,Kyler Lecomte
18,Tristan Mahler
19,Mark Quinn
20,David Forsyth
26,Marty Praska
b,r,e,a,k
John Brown,3
teamInfo,Ironfist,"Siloam Springs, Arkansas",,https://www.facebook.com/jbultimate,https://twitter.com/JBUIronfist
0,Bryson Cobb
0,Carlson Wakefield
0,Keagan Church
0,Kent McDonell
0,Kevin Chen
0,Landon Jones
0,Nate Taylor
3,Anson Stoller
4,Thomas Friesen
5,Nolan Campbell
7,Parker Gulbranson
8,Austin Rider
02,Ryan Gulbranson
10,Jacob Bushlack
13,Bradley Herschend
14,Ethan Penner
15,Grant Bruner
17,Zachary Odell
18,Brendan Culp
19,Ethan Bolthouse
26,Jon Meyer
28,Garrit Headley
32,Drew Taylor
33,Jonathan Rothfus
66,Mark Belvardi
