Garden State 7,College - Men ,1,4,2017
https://play.usaultimate.org/events/Garden-State-7/schedule/Men/CollegeMen/
SUNY-Binghamton,4
0,Daelin Fischman
0,Daniel Thornton
0,Michael Gilfillan
0,Samori Emmanuel
4,Christopher LaTourette
5,Andrew Gonzalez
02,Connor Brown
08,MATTHEW BRANCATO
10,Chris Walsh
11,Owen Lucano
12,Mark Donohue
13,Trey McIntyre
15,Timothy Bobrowski
18,Quentin Melnick-Kelley
21,Matthew Dasilva
22,Alex Cox
27,Jeremy Klein
28,Michael Harley
33,Ryan O'Rourke
44,Karandeep Ahluwalia
48,Ian Foley
72,Adam Neu
74,Jake Gershon
83,Arron Danehy
88,Stephen Snelson
b,r,e,a,k
Stevens Tech,8
10,Keyur Ved
12,Jonathan Bobkov
14,Miles Wascher
17,Scott Borgstedt
19,Nicolas Camporeale
20,Ryan Gutmann
22,Jonah Mania
37,Nicholas Dantuono
38,TJ Stanton
49,Ivan Dickson
55,Jeremy Doll
84,Luke Pacchiana
92,Michael Guglielmo
95,Ira Seidman
96,Ronald Ankner
97,Joseph Conway
98,Kyle Dew
b,r,e,a,k
American,1
0,Abraham Cruz
0,Alexander Wang
0,Christian  Duffoo
0,Dylan Johnson
0,Francis Peabody
0,Gabe Bichinho
0,Ryan Chung
0,Ryan Trismen
0,SAWYER GILBERT
0,Lex Samuels
3,MICHAEL HARLEY
5,Tim McPhillips
9,Alexander Werner
15,Ben Mooney
23,Norris Kpamegan
27,Bretton Caws
43,Benjamin Hersch
62,Doron Shore
86,Jonathan Seidenwurm
96,Colin Dougherty
b,r,e,a,k
Connecticut (B),9
0,Calvin Wardle
0,Jarred Karal
0,Jesse Deluca
0,Jonathan  Novitski
0,Manush Shah
0,Meyer Gilden
0,Philip Gross
0,Thomas Brayton
0,Travis Coke
0,Veral Patel
0,Zach Ferreira
12,Austin Gallimore
25,Jordan Kaiser
30,Andong Li
31,Zachary Putney
42,Andrew Dubsky
48,Colin Ng
69,Jonathan White
b,r,e,a,k
St Joseph's,5
0,Matthew Duplak
0,Tyler Bartholomew
3,Matthew Yohe
6,MICHAEL CORCORAN
25,RYAN COYLE
81,Dan Apol
99,Brendan Tarte
b,r,e,a,k
SUNY-Stony Brook,2
0,Brett Keeler
0,Corey Cox
0,James Hoffman
0,Josiah Zoodsma
0,Philip Iaccarino
0,Rahat Ullah
0,Seamus Maloney
0,Thomas Heinlein
0,Victor Wong
1,Justin Maldonado
2,Jack Rogot
4,Frederick Hahn
5,Daniel Purschke
10,Sean McCoy
12,Oliver Voorhees
13,Cody Brady
24,Benjamin Sokolowsky
27,David Setton
38,Will Burks
42,Andreas Lietzau
b,r,e,a,k
Hofstra,6
0,Adam Drill
0,Anthony Muscarello
0,Benjamin Denaga
0,Brian Stieglitz
0,Cole Dempsey
0,Colin McGuire
0,Daniel Valverde
0,Joseph Murphy
0,Kyle Sommerlad
0,Michael Ringel
0,Nicholas Miller
2,Brian Kelly
3,John Aleman
4,Tyler McCarthy
5,Andrew Detres
6,Joshua Sullivan
7,Jordan Dalmedo
21,Gabriel De Oliveira
24,Michael Fernandez
25,Nicholas  Ptak
28,Liam Doogue
33,Ian Weimer
55,Michael Perez
72,Frank Castelluccio
85,Patrick Francois
b,r,e,a,k
Maine-Farmington,10
0,Blair Bailey
0,Brittany Hemphill
0,Cory McCullough
0,Daniel Abbatello
0,Dominic Martorano
0,Gage Currie
0,Gunnar Heckler
0,Ian Lejonhud
0,Jacob Violette
0,Joe Brichetto
0,Joe Haggerty
0,Kristen Tarr
0,Reed Bridge-Koenigsberg
0,Samuel Carignan
0,Tim Bullard
0,Zachary  Wheeler
10,Timothy  Pacini
b,r,e,a,k
College of New Jersey,3
0,Abin Alexander 
0,Alexander Cretella
0,Andrew Cameron
0,Brian Marino
0,Brian Litt
