MoTown Throwdown 2017,Club - Mixed ,8,7,2017
https://play.usaultimate.org/events/MoTown-Throwdown-2017/schedule/Mixed/Club-Mixed
Columbus Cocktails,1
0,Anthony Dario
0,Benjamin Tannenwald
0,Claudia Moeller
0,Eliot Alexander
0,JOSEPH BAKER
0,Kelly Ross
0,Felicia Bratti
0,Gordon (Gordy) Sjostrom
0,Sarah San Pedro
0,Stephan Dober
0,Steven Moliterno
4,David Valentine-Elam
9,Ryan Kindell
9,Annelise Peters
10,ANDREJ ABABOVIC
11,Sadie Jezierski
11,Jackie Matonis
12,Sydney Olund
14,Emily Steedman
17,Benjamin Reith
20,Andrew Klarner
22,Mallory Griffith
22,Mary Turner
24,Michael Verma
25,Timothy San Pedro
32,Nate Dikeman
b,r,e,a,k
Northern Comfort,16
03,Erika Watson
06,Abby Snell
07,Tyler Holmes
09,WHITNEY FOSE
11,Alix Raymond
12,JAMES WU
14,Osvaldo Velez-Martinez
17,Mark David
18,Grant Wagner
21,Jake Leutenegger
22,Max Carpenter
23,Paul Watson
24,Elizabeth Gates
26,Casey Hagen
27,Kalli Leutenegger
28,Ben Ben Hirschman
32,Annie Waniger
33,Brian Benge
34,Stephanie Caucutt
b,r,e,a,k
Los  Heros,8
0,Benjamin Gerroll
0,Daniel Clement
0,Gus Klofta
0,James Quill
0,Katie Yoder
0,Kirstin Craven
0,Kye Butler
0,Melissa Taylor
0,Sarah Mosier
0,Steph Niemeyer
0,Steven Eakle
2,Jeremy Davis
5,Connor Regan
6,Megan Peplinski
12,Jason Bertocci
15,Audrey Williams
19,Sam Tobin-Hochstadt
27,Chase McCoy
27,Leslie Boey
34,Geri McInerney
37,Jacob Schumacher
55,Jason Cheek
62,Charles Lowe
b,r,e,a,k
Stackcats,9
0,Anthony Oplawski
0,Christopher Thomas
0,Eric Martin
0,Jackson Todd
0,Krystle Ocampo
0,Mark Valzonis
0,Matt Tansley
0,Monica Oplawski
0,SAMANTHA Martin
0,Saul Lipton
3,Samantha Thompson
6,Vincent Curkov
7,Michael Hyland
9,BOB WEDSTER
12,Ashley Betke
13,David Lindsey
18,Kurt Zoellick
19,IAN NIFOUSSI
24,Kyle Brooks
29,Talia Brewer
42,Benton Fletcher
44,Jessica Mendez
57,Jonathan Alton
58,Sze Jin Ooi
72,Zaray Buenrostro
88,ANTHONY PADULA
b,r,e,a,k
Petey's Parrots,17
0,Allie Breymaier
0,BRAD SEELIG
0,Brent Bowen
0,Connor McMonagle
0,Joe Lavalley
0,Justin Niehaus
0,Kenneth Whaley Jr.
0,Kevin Werner
0,Kristy Elwell
0,Morgan Hyland
0,Rebecca Werner
0,Rebecca Rings
0,Sarah Pitts
0,TJ Gajda
0,Vince Fonte
0,Zoe Bliss
6,Thomas Buchanan
9,Graham Blehart
10,Jaycee Jones
20,Erika Murray
22,Ari Pena
25,Lance Wilson
33,Cole Hughes
49,Andrew Carr
88,Ryan Connor
97,Erica Behrens
98,Stephen Drew
b,r,e,a,k
Hybrid,7
01,Kari Paine
02,KRISTOPHER COLEY
03,Andy Yu
04,Zachary Barnhart
07,Elizabeth Benedetto
08,Jenna Ray
10,Megan Gordon
13,Benjamin Murphy
14,Caleb May
15,Alex Bertoia
17,John Goodwin
18,Erin McCann
21,Christina Hanson
24,Patrick Abeli
25,GARY GRANT
27,Bailey Besser
29,Ashton Hoffman
30,RYAN MARIOUW
31,Scott Hetu
33,Noah Fisher
35,Joseph Besser
42,Marissa Ray
46,Amy Stoddard
48,Hannah Gannon
66,Tia Esposito
92,Charlotte Wilson
b,r,e,a,k
Petey's Pirates,18
0,Glen Slejko
0,Nathan Morgan
0,Tyler Higgins
01,Gregg Vaillancourt
03,Austin Eilbeck
04,David Hazlett
05,Abigail Nypaver
07,Alexandria Hughes
11,Kerrie Rubadue
12,Alec Mathena
13,Adam Perks
14,Mary Beth Mueller
17,Kelsey  Dober
19,Curt Metzger
21,Kathryn Oehlman
24,Chelsea Ardle
27,Aaron Deal
30,Michael Hammond
31,James Zhang
37,Tony Donato
41,Eric Border
44,Josh Shamburger
49,Nathan Landry
64,Meredith McCormack-Mager
69,Jacob Brown
78,Tiffany Lim
95,Kristen Behrens
b,r,e,a,k
Liquid Hustle,2
0,Brandon Groff
0,Charlette Peyer
0,Eric Burriss
0,Jared Peyer
0,JEAN ESTHER ZIPAGAN
0,Kelly Vogeler
0,Kelsie Sparks
0,Luke Thomas
0,Nicholas Chan
0,Noah Peyer
9,Nathan Partenheimer
11,Emma Sirkin
13,Nathan Hershberger
13,Dave Christopher
13,Joshua Kemmerling
14,Andrew McNally
19,Benjamin Adams
23,Julie Raduenz
29,Emily Schloneger
31,Jordanna Payne
35,Paul Avilez
56,Cullen Booth
66,Collin Koury
69,Brittney Ballard
74,Collin McCartney
91,Anne Peyer
92,Anthony Panozzo
b,r,e,a,k
North Coast Disc Co.,10
0,Alicia Chang
0,Brad Kotecki
0,BRYAN MCCARTHY
0,Daniel Montelione
0,Ellis Saupe
0,Elsa Vera
