Midwest Throwdown 2017,College - Women ,4,3,2017
Columbia,MO,2017-03-04,2017-03-05
https://play.usaultimate.org/events/Midwest-Throwdown-2017/schedule/Women/CollegeWomen/
Kansas,1
23,Lauren Meyer
24,Megan Jameson
33,Sarah Tallman
41,Natalie Bidner
52,Rachel Bates
73,Kaitlyn Christiansen
b,r,e,a,k
Illinois,3
teamInfo,Illinois,"Champaign-Urbana, Illinois",http://illinoismenace.tumblr.com/,https://www.facebook.com/IllinoisWomensUltimate,https://twitter.com/IllinoisMenaceU
coaches,Angelo Ramos
4,Joline Chang
02,Candace Brahm
05,Maria Cardona
06,Chesca Calicdan
09,Brittney Gorman
11,Raynah Unes-Reid
12,Brianna Anderson
13,Monica VanDuyne
16,Allison Chmaj
20,Shirley Saunders
21,Kelsey Thompson
22,Amy Copper
36,Bianca Delgado
37,Gilleece Thorson
38,Cora Wessman
42,Michelle McCarthy
44,Monica Zimmerman
55,Natalie Stephan
b,r,e,a,k
Wisconsin,6
teamInfo,Bella Donna,"Madison, Wisconsin",http://www.belladonnaatropa.wordpress.com,,https://www.twitter.com/bdultimate
coaches,Robyn Fennig,Brittany Hoegh
01,Jackie Welsch
02,Sabrina Hoffman
03,Carly Siewert
04,Vanessa Villasenor
05,Lauren Allin
07,Charlotte Francoeur
08,Shanda Roeming
09,Lilly Iverson
10,Caitlin Murphy
11,Anna Paulson
13,Brittney Kokinos
16,Molly Berkholtz
17,Lindsey Waite
18,Sarah Mondschein
19,Anneke Vermaak
20,Jenna Thorp
21,Emily Jewell
22,Michelle Zaber
23,Caroline Mueller
24,Camila Flowerman
25,Jamie  Brown
31,Amber Heffernan
36,Alina Dain
60,Claire Cech
b,r,e,a,k
Carleton College-Eclipse,9
teamInfo,Eclipse,"Northfield, Minnesota",carletoneclipse.weebly.com,,https://twitter.com/eclipsethedisc
2,Meg Crenshaw
3,Mary Hall
4,Jillian Banner
6,Nora Mertz
7,Elizabeth Moore
8,Haley Olson
9,Julia Kenney
12,Maya Banks
13,Laura Kiernan
14,Leah  Roche
15,Melannie Wurm
16,Nora Brown
17,Maia Kosek
28,Rachel Gallagher
34,Kaitlin Schaible
51,Abigail Herscovici
b,r,e,a,k
Nebraska,24
teamInfo,Cuddle Raptors,"Lincoln, Nebraska",,,
0,Amelia  Baker
0,Ashley Lloyd
0,Shauntaa Burkhalter
5,Hannah Gavle
10,Christa Fisher
15,Tracy Kuper
17,Emily Nichols
18,Michaela Daugherty
21,Sierra Schurman
27,Megan EisenVos
28,Lauren Uhlig
33,Paige Steinbauer
35,Kaitlyn Waszak
45,Abbie Leschinsky
52,Amy Morris
96,SHADID DE LA ROSA
b,r,e,a,k
St Benedict,25
teamInfo,Rapture,"St. Joseph, Minnesota",,,@CSB_Rapture
02,Alexandria Erickson
03,Madyson Johnson
05,Katarina Wesche
06,Cassie Renckens
08,Meghan Hayden
09,Emily Schwen
10,RACHEL KILEY
11,Alexandria Daggett
12,Anna Smisek
13,Morgan Potter
15,Madeline Vogel
16,Allison Grodnick
17,Hannah Zobitz
18,Mariah Williams
24,Hailey Shoemaker
33,Johannah Frisby
56,Lauren Lingenfelter
b,r,e,a,k
Missouri,40
teamInfo,TerrorMizzou,"Columbia, Missouri",,,
0,Alice Nygen
0,Caitlyn Reick
0,Emily Adams
0,Natalie Sherbrooke
0,Tonya Pettet
5,Kamie Vaughan 
04,Olivia Chambliss
09,Annie Dolan
23,Natalie Brunk
24,Claire Hassler
25,Alexis Kerman
28,Jessica Reid
55,Haley Morrison
69,Emily Armbruster
81,Genevieve Jones
88,Elizabeth Woods
97,Megan Asturias
b,r,e,a,k
Truman State,10
teamInfo,TSUnami Women's Ultimate,"Kirksville , Missouri",http://tsunamiultimate.weebly.com/,https://www.facebook.com/tsunamiultimate,https://twitter.com/TSUnamiUltimate
0,Lauren Wiggins
02,Mallory Bell
04,Sabrina Lavezzi
05,Alexandria Thomas
06,Valerie Kanarowski
07,Emily Royer
08,Emily Sallade
09,Ama Idun
10,Emilie Willingham
11,Christy Crouse
12,Brooke Johnson
14,Sarah Finley
15,Caitie Staver
16,Trinajoy Karanja
17,Aly Pettit
18,Haley Johnson
19,Bailey Waddell
23,Claire Trumbull
24,Huihua He
25,Jessica Tiller
26,Mandi Matteucci
27,Katie Bruggeman
28,Emilia Budzowski
32,Azeeza Eagal
33,Kelly Vallal
38,Callie Warren
43,Jennifer Petersen
57,Emily Tucker
66,Caroline Taylor
77,Meaghan O'Connell
99,Genevieve Presley
b,r,e,a,k
John Brown,23
teamInfo,Savage Skies,"Siloam Springs, Arkansas",www.jbu.edu,https://www.facebook.com/jbultimate,
0,Abby Buffington
0,Alanna Kraybill
0,Emily Tumilty
0,Gabriela Reincheld
0,Greta Smith
0,Hallie Bontrager
0,Katelyn Patterson
0,Maggie Morrison
0,Makayla Kilmer
0,Peyton Rudisill
0,Veronica Bagby
2,Heather Hughes
4,coplea donley
24,Abby Acker
26,Anna Brodnick
b,r,e,a,k
Illinois State,26
teamInfo,Lady Gnomes,"Normal, Illinois",,https://www.facebook.com/isuladiesultimate,
0,Alice Richter
0,Amber Beasley
0,Kathryn O'Connell
0,Katie Stelter
0,Krista Yee
09,Alyssa Godek
11,Elizabeth  Dujmovich
12,Katie Blume
27,PAIGE PASSARO
34,Morgan Brauer
b,r,e,a,k
Washington University (B),39
teamInfo,Locamotive),"St.Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwuisLOCA
00,Emma Waltman
00,Fiona Rendon
00,Katherine Lucas
00,Kathryn Hendrix
00,Katie Ewald
00,Lexi Markowitz
00,Maggie Brown
00,Margaret Pierce
00,Monica Unzueta
00,Whitney Heard
00,Yewande Taiwo
00,Alexandria Rutherford
00,Brooke Felsheim
08,Abby Rubin
14,Brianna Gordon
36,Devin Ryan
37,Alicia Weinstein
b,r,e,a,k
Denver,11
teamInfo,Hype ,"Denver, Colorado",,https://www.facebook.com/uofdenverclubultimate?ref=aymt_homepage_panel,
coaches,Conrad Hougen
0,Allie Wirth
0,Audrey Miklitsch
0,Blair Becker
0,Carolyn Brown
0,Grace Trautman
0,Hannah Bibbo
0,Hannah Shook
0,Isabel Clarke
0,Kathryn  Bach
0,Maddie Gelinas
0,Maddie Steinbrunn
0,Maddie Pielert
0,Maya Gershun-Half
0,Maya Anthony
0,Morgan Zueger
0,Savanna Guerrero
0,Sophia Duncan
15,Christiana Hellinga
25,Grace Meltesen-Lee
47,Hannah Falkowski
b,r,e,a,k
Missouri S&T,27
teamInfo,Miner Threat,"Rolla, Missouri",,,
0,Ashley Longrie
0,Brooklan Davis
0,Catherine Mittlieder
0,Cynthia Martin
0,Erin Mann
0,Madison White
2,Courtney Munch
3,Emily  Courtney 
19,Kelly Dunlap
22,Paige Blasberg
b,r,e,a,k
Wisconsin-Eau Claire,22
teamInfo,SOL,"Eau Claire, Wisconsin",http://uwecwomensultimate.wixsite.com/solultimatefrisbee,https://www.facebook.com/pages/UWEC-SOL-Ultimate/119434234738605,https://twitter.com/SOLultimate
0,Kendra Kalvin
0,Laura Cullen
0,LAURA EMORY
0,Marissa Egeland
0,Marissa Zaleski
0,Megan  Huntley
0,Morgan  Wilde
0,Abby Jacobson
0,Alexa Miller
0,Emily Dalhoff
0,Rebecca Corcoran
7,Samantha Miller
14,Jessica Hendrickson
16,Caitlin Williams
23,Clancy Ferris
69,Natalie Cooper
77,Ashley Wurster
b,r,e,a,k
Kansas (B),38
teamInfo,Betty Ultimate B,"Lawrence, Kansas",www.bettyultimate.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
0,klara mekhael
0,Laura Rosa
0,Madison Foster
0,Alice Nicholas
0,Roxanne Blackhurst
0,Spencer Riley
0,Zoe Mixon
3,Meeli Patel
6,Sally (Yueyang) Jiang
04,Mary Dennis
13,Bailey Hiersche 
18,Mikayla Schmitz
36,Hannah Kroll
44,Brenna Niemuth
b,r,e,a,k
Winona State,21
teamInfo,Bad Monaz,"Winona, Minnesota",,,
0,Alison Croswell
0,Aubrie Krueger
0,Breanna Raske
0,Brooke Raske
0,Celeste Werner
0,Ella Borgerding
0,Ellen Johnson
0,Hafsa Yusuf
0,Hannah Quast
0,Jayme Ratliff
0,Julia Proctor
0,Kathryn Juettner
0,Maria Gosz
0,Megan Diesslin
0,Rachael Sawyer
27,Joanna Brown
b,r,e,a,k
Arkansas,12
teamInfo,SoCo,"Fayetteville, Arkansas",,https://www.facebook.com/UARKWomensUltimate/?ref=aymt_homepage_panel,
0,anna tovar
0,Brittni Arrigotti
0,Laura Lopez
0,Lizzie Cagle
0,Miranda  Warmann 
0,Nicole Kennetz
0,Sowmya Sivakumar
5,Elise Franke
6,Haley McCarver
8,Courtney McClain
13,Adelaide Leonard
16,Traci Higgins
b,r,e,a,k
Grinnell (B),37
teamInfo,Grinneleanor Roosevelt,"Grinnell, Iowa",,,
0,Charlotte Cohen
0,Elise Brod
0,Eva Gemrich
0,Jin Komerska
0,Julia Broeker
0,Julia Fay
0,Alyssa Hyndman
0,Kathryn Yetter
0,Linnea Schurig
0,Mary Rose Bernal
0,Sophie Macklem-Johnson
2,AMELIA GESER
8,JULIA SCHAFER
13,Laura Flannery
19,Caroline Macdonald
28,Tulah Fuchs
39,Olivia Caro
46,Miriam Tibbetts
b,r,e,a,k
Drake,28
teamInfo,iBex,"Des Moines, Iowa",,https://www.facebook.com/pages/Ibex-Drake-Womens-Ultimate/127800437293692,https://twitter.com/drake_ibex
coaches,Kara Mohs
0,Alix Noteboom
0,Anna Nelson
0,Jessica Brown
0,Natalie Carberry
6,Rachel Stumphauzer
9,Melissa Snavely
12,Katie Walther
13,Katie Filosa
14,Taylor Weigel
15,Elizabeth Scott
16,Cassandra Veglahn
21,Lily Enzler
23,Anna Austin
79,Annemiek Arkema
b,r,e,a,k
Saint Louis,13
teamInfo,Anarchy,"St. Louis, Missouri",,,
0,Maggie Rowell
2,Lauren Schrader
5,CAROLINE SCHAFER
7,Sarah Klug
8,Riley Voss
9,Laura Murphy
14,Zoe Nicozisin
15,Nicole Redden
17,Deja Miller
18,Jennifer Mathews
19,Kate Halloran
27,Julia Clare
38,Meredyth Staunch
42,Leah Kunkel
b,r,e,a,k
Grinnell,20
teamInfo,Sticky Tongue Frogs,"Grinnell, Iowa",,,GCStickies
0,Annie Ramey
0,Bella Butzirus
0,Cecilia Bergman
0,Karen Ehrhardt
0,Lauren Edwards
0,Lucie Duffy
0,Halle Remash
0,Jiaqi Dai
0,Ruth Isaac
0,Sophie Wright
4,Lucy Chechik
16,Sasha Baumann
24,Carina Wilson
33,Emma Foulkes
48,Julia Dornbusch
69,Max Semba
b,r,e,a,k
Minnesota-Duluth,29
teamInfo,LakEffect,"Duluth, Minnesota",www.umdwomensultimate.wordpress.com,https://www.facebook.com/groups/401771953206863/,https://twitter.com/UMDLakEffect
0,Heather McGahan
0,Lauren Hibbard
7,Madeline Crockett
14,Julianne Bray
22,Sam Munkeby
27,Leah Barrett
28,ALLISON UREVIG
30,MELISSA PEIRSON
31,Kelly Chase
70,Hannah Peterson
99,Mar Horns
b,r,e,a,k
Northwestern (B),36
teamInfo,GungHo B ,"Evanston, Illinois",,,
coaches,Abby Shure
5,Alex Sher
7,Sydney Stelzer
12,Caitlin Hayner-Slattery
13,Hannah Gaertner
14,Kylie Chesner
17,Emma Hartley
20,Corinne Burger
27,Rachel Anderson
30,Lindsey Pape
65,Ivy Gao
b,r,e,a,k
Missouri State,19
teamInfo,Bearly Legal,"Springfield, Missouri",,,
0,Ashley Newson
0,Brooklyn Enger
0,Caitlyn Wehner
0,Emily Hudson
0,Genna Owen
0,Jade Reinhart
0,Jordan Heiman
0,Kaitlyn Stone
0,Kayley Brandon
0,Alex Steen
0,Ali Smith
0,Alicia Sullivan
0,Anne Tabora
0,Morgan Ley
0,Natasha Karpel
0,Peyton Waterman
0,Reilly Pim
0,Mary Cannon
0,Megan Burke
0,Taylor Alicea
0,Taylor Ann Nelson
2,Ashley Slater
23,Megan Culp
34,Sammantha Giddinge
55,Kristen Keeney
b,r,e,a,k
Purdue,14
teamInfo,AMOC,"West Lafayette, Indiana",http://purduewomensultimate.weebly.com/,https://www.facebook.com/amocultimate/,https://twitter.com/PurdueWomensUlt
0,Natalie Burgos
01,Deborah Cheatham
03,Caitlyn Corcoran
04,Maggie Kline
05,Megan Jarriel
07,Heather Strathearn
11,Margaret Nelson
12,Shannon Jones
18,Katherine Schauer
25,Zaty Fazil
29,Ariel Black
34,Darien Rodriguez
72,Dakota Selburg
75,Emily Nadler
b,r,e,a,k
Kansas State,30
teamInfo,Cheshire,"Manhattan, Kansas",cheshireultimate.weebly.com,https://www.facebook.com/CheshireUltimate,
0,Hannah White
0,Racheal Roudybush
3,Molly Greener
5,Katelyn Thompson
9,Kate Olson
10,Haylee Eaton
11,Kelly Chambers
13,Amanda Frakes
14,Ashley Williams
15,Brooke Panning
21,Sarah Brown
28,Cheyenne Butler
32,Shelby Stair
b,r,e,a,k
Oklahoma,35
teamInfo,Never Mrs,"Norman, Oklahoma",https://nevermrsultimate.squarespace.com,,https://twitter.com/never_mrs
01,Kameron Boren
03,Casey Cai
04,Caroline Bantug
06,Abigail Baukus
07,Devin O'Connor
08,Megan Harju
10,Tram Le
11,Rachel Widner
13,Elizabeth Lankford
17,Kate-Lynn Walsh
20,Margaret Norland
23,Alexi Wenger
23,Claire Crofford
33,Katherine Yut
35,Tamiko Murphy
37,Madison Broddle
42,Lily Shu
46,Jessica  Scott 
53,Emily Allen
77,Marissa Munoz
b,r,e,a,k
Chicago,18
teamInfo,Supersnatch,"Chicago, Illinois",,,https://twitter.com/SnatchSuper
0,Alicia Zhao
0,Amber Frankland
0,Annie Yang
0,Gabby Skifstad
0,Hallie Parten
0,Jenny Wang
0,Jessica Hanlon
0,Kristine McLellan
0,Madison Moore
0,Marta De Giuli
0,Naomi Rosen
0,Sophia Kierstead
9,Cassandra Brown
10,Gianna Sparks
21,Megan Lau
28,Sofia Collins
61,Hani Pajela
b,r,e,a,k
Iowa,15
teamInfo,Saucy Nancy,"Iowa City, Iowa",http://saucynancyultimate.weebly.com/,https://www.facebook.com/pages/Saucy-Nancy-Ultimate/134360866670281,https://twitter.com/SaucyNancyIowa
3,Hain Moon
4,Tahlia Simon
8,Brooke O'Hollearn
10,Chloe Malkinson
11,Sarah Kersten
13,Alexandra Haugen
14,Esther Chovan
15,Michele Siamis
19,Johanna Chambers
20,Rebecca Crown
23,Clarisse Chia
24,Faradis Lindblom
28,Maureen Hughes
31,Emily Novick
33,Kaitlin Brooks
35,Alexis Abbeduto
36,Stevie Watts
42,Raleke Hughes
48,Anya Kim
55,Elizabeth Gronert
77,Allison Lorey
82,Bridget Joers
84,Nicole Havel
89,Leigha Meredith
b,r,e,a,k
Mississippi,31
teamInfo,Landsharks,"Oxford, Mississippi",olemissultimate.weebly.com,https://www.facebook.com/OleMissWomensUltimateFrisbee,https://twitter.com/landsharksulty
0,Alison Walker
0,Amanda Baker
0,Greta Carley
0,Helen Colquett
0,Lane Colquett
0,Michaela  MacLain
3,Xena Williams
3,Hannah Waltman
4,Emma Schneider
5,Brooke Norman
6,Ashton Keen
9,Hannah Clark
14,Emma Wandell
19,Maggie Hubbard
29,Jordan McInnis
b,r,e,a,k
North Park,34
teamInfo,Allihopa,"Chicago, Illinois",,,
02,Hannah Sahyouni
03,Sophie Gaska
04,Abby  Imperial
13,Kierra Daniels
14,Jessica Rosell
16,Grace Jang
17,Erin Staurseth
24,Mary  Parenti
25,sarah Rogers
26,Kelsey Stevens
28,Simone Carroll
31,Abby Gentile
36,Julie Spencer
87,Michaela Scholte
b,r,e,a,k
Wisconsin-Milwaukee,16
teamInfo,BlackCat ,"Milwaukee, Wisconsin",http://blackcatultimate.org,,https://twitter.com/BlackCat_Women
0,Alexandra LaMere
0,Allison Hinkel
0,Ashley Derus
0,Haley Matticks
0,Ina  Bharat
0,Mattison Beyersdorf
1,Erin Pederson
5,Tessa Mallegni
7,Peyton Miller
04,Erin Dugan
11,Lydia Andresen
13,Samantha Hodgson
14,Fiona McGilligan
15,Rose Ricca
20,Justine Espisito
21,Hayley Smith
27,Kensington Naze
54,Elena Olsen-Valdez
77,Madeline Rittgers
b,r,e,a,k
Luther,17
teamInfo,Freya,"Decorah, Iowa",,https://www.facebook.com/pages/Freya-Ultimate/155989471091880,https://twitter.com/FreyaUltimate
0,Grace OBrien
0,Greta Hartmann
0,Hallie Simon
0,Hanna Doerr
0,Hannah Stenoien
0,Hannah O'Polka
0,Jennifer Hickey
0,Laura  Johnson
0,Alexis Hove
0,Ann Holmes
0,Cora Egherman
0,Madison Brauer
0,Maggie Piper
0,Maggie Locke
0,Margaret Schmitt
0,Maureen Donohue
0,Samantha Mitchell
0,Sara Suri
0,Sarah Eachus
0,Susie Wold
0,Tatiana Proksch
12,Rachel Johnson
18,Cassie Kiener
20,Ashley Veeser
27,LUCIA HOLTE
60,Sarah Feltault
96,Elizabeth Mumm
b,r,e,a,k
Wisconsin (B),32
teamInfo,Atropa,"Madison, Wisconsin",https://win.wisc.edu/organization/womensultimate,https://www.facebook.com/groups/421591531301929/?bookmark_t=group,
0,Amelia Heusinkveld
0,Audrey  Chuah
0,Katharine Lewer
0,Katie Fan
0,Lacie Schroeder
0,Laura Borth
0,Nicole Bichsel
0,Rileigh Long
4,Lindsey Tushman
7,Amber Waite
9,Sarah Mancina
13,Magdalen Palzewicz
13,Annalise Ho
14,Courtney Trescher
20,Helen Walz
23,Alyssa Joachim
24,Diane Walters
27,LAURIE STEPHEY
99,Annabelle Sobotik
b,r,e,a,k
Marquette,33
teamInfo,Moxie,"Milwaukee, Wisconsin",,,@MoxieUltimate
03,Abby Snell
06,Cassandra Kleeman
08,Marielle Billig
09,Kate Chamberlain
10,Erika Olson
11,Brianna Ling
11,Julia Bellair
12,Sarah Bergstrom
17,Morgan Reminder
19,Sheila Connelly
20,Chanmonique Hing
21,Andrea Thiltgen
22,Claire Smart
27,Maya Mocarski
28,Emma Howard
45,Isha Varshney
b,r,e,a,k
s,t,a,g,e,s
pools,PP
pool,Pool A
Northwestern,St Olaf,10,8,"03/04/2017, 10:00",Pool A,Final
Kansas,St Olaf,14,5,"03/04/2017, 12:00",Pool A,Final
Kansas,Northwestern,13,7,"03/04/2017, 14:00",Pool A,Final
Kansas,Washington University,13,5,"03/05/2017, 00:00",Pool A,Final
Northwestern,Washington University,9,8,"03/05/2017, 02:00",Pool A,Final
Washington University,St Olaf,11,10,"03/05/2017, 04:00",Pool A,Final
pool,Pool B
Illinois,Colorado State,12,11,"03/04/2017, 10:00",Pool B,Final
Iowa State,Wisconsin,8,7,"03/04/2017, 10:00",Pool B,Final
Illinois,Wisconsin,8,7,"03/04/2017, 12:00",Pool B,Final
Iowa State,Colorado State,7,12,"03/04/2017, 12:00",Pool B,Final
Wisconsin,Colorado State,8,12,"03/04/2017, 14:00",Pool B,Final
Iowa State,Illinois,9,4,"03/04/2017, 14:00",Pool B,Final
pool,Pool C
Carleton College-Eclipse,St Benedict,15,6,"03/04/2017, 08:30",Pool C,Final
Nebraska,Missouri,15,4,"03/04/2017, 08:30",Pool C,Final
Carleton College-Eclipse,Missouri,15,3,"03/04/2017, 12:30",Pool C,Final
Nebraska,St Benedict,11,9,"03/04/2017, 12:30",Pool C,Final
Carleton College-Eclipse,Nebraska,13,9,"03/04/2017, 14:30",Pool C,Final
St Benedict,Missouri,13,5,"03/04/2017, 14:30",Pool C,Final
pool,Pool D
Truman State,Illinois State,12,7,"03/04/2017, 10:30",Pool D,Final
John Brown,Illinois State,13,9,"03/04/2017, 12:30",Pool D,Final
Truman State,John Brown,14,4,"03/04/2017, 14:30",Pool D,Final
John Brown,Washington University (B),15,2,"03/04/2017, 17:30",Pool D,Final
Truman State,Washington University (B),15,3,"03/04/2017, 19:30",Pool D,Final
Illinois State,Washington University (B),13,3,"03/04/2017, 21:30",Pool D,Final
pool,Pool E
Denver,Missouri S&T,14,6,"03/04/2017, 08:30",Pool E,Final
Wisconsin-Eau Claire,Kansas (B),12,3,"03/04/2017, 08:30",Pool E,Final
Denver,Kansas (B),13,2,"03/04/2017, 10:30",Pool E,Final
Wisconsin-Eau Claire,Missouri S&T,4,14,"03/04/2017, 10:30",Pool E,Final
Denver,Wisconsin-Eau Claire,13,3,"03/04/2017, 14:30",Pool E,Final
Missouri S&T,Kansas (B),15,2,"03/04/2017, 14:30",Pool E,Final
pool,Pool F
Winona State,Grinnell (B),15,3,"03/04/2017, 08:30",Pool F,Final
Arkansas,Grinnell (B),14,3,"03/04/2017, 12:30",Pool F,Final
Arkansas,Winona State,5,11,"03/04/2017, 14:30",Pool F,Final
Arkansas,Drake,15,3,"03/04/2017, 15:30",Pool F,Final
Winona State,Drake,15,1,"03/04/2017, 19:30",Pool F,Final
Drake,Grinnell (B),10,11,"03/04/2017, 21:30",Pool F,Final
pool,Pool G
Saint Louis,Minnesota-Duluth,15,3,"03/04/2017, 10:30",Pool G,Final
Grinnell,Northwestern (B),15,2,"03/04/2017, 10:30",Pool G,Final
Saint Louis,Northwestern (B),15,0,"03/04/2017, 12:30",Pool G,Final
Grinnell,Minnesota-Duluth,15,1,"03/04/2017, 12:30",Pool G,Final
Saint Louis,Grinnell,15,7,"03/04/2017, 14:30",Pool G,Final
Minnesota-Duluth,Northwestern (B),13,1,"03/04/2017, 14:30",Pool G,Final
pool,Pool H
Purdue,Kansas State,10,9,"03/04/2017, 08:30",Pool H,Final
Missouri State,Oklahoma,15,5,"03/04/2017, 08:30",Pool H,Final
Purdue,Oklahoma,8,7,"03/04/2017, 10:30",Pool H,Final
Missouri State,Kansas State,15,4,"03/04/2017, 10:30",Pool H,Final
Purdue,Missouri State,3,13,"03/04/2017, 14:30",Pool H,Final
Kansas State,Oklahoma,12,4,"03/04/2017, 14:30",Pool H,Final
pool,Pool I
Iowa,Mississippi,15,6,"03/04/2017, 08:30",Pool I,Final
Chicago,North Park,15,5,"03/04/2017, 08:30",Pool I,Final
Iowa,North Park,15,4,"03/04/2017, 10:30",Pool I,Final
Chicago,Mississippi,14,7,"03/04/2017, 10:30",Pool I,Final
Iowa,Chicago,8,9,"03/04/2017, 12:30",Pool I,Final
Mississippi,North Park,15,9,"03/04/2017, 12:30",Pool I,Final
pool,Pool J
Wisconsin-Milwaukee,Wisconsin (B),15,1,"03/04/2017, 08:30",Pool J,Final
Luther,Marquette,15,2,"03/04/2017, 08:30",Pool J,Final
Wisconsin-Milwaukee,Marquette,15,1,"03/04/2017, 10:30",Pool J,Final
Luther,Wisconsin (B),13,5,"03/04/2017, 10:30",Pool J,Final
Wisconsin-Milwaukee,Luther,9,8,"03/04/2017, 12:30",Pool J,Final
Wisconsin (B),Marquette,12,6,"03/04/2017, 12:30",Pool J,Final
b,r,e,a,k
brackets,BP
bracket,CHAMPIONSHIP
Iowa State,Colorado State,9,7,"03/05/2017, 15:00",FINALS,Final
Kansas,Iowa State,10,13,"03/05/2017, 13:00",SEMIS,Final
Colorado State,Illinois,12,7,"03/05/2017, 13:00",SEMIS,Final
Kansas,Wisconsin,11,5,"03/05/2017, 11:00",QUARTERS,Final
Iowa State,Winona State,10,3,"03/05/2017, 11:00",QUARTERS,Final
Colorado State,St Olaf,12,7,"03/05/2017, 11:00",QUARTERS,Final
Missouri State,Illinois,8,11,"03/05/2017, 11:00",QUARTERS,Final
Kansas,Wisconsin-Milwaukee,15,2,"03/05/2017, 09:00",PRE-QS,Final
Wisconsin,Carleton College-Eclipse,12,9,"03/05/2017, 09:00",PRE-QS,Final
Iowa State,Saint Louis,12,6,"03/05/2017, 09:00",PRE-QS,Final
Washington University,Winona State,7,10,"03/05/2017, 23:00",PRE-QS,Final
Colorado State,Chicago,11,8,"03/05/2017, 09:00",PRE-QS,Final
St Olaf,Truman State,10,8,"03/05/2017, 09:00",PRE-QS,Final
Northwestern,Missouri State,8,14,"03/05/2017, 09:00",PRE-QS,Final
