South Central Mixed Regional Championship 2017,Club - Mixed ,23,9,2017
https://play.usaultimate.org/events/South-Central-Mixed-Regionals-2017/schedule/Mixed/Club-Mixed
shame.,1
0,Ashley Daly Morgan
0,Christina McDowell
0,C Ryan Morgan
0,Peter Raines
0,Spencer Tibbs
0,Steven Rouisse
2,Hugh Carey
3,Kelcie Glick
4,Isabel Cisneros
5,Henry Adams
7,Emily Hanson
8,Bailey Russel
9,Nate Roth
10,Danielle Tran
10,Doug Stenclik
11,Danielle Love
13,Kyle Enns
14,Jade McLaughlin
15,John Kearns
24,Zackary Fleming
25,Nicholas Snuszka
27,Chris Gauen
46,Elizabeth Murphy
48,Aubree Dietrich
52,Marilyn Reich
56,Jacob Juszak
85,Vinny Fiacco
b,r,e,a,k
Sweet Action,11
0,Alexandra Seglias
7,Danielle Zigulich
01,Andrew Muller
02,Dan  McCune
04,Rob Johnson
06,Nathan Baker
10,Jake Koplen
13,Adriana Prieto
14,Matt Slowinski
18,Ian Whitman
20,Matt Cornish
21,Bradley Cochi
24,Kevin Hamilton
25,Patrick Ellsworth
26,Cecily Leahy
28,Emily Day
28,Rachael Reddin
31,Christopher Drew
35,Sarah Nurmi
37,Laurel Baker
45,Nikki Roth
47,Tyler Hanna
53,Melissa Hovanes
88,Jack Frenchu
92,Connor Otheim
b,r,e,a,k
Risky Business,8
0,Jake Floyd
0,Jena Douville
01,Austin Henke
02,Holly Lin
03,Allie Long
04,Arthur Corbitt
05,Bryan Rowes
07,Christopher Schultz-Davis
08,Elise Path
09,Dalio Losch
10,Laura Reed
11,Megan Pleshek
13,Senna Nilsson
14,Kristopher Dapprich
16,Tim Records
17,Austin Reed
18,Christina Jones
19,Natalie Clifton
21,Blake Abbott
25,Jen Kim
26,Richard Bovio
27,Natalie Zielinski
33,Angga Widodo
36,Christian Walker
37,Andrew Morton
88,Zoey Clark
b,r,e,a,k
Moontower,14
0,Anna Pobletts
0,Brian Grundy
0,Danielle Rowe
0,Douglas Hannah
0,Eric (Egon) Hersh
0,Erin Phillips
0,Luis Torres
0,Michael Natenberg
0,Mike French
0,Nicholas Gonner
0,Olivia Angel
0,Robert Connelly
0,Scott Long
0,Tien-Tien Chan
0,Tom Atchity
0,Vanessa Bacorn
8,Mikayla Slimmer
9,Summer Wilson
9,Marshall Payne
11,Allegra Donadio
30,Mick Walter
44,Katia Krupa
55,Theodore Weisman
77,Tim Robbins
b,r,e,a,k
Public Enemy,2
1,Jarrod Hockett
2,Colby Keen
3,Matthew Hudspith
4,Rowdy Howell
5,Chris Casey
6,Chris Pleshek
7,Lindsey Kappen
8,REBECCA PHILP
9,Krystina Morris
10,Bryan Bush
11,Veronica Coombs
12,Kevin Christian
16,Michael Hays
18,Kendra Hess
21,Danielle Runzo
22,Connor Olson
24,Jenna Bigbie
26,Trevor Wiltz
27,Jonathan Higgins
27,Brandon Dial
29,Jessica Gamwell
37,Lindsey Mazur
39,Chris Mazur
41,Cara Utesch
42,Paul Utesch
77,Keya Davani
95,Brooke Wooldridge
b,r,e,a,k
tHUMP,7
02,Pooja Desai
03,Samantha Gomez
03,Emma Culotta
05,Nathan Scott
06,Nick Carranza
07,Keziah Hill
08,Joyce Andrews
09,Josephine Berrios
10,Bryce Lippitz
11,Cameron Albin
12,Emily Leivy
13,Monika Hershey
14,Ryan Rundle
15,Philip Nelson
16,Nick Thomas
17,Emilie Garnier
18,Tanner Moore
23,Travis Vermaelen
27,Abigail Ginac
28,Christopher Perrotti
30,Alex Jang
31,Alex Bui
32,Andrew Amerson
33,Hung-wei Huang
44,Robert Benson
78,Samuel Floren
b,r,e,a,k
Tex Mix,13
0,Chelsea Gomez
0,JOSHUA PIROG
1,Kayleigh Renfro
2,Neil Campbell
3,David Santillan
4,Clayton Moore
5,Morgan Heim
6,Elisabeth Shelby
7,Abbey Hewitt
10,Daniel Naylor
12,Greg Hulet
15,Jenna Hay
16,Greg Mcclure
18,Elizabeth Rodriguez
21,John Grzywinski
23,Andrew Maloney
24,Anna Highsmith
25,MARISSA JAQUEZ
29,David Moen
31,Christen McClure
32,Austin Highsmith
41,James Robarge
44,Robert Rader
45,Zack Moncrief
77,GOUTHAM KANDRU
88,Daniel Figueroa
99,Rebecca Case
b,r,e,a,k
Boomtown,12
0,Stacy Edwards
01,Cameron Umbarger
02,JT Stancil
04,Matthew Carney
05,Laura Brewer
06,Avery Brooks
07,Aubri Wolfe
08,Dustin Baucom
09,LAUREN GRIFFITH
10,Colby Craige
11,LINSEY ODOM
13,Robert Boyd
15,Erin Heilman
16,LEVI SMITH
17,Andrew Hofland
21,Sidney Sanchez
22,Katie Hofland
23,Meredith Wyatt
24,Nicole Fields
25,Nick Fields
26,Hannah Burkett
27,Corbin Vann
36,Jason Ketchum
41,BRENT ROBERTS
42,Aaron Abraham
45,Tyler Tiger
88,Julian Morgan
b,r,e,a,k
Love Tractor,3
0,Stephanie Redfern
02,CHRIS HART
03,Heather Kraft
04,David Protter
05,Jack (John) McShane
06,John (Clay) Heinzel-Nelson
07,Charles Furse
08,Scott Forrester
09,James Cantwell
10,Brian Carroll
11,Megan Henderson
12,Samuel Shearer
13,Christine Kamin
16,Hilary Walker
17,Brady Cowiestoll
18,Fern Beetle Moorcroft
19,Garrett Moulder
20,Amelia Zutz
22,Arthi Padmanabhan
23,Camden Kittredge
24,Hilary Egan
26,Chloe Greene
29,Peter Gleason
33,David Kamin
35,Kate Pearson
41,Katie Patterson
91,Matthew Zemel
b,r,e,a,k
Sellout,6
02,Sharon Tsao
03,Naomi Clarke
04,Barbara Smith
05,Matthew Bierschenk
06,Ryan Bigley
07,LAUREN MCKENNA
08,Austin Walker
09,Peter Clarke
10,HILARY LUMPKINS
12,Casey LeMay
13,ANGELA LEE
14,DENNIS MERWORTH
14,Reid Bacon
16,Rachel Wong
17,Daniel Winter
18,Kevin Land
20,Tiffany Schumacher
21,Cameron Williams
24,Cody Holloway
25,Kelly Harris
27,Thomas Slack
30,Kayla Ramirez
34,Doug Richardson
35,Rebecca Smith
45,Christine Lynch
72,Patrick Marco
77,Jordan Taylor
b,r,e,a,k
The Strangers,9
0,Katharine Evans
0,KATHERINE Clark
0,Kelley Knapek
0,KYNDRA LEIER
0,Luigi Miano
0,Matthew Cueva
0,Matthew Bailey
0,Patrick Boyker
0,Raymond  Chen
0,Ryan Colby
0,Alyssa May
0,BRENDAN CALONGE
0,Catherine Smith
0,Curtis Salcedo
0,David Jackson
0,Jenna Hunt
0,Scott Harris
0,Troy Wojick
0,VINCENT FERNANDEZ
0,William Wilcox
2,Tom Parry
3,Hannah Dryke
27,Joseph Delnero
31,William Allen
40,Doug Schriner
77,Thomas Hennen
b,r,e,a,k
Cosa Nostra,4
0,LAURA VARGAS
0,Maricar Lafita Navarro
2,Jessica Kishi
3,Richard Hornbuckle
4,Aubrey Davis
6,William Owens
7,Victoria Salimov
9,Patrick Laramee
11,NATHAN SANY
15,Emily Scholten
17,Kathryn Herbers
18,Darren Phillips
23,Rachel Yeager
26,Amy Broome
29,Meghan Rutledge
29,Jason Conrad
31,Christopher Spittal
32,John Cecil
33,Erin Schran
34,Carlos Vargas
