Heavyweights 2017,Club - Mixed ,22,7,2017
Loves Park,IL,2017-07-22,2017-07-23
https://play.usaultimate.org/events/Heavyweights-2017/schedule/Mixed/Club-Mixed
Friday Night Couch,9
28,Ben Ben Hirschman
32,Annie Waniger
33,Brian Benge
34,Stephanie Caucutt
b,r,e,a,k
Spirit Fowl,18
teamInfo,,"Saint Paul, Minnesota",http://www.kanyezone.com/,https://www.facebook.com/spiritfowl,https://twitter.com/SpiritFowlUlt
0,Anik Regan
0,Carlos Lopez
0,Daniel Herrera
0,Frieda Manthei
0,Grady Johnson
0,Hannah Larson
0,JACK SIMPSON
0,Hailey Shoemaker
0,Lauren Lingenfelter
0,MATT ARCHBOLD
0,Nicholas Gleason
0,Sarah Feltault
0,Vincent Vik
7,Erin Woitte
8,Greta Regan
10,Derek Klein
12,Jacob Mutch
13,Camille Curley
13,Sam Eherenman
15,MAXFIELD ROTERT
17,Hannah Zobitz
17,JENNY ASTURIAS
69,Kody Williams
73,Charlie Enders
84,Edward Mallak
b,r,e,a,k
Boomtown Pandas,15
teamInfo,,"Madison, Wisconsin",,,https://twitter.com/boomtownpandas
0,Alex Larsen
0,Anne Gardner
0,Chris Sykes
0,Jamie  Brown
0,Josh Epstein
0,Peter Lin
0,Ryan Ruenroeng
0,Tessa Berry
5,Marianna Malin
10,Caitlin Murphy
11,Ben Hutchinson
13,Jon Fok
16,Robert Lindenthaler
17,Ellie Clarin
18,Julia Sauerhaft
18,Scott Groux
21,Nathan Kleinhans
29,Jack Nelson
35,Alexandra Asleson
66,Laura Hsu
84,Vincent Hsu
94,Derek Weisberg
b,r,e,a,k
Taco Cat,23
teamInfo,,"Chicago, Illinois",,,
00,Alex Oplawski
00,Daniel Kennard
00,Dustin Ewalt
00,Quyen  Le
00,Sarah Paulus
01,Harrison Krebs
02,Cecily Barajas
03,Michelle Keohane
05,Tammy Ahern
07,Heather Kita
08,Maria Vega
12,Matthew Bonges
14,Dennis Gisler
17,Brett Porter
18,Krystle Ocampo
20,BETSY MERBITZ
21,Zach Hanna
25,Brandon Woody
26,Chad Bobren
27,Mike Ospina 
41,Kyle Handlen
55,Zane Pennock
91,Andrew Gubernick
96,Elizabeth Thorsell
b,r,e,a,k
Method,6
teamInfo,,"Huntsville, Alabama",,,
1,Jake Brouwer
2,Kelsey Moser
3,Anthony Lowther
4,Jordan Matthews
5,Rose Missildine
6,Alice Radcliffe
7,Riley Mog
8,Danny Yates
9,Hannah Yates
10,Elliott Terrell
11,Stephen Brandon
14,Maggie Smallwood
16,Leah Gauldin
18,Allyson Smith
19,Mark Daigle
20,Desiree Garcia
21,Wesley Seat
22,Jonathan Lee
25,"Michael Guiles, Jr"
27,Michael Robie
32,Lauren Bryant
35,Clark Missildine
51,Collin Orcutt
72,Liz Craig
77,Abigail Waldron
b,r,e,a,k
Prion,3
teamInfo,,"Champaign-Urbana, Illinois",www.prionultimate.com,,
0,ALYSSA DICOSOLA
0,Brittney Joy
0,Gloria Lee
0,JACOB BERGER
0,Jacob Trueb
0,Zach Stojak
1,JESUS OSORIO
2,Candace Brahm
3,Daniel McDonald
4,Tat Shing Thum
9,Brittney Gorman
17,Mikayla Yoder
18,Alexis Dettmer
19,Jacob Komenda
20,Scott Nelson
26,Erik Huemiller
27,CHRISTOPHER HIDAKA
29,Jake Corley
36,Bianca Delgado
42,Brandon Carrel
52,John Wolff
55,Natalie Stephan
b,r,e,a,k
Los  Heros,14
teamInfo,,"Bloomington, Indiana",,,
0,Benjamin Gerroll
0,C. Ryan Craven
0,Daniel Clement
0,Emily Wyckoff
0,Gus Klofta
0,Jake Frederickson
0,Katie Yoder
0,Kirstin Craven
0,Kye Butler
0,Mackenzie Alameda
0,Melissa Taylor
0,Sarah Mosier
0,Steven Eakle
2,Jeremy Davis
5,Connor Regan
12,Jason Bertocci
15,Audrey Williams
27,Leslie Boey
34,Geri McInerney
55,Jason Cheek
62,Charles Lowe
70,Philip Brewer
b,r,e,a,k
Wingdings,19
teamInfo,,"Des Moines, Iowa",,https://www.facebook.com/WingDingsUltimate,
0,Anna Bruns
0,Katherine Goode
5,Matt Stoker
5,Sarah Stoker
8,Joseph Kosterman
8,Chandler Good
9,Samantha Kokjohn
11,Jacob Badger
12,Katie Walther
14,Taylor Reth
17,Cassandra Doody
19,Johanna Chambers
23,Kevin Molina
23,Anna Austin
24,Curtis Nuzback
27,Scott Ehlinger
28,Niko Beauchamp
40,Daniel Schoen
42,Carter Genrick
54,Alec Sauerbrei
54,Isaac Johnson
b,r,e,a,k
Mad Udderburn,11
teamInfo,,"Madison, Wisconsin",http://madudderburn.weebly.com/,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
0,David Kurian
1,Grace Compton
2,Kevin Pochatila
3,Jake Wilson
4,Joey Knutson
5,GRACE GRANDE
6,Anders Shropshire
8,Ben Schewe
9,Grant Hellestad
10,Emily Orner
14,Katherine Magruder
15,John Miller
18,Ben Stanger
19,Nathan Freeman
24,Matt Coogan
25,Stephanie Smith
27,Clay Schelitzche
32,Amanda Hellestad
41,Molly Schelitzche
50,CHEREK MCBRIDE
55,Bo Strauss
88,Brad Ellis
b,r,e,a,k
Blitzkrieg,22
teamInfo,,"Kansas City, Missouri",,https://www.facebook.com/KCBlitzkrieg/,https://twitter.com/BlitzkriegKC
0,Meeli Patel
03,Lizzie Stierwalt
04,Julie Turner
05,Frank Storms
06,Andrew Bessin
07,Kardal Hart
09,Stephen Treanor
10,Angelica Chuon
11,Ben Stringer
12,Briana Talasko
13,Kyle Kotzman
14,KATIE BEY
16,Tommy Gebhardt
16,Latrice Fletcher
17,Brody Johnson
27,Cameron Leonard
32,Beth Krehbiel
33,Katelyn Patterson
35,LAURA ISMERT
49,Heather Fielding Gebhardt
56,Alan O'Brien
58,TIM LANDSTRA
89,David Stierwalt
99,Galen Spong
b,r,e,a,k
Thoroughbred,4
teamInfo,,"Saint Louis, Missouri",http://tbultimate.weebly.com/,https://www.facebook.com/tbultimate/,https://twitter.com/tb_ultimate
02,Bryan Esmond
03,Greg Maier
04,Hannah Volpert-Esmond
05,Allen HOOPER
06,Kathleen Horton
07,Michael Faaborg
09,Stephenie Wang
10,Natalie Gould
12,Kyle Bowie
13,Megan Epperson
16,Max Morgan
21,Daphne Branham
26,Grant Eschmann
28,Chase Johnson
29,Mason Zetsch
33,Elizabeth Honigfort
44,Julianne Crockett
45,Matthew Branham
50,Michael Brooks
54,Jack Carmichael
64,Sarah Kaufman
70,Matt Francis
84,Timothy Halfmann-Morris
99,Spencer Hollenbach
b,r,e,a,k
Shakedown,5
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/Chicago-Shakedown-1531203790521504/?fref=ts,https://twitter.com/chi_shakedown
01,Will Hsieh
02,James Roush
04,Kayla Noguchi
05,Ryan Dudgeon
07,Kelvin Koster
10,Jorge Duarte
11,CHRIS KAISER-NYMAN
12,Rodrigo Arcibar
13,Phoebe Evans
15,MK Andersen
16,Alison Ellis
18,Emily Fridberg
19,Nathan King
20,Michael McCafferty
21,Dan Holley
21,Sarah Schram
23,Kathryn Kembitzky
24,REBECCA LEDER
25,Jordan Lange
42,Joseph Lindsay
45,Jeffrey Spetter
47,Grant Whitman
53,Abigail Lindsay
54,Lauren Guzman
81,Erika Wagner
b,r,e,a,k
Impact,21
teamInfo,,"Wichita, Kansas",,https://www.facebook.com/ImpactUltimate/,https://twitter.com/ImpactUltimate
0,ERIK SHOOK
3,Jacob Pfeifer
7,Malachi Lingg
9,Katherine Hybl
9,Kathryn Broadley
10,Rachel Deeds
13,Angela Reimer
14,Kiana Broadley
17,Jordan Ast
21,BJ Smith
22,Isaac Blick
24,Thomas Ditchfield
31,Grant Schneider
33,Kate Olson
37,Jake Reimer
39,Makayla Ladwig
42,David Slagle
46,Jonathan Lawrence
86,Emily Beeson
99,Jordan Becquer
b,r,e,a,k
ELevate,13
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/ELevateUltimate,https://twitter.com/ElevateUltimate
0,Eric Leppink
02,Kevin Schwartzenberg
03,Tricia Chee
04,Matthew Nickels
05,Emily Molloy
07,Timothy Burnett
09,Sophia Kierstead
10,George Tobin
11,Lauren Miller
12,Pedrom Rejai
13,Samantha Sadlier
15,YEVANIT RESCHECHTKO
17,Dan Hiben
21,Benjamin Macalalad
22,Amy Copper
25,Sean Mills
26,Scott Anding
27,Molly O’Donnell
30,Jessica Johnson
33,Alyssa Graham
36,Talia Fishman-Strait
44,Meredith Sommars
47,Jeff Sommars
66,Taylor Dall
71,Matt Gubernick
81,Jake Smith
99,Samuel Fishman-Strait
b,r,e,a,k
Mousetrap,20
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/mousetrapulti,https://twitter.com/MouseTrapUlti
0,Caitlin Hartlaub
0,Caroline Fallon
0,Catherine Morita
0,Elizabeth Ebert
0,Henry Fremont
0,Ida Sobotik
0,Jason Tiedt
0,Laura Borth
0,Matthew Wykle
0,Melisa Wittkowske
0,Michael Fehling
0,Jonathan Bauer
0,Phil Prosapio
0,Spencer Olsson
6,Jill Iwanski
7,Zeke Witter
8,Hans Kittleson
16,Mitchell Rose
18,Chris Chin
32,Daniel Garlock
49,Cadence Sawyer
69,Kyle Cleary
89,Patrick Kopp
99,Annabelle Sobotik
b,r,e,a,k
Jabba,12
teamInfo,,"Chicago, Illinois",,,
0,Alexander Zaug
0,Alyssa Bennett
0,Bridget Doherty
0,Christian Owen
0,Duško Yovovich
0,Jeremy Jones
0,Kamille Martinez
0,KYLE REBECHINI
0,Leigh Abrams
0,Megan O'Loughlin
0,Steve Janda
0,Travis Salk
7,Laura Rolfes
00,Alex Sher
00,Matt Thomas
00,James Bendoraitis
00,Michelle Kruse
00,Rachel  Cole
17,MICHAEL NAGEL
20,Matt Afryl
27,Ryan Logan
28,Thomas Logisz
69,Casimir Ksiazek III
82,Steven Jeka
88,Jason Paul
b,r,e,a,k
s,t,a,g,e,s
pools,PP
pool,Pool A
panIC,Stackcats,15,9,"07/22/2017, 10:00",Pool A,Final
Friday Night Couch,Doppler Effect,14,8,"07/22/2017, 10:00",Pool A,Final
panIC,Friday Night Couch,10,14,"07/22/2017, 12:00",Pool A,Final
Mastodon,Doppler Effect,13,14,"07/22/2017, 12:00",Pool A,Final
Doppler Effect,Stackcats,10,12,"07/22/2017, 14:00",Pool A,Final
Mastodon,Friday Night Couch,7,15,"07/22/2017, 14:00",Pool A,Final
panIC,Doppler Effect,15,6,"07/22/2017, 16:00",Pool A,Final
Mastodon,Stackcats,15,10,"07/22/2017, 16:00",Pool A,Final
panIC,Mastodon,15,7,"07/23/2017, 11:30",Pool A,Final
Friday Night Couch,Stackcats,12,9,"07/23/2017, 11:30",Pool A,Final
pool,Pool B
Tequila Mockingbird,Northern Comfort,12,9,"07/22/2017, 10:00",Pool B,Final
Hybrid,Spirit Fowl,12,7,"07/22/2017, 10:00",Pool B,Final
Boomtown Pandas,Taco Cat,12,9,"07/22/2017, 10:00",Pool B,Final
Tequila Mockingbird,Hybrid,7,10,"07/22/2017, 12:00",Pool B,Final
Northern Comfort,Boomtown Pandas,13,2,"07/22/2017, 12:00",Pool B,Final
Spirit Fowl,Taco Cat,13,5,"07/22/2017, 12:00",Pool B,Final
Tequila Mockingbird,Boomtown Pandas,11,3,"07/22/2017, 14:00",Pool B,Final
Hybrid,Taco Cat,13,1,"07/22/2017, 14:00",Pool B,Final
Northern Comfort,Spirit Fowl,11,6,"07/22/2017, 14:00",Pool B,Final
Tequila Mockingbird,Taco Cat,13,0,"07/22/2017, 16:00",Pool B,Final
Hybrid,Northern Comfort,12,10,"07/22/2017, 16:00",Pool B,Final
Boomtown Pandas,Spirit Fowl,11,12,"07/22/2017, 16:00",Pool B,Final
Tequila Mockingbird,Spirit Fowl,11,6,"07/23/2017, 11:30",Pool B,Final
Hybrid,Boomtown Pandas,13,3,"07/23/2017, 11:30",Pool B,Final
Northern Comfort,Taco Cat,13,2,"07/23/2017, 11:30",Pool B,Final
pool,Pool C
Prion,Mad Udderburn,12,9,"07/22/2017, 10:00",Pool C,Final
Method,Wingdings,13,5,"07/22/2017, 10:00",Pool C,Final
Los  Heros,Blitzkrieg,11,10,"07/22/2017, 10:00",Pool C,Final
Prion,Method,8,13,"07/22/2017, 12:00",Pool C,Final
Mad Udderburn,Los  Heros,8,11,"07/22/2017, 12:00",Pool C,Final
Wingdings,Blitzkrieg,11,8,"07/22/2017, 12:00",Pool C,Final
Prion,Los  Heros,10,6,"07/22/2017, 14:00",Pool C,Final
Method,Blitzkrieg,11,5,"07/22/2017, 14:00",Pool C,Final
Mad Udderburn,Wingdings,10,8,"07/22/2017, 14:00",Pool C,Final
Prion,Blitzkrieg,11,8,"07/22/2017, 16:00",Pool C,Final
Method,Mad Udderburn,13,10,"07/22/2017, 16:00",Pool C,Final
Los  Heros,Wingdings,7,9,"07/22/2017, 16:00",Pool C,Final
Prion,Wingdings,10,9,"07/23/2017, 11:30",Pool C,Final
Method,Los  Heros,12,4,"07/23/2017, 11:30",Pool C,Final
Mad Udderburn,Blitzkrieg,13,5,"07/23/2017, 11:30",Pool C,Final
pool,Pool D
Thoroughbred,Jabba,13,3,"07/22/2017, 10:00",Pool D,Final
Shakedown,Mousetrap,13,5,"07/22/2017, 10:00",Pool D,Final
ELevate,Impact,8,10,"07/22/2017, 10:00",Pool D,Final
Thoroughbred,Shakedown,11,10,"07/22/2017, 12:00",Pool D,Final
Jabba,ELevate,6,12,"07/22/2017, 12:00",Pool D,Final
Mousetrap,Impact,5,13,"07/22/2017, 12:00",Pool D,Final
Thoroughbred,ELevate,10,5,"07/22/2017, 14:00",Pool D,Final
Shakedown,Impact,13,6,"07/22/2017, 14:00",Pool D,Final
Jabba,Mousetrap,10,11,"07/22/2017, 14:00",Pool D,Final
Thoroughbred,Impact,13,8,"07/22/2017, 16:00",Pool D,Final
Shakedown,Jabba,13,3,"07/22/2017, 16:00",Pool D,Final
ELevate,Mousetrap,13,8,"07/22/2017, 16:00",Pool D,Final
Thoroughbred,Mousetrap,13,6,"07/23/2017, 11:30",Pool D,Final
Shakedown,ELevate,10,8,"07/23/2017, 11:30",Pool D,Final
Jabba,Impact,9,7,"07/23/2017, 11:30",Pool D,Final
b,r,e,a,k
brackets,BP
bracket,CHAMPIONSHIP
Friday Night Couch,Method,2,6,"07/23/2017, 15:00",FINALS,Final
Friday Night Couch,Thoroughbred,10,8,"07/23/2017, 13:15",SEMIS,Final
Hybrid,Method,7,9,"07/23/2017, 13:15",SEMIS,Final
bracket,3RD PLACE
Thoroughbred,Hybrid,8,10,"07/23/2017, 15:00",3RD PLACE,Final
bracket,5TH PLACE
Shakedown,Tequila Mockingbird,8,11,"07/23/2017, 15:00",5TH PLACE,Final
Shakedown,panIC,10,9,"07/23/2017, 13:15",5TH PLACE SEMIS,Final
Prion,Tequila Mockingbird,7,12,"07/23/2017, 13:15",5TH PLACE SEMIS,Final
bracket,7TH PLACE
panIC,Prion,11,10,"07/23/2017, 15:00",7TH PLACE,Final
bracket,9TH PLACE
Impact,Northern Comfort,10,13,"07/23/2017, 15:00",9TH PLACE,Final
Mastodon,Impact,8,11,"07/23/2017, 13:15",9TH SEMIS,Final
Northern Comfort,Los  Heros,12,1,"07/23/2017, 13:15",9TH SEMIS,Final
bracket,11TH PLACE
Mastodon,Los  Heros,5,6,"07/23/2017, 15:00",11TH PLACE,Final
bracket,13TH PLACE
ELevate,Wingdings,7,12,"07/23/2017, 15:00",13TH PLACE,Final
ELevate,Doppler Effect,10,6,"07/23/2017, 13:15",13TH SEMIS,Final
Wingdings,Spirit Fowl,12,8,"07/23/2017, 13:15",13TH SEMIS,Final
bracket,15TH PLACE
Doppler Effect,Spirit Fowl,1,0,"07/23/2017, 15:00",15TH PLACE,Final
bracket,17TH PLACE
Stackcats,Mad Udderburn,11,15,"07/23/2017, 15:00",17TH PLACE,Final
Stackcats,Mousetrap,8,6,"07/23/2017, 13:15",17TH SEMIS,Final
Boomtown Pandas,Mad Udderburn,5,15,"07/23/2017, 13:15",17TH SEMIS,Final
bracket,19TH PLACE
Mousetrap,Boomtown Pandas,8,10,"07/23/2017, 15:00",19TH PLACE,Final
bracket,21ST PLACE
Jabba,Blitzkrieg,1,0,"07/23/2017, 15:00",21ST PLACE,Final
Taco Cat,Blitzkrieg,3,12,"07/23/2017, 13:15",21ST PLAY-IN,Final
b,r,e,a,k
