Ski Town Classic 2017,Club - Mixed ,19,8,2017
Salt Lake City,UT,2017-08-19,2017-08-20
https://play.usaultimate.org/events/Ski-Town-Classic-2017/schedule/Mixed/Club-Mixed
Bozos,4
teamInfo,,"Bozeman, Montana",http://bozemanultimate.ultimatecentral.com/,https://www.facebook.com/pages/The-Bozos/158268574323919?ref=br_tf,
0,ADAM RESTAD
0,Alexis Bressler
0,BRIAN NOON
0,Brian Mitchell
0,Emily Smith-Wilson
0,Ethan Yourd
0,Genesea Meha
0,Andrew Shanafelt
0,Mackenzie Holton
0,Nicholas Patterson
0,Ryan McNally
0,Shaela Wallen
9,Matt Konen
10,Kyla Crisp
13,Rozlyn Kinney
14,Kean Mills
15,LOGAN EATON
17,Justin Myhre
23,Elysia Crockett
24,Craig Harkey
29,Zach Baumann
40,Geoffrey Zath
42,Thomas Walz
45,THOMAS BARRY
47,Juliana Williams
b,r,e,a,k
Classy,5
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Andrew Koerner
0,Angela Xiong
0,Cappy Pitts
0,Charlie Hsu
0,Claudia Vasquez
0,Ian Cutler
0,Josh Mitts
0,KATRINA SCHWARTZ
0,KYLE NICHOLS-SCHMOLZE
0,Matthew Rubashkin
0,Melissa Skevington
0,Michael Denevan
0,Nicholas Davis
0,Nicolas Sayavedra
0,Peter Bonanno
0,Sam Poppe
0,Simone Stolzoff
0,Dhwani Shah
0,Eda Altiok
0,Zachary Bruno
9,"Dana ""Zuul"" Nelson"
37,Frances Hamkins-Indik
39,Dan Morris
55,Tyler Condit
64,Michael McGuirk
b,r,e,a,k
Birdfruit,1
teamInfo,,"Seattle, Washington",http://birdfruit.weebly.com/,https://facebook.com/seattlebirdfruit,https://twitter.com/bird_fruit
0,Peter Geertz-Larson
1,Sam Landesberg
2,Luke Jesperson
3,Martha Russell
5,Christian Brink
6,Laura Doepker
7,Nicole Bayard
10,Jeff Gayle
11,Laura Manson
14,Sam Pickel
15,Samuel Dinning
17,Gavin McKibben
21,Dylan Harrington
22,Lacy Clark
23,Kyle Ord
24,Andrew Lynch
31,Natalie Jamerson
33,Spencer Sheridan
40,Ky Lewis IV
41,Clay Dewey-Valentine
47,Walker Bohannan
67,Kelley Hall
69,Lillian Bailey
70,Tamara Hass
88,Rebecca Leong
89,Sophia Scofield-Selby
b,r,e,a,k
Argo,8
teamInfo,,"San Francisco, California",,https://www.facebook.com/argoultimate/,https://twitter.com/argoultimate
2,Neil Butler
3,Amber Lombard
