Texas Two Finger 2017,Club - Mixed ,25,6,2017
Richardson,TX,2017-06-24,2017-06-25
https://play.usaultimate.org/events/Texas-Two-Finger-2017/schedule/Mixed/Club-Mixed
Public Enemy,1
1,Jarrod Hockett
2,Colby Keen
3,Matthew Hudspith
4,Rowdy Howell
5,Chris Casey
6,Chris Pleshek
7,Lindsey Kappen
8,REBECCA PHILP
9,Krystina Morris
10,Bryan Bush
11,Veronica Coombs
12,Kevin Christian
13,Jason Christian
16,Michael Hays
18,Kendra Hess
21,Danielle Runzo
24,Jenna Bigbie
26,Trevor Wiltz
27,Jonathan Higgins
27,Brandon Dial
29,Jessica Gamwell
37,Lindsey Mazur
39,Chris Mazur
41,Cara Utesch
42,Paul Utesch
77,Keya Davani
95,Brooke Wooldridge
b,r,e,a,k
Sellout,3
0,Ivy Byun
5,Andrea Esparza
02,Sharon Tsao
03,Naomi Clarke
04,Barbara Smith
05,Matthew Bierschenk
06,Ryan Bigley
07,LAUREN MCKENNA
08,Austin Walker
09,Peter Clarke
10,HILARY LUMPKINS
12,Casey LeMay
13,ANGELA LEE
14,DENNIS MERWORTH
14,Reid Bacon
16,Rachel Wong
17,Daniel Winter
18,Kevin Land
20,Tiffany Schumacher
21,Cameron Williams
24,Cody Holloway
25,Kelly Harris
27,Thomas Slack
30,Kayla Ramirez
45,Christine Lynch
72,Patrick Marco
77,Jordan Taylor
b,r,e,a,k
Cosa Nostra,2
02,Jessica Kishi
03,Richard Hornbuckle
04,Aubrey Davis
05,Wendy Hogg
06,William Owens
07,Victoria Salimov
09,Patrick Laramee
11,NATHAN SANY
13,Keith Larsen
15,Emily Scholten
16,LAURA VARGAS
17,Kathryn Herbers
18,Darren Phillips
22,Ashley Abrigo
26,Amy Broome
29,Meghan Rutledge
32,John Cecil
33,Erin Schran
34,Carlos Vargas
46,Jacob Thomas
82,Robert McDonald
91,Alex Hodgson
93,Kyle Teske
b,r,e,a,k
Superstition,4
0,BRITTNEY POTZLER
0,Kelsey Bradley
0,Matt Salig
0,Javen Jordan
1,SHERRI MANKOFSKY
2,Micah Gross
4,Jeffrey Budd
6,ROBIN GREENE
03,Ashley Stahl
11,Andrea Torvinen
11,Nicole Ron
14,Grant Goodman
19,Clairissa Papa
30,Michael Simeone
42,Nithya Subramanian
42,Michael Krohn
49,Jake Hadziev
66,Chris Humphrey
80,Paul Otto
82,Bobby Wang
b,r,e,a,k
tHUMP,8
02,Pooja Desai
03,Samantha Gomez
03,Emma Culotta
05,Nathan Scott
06,Nick Carranza
07,Keziah Hill
08,Joyce Andrews
09,Josephine Berrios
10,Bryce Lippitz
12,Emily Leivy
13,Monika Hershey
14,Ryan Rundle
15,Philip Nelson
16,Nick Thomas
17,Emilie Garnier
18,Tanner Moore
23,Travis Vermaelen
27,Abigail Ginac
28,Christopher Perrotti
30,Alex Jang
31,Alex Bui
32,Andrew Amerson
33,Hung-wei Huang
44,Robert Benson
78,Samuel Floren
b,r,e,a,k
Risky Business,7
0,ANNA REHFUSS
0,DANIEL ZABALDANO
0,Jake Floyd
0,Laura Reed
1,Austin Henke
4,Arthur Corbitt
5,Bryan Rowes
7,Austin Reed
7,John Clemmer
7,Tim Records
8,Elise Path
03,Allie Long
07,Christopher Schultz-Davis
09,Dalio Losch
10,Natalie Clifton
13,Senna Nilsson
14,Kristopher Dapprich
18,Christina Jones
21,Blake Abbott
22,Paul DiFiore
25,Jen Kim
29,Dalton Blakeney
36,Christian Walker
37,Andrew Morton
88,Zoey Clark
b,r,e,a,k
Freetail,5
0,Abraham Graber
0,ALAN JANZEN
0,ARDEN HOLBEIN
0,Brittany Wheaton
0,Corey Mika
0,David Haeussler
0,Ellen Register
0,Jacob Gernert
0,Jeremy Siefer
0,Keon Cleary
0,Matthew LePere
0,Nicholas Polito
0,Paul Wheaton
0,Rui Juan Hu
0,Ryan Walker
0,Samantha Valoret
0,Sean Lindsay
9,Hayley Cantway
11,Sarah Lindsay
18,Jason Gerhart
25,Kevin Halprin
87,Michael McCartney
87,Keith Register
b,r,e,a,k
Moontower,6
0,Anna Pobletts
0,Brandon Sneider
0,Brian Grundy
0,Chloe Kim
0,Danielle Rowe
0,Eric (Egon) Hersh
0,Erin Phillips
0,Luis Torres
0,Mike French
0,Nicholas Gonner
0,Robert Connelly
0,Scott Long
0,Tom Atchity
8,Mikayla Slimmer
9,Marshall Payne
11,Allegra Donadio
23,Briana Roberts
30,Mick Walter
55,Theodore Weisman
77,Tim Robbins
b,r,e,a,k
Boomtown,12
0,Stacy Edwards
01,Cameron Umbarger
02,JT Stancil
04,Matthew Carney
06,Avery Brooks
07,Aubri Wolfe
08,Dustin Baucom
10,Colby Craige
12,Ian Riley
13,Robert Boyd
15,Erin Heilman
17,Andrew Hofland
19,Alex Southard
21,Sidney Sanchez
22,Katie Hofland
23,Meredith Wyatt
24,Nicole Fields
25,Nick Fields
