TCT Select Flight Invite 2017,Club - Mixed ,29,7,2017
Columbus,OH,2017-07-29,2017-07-30
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2017/schedule/Mixed/Club-Mixed
Wild Card,1
11,NATHAN SANY
15,Emily Scholten
16,LAURA VARGAS
17,Kathryn Herbers
18,Darren Phillips
21,Maricar Lafita Navarro
26,Amy Broome
29,Meghan Rutledge
30,Jason Conrad
33,Erin Schran
34,Carlos Vargas
44,Jordan Denecour
46,Jacob Thomas
52,Kamron Daftari
82,Robert McDonald
91,Alex Hodgson
93,Kyle Teske
b,r,e,a,k
Tequila Mockingbird,15
teamInfo,,"Chicago-apolis, Indiana",,,https://twitter.com/tbirdultimate
01,Anat Gross
02,Hayley Banas
04,Aaron Del Real
05,Aaron Schwartz
06,Mike Kobyra
07,Lowell Knight
08,Peter Carleton
09,Jenna Peterson
11,Sarah Jane Yockers
12,Lauren Piontek
13,VALERIE IEHL
16,BRANDON TARBET
17,JOSEPH DECHERY
23,Jimmy Robin
24,Eric Hallow
26,Patrick Kaufmann
28,Channing Watson
29,John Sellers
33,Luke Ding
44,Megan Grygiel
45,Kristen Kaweck
54,Jonathan Burrell
59,Todd Miller
89,Andriana Tompary
b,r,e,a,k
Bird,10
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
00,Stephen Alexander
01,Cole Jensen
02,Adam Trautman
03,Michael Seffren
06,Lilly Shapiro
07,ZACHARY SHEAR
08,Lindy Sowmick
10,Erin Mirocha
15,GORDON STECKLEIN
16,Rebecca Morales
17,Jacob Salzman
21,Anna Barrett
22,Donna Johnston
23,David Stemper
28,Joseph Nelson
31,Katherine Johnson
33,THOMAS GRUND
35,Alex Lord
43,Dustin Rooffener
44,ASHLEY WEST
55,Patrick La Course
64,Mike Mueller
80,Brian Thompson
85,Joe Morris
88,Aaron Swaney
b,r,e,a,k
Toro,5
teamInfo,,"Durham, North Carolina",,,@ToroUltimate
03,Dean Culver
05,Matthew Thomas
07,Sarah Hasch
08,George Guthrie
10,Theran Riedel
13,Kathryn Morrison
14,Brendan Smith
15,Kerry Green
17,Dylan Shields
22,Lucas Darden
24,Meghan Miller
25,Michael Pannone
27,Leslie Willis
28,Matthew Olivetti
31,Alex Kaja
42,Wendell Wilson
47,Andrew Ryan
48,Kaye Eshelman
49,Derrick Marcey
54,Tristan Green
77,Graeme O'Connell
88,Christine Bookhout
89,Erica Brenner
91,Zoe Strnad
97,Alison Bender
b,r,e,a,k
UPA,4
teamInfo,,"Chicago, Illinois",www.upa.org,,https://twitter.com/The_UPA
02,Michael Shiel
03,Michael Egan
04,Alex Drlica-Wagner
05,Lizzy Shiel
08,Christine Huffer
11,Geoff Serednesky
12,Andrew Delorenzo
14,Akira Yamaguchi
15,Kimberly Streff
16,Tom Carter
17,NATALIE WU
22,Jessica Serednesky
25,Emlia Garcia
28,Hensley Sejour
33,Carl Deffenbaugh
35,Taylor Kraemer
37,Lori Eich
45,Gary LeDonne
55,Patrick Gleason
88,Valentina Shiel (Ngai)
b,r,e,a,k
Minnesota Star Power,9
teamInfo,,"Minneapolis/ St. Paul, Minnesota",,,
coaches,Trevor Ruwitch
00,Ashley Green
01,David Canillas
04,Tanya Natwick
05,Jasper Weinburd
07,Danica Cutshall
08,Lloyd Vogel
09,Ben Roske
10,Alex Kensgaard
11,Rachel Thompson
14,Brandon Haus
15,Jacob Larsen
16,Lisa Barnes
17,Alex Ma
18,Kianna Elahi
19,Eric Vandermolen
20,Julia Clare
22,Daniel Martin
23,Christopher McCrory
25,Joe Moravec
27,Jessie Lambert
29,Kelsey Peterson
