2017 USA Ultimate Masters Championships,Grand Masters - Men ,21,7,2017
Aurora,CO,2017-07-21,2017-07-23
https://play.usaultimate.org/events/2017-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Johnny Walker,1
21,Chris Wreden
24,Jerry Parks
25,Darrin Speegle
28,Ernie Miyashita
35,Paul Avilez
40,Noah Levine
43,Paul Grafing
44,John Conour
45,Graham Brisben
50,Crispin Thomas
64,Mark Abney
74,Daniel Rubenstein
80,Jake Stake
88,Pepe Peplinski
b,r,e,a,k
Endless Sunset,7
0,Christopher Gavigan
02,Joe Garcia
03,Dennis Kingery
07,Ryan Thoma
09,Mark Scott
10,Ryan Nichols
12,Carl Edwards
13,Galen Graham
15,Bryan Monroe
21,Doug Peterson
22,Trey Paulissen
23,JONATHAN HAYLES
31,Adam Ruderman
32,Adam Katzenmeier
33,Dominic Scarfe
36,William Brotman
48,Richard Hale Brown
54,Jessup Ferris
84,Clif Smith
86,Guillermo Iturriza
88,Matthew Shaff
94,Dan Parker
95,Kevin Cramer
99,Jason Allman
b,r,e,a,k
Critical Mass,14
00,Elgar Pichler
00,Ian Cooke
01,Lucian Snow
02,Travis Norsen
03,Geir Hartl
04,Craig Cohen
05,Joel Harris
06,Greg Rolland
07,Lee Feldscher
08,Dan Kaplan
09,Todd Haugsjaahabink
14,David Levenstein
17,Tim Coppinger
23,Ben Wood
24,Jason Johnson
41,Chris Tait
78,Sheldon Snodgrass
b,r,e,a,k
No Country,3
0,Matt Tracy
01,Alex De Frondeville
03,Jim Biancolo
05,Alec Ewald
06,ORION LILLYREED
07,Stephen Finn
08,James  Olson
10,Marshall Goff
12,Robert Doane
17,ZACHARY SAXE
18,Daniel Sage
19,Jon Bakija
21,Eric Olson
22,Arnold Sanchez
23,David Babkow
24,Joel Thompson
27,Patrick Trevino
29,Brion Winston
33,Steven Dugan
37,Fritz Burkhardt
54,Michael Friedland
61,Jeff Talbot
66,David Fausel
69,RICK SAXE
71,Lawrence (Larry) David
88,James (Jim) Parinella
89,Jonathan Dono
98,Dave Hollander
b,r,e,a,k
Kalakala,10
0,Spencer Reeder
00,Bil Elsinger
00,Dan Millikan
00,JEREMY DEWITT
01,Morgan Ahouse
04,David Chickering
04,Chris Page
05,Jason Barnes
06,Wolfe Maykut
10,John Ryan
11,Jude LaRene
12,Justin Deng
17,Adam Croft
23,Larry Uhlman
28,William Bartram
41,Mike Schwindeller
42,Alex Blanton
50,Joseph Feinstein
71,David Peabody
72,Fraser Stanton
95,Rhetick Sengupta
99,Jerald Keister
b,r,e,a,k
Hootenanny,6
0,Christopher Weaver
02,Ian Robinson
03,Keith Doucette
04,Christoph Boshoff
06,Eric Davis
12,Terry Kramer
15,Sean Britton
17,Nat Taylor
21,Daran Edmonds
22,Alan Ellis
42,Alan Hoyle
43,Kevin Calcagno
51,Michael Hamilton-Genson
54,Richard Mason
76,Troy Revell
99,Tk Kubisek
b,r,e,a,k
Sick Hammers,15
00,Jay Banner
00,Willem Lafferty
04,Bernard Barcio
08,Marcus (Mark) May
09,Rob Seidenberg
10,David Edwards
11,Rick Scott
12,Tim Allen
13,Paul Wheaton
14,Mike Peterson
16,Rocky Payne
18,Francisco Puga
23,Brad Hem
27,JOHN SHANK
29,Joey Barcio
32,Reagan Mayces
34,Mike Doughtie
44,Tom Blinn
48,Michael Kelly
50,Scott Cilento
73,Greg Lopp
77,Vev Yam
88,Denis Carrizo
b,r,e,a,k
Shadows,5
0,Kevin Lee
02,Shasta Phillips
03,Alan Harder
04,Shaun Webb
05,Brett Mitchell
06,Lou (Paul) Ellsworth-Yow
07,Clayton Hurd
08,Robert Wicks
09,Robert Briant
10,Matt Albinson
11,Russell Furr
12,Daniel Olstein
15,Stephen LaBonge
16,Peter Nieh
18,Daniel Francis
20,Rocky Beach
21,Jason Nettleton
22,Anthony Wagner
25,Raja Kapadia
27,Jon Ingersoll
33,Christopher Doyle
40,Matthew Elliott
42,Colin Smith
44,MATTHEW BAHLS
45,Harris Masket
55,Nikolas Radey
60,Tal Tversky
77,Joey Stewart
85,Ian Appleyard
b,r,e,a,k
Reckon,4
00,Gregory Allpow
01,David Goode
02,Bryant Depenbrok
03,Dan Konisky
05,Christopher Vanags
09,Mark Stuewe
10,Tony Brown
11,JOHN HAMMOND
14,Aaron Moredock
15,Peter Winslett
18,Alan Reeves
20,Jeremy Goecks
22,David Bixler
23,Peter Jackson
27,Kimball Walton
44,Jon Meade
50,Benjamin Nanny
51,Mark Driver
55,Larry Brad Smith
75,John Riddle
88,Christopher Dawson
96,Larry (Butch) Brown
99,Stephen LaCrosse
b,r,e,a,k
Bighorn,9
00,Charles Stone
01,Christopher Gutmann
03,Dave Rosenthal
06,Tyson Nunemacher
07,Anshuman Boonapalli
08,Greg Berbaum
09,Nathan Dauchy
10,Chad Underwood
12,Jeffrey Kenney
13,Rich Mowery-Evans
14,Mike D'Onofrio
15,Jayson Ayers
17,Mark Piper
18,Pete Clapp
19,Dean Marrone
20,John Spencer
21,Philip Harvey
22,Patrick Alexander
23,Gabe Hamilton
24,Thomas Smith
31,Shane Skriletz
33,Stanley Strunk
39,Gene Calo
40,Michael Galloy
44,Aaron Ketchum
58,Ken Lambert
69,Marc Anievas
99,Bobby Lee
b,r,e,a,k
projectile dysfunction team HELM,16
02,Brian Kowalski
03,Kurt Ritzman
04,Stewart Brock
06,Matthew Barlow
07,James Becker
08,Brian Burford
10,Brett Miller
13,Paul Devine
16,Randy Bey
22,Jay Martin
32,Keith Allen
33,John Gensel
36,RICK FOWLER
